Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0156642975	283126.508	283126.508	283126.508	283126.508	0	0	0	0	5.60892e+06	0	0	3
2	3	0	0.0313285951	470038.499	376582.503	283126.508	470038.499	93455.9956	0	0	0	4.90855e+06	0	0	3
3	3	0	0.0469928926	630523.063	461229.357	283126.508	630523.063	178102.849	0	0	0	4.88057e+06	0	0	3
4	4	0	0.0626571902	675747.599	514858.917	283126.508	675747.599	231732.409	0	0	0	5.03373e+06	0	0	3
5	4	0	0.0783214877	666443.7	545175.874	283126.508	675747.599	262049.366	0	0	0	5.17799e+06	0	0	3
6	4	0	0.0939857853	652516.844	563066.035	283126.508	675747.599	279939.528	0	0	0	5.16051e+06	0	0	3
7	4	0	0.109650083	644940.089	574762.329	283126.508	675747.599	291635.821	0	0	0	5.19797e+06	0	0	3
8	5	0	0.12531438	643014.142	583293.806	283126.508	675747.599	300167.298	0	0	0	5.06717e+06	0	0	3
9	5	0	0.140978678	643472.97	589980.379	283126.508	675747.599	306853.872	0	0	0	4.92158e+06	0	0	3
10	5	0	0.156642975	644796.476	595461.989	283126.508	675747.599	312335.481	0	0	0	4.7246e+06	0	0	3
11	5	0	0.172307273	646076.894	600063.344	283126.508	675747.599	316936.836	0	0	0	4.69886e+06	0	0	3
12	6	0	0.187971571	646913.532	603967.526	283126.508	675747.599	320841.019	0	0	0	4.59692e+06	0	0	3
13	6	0	0.203635868	647001.061	607277.798	283126.508	675747.599	324151.291	0	0	0	4.5658e+06	0	0	3
14	6	0	0.219300166	647004.728	610115.436	283126.508	675747.599	326988.928	0	0	0	4.5141e+06	0	0	3
15	6	0	0.234964463	646890.381	612567.099	283126.508	675747.599	329440.591	0	0	0	4.49994e+06	0	0	3
16	7	0	0.250628761	646913.132	614713.726	283126.508	675747.599	331587.218	0	0	0	4.4872e+06	0	0	3
17	7	0	0.266293058	646885.978	616606.212	283126.508	675747.599	333479.704	0	0	0	4.49249e+06	0	0	3
18	7	0	0.281957356	647001.3	618294.828	283126.508	675747.599	335168.32	0	0	0	4.48255e+06	0	0	3
19	7	0	0.297621653	646979.363	619804.54	283126.508	675747.599	336678.032	0	0	0	4.43779e+06	0	0	3
20	7	0	0.313285951	647240.379	621176.332	283126.508	675747.599	338049.824	0	0	0	4.45074e+06	0	0	3
21	8	0	0.328950248	647254.621	622418.155	283126.508	675747.599	339291.648	0	0	0	4.39998e+06	0	0	3
22	8	0	0.344614546	647493.692	623557.952	283126.508	675747.599	340431.445	0	0	0	4.4147e+06	0	0	3
23	8	0	0.360278844	647558.219	624601.442	283126.508	675747.599	341474.934	0	0	0	4.41035e+06	0	0	3
24	8	0	0.375943141	647691.493	625563.528	283126.508	675747.599	342437.02	0	0	0	4.44054e+06	0	0	3
25	9	0	0.391607439	647614.15	626445.553	283126.508	675747.599	343319.045	0	0	0	4.39793e+06	0	0	3
26	9	0	0.407271736	647792.762	627266.599	283126.508	675747.599	344140.091	0	0	0	4.37066e+06	0	0	3
27	9	0	0.422936034	647827.192	628028.103	283126.508	675747.599	344901.595	0	0	0	4.36268e+06	0	0	3
28	9	0	0.438600331	647975.674	628740.516	283126.508	675747.599	345614.008	0	0	0	4.36207e+06	0	0	3
29	10	0	0.454264629	647908.768	629401.49	283126.508	675747.599	346274.982	0	0	0	4.37384e+06	0	0	3
30	10	0	0.469928926	647948.531	630019.725	283126.508	675747.599	346893.217	0	0	0	4.37673e+06	0	0	3
31	10	0	0.485593224	647963.315	630598.55	283126.508	675747.599	347472.042	0	0	0	4.40501e+06	0	0	3
32	10	0	0.501257521	648034.356	631143.419	283126.508	675747.599	348016.911	0	0	0	4.3731e+06	0	0	3
33	11	0	0.516921819	648015.824	642546.21	470038.499	675747.599	205709.1	0	0	0	4.40028e+06	0	0	3
34	11	0	0.532586117	648056.782	648109.282	630523.063	675747.599	45224.536	0	0	0	4.36763e+06	0	0	3
35	11	0	0.548250414	648009.511	648655.733	643014.142	675747.599	32733.4566	0	0	0	4.38095e+06	0	0	3
36	11	0	0.563914712	648108.223	647792.003	643014.142	666443.7	23429.5575	0	0	0	4.35316e+06	0	0	3
37	11	0	0.579579009	648184.603	647221.406	643014.142	652516.844	9502.70204	0	0	0	4.36574e+06	0	0	3
38	12	0	0.595243307	648196.127	647086.383	643014.142	648196.127	5181.98435	0	0	0	4.33597e+06	0	0	3
39	12	0	0.610907604	648229.443	647189.176	643014.142	648229.443	5215.30014	0	0	0	4.37342e+06	0	0	3
40	12	0	0.626571902	648260.546	647353.126	643472.97	648260.546	4787.57602	0	0	0	4.34006e+06	0	0	3
41	12	0	0.642236199	648247	647502.314	644796.476	648260.546	3464.06963	0	0	0	4.41643e+06	0	0	3
42	13	0	0.657900497	648216.964	647609.204	646076.894	648260.546	2183.65202	0	0	0	4.3607e+06	0	0	3
43	13	0	0.673564794	648220.765	647676.2	646885.978	648260.546	1374.56766	0	0	0	4.39029e+06	0	0	3
44	13	0	0.689229092	648234.806	647717.49	646885.978	648260.546	1374.56766	0	0	0	4.3502e+06	0	0	3
45	13	0	0.70489339	648235.946	647756.08	646885.978	648260.546	1374.56766	0	0	0	4.37505e+06	0	0	3
46	14	0	0.720557687	648248.781	647794.957	646885.978	648260.546	1374.56766	0	0	0	4.34379e+06	0	0	3
47	14	0	0.736221985	648292.055	647838.759	646885.978	648292.055	1406.07662	0	0	0	4.42162e+06	0	0	3
48	14	0	0.751886282	648312.783	647882.498	646885.978	648312.783	1426.80498	0	0	0	4.34903e+06	0	0	3
49	14	0	0.76755058	648326.919	647927.528	646979.363	648326.919	1347.5561	0	0	0	4.4145e+06	0	0	3
50	15	0	0.783214877	648322.529	647968.816	646979.363	648326.919	1347.5561	0	0	0	4.35743e+06	0	0	3
51	15	0	0.798879175	648282.781	648009.548	647240.379	648326.919	1086.54039	0	0	0	4.38202e+06	0	0	3
52	15	0	0.814543472	648266.49	648041.614	647254.621	648326.919	1072.29784	0	0	0	4.34619e+06	0	0	3
