Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0211935677	0	0	0	0	0	0	0	1000	0	0	0	3
2	2	0	0.0423871354	0	0	0	0	0	0	0	1000	0	0	0	3
3	2	0	0.0635807032	0	0	0	0	0	0	0	1000	0	0	0	3
4	2	0	0.0847742709	0	0	0	0	0	0	0	1000	0	0	0	3
5	3	0	0.105967839	0	0	0	0	0	0	0	1000	0	0	0	3
6	3	0	0.127161406	0	0	0	0	0	0	0	1000	0	0	0	3
7	3	0	0.148354974	0	0	0	0	0	0	0	1000	0	0	0	3
8	3	0	0.169548542	0	0	0	0	0	0	0	1000	0	0	0	3
9	3	0	0.190742109	0	0	0	0	0	0	0	1000	0	0	0	3
10	4	0	0.211935677	0	0	0	0	0	0	0	1000	0	0	0	3
11	4	0	0.233129245	0	0	0	0	0	0	0	1000	0	0	0	3
12	4	0	0.254322813	0	0	0	0	0	0	0	1000	0	0	0	3
13	4	0	0.27551638	0	0	0	0	0	0	0	1000	0	0	0	3
14	4	0	0.296709948	0	0	0	0	0	0	0	1000	0	0	0	3
15	5	0	0.317903516	0	0	0	0	0	0	0	1000	0	0	0	3
16	5	0	0.339097084	0	0	0	0	0	0	0	1000	0	0	0	3
17	5	0	0.360290651	0	0	0	0	0	0	0	1000	0	0	0	3
18	5	0	0.381484219	0	0	0	0	0	0	0	1000	0	0	0	3
19	5	0	0.402677787	0	0	0	0	0	0	0	1000	0	0	0	3
20	5	0	0.423871354	0	0	0	0	0	0	0	1000	0	0	0	3
21	6	0	0.445064922	0	0	0	0	0	0	0	1000	0	0	0	3
22	6	0	0.46625849	0	0	0	0	0	0	0	1000	0	0	0	3
23	6	0	0.487452058	0	0	0	0	0	0	0	1000	0	0	0	3
24	6	0	0.508645625	0	0	0	0	0	0	0	1000	0	0	0	3
25	6	0	0.529839193	0	0	0	0	0	0	0	1000	0	0	0	3
26	7	0	0.551032761	0	0	0	0	0	0	0	1000	0	0	0	3
27	7	0	0.572226328	0	0	0	0	0	0	0	1000	0	0	0	3
28	7	0	0.593419896	0	0	0	0	0	0	0	1000	0	0	0	3
29	7	0	0.614613464	0	0	0	0	0	0	0	1000	0	0	0	3
30	7	0	0.635807032	0	0	0	0	0	0	0	1000	0	0	0	3
31	8	0	0.657000599	0	0	0	0	0	0	0	1000	0	0	0	3
32	8	0	0.678194167	0	0	0	0	0	0	0	1000	0	0	0	3
33	8	0	0.699387735	0	0	0	0	0	0	0	1000	0	0	0	3
34	8	0	0.720581303	0	0	0	0	0	0	0	1000	0	0	0	3
35	8	0	0.74177487	0	0	0	0	0	0	0	1000	0	0	0	3
36	9	0	0.762968438	0	0	0	0	0	0	0	1000	0	0	0	3
37	9	0	0.784162006	0	0	0	0	0	0	0	1000	0	0	0	3
38	9	0	0.805355573	0	0	0	0	0	0	0	1000	0	0	0	3
39	9	0	0.826549141	0	0	0	0	0	0	0	1000	0	0	0	3
40	9	0	0.847742709	0	0	0	0	0	0	0	1000	0	0	0	3
41	9	0	0.868936277	0	0	0	0	0	0	0	1000	0	0	0	3
42	10	0	0.890129844	0	0	0	0	0	0	0	1000	0	0	0	3
43	10	0	0.911323412	0	0	0	0	0	0	0	1000	0	0	0	3
44	10	0	0.93251698	0	0	0	0	0	0	0	1000	0	0	0	3
45	10	0	0.953710547	0	0	0	0	0	0	0	1000	0	0	0	3
46	10	0	0.974904115	0	0	0	0	0	0	0	1000	0	0	0	3
47	11	0	0.996097683	0	0	0	0	0	0	0	1000	0	0	0	3
48	11	0	1.01729125	0	0	0	0	0	1e-08	0	1000	0	0	0	3
