Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0156642975	-1424937.62	-1424937.62	-1424937.62	-1424937.62	0	0	0	0	5.60892e+06	0	0	3
2	3	0	0.0313285951	-194599.324	-809768.473	-1424937.62	-194599.324	615169.149	0	0	0	4.90855e+06	0	0	3
3	3	0	0.0469928926	329652.91	-429961.345	-1424937.62	329652.91	994976.276	0	0	0	4.88057e+06	0	0	3
4	4	0	0.0626571902	400020.535	-222465.875	-1424937.62	400020.535	1202471.75	0	0	0	5.03373e+06	0	0	3
5	4	0	0.0783214877	397317.237	-98509.2526	-1424937.62	400020.535	1326428.37	0	0	0	5.17799e+06	0	0	3
6	4	0	0.0939857853	371743.832	-20133.7384	-1424937.62	400020.535	1404803.88	0	0	0	5.16051e+06	0	0	3
7	4	0	0.109650083	370446.785	35663.4792	-1424937.62	400020.535	1460601.1	0	0	0	5.19797e+06	0	0	3
8	5	0	0.12531438	365740.921	76923.1594	-1424937.62	400020.535	1501860.78	0	0	0	5.06717e+06	0	0	3
9	5	0	0.140978678	368035.548	109268.98	-1424937.62	400020.535	1534206.6	0	0	0	4.92158e+06	0	0	3
10	5	0	0.156642975	372542.351	135596.317	-1424937.62	400020.535	1560533.94	0	0	0	4.7246e+06	0	0	3
11	5	0	0.172307273	364384.442	156395.238	-1424937.62	400020.535	1581332.86	0	0	0	4.69886e+06	0	0	3
12	6	0	0.187971571	360365.429	173392.754	-1424937.62	400020.535	1598330.37	0	0	0	4.59692e+06	0	0	3
13	6	0	0.203635868	353131.833	187218.837	-1424937.62	400020.535	1612156.46	0	0	0	4.5658e+06	0	0	3
14	6	0	0.219300166	347400.158	198660.36	-1424937.62	400020.535	1623597.98	0	0	0	4.5141e+06	0	0	3
15	6	0	0.234964463	344315.401	208370.696	-1424937.62	400020.535	1633308.32	0	0	0	4.49994e+06	0	0	3
16	7	0	0.250628761	340039.324	216599.985	-1424937.62	400020.535	1641537.61	0	0	0	4.4872e+06	0	0	3
17	7	0	0.266293058	334280.763	223522.384	-1424937.62	400020.535	1648460	0	0	0	4.49249e+06	0	0	3
18	7	0	0.281957356	331136.373	229500.939	-1424937.62	400020.535	1654438.56	0	0	0	4.48255e+06	0	0	3
19	7	0	0.297621653	329008.677	234738.188	-1424937.62	400020.535	1659675.81	0	0	0	4.43779e+06	0	0	3
20	7	0	0.313285951	327237.988	239363.178	-1424937.62	400020.535	1664300.8	0	0	0	4.45074e+06	0	0	3
21	8	0	0.328950248	326115.136	243494.224	-1424937.62	400020.535	1668431.84	0	0	0	4.39998e+06	0	0	3
22	8	0	0.344614546	325644.176	247228.312	-1424937.62	400020.535	1672165.93	0	0	0	4.4147e+06	0	0	3
23	8	0	0.360278844	324572.565	250591.106	-1424937.62	400020.535	1675528.73	0	0	0	4.41035e+06	0	0	3
24	8	0	0.375943141	324089.514	253653.54	-1424937.62	400020.535	1678591.16	0	0	0	4.44054e+06	0	0	3
25	9	0	0.391607439	323557.649	256449.704	-1424937.62	400020.535	1681387.33	0	0	0	4.39793e+06	0	0	3
