Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0156642975	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0313285951	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0469928926	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0626571902	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0783214877	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0939857853	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.109650083	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.12531438	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.140978678	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.156642975	0	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.172307273	0	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.187971571	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.203635868	0	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.219300166	0	0	0	0	0	0	0	0	0	0	0	3
15	6	0	0.234964463	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.250628761	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.266293058	0	0	0	0	0	0	0	0	0	0	0	3
18	7	0	0.281957356	0	0	0	0	0	0	0	0	0	0	0	3
19	7	0	0.297621653	0	0	0	0	0	0	0	0	0	0	0	3
20	7	0	0.313285951	0	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.328950248	0	0	0	0	0	0	0	0	0	0	0	3
22	8	0	0.344614546	0	0	0	0	0	0	0	0	0	0	0	3
23	8	0	0.360278844	0	0	0	0	0	0	0	0	0	0	0	3
24	8	0	0.375943141	0	0	0	0	0	0	0	0	0	0	0	3
25	9	0	0.391607439	0	0	0	0	0	0	0	0	0	0	0	3
26	9	0	0.407271736	0	0	0	0	0	0	0	0	0	0	0	3
27	9	0	0.422936034	0	0	0	0	0	0	0	0	0	0	0	3
28	9	0	0.438600331	0	0	0	0	0	0	0	0	0	0	0	3
29	10	0	0.454264629	0	0	0	0	0	0	0	0	0	0	0	3
30	10	0	0.469928926	0	0	0	0	0	0	0	0	0	0	0	3
31	10	0	0.485593224	0	0	0	0	0	0	0	0	0	0	0	3
32	10	0	0.501257521	0	0	0	0	0	0	0	0	0	0	0	3
33	11	0	0.516921819	0	0	0	0	0	0	0	0	0	0	0	3
34	11	0	0.532586117	0	0	0	0	0	0	0	0	0	0	0	3
35	11	0	0.548250414	0	0	0	0	0	0	0	0	0	0	0	3
36	11	0	0.563914712	0	0	0	0	0	0	0	0	0	0	0	3
37	11	0	0.579579009	0	0	0	0	0	0	0	0	0	0	0	3
38	12	0	0.595243307	0	0	0	0	0	0	0	0	0	0	0	3
39	12	0	0.610907604	0	0	0	0	0	0	0	0	0	0	0	3
40	12	0	0.626571902	0	0	0	0	0	0	0	0	0	0	0	3
41	12	0	0.642236199	0	0	0	0	0	0	0	0	0	0	0	3
42	13	0	0.657900497	0	0	0	0	0	0	0	0	0	0	0	3
43	13	0	0.673564794	0	0	0	0	0	0	0	0	0	0	0	3
44	13	0	0.689229092	0	0	0	0	0	0	0	0	0	0	0	3
45	13	0	0.70489339	0	0	0	0	0	0	0	0	0	0	0	3
46	14	0	0.720557687	0	0	0	0	0	0	0	0	0	0	0	3
47	14	0	0.736221985	0	0	0	0	0	0	0	0	0	0	0	3
48	14	0	0.751886282	0	0	0	0	0	0	0	0	0	0	0	3
49	14	0	0.76755058	0	0	0	0	0	0	0	0	0	0	0	3
50	15	0	0.783214877	0	0	0	0	0	0	0	0	0	0	0	3
51	15	0	0.798879175	0	0	0	0	0	0	0	0	0	0	0	3
52	15	0	0.814543472	0	0	0	0	0	0	0	0	0	0	0	3
53	15	0	0.83020777	0	0	0	0	0	0	0	0	0	0	0	3
54	15	0	0.845872067	0	0	0	0	0	0	0	0	0	0	0	3
55	16	0	0.861536365	0	0	0	0	0	0	0	0	0	0	0	3
56	16	0	0.877200663	0	0	0	0	0	0	0	0	0	0	0	3
57	16	0	0.89286496	0	0	0	0	0	0	0	0	0	0	0	3
58	16	0	0.908529258	0	0	0	0	0	0	0	0	0	0	0	3
59	17	0	0.924193555	0	0	0	0	0	0	0	0	0	0	0	3
60	17	0	0.939857853	0	0	0	0	0	0	0	0	0	0	0	3
61	17	0	0.95552215	0	0	0	0	0	0	0	0	0	0	0	3
62	17	0	0.971186448	0	0	0	0	0	0	0	0	0	0	0	3
63	18	0	0.986850745	0	0	0	0	0	0	0	0	0	0	0	3
64	18	0	1.00251504	0	0	0	0	0	5e-06	0	0	0	0	0	3
65	18	0	1.01817934	0	0	0	0	0	5e-06	0	0	0	0	0	3
66	18	0	1.03384364	0	0	0	0	0	5e-06	0	0	0	0	0	3
67	19	0	1.04950794	0	0	0	0	0	5e-06	0	0	0	0	0	3
68	19	0	1.06517223	0	0	0	0	0	5e-06	0	0	0	0	0	3
69	19	0	1.08083653	0	0	0	0	0	5e-06	0	0	0	0	0	3
70	20	0	1.09650083	0	0	0	0	0	5e-06	0	0	0	0	0	3
71	20	0	1.11216513	0	0	0	0	0	5e-06	0	0	0	0	0	3
72	20	0	1.12782942	0	0	0	0	0	5e-06	0	0	0	0	0	3
73	20	0	1.14349372	0	0	0	0	0	5e-06	0	0	0	0	0	3
74	21	0	1.15915802	0	0	0	0	0	5e-06	0	0	0	0	0	3
75	21	0	1.17482232	0	0	0	0	0	5e-06	0	0	0	0	0	3
76	21	0	1.19048661	0	0	0	0	0	5e-06	0	0	0	0	0	3
77	22	0	1.20615091	0	0	0	0	0	5e-06	0	0	0	0	0	3
78	22	0	1.22181521	0	0	0	0	0	5e-06	0	0	0	0	0	3
79	22	0	1.23747951	0	0	0	0	0	5e-06	0	0	0	0	0	3
80	22	0	1.2531438	0	0	0	0	0	5e-06	0	0	0	0	0	3
81	23	0	1.2688081	0	0	0	0	0	5e-06	0	0	0	0	0	3
82	23	0	1.2844724	0	0	0	0	0	5e-06	0	0	0	0	0	3
83	23	0	1.3001367	0	0	0	0	0	5e-06	0	0	0	0	0	3
84	24	0	1.31580099	0	0	0	0	0	5e-06	0	0	0	0	0	3
85	24	0	1.33146529	0	0	0	0	0	5e-06	0	0	0	0	0	3
86	24	0	1.34712959	0	0	0	0	0	5e-06	0	0	0	0	0	3
87	24	0	1.36279389	0	0	0	0	0	5e-06	0	0	0	0	0	3
