Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0211935677	-6.21684149e-45	-6.21684149e-45	-6.21684149e-45	-6.21684149e-45	0	0	0	0	0	0	0	3
2	2	0	0.0423871354	6.69405354e-10	3.34702677e-10	-6.21684149e-45	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
3	2	0	0.0635807032	2.1460938e-10	2.94671578e-10	-6.21684149e-45	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
4	2	0	0.0847742709	-1.32572061e-10	1.87860668e-10	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
5	3	0	0.105967839	-6.13663957e-11	1.38015255e-10	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
6	3	0	0.127161406	-5.57257969e-11	1.0572508e-10	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
7	3	0	0.148354974	1.25410155e-13	9.06394129e-11	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
8	3	0	0.169548542	-4.65864874e-12	7.87271552e-11	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
9	3	0	0.190742109	-1.25892493e-11	6.8580888e-11	-1.32572061e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
10	4	0	0.211935677	-1.4387732e-10	4.73350672e-11	-1.4387732e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
11	4	0	0.233129245	-8.34344517e-11	3.54469291e-11	-1.4387732e-10	6.69405354e-10	3.34702677e-10	0	0	0	0	0	0	3
12	4	0	0.254322813	-4.41173486e-10	-4.27143878e-12	-4.41173486e-10	6.69405354e-10	3.38974116e-10	0	0	0	0	0	0	3
13	4	0	0.27551638	-8.96530981e-10	-7.29067882e-11	-8.96530981e-10	6.69405354e-10	4.07609465e-10	0	0	0	0	0	0	3
14	4	0	0.296709948	-5.0334471e-10	-1.03652354e-10	-8.96530981e-10	6.69405354e-10	4.38355031e-10	0	0	0	0	0	0	3
15	5	0	0.317903516	-5.72366221e-10	-1.34899945e-10	-8.96530981e-10	6.69405354e-10	4.69602622e-10	0	0	0	0	0	0	3
16	5	0	0.339097084	-3.62867082e-10	-1.49147891e-10	-8.96530981e-10	6.69405354e-10	4.83850568e-10	0	0	0	0	0	0	3
17	5	0	0.360290651	-4.77151002e-10	-1.68442192e-10	-8.96530981e-10	6.69405354e-10	5.03144869e-10	0	0	0	0	0	0	3
18	5	0	0.381484219	-6.61281279e-10	-1.95822141e-10	-8.96530981e-10	6.69405354e-10	5.30524818e-10	0	0	0	0	0	0	3
19	5	0	0.402677787	-3.99369107e-10	-2.06535139e-10	-8.96530981e-10	6.69405354e-10	5.41237816e-10	0	0	0	0	0	0	3
20	5	0	0.423871354	-1.0352819e-09	-2.47972477e-10	-1.0352819e-09	6.69405354e-10	5.82675154e-10	0	0	0	0	0	0	3
21	6	0	0.445064922	-3.58646736e-10	-2.5324268e-10	-1.0352819e-09	6.69405354e-10	5.87945357e-10	0	0	0	0	0	0	3
22	6	0	0.46625849	-9.06725445e-10	-2.82946442e-10	-1.0352819e-09	6.69405354e-10	6.17649119e-10	0	0	0	0	0	0	3
23	6	0	0.487452058	-2.10002338e-10	-2.79774959e-10	-1.0352819e-09	6.69405354e-10	6.17649119e-10	0	0	0	0	0	0	3
24	6	0	0.508645625	-7.62127464e-10	-2.9987298e-10	-1.0352819e-09	6.69405354e-10	6.34575657e-10	0	0	0	0	0	0	3
25	6	0	0.529839193	-2.0457983e-10	-3.0839714e-10	-1.0352819e-09	6.69405354e-10	6.43099817e-10	0	0	0	0	0	0	3
26	7	0	0.551032761	-9.14203907e-12	-3.36669948e-10	-1.0352819e-09	2.1460938e-10	6.31341526e-10	0	0	0	0	0	0	3
27	7	0	0.572226328	5.70467959e-11	-3.43235056e-10	-1.0352819e-09	5.70467959e-11	5.31095724e-10	0	0	0	0	0	0	3
28	7	0	0.593419896	-6.55667106e-10	-3.65030683e-10	-1.0352819e-09	5.70467959e-11	5.03045938e-10	0	0	0	0	0	0	3
29	7	0	0.614613464	1.24623917e-10	-3.57281086e-10	-1.0352819e-09	1.24623917e-10	4.70755763e-10	0	0	0	0	0	0	3
30	7	0	0.635807032	-4.33222028e-10	-3.73010096e-10	-1.0352819e-09	1.24623917e-10	4.63649509e-10	0	0	0	0	0	0	3
31	8	0	0.657000599	8.09290743e-11	-3.69643277e-10	-1.0352819e-09	1.24623917e-10	4.51737251e-10	0	0	0	0	0	0	3
32	8	0	0.678194167	-1.50799014e-09	-4.32282089e-10	-1.50799014e-09	1.24623917e-10	5.00862977e-10	0	0	0	0	0	0	3
33	8	0	0.699387735	1.98969645e-10	-4.23467135e-10	-1.50799014e-09	1.98969645e-10	4.79617156e-10	0	0	0	0	0	0	3
