Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0211935677	689475.743	689475.743	689475.743	689475.743	0	0	0	0	1.17948	0	0	3
2	2	0	0.0423871354	689475.848	689475.795	689475.743	689475.848	0.0529042716	0	0	0	0.755523	0	0	3
3	2	0	0.0635807032	689475.812	689475.801	689475.743	689475.848	0.0584109916	0	0	0	0.390089	0	0	3
4	2	0	0.0847742709	689475.799	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0882194	0	0	3
5	3	0	0.105967839	689475.799	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0929624	0	0	3
6	3	0	0.127161406	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0654249	0	0	3
7	3	0	0.148354974	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0566092	0	0	3
8	3	0	0.169548542	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0487377	0	0	3
9	3	0	0.190742109	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0444714	0	0	3
10	4	0	0.211935677	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0423743	0	0	3
11	4	0	0.233129245	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0408103	0	0	3
12	4	0	0.254322813	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0390196	0	0	3
13	4	0	0.27551638	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0371472	0	0	3
14	4	0	0.296709948	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0354771	0	0	3
15	5	0	0.317903516	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0338299	0	0	3
16	5	0	0.339097084	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0329827	0	0	3
17	5	0	0.360290651	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0321464	0	0	3
18	5	0	0.381484219	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0315288	0	0	3
19	5	0	0.402677787	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0308951	0	0	3
20	5	0	0.423871354	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0304354	0	0	3
21	6	0	0.445064922	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0301093	0	0	3
22	6	0	0.46625849	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0298543	0	0	3
23	6	0	0.487452058	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0295788	0	0	3
24	6	0	0.508645625	689475.8	689475.8	689475.743	689475.848	0.0584109916	0	0	0	0.0293484	0	0	3
25	6	0	0.529839193	689475.8	689475.802	689475.799	689475.848	0.00698535389	0	0	0	0.0290945	0	0	3
26	7	0	0.551032761	689475.8	689475.8	689475.799	689475.812	0.0023941343	0	0	0	0.0289576	0	0	3
27	7	0	0.572226328	689475.8	689475.8	689475.799	689475.8	0.00135095825	0	0	0	0.0288033	0	0	3
28	7	0	0.593419896	689475.8	689475.8	689475.799	689475.8	0.00113939226	0	0	0	0.0286716	0	0	3
29	7	0	0.614613464	689475.8	689475.8	689475.8	689475.8	7.91610219e-05	0	0	0	0.0285215	0	0	3
30	7	0	0.635807032	689475.8	689475.8	689475.8	689475.8	7.9191057e-05	0	0	0	0.0283958	0	0	3
31	8	0	0.657000599	689475.8	689475.8	689475.8	689475.8	4.79300506e-05	0	0	0	0.0283016	0	0	3
32	8	0	0.678194167	689475.8	689475.8	689475.8	689475.8	4.80054878e-05	0	0	0	0.0282178	0	0	3
33	8	0	0.699387735	689475.8	689475.8	689475.8	689475.8	3.96994874e-05	0	0	0	0.0281205	0	0	3
34	8	0	0.720581303	689475.8	689475.8	689475.8	689475.8	3.61925922e-05	0	0	0	0.0280421	0	0	3
35	8	0	0.74177487	689475.8	689475.8	689475.8	689475.8	3.14124627e-05	0	0	0	0.0279512	0	0	3
36	9	0	0.762968438	689475.8	689475.8	689475.8	689475.8	2.58800574e-05	0	0	0	0.0278962	0	0	3
37	9	0	0.784162006	689475.8	689475.8	689475.8	689475.8	1.87726691e-05	0	0	0	0.0278343	0	0	3
38	9	0	0.805355573	689475.8	689475.8	689475.8	689475.8	1.45855593e-05	0	0	0	0.0277834	0	0	3
39	9	0	0.826549141	689475.8	689475.8	689475.8	689475.8	1.25686638e-05	0	0	0	0.027727	0	0	3
40	9	0	0.847742709	689475.8	689475.8	689475.8	689475.8	1.01214973e-05	0	0	0	0.0276756	0	0	3
41	9	0	0.868936277	689475.8	689475.8	689475.8	689475.8	8.44150782e-06	0	0	0	0.0276364	0	0	3
42	10	0	0.890129844	689475.8	689475.8	689475.8	689475.8	6.05452806e-06	0	0	0	0.027601	0	0	3
43	10	0	0.911323412	689475.8	689475.8	689475.8	689475.8	5.15545253e-06	0	0	0	0.0275621	0	0	3
44	10	0	0.93251698	689475.8	689475.8	689475.8	689475.8	4.52133827e-06	0	0	0	0.0275263	0	0	3
