Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0211935677	293.2	293.2	293.2	293.2	0	0	0	0	1.4339e-07	0	0	3
2	2	0	0.0423871354	293.2	293.2	293.2	293.2	2.16857643e-10	0	0	0	1.4348e-07	0	0	3
3	2	0	0.0635807032	293.2	293.2	293.2	293.2	4.32407887e-10	0	0	0	1.43568e-07	0	0	3
4	2	0	0.0847742709	293.2	293.2	293.2	293.2	6.48185505e-10	0	0	0	1.43657e-07	0	0	3
5	3	0	0.105967839	293.2	293.2	293.2	293.2	8.72944383e-10	0	0	0	1.43756e-07	0	0	3
6	3	0	0.127161406	293.2	293.2	293.2	293.2	1.22270194e-09	0	0	0	1.4401e-07	0	0	3
7	3	0	0.148354974	293.2	293.2	293.2	293.2	2.06784989e-09	0	0	0	1.44998e-07	0	0	3
8	3	0	0.169548542	293.2	293.2	293.2	293.2	4.21482582e-09	0	0	0	1.49544e-07	0	0	3
9	3	0	0.190742109	293.2	293.2	293.2	293.2	7.32609351e-09	0	0	0	1.6472e-07	0	0	3
10	4	0	0.211935677	293.2	293.2	293.2	293.2	1.07517053e-08	0	0	0	2.03391e-07	0	0	3
11	4	0	0.233129245	293.2	293.2	293.2	293.2	1.42111958e-08	0	0	0	2.24352e-07	0	0	3
12	4	0	0.254322813	293.2	293.2	293.2	293.2	1.76023605e-08	0	0	0	2.28734e-07	0	0	3
13	4	0	0.27551638	293.2	293.2	293.2	293.2	2.08638085e-08	0	0	0	2.27281e-07	0	0	3
14	4	0	0.296709948	293.2	293.2	293.2	293.2	2.39547262e-08	0	0	0	2.21557e-07	0	0	3
15	5	0	0.317903516	293.2	293.2	293.2	293.2	2.68635176e-08	0	0	0	2.13462e-07	0	0	3
16	5	0	0.339097084	293.2	293.2	293.2	293.2	2.95942186e-08	0	0	0	2.04829e-07	0	0	3
17	5	0	0.360290651	293.2	293.2	293.2	293.2	3.2164678e-08	0	0	0	2.02278e-07	0	0	3
18	5	0	0.381484219	293.2	293.2	293.2	293.2	3.45925741e-08	0	0	0	1.98796e-07	0	0	3
19	5	0	0.402677787	293.2	293.2	293.2	293.2	3.68635256e-08	0	0	0	1.9428e-07	0	0	3
20	5	0	0.423871354	293.2	293.2	293.2	293.2	3.89802608e-08	0	0	0	1.89276e-07	0	0	3
21	6	0	0.445064922	293.2	293.2	293.2	293.2	4.09585823e-08	0	0	0	1.84145e-07	0	0	3
22	6	0	0.46625849	293.2	293.2	293.2	293.2	4.27891109e-08	0	0	0	1.78253e-07	0	0	3
23	6	0	0.487452058	293.2	293.2	293.2	293.2	4.4474973e-08	0	0	0	1.72503e-07	0	0	3
24	6	0	0.508645625	293.2	293.2	293.2	293.2	4.60251499e-08	0	0	0	1.66113e-07	0	0	3
25	6	0	0.529839193	293.2	293.2	293.2	293.2	4.92111099e-08	0	0	0	1.6291e-07	0	0	3
26	7	0	0.551032761	293.2	293.2	293.2	293.2	5.2374503e-08	0	0	0	1.59676e-07	0	0	3
27	7	0	0.572226328	293.2	293.2	293.2	293.2	5.55098723e-08	0	0	0	1.57177e-07	0	0	3
28	7	0	0.593419896	293.2	293.2	293.2	293.2	5.86078386e-08	0	0	0	1.5451e-07	0	0	3
29	7	0	0.614613464	293.2	293.2	293.2	293.2	6.15480644e-08	0	0	0	1.52335e-07	0	0	3
30	7	0	0.635807032	293.2	293.2	293.2	293.2	6.39305426e-08	0	0	0	1.4987e-07	0	0	3
31	8	0	0.657000599	293.2	293.2	293.2	293.2	6.24346512e-08	0	0	0	1.48401e-07	0	0	3
32	8	0	0.678194167	293.2	293.2	293.2	293.2	4.94624715e-08	0	0	0	1.46153e-07	0	0	3
33	8	0	0.699387735	293.2	293.2	293.2	293.2	4.00959266e-08	0	0	0	1.44889e-07	0	0	3
34	8	0	0.720581303	293.2	293.2	293.2	293.2	3.28723218e-08	0	0	0	1.44776e-07	0	0	3
35	8	0	0.74177487	293.2	293.2	293.2	293.2	2.67726818e-08	0	0	0	1.44835e-07	0	0	3
36	9	0	0.762968438	293.2	293.2	293.2	293.2	2.16775788e-08	0	0	0	1.44848e-07	0	0	3
37	9	0	0.784162006	293.2	293.2	293.2	293.2	1.75419359e-08	0	0	0	1.4497e-07	0	0	3
38	9	0	0.805355573	293.2	293.2	293.2	293.2	1.40911993e-08	0	0	0	1.44965e-07	0	0	3
39	9	0	0.826549141	293.2	293.2	293.2	293.2	1.1123916e-08	0	0	0	1.4504e-07	0	0	3
40	9	0	0.847742709	293.2	293.2	293.2	293.2	8.38565484e-09	0	0	0	1.44999e-07	0	0	3
41	9	0	0.868936277	293.2	293.2	293.2	293.2	6.57786359e-09	0	0	0	1.45091e-07	0	0	3
42	10	0	0.890129844	293.2	293.2	293.2	293.2	6.82098289e-09	0	0	0	1.45022e-07	0	0	3
43	10	0	0.911323412	293.2	293.2	293.2	293.2	6.92335789e-09	0	0	0	1.45047e-07	0	0	3
44	10	0	0.93251698	293.2	293.2	293.2	293.2	7.02539182e-09	0	0	0	1.45039e-07	0	0	3
45	10	0	0.953710547	293.2	293.2	293.2	293.2	7.12884685e-09	0	0	0	1.4506e-07	0	0	3
46	10	0	0.974904115	293.2	293.2	293.2	293.2	7.22872073e-09	0	0	0	1.45046e-07	0	0	3
47	11	0	0.996097683	293.2	293.2	293.2	293.2	7.32933358e-09	0	0	0	1.4505e-07	0	0	3
48	11	0	1.01729125	293.2	293.2	293.2	293.2	7.41619033e-09	2.932e-06	0	0	1.45032e-07	0	0	3
