Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0211935677
2	2	0	0.0423871354
3	2	0	0.0635807032
4	2	0	0.0847742709
5	3	0	0.105967839
6	3	0	0.127161406
7	3	0	0.148354974
8	3	0	0.169548542
9	3	0	0.190742109
10	4	0	0.211935677
11	4	0	0.233129245
12	4	0	0.254322813
13	4	0	0.27551638
14	4	0	0.296709948
15	5	0	0.317903516
16	5	0	0.339097084
17	5	0	0.360290651
18	5	0	0.381484219
19	5	0	0.402677787
20	5	0	0.423871354
21	6	0	0.445064922
22	6	0	0.46625849
23	6	0	0.487452058
24	6	0	0.508645625
25	6	0	0.529839193
26	7	0	0.551032761
27	7	0	0.572226328
28	7	0	0.593419896
29	7	0	0.614613464
30	7	0	0.635807032
31	8	0	0.657000599
32	8	0	0.678194167
33	8	0	0.699387735
34	8	0	0.720581303
35	8	0	0.74177487
36	9	0	0.762968438
37	9	0	0.784162006
38	9	0	0.805355573
39	9	0	0.826549141
40	9	0	0.847742709
41	9	0	0.868936277
42	10	0	0.890129844
43	10	0	0.911323412
44	10	0	0.93251698
45	10	0	0.953710547
46	10	0	0.974904115
47	11	0	0.996097683
48	11	0	1.01729125
