Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	721276.979	721276.979	721276.979	721276.979	0	0	0	0	3.0584e+06	0	0	3
2	2	0	0.0328176139	255870.727	488573.853	255870.727	721276.979	232703.126	0	0	0	3.31494e+06	0	0	3
3	2	0	0.0492264209	164681.013	380609.573	164681.013	721276.979	340667.406	0	0	0	2.99863e+06	0	0	3
4	2	0	0.0656352279	123530.18	316339.725	123530.18	721276.979	404937.254	0	0	0	2.31307e+06	0	0	3
5	2	0	0.0820440348	122260.783	277523.936	122260.783	721276.979	443753.043	0	0	0	1.71554e+06	0	0	3
6	2	0	0.0984528418	116454.16	250678.974	116454.16	721276.979	470598.005	0	0	0	1.58529e+06	0	0	3
7	3	0	0.114861649	118382.406	231779.464	116454.16	721276.979	489497.515	0	0	0	1.41945e+06	0	0	3
8	3	0	0.131270456	123060.3	218189.569	116454.16	721276.979	503087.41	0	0	0	1.29388e+06	0	0	3
9	3	0	0.147679263	126753.651	208030.022	116454.16	721276.979	513246.957	0	0	0	1.21806e+06	0	0	3
10	3	0	0.16408807	131369.797	200364	116454.16	721276.979	520912.979	0	0	0	1.18797e+06	0	0	3
11	3	0	0.180496877	136758.252	194581.659	116454.16	721276.979	526695.32	0	0	0	1.17558e+06	0	0	3
12	4	0	0.196905684	141896.663	190191.243	116454.16	721276.979	531085.736	0	0	0	1.18415e+06	0	0	3
13	4	0	0.213314491	144606.277	186684.707	116454.16	721276.979	534592.272	0	0	0	1.19535e+06	0	0	3
14	4	0	0.229723298	147043.02	183853.158	116454.16	721276.979	537423.821	0	0	0	1.1989e+06	0	0	3
15	4	0	0.246132104	148617.759	181504.131	116454.16	721276.979	539772.848	0	0	0	1.18846e+06	0	0	3
16	4	0	0.262540911	149602.189	179510.26	116454.16	721276.979	541766.719	0	0	0	1.17606e+06	0	0	3
17	4	0	0.278949718	151688.498	177873.686	116454.16	721276.979	543403.293	0	0	0	1.14754e+06	0	0	3
18	5	0	0.295358525	152374.384	176457.058	116454.16	721276.979	544819.921	0	0	0	1.11301e+06	0	0	3
19	5	0	0.311767332	152859.081	175215.059	116454.16	721276.979	546061.92	0	0	0	1.08344e+06	0	0	3
20	5	0	0.328176139	153113.799	174109.996	116454.16	721276.979	547166.983	0	0	0	1.053e+06	0	0	3
21	5	0	0.344584946	154261.394	173164.824	116454.16	721276.979	548112.155	0	0	0	1.0274e+06	0	0	3
22	5	0	0.360993753	155090.464	172343.263	116454.16	721276.979	548933.716	0	0	0	1.0027e+06	0	0	3
23	6	0	0.37740256	155819.8	171624.851	116454.16	721276.979	549652.128	0	0	0	976188	0	0	3
24	6	0	0.393811367	156045.828	170975.725	116454.16	721276.979	550301.254	0	0	0	953187	0	0	3
25	6	0	0.410220174	156214.952	170385.294	116454.16	721276.979	550891.685	0	0	0	930494	0	0	3
26	6	0	0.426628981	157052.42	169872.491	116454.16	721276.979	551404.488	0	0	0	911627	0	0	3
27	6	0	0.443037788	158156.805	169438.577	116454.16	721276.979	551838.402	0	0	0	897707	0	0	3
28	6	0	0.459446595	158773.166	169057.67	116454.16	721276.979	552219.309	0	0	0	896637	0	0	3
29	7	0	0.475855402	159115.732	168714.844	116454.16	721276.979	552562.135	0	0	0	899923	0	0	3
30	7	0	0.492264209	159846.479	168419.232	116454.16	721276.979	552857.747	0	0	0	899262	0	0	3
31	7	0	0.508673016	161058.245	168181.781	116454.16	721276.979	553095.198	0	0	0	895762	0	0	3
32	7	0	0.525081823	163430.569	150186.735	116454.16	255870.727	139416.567	0	0	0	878430	0	0	3
33	7	0	0.54149063	166579.302	147306.367	116454.16	166579.302	50125.1414	0	0	0	858719	0	0	3
34	8	0	0.557899437	170535.802	147495.231	116454.16	170535.802	54081.6418	0	0	0	856043	0	0	3
35	8	0	0.574308244	173791.492	149116.564	116454.16	173791.492	57337.3322	0	0	0	855326	0	0	3
36	8	0	0.590717051	177635.818	150902.855	116454.16	177635.818	61181.6573	0	0	0	854210	0	0	3
37	8	0	0.607125858	181598.388	153004.282	118382.406	181598.388	63215.982	0	0	0	852937	0	0	3
38	8	0	0.623534665	184325.623	155131.482	123060.3	184325.623	61265.3229	0	0	0	855393	0	0	3
39	9	0	0.639943472	185896.685	157158.462	126753.651	185896.685	59143.0348	0	0	0	860562	0	0	3
40	9	0	0.656352279	186835.919	159096.6	131369.797	186835.919	53057.633	0	0	0	863093	0	0	3
41	9	0	0.672761086	187534.319	160908.359	136758.252	187534.319	47275.2923	0	0	0	872183	0	0	3
42	9	0	0.689169893	188406.577	162574.434	141896.663	188406.577	42884.8759	0	0	0	810784	0	0	3
43	9	0	0.7055787	189035.596	164095.045	144606.277	189035.596	39378.3401	0	0	0	867380	0	0	3
44	9	0	0.721987506	189489.584	165542.893	147043.02	189489.584	36546.7911	0	0	0	825221	0	0	3
45	10	0	0.738396313	189686.061	166918.475	148617.759	189686.061	34197.7645	0	0	0	864548	0	0	3
46	10	0	0.75480512	190389.083	168265.937	149602.189	190389.083	32203.8931	0	0	0	831215	0	0	3
47	10	0	0.771213927	190561.564	169587.207	151688.498	190561.564	30567.3189	0	0	0	865053	0	0	3
48	10	0	0.787622734	190960.421	170854.044	152374.384	190960.421	29150.691	0	0	0	835849	0	0	3
49	10	0	0.804031541	191203.483	172106.595	152859.081	191203.483	27908.6922	0	0	0	868458	0	0	3
50	11	0	0.820440348	191255.497	173345.189	153113.799	191255.497	26803.6292	0	0	0	839653	0	0	3
51	11	0	0.836849155	191087.985	174570.163	154261.394	191255.497	27263.7962	0	0	0	873478	0	0	3
52	11	0	0.853257962	190751.249	175747.255	155090.464	191255.497	28440.8883	0	0	0	843193	0	0	3
53	11	0	0.869666769	190600.943	176892.754	155819.8	191255.497	29586.3877	0	0	0	874548	0	0	3
54	11	0	0.886075576	191170.924	178033.113	156045.828	191255.497	30726.7465	0	0	0	842721	0	0	3
55	12	0	0.902484383	192447.906	179207.374	156214.952	192447.906	31901.0071	0	0	0	867960	0	0	3
56	12	0	0.91889319	193677.805	180415.853	157052.42	193677.805	33109.4862	0	0	0	830183	0	0	3
57	12	0	0.935301997	195270.115	181648.682	158156.805	195270.115	34342.3151	0	0	0	854254	0	0	3
58	12	0	0.951710804	196891.256	182898.18	158773.166	196891.256	35591.8135	0	0	0	823095	0	0	3
59	12	0	0.968119611	198311.147	184173.599	159115.732	198311.147	36867.2322	0	0	0	839542	0	0	3
60	13	0	0.984528418	199105.149	185463.58	159846.479	199105.149	38157.2134	0	0	0	829451	0	0	3
