Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	15.0870573	15.0870573	15.0870573	15.0870573	0	0	0	0	26.3486	0	0	3
2	2	0	0.0328176139	15.0871337	15.0870955	15.0870573	15.0871337	3.82013552e-05	0	0	0	25.8544	0	0	3
3	2	0	0.0492264209	15.0879014	15.0873641	15.0870573	15.0879014	0.000306840016	0	0	0	25.493	0	0	3
4	2	0	0.0656352279	15.0899006	15.0879982	15.0870573	15.0899006	0.000940957002	0	0	0	27.1063	0	0	3
5	2	0	0.0820440348	15.0920934	15.0888173	15.0870573	15.0920934	0.00175999583	0	0	0	28.2291	0	0	3
6	2	0	0.0984528418	15.0958095	15.0899826	15.0870573	15.0958095	0.00292537557	0	0	0	29.1545	0	0	3
7	3	0	0.114861649	15.099053	15.0912784	15.0870573	15.099053	0.00422113784	0	0	0	29.9291	0	0	3
8	3	0	0.131270456	15.1024758	15.0926781	15.0870573	15.1024758	0.00562081801	0	0	0	30.9198	0	0	3
9	3	0	0.147679263	15.1057038	15.0941254	15.0870573	15.1057038	0.00706812199	0	0	0	31.3241	0	0	3
10	3	0	0.16408807	15.1098074	15.0956936	15.0870573	15.1098074	0.00863632218	0	0	0	31.5693	0	0	3
11	3	0	0.180496877	15.1177821	15.0977016	15.0870573	15.1177821	0.0106443677	0	0	0	31.8117	0	0	3
12	4	0	0.196905684	15.1319852	15.1005586	15.0870573	15.1319852	0.0135013359	0	0	0	31.9953	0	0	3
13	4	0	0.213314491	15.1526476	15.1045654	15.0870573	15.1526476	0.0175081848	0	0	0	32.1678	0	0	3
14	4	0	0.229723298	15.1782182	15.1098264	15.0870573	15.1782182	0.0227690959	0	0	0	32.2809	0	0	3
15	4	0	0.246132104	15.2080385	15.1163738	15.0870573	15.2080385	0.0293165742	0	0	0	32.2973	0	0	3
16	4	0	0.262540911	15.2491804	15.1246742	15.0870573	15.2491804	0.037616982	0	0	0	32.2263	0	0	3
17	4	0	0.278949718	15.288988	15.1343398	15.0870573	15.288988	0.0472824948	0	0	0	31.9869	0	0	3
18	5	0	0.295358525	15.3258212	15.1449776	15.0870573	15.3258212	0.0579203527	0	0	0	31.6277	0	0	3
19	5	0	0.311767332	15.3577426	15.1561758	15.0870573	15.3577426	0.06911851	0	0	0	31.191	0	0	3
20	5	0	0.328176139	15.3824608	15.16749	15.0870573	15.3824608	0.0804327599	0	0	0	30.778	0	0	3
21	5	0	0.344584946	15.4066081	15.1788766	15.0870573	15.4066081	0.0918193359	0	0	0	30.2809	0	0	3
22	5	0	0.360993753	15.421321	15.1898968	15.0870573	15.421321	0.102839534	0	0	0	29.8581	0	0	3
23	6	0	0.37740256	15.4293744	15.2003089	15.0870573	15.4293744	0.113251602	0	0	0	29.3396	0	0	3
24	6	0	0.393811367	15.4407275	15.2103263	15.0870573	15.4407275	0.123269046	0	0	0	28.886	0	0	3
