Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	17.0483747	17.0483747	17.0483747	17.0483747	0	0	0	0	0	0	0	3
2	2	0	0.0328176139	17.048461	17.0484179	17.0483747	17.048461	4.31675314e-05	0	0	0	0	0	0	3
3	2	0	0.0492264209	17.0493286	17.0487214	17.0483747	17.0493286	0.000346729218	0	0	0	0	0	0	3
4	2	0	0.0656352279	17.0515876	17.049438	17.0483747	17.0515876	0.00106328141	0	0	0	0	0	0	3
5	2	0	0.0820440348	17.0540656	17.0503635	17.0483747	17.0540656	0.00198879529	0	0	0	0	0	0	3
6	2	0	0.0984528418	17.0582648	17.0516804	17.0483747	17.0582648	0.00330567439	0	0	0	0	0	0	3
7	3	0	0.114861649	17.0619299	17.0531446	17.0483747	17.0619299	0.00476988576	0	0	0	0	0	0	3
8	3	0	0.131270456	17.0657977	17.0547262	17.0483747	17.0657977	0.00635152436	0	0	0	0	0	0	3
9	3	0	0.147679263	17.0694453	17.0563617	17.0483747	17.0694453	0.00798697785	0	0	0	0	0	0	3
10	3	0	0.16408807	17.0740823	17.0581338	17.0483747	17.0740823	0.00975904407	0	0	0	0	0	0	3
11	3	0	0.180496877	17.0830938	17.0604028	17.0483747	17.0830938	0.0120281355	0	0	0	0	0	0	3
12	4	0	0.196905684	17.0991433	17.0636312	17.0483747	17.0991433	0.0152565095	0	0	0	0	0	0	3
13	4	0	0.213314491	17.1224918	17.068159	17.0483747	17.1224918	0.0197842489	0	0	0	0	0	0	3
14	4	0	0.229723298	17.1513866	17.0741038	17.0483747	17.1513866	0.0257290784	0	0	0	0	0	0	3
15	4	0	0.246132104	17.1850835	17.0815024	17.0483747	17.1850835	0.0331277288	0	0	0	0	0	0	3
16	4	0	0.262540911	17.2315738	17.0908819	17.0483747	17.2315738	0.0425071897	0	0	0	0	0	0	3
17	4	0	0.278949718	17.2765564	17.1018039	17.0483747	17.2765564	0.0534292191	0	0	0	0	0	0	3
18	5	0	0.295358525	17.318178	17.1138247	17.0483747	17.318178	0.0654499986	0	0	0	0	0	0	3
19	5	0	0.311767332	17.3542491	17.1264786	17.0483747	17.3542491	0.0781039163	0	0	0	0	0	0	3
20	5	0	0.328176139	17.3821807	17.1392637	17.0483747	17.3821807	0.0908890187	0	0	0	0	0	0	3
21	5	0	0.344584946	17.4094672	17.1521306	17.0483747	17.4094672	0.10375585	0	0	0	0	0	0	3
22	5	0	0.360993753	17.4260927	17.1645834	17.0483747	17.4260927	0.116208674	0	0	0	0	0	0	3
23	6	0	0.37740256	17.435193	17.176349	17.0483747	17.435193	0.127974311	0	0	0	0	0	0	3
24	6	0	0.393811367	17.4480221	17.1876687	17.0483747	17.4480221	0.139294022	0	0	0	0	0	0	3
25	6	0	0.410220174	17.4537003	17.19831	17.0483747	17.4537003	0.149935284	0	0	0	0	0	0	3
26	6	0	0.426628981	17.4614432	17.2084305	17.0483747	17.4614432	0.160055793	0	0	0	0	0	0	3
27	6	0	0.443037788	17.4697885	17.2181104	17.0483747	17.4697885	0.16973572	0	0	0	0	0	0	3
28	6	0	0.459446595	17.4735792	17.2272343	17.0483747	17.4735792	0.178859605	0	0	0	0	0	0	3
29	7	0	0.475855402	17.5094304	17.2369652	17.0483747	17.5094304	0.188590506	0	0	0	0	0	0	3
30	7	0	0.492264209	17.5402702	17.2470754	17.0483747	17.5402702	0.198700671	0	0	0	0	0	0	3
31	7	0	0.508673016	17.6672986	17.260631	17.0483747	17.6672986	0.212256258	0	0	0	0	0	0	3
32	7	0	0.525081823	17.8707021	17.2871577	17.048461	17.8707021	0.23873978	0	0	0	0	0	0	3
33	7	0	0.54149063	18.0884311	17.3207051	17.0493286	18.0884311	0.271983641	0	0	0	0	0	0	3
34	8	0	0.557899437	18.1737157	17.3569756	17.0515876	18.1737157	0.307537642	0	0	0	0	0	0	3
35	8	0	0.574308244	18.3980484	17.4004098	17.0540656	18.3980484	0.350046347	0	0	0	0	0	0	3
36	8	0	0.590717051	18.578662	17.4495904	17.0582648	18.578662	0.397909999	0	0	0	0	0	0	3
37	8	0	0.607125858	18.6811609	17.5019419	17.0619299	18.6811609	0.448797277	0	0	0	0	0	0	3
38	8	0	0.623534665	18.7792514	17.5573393	17.0657977	18.7792514	0.502613106	0	0	0	0	0	0	3
39	9	0	0.639943472	18.8641085	17.6153494	17.0694453	18.8641085	0.558987678	0	0	0	0	0	0	3
40	9	0	0.656352279	18.9145009	17.6748673	17.0740823	18.9145009	0.616733534	0	0	0	0	0	0	3
41	9	0	0.672761086	18.9772261	17.736259	17.0830938	18.9772261	0.675856178	0	0	0	0	0	0	3
42	9	0	0.689169893	19.0033985	17.7982043	17.0991433	19.0033985	0.734573118	0	0	0	0	0	0	3
43	9	0	0.7055787	19.0275376	17.8604106	17.1224918	19.0275376	0.792251645	0	0	0	0	0	0	3
44	9	0	0.721987506	19.0354326	17.9221184	17.1513866	19.0354326	0.848014582	0	0	0	0	0	0	3
45	10	0	0.738396313	19.0474523	17.9832818	17.1850835	19.0474523	0.901779342	0	0	0	0	0	0	3
46	10	0	0.75480512	19.2386571	18.0495261	17.2315738	19.2386571	0.958644191	0	0	0	0	0	0	3
47	10	0	0.771213927	19.196844	18.1129219	17.2765564	19.2386571	1.01111797	0	0	0	0	0	0	3
48	10	0	0.787622734	19.191505	18.1746944	17.318178	19.2386571	1.06086973	0	0	0	0	0	0	3
49	10	0	0.804031541	19.21543	18.2358961	17.3542491	19.2386571	1.10941749	0	0	0	0	0	0	3
50	11	0	0.820440348	19.2198957	18.2960783	17.3821807	19.2386571	1.15681453	0	0	0	0	0	0	3
51	11	0	0.836849155	19.2223832	18.3554396	17.4094672	19.2386571	1.20330908	0	0	0	0	0	0	3
52	11	0	0.853257962	19.2107975	18.4135471	17.4260927	19.2386571	1.24896368	0	0	0	0	0	0	3
53	11	0	0.869666769	19.3132884	18.4744243	17.435193	19.3132884	1.29807532	0	0	0	0	0	0	3
54	11	0	0.886075576	19.3744065	18.5369796	17.4480221	19.3744065	1.34931088	0	0	0	0	0	0	3
55	12	0	0.902484383	19.3863902	18.5995076	17.4537003	19.3863902	1.40119763	0	0	0	0	0	0	3
56	12	0	0.91889319	19.4921133	18.6652629	17.4614432	19.4921133	1.45683237	0	0	0	0	0	0	3
57	12	0	0.935301997	19.5597856	18.7329513	17.4697885	19.5597856	1.51484091	0	0	0	0	0	0	3
58	12	0	0.951710804	19.5959303	18.8015366	17.4735792	19.5959303	1.57430225	0	0	0	0	0	0	3
59	12	0	0.968119611	19.6090988	18.8704243	17.5094304	19.6090988	1.63345907	0	0	0	0	0	0	3
60	13	0	0.984528418	19.6251903	18.9386746	17.5402702	19.6251903	1.69159923	0	0	0	0	0	0	3
61	13	0	1.00093722	19.6354204	19.0062601	17.6672986	19.6354204	1.74562913	0.0775827541	0	4.4	0	0	0	3
62	13	0	1.01734603	19.64467	19.0700463	17.8707021	19.64467	1.77396787	0.0778602426	0	4.3	0	0	0	3
63	13	0	1.03375484	19.6511094	19.1274788	18.0884311	19.6511094	1.56267829	0.0779568344	0	4.9	0	0	0	3
64	13	0	1.05016365	19.6557186	19.1780364	18.1737157	19.6557186	1.48200287	0.0780125321	0	5.2	0	0	0	3
65	14	0	1.06657245	19.6539953	19.2257874	18.3980484	19.6557186	1.25767013	0.0780217966	0	6.2	0	0	0	3
66	14	0	1.08298126	19.750057	19.2694006	18.578662	19.750057	1.17139497	0.0785681906	0	6.7	0	0	0	3
67	14	0	1.09939007	19.7954543	19.3086519	18.6811609	19.7954543	1.11429335	0.0791411144	0	7.1	0	0	0	3
68	14	0	1.11579887	19.8070662	19.3449714	18.7792514	19.8070662	1.02781487	0.0795835346	0	7.7	0	0	0	3
69	15	0	1.13220768	19.8207957	19.3785697	18.8641085	19.8207957	0.956687215	0.0799531567	0	8.3	0	0	0	3
70	15	0	1.14861649	19.8241282	19.409538	18.9145009	19.8241282	0.909627321	0.0802362923	0	8.8	0	0	0	3
71	15	0	1.16502529	19.8332456	19.439175	18.9772261	19.8332456	0.856019426	0.0804631185	0	9.3	0	0	0	3
72	15	0	1.1814341	19.8303774	19.466696	19.0033985	19.8332456	0.829847087	0.080604932	0	9.7	0	0	0	3
73	15	0	1.19784291	19.8376441	19.4936071	19.0275376	19.8376441	0.810106521	0.080675735	0	9.9	0	0	0	3
74	16	0	1.21425172	19.8372348	19.5197264	19.0354326	19.8376441	0.802211511	0.0806689651	0	10	0	0	0	3
75	16	0	1.23066052	19.8437111	19.5457999	19.0474523	19.8437111	0.7962588	0.0806039552	0	10.1	0	0	0	3
76	16	0	1.24706933	19.8421711	19.571436	19.191505	19.8437111	0.652206145	0.0804546328	0	12.3	0	0	0	3
77	16	0	1.26347814	19.8482653	19.5911007	19.191505	19.8482653	0.656760319	0.0802481724	0	12.2	0	0	0	3
78	16	0	1.27988694	19.839645	19.6118363	19.191505	19.8482653	0.656760319	0.0799925517	0	12.1	0	0	0	3
79	17	0	1.29629575	19.9651332	19.636792	19.2107975	19.9651332	0.754335711	0.0798999945	0	10.5	0	0	0	3
80	17	0	1.31270456	20.0131502	19.6625249	19.2107975	20.0131502	0.802352709	0.079848894	0	9.9	0	0	0	3
81	17	0	1.32911336	20.034131	19.6887906	19.2107975	20.034131	0.823333552	0.0797934451	0	9.6	0	0	0	3
82	17	0	1.34552217	20.1264588	19.7179543	19.2107975	20.1264588	0.915661349	0.0798514231	0	8.7	0	0	0	3
83	18	0	1.36193098	20.1908349	19.7495684	19.3132884	20.1908349	0.877546533	0.0799795064	0	9.1	0	0	0	3
84	18	0	1.37833979	20.2089419	19.7784605	19.3744065	20.2089419	0.83453544	0.0801033363	0	9.5	0	0	0	3
85	18	0	1.39474859	20.2267345	19.8059549	19.3863902	20.2267345	0.840344313	0.0802319901	0	9.5	0	0	0	3
86	18	0	1.4111574	20.2325236	19.8332495	19.4921133	20.2325236	0.740410337	0.080348007	0	10.8	0	0	0	3
87	19	0	1.42756621	20.241741	19.8574311	19.5597856	20.241741	0.68195536	0.0804561057	0	11.7	0	0	0	3
88	19	0	1.44397501	20.2423096	19.879448	19.5959303	20.2423096	0.64637926	0.080552617	0	12.4	0	0	0	3
89	19	0	1.46038382	20.2662083	19.9010699	19.6090988	20.2662083	0.657109467	0.0806294283	0	12.2	0	0	0	3
90	19	0	1.47679263	20.3539774	19.9250982	19.6251903	20.3539774	0.728787111	0.0807598349	0	11	0	0	0	3
91	20	0	1.49320143	20.4139071	19.9505407	19.6354204	20.4139071	0.778486765	0.0808144489	0	10.3	0	0	0	3
92	20	0	1.50961024	20.4257725	19.9760359	19.64467	20.4257725	0.781102569	0.0806801801	0	10.3	0	0	0	3
93	20	0	1.52601905	20.4352519	20.0015386	19.6511094	20.4352519	0.784142448	0.0803590689	0	10.2	0	0	0	3
94	20	0	1.54242785	20.4334319	20.0267748	19.6539953	20.4352519	0.781256569	0.0799798876	0	10.2	0	0	0	3
95	21	0	1.55883666	20.427554	20.0516727	19.6539953	20.4352519	0.781256569	0.0794250704	0	10.1	0	0	0	3
96	21	0	1.57524547	20.4198709	20.0763783	19.750057	20.4352519	0.685194877	0.0787471454	0	11.4	0	0	0	3
97	21	0	1.59165428	20.4204937	20.0980053	19.7954543	20.4352519	0.639797581	0.0780214671	0	12.1	0	0	0	3
98	21	0	1.60806308	20.4001728	20.1175124	19.8070662	20.4352519	0.628185643	0.0775827541	0	12.3	0	0	0	3
99	21	0	1.62447189	20.5117189	20.1402431	19.8207957	20.5117189	0.690923194	0.0775827541	0	11.2	0	0	0	3
100	22	0	1.6408807	20.5685968	20.1643657	19.8241282	20.5685968	0.744468537	0.0775827541	0	10.4	0	0	0	3
101	22	0	1.6572895	20.5714594	20.1884732	19.8303774	20.5714594	0.741081985	0.0775827541	0	10.4	0	0	0	3
102	23	0	1.67369831	20.7043622	20.2165737	19.8303774	20.7043622	0.749877753	0.0775827541	0	10.3	0	0	0	3
103	23	0	1.69010712	20.7147442	20.2451017	19.8372348	20.7147442	0.751494567	0.0775827541	0	10.3	0	0	0	3
104	23	0	1.70651592	20.7041427	20.2730532	19.8372348	20.7147442	0.75332687	0.0775827541	0	10.2	0	0	0	3
105	23	0	1.72292473	20.7068494	20.3011053	19.839645	20.7147442	0.755305453	0.0775827541	0	10.2	0	0	0	3
106	23	0	1.73933354	20.7056558	20.32891	19.839645	20.7147442	0.75747403	0.0775827541	0	10.2	0	0	0	3
107	24	0	1.75574235	20.6996198	20.3565696	19.839645	20.7147442	0.765468887	0.0775827541	0	10.1	0	0	0	3
108	24	0	1.77215115	20.6956211	20.3839037	19.839645	20.7147442	0.772067428	0.0775827541	0	10	0	0	0	3
109	24	0	1.78855996	20.6883051	20.4112798	19.9651332	20.7147442	0.749611061	0.0775827541	0	10.3	0	0	0	3
110	24	0	1.80496877	20.6789253	20.4343054	20.0131502	20.7147442	0.701594063	0.0775827541	0	11	0	0	0	3
111	25	0	1.82137757	20.6526855	20.4549355	20.034131	20.7147442	0.680613219	0.0775827541	0	11.3	0	0	0	3
112	25	0	1.83778638	20.7957932	20.4795053	20.1264588	20.7957932	0.66933442	0.0775827541	0	11.5	0	0	0	3
113	25	0	1.85419519	20.7944262	20.5010526	20.1908349	20.7957932	0.604958348	0.0775827541	0	12.8	0	0	0	3
114	25	0	1.87060399	20.7932449	20.5204852	20.2089419	20.7957932	0.586851351	0.0775827541	0	13.2	0	0	0	3
115	25	0	1.8870128	20.8834664	20.5422441	20.2267345	20.8834664	0.656731862	0.0775827541	0	11.8	0	0	0	3
116	26	0	1.90342161	20.9113649	20.5643289	20.2325236	20.9113649	0.678841239	0.0775827541	0	11.4	0	0	0	3
117	26	0	1.91983041	20.8921464	20.5856071	20.241741	20.9113649	0.669623906	0.0775827541	0	11.5	0	0	0	3
118	26	0	1.93623922	20.9060581	20.6070367	20.2423096	20.9113649	0.669055281	0.0775827541	0	11.5	0	0	0	3
119	26	0	1.95264803	20.8906864	20.627952	20.2662083	20.9113649	0.645156607	0.0775827541	0	12	0	0	0	3
120	27	0	1.96905684	20.8761131	20.6476264	20.3539774	20.9113649	0.557387446	0.0775827541	0	13.9	0	0	0	3
121	27	0	1.98546564	20.9574267	20.6670925	20.4001728	20.9574267	0.557253861	0.0775827541	0	13.9	0	0	0	3
122	27	0	2.00187445	21.0650314	20.6880965	20.4001728	21.0650314	0.664858597	0.0775827541	0	11.6	0	0	0	3
123	27	0	2.01828326	21.0963152	20.7097269	20.4001728	21.0963152	0.696142403	0.0775827541	0	11.1	0	0	0	3
124	27	0	2.03469206	21.0862231	20.730726	20.4001728	21.0963152	0.696142403	0.0775827541	0	11.1	0	0	0	3
125	28	0	2.05110087	21.0652254	20.7511064	20.4001728	21.0963152	0.696142403	0.0775827541	0	11.1	0	0	0	3
126	28	0	2.06750968	21.0519385	20.7712479	20.4001728	21.0963152	0.694869519	0.0775827541	0	11.1	0	0	0	3
127	28	0	2.08391848	21.0313736	20.7909738	20.4001728	21.0963152	0.692968424	0.0775827541	0	11.1	0	0	0	3
128	28	0	2.10032729	21.0158408	20.8101785	20.4001728	21.0963152	0.692666121	0.0775827541	0	11.2	0	0	0	3
129	29	0	2.1167361	20.9922423	20.8292775	20.5117189	21.0963152	0.584596344	0.0775827541	0	13.2	0	0	0	3
130	29	0	2.13314491	20.9888647	20.8446693	20.5685968	21.0963152	0.527718473	0.0775827541	0	14.7	0	0	0	3
131	29	0	2.14955371	20.9640135	20.8574247	20.5714594	21.0963152	0.524855855	0.0775827541	0	14.7	0	0	0	3
132	29	0	2.16596252	20.962635	20.8700433	20.6526855	21.0963152	0.443629781	0.0775827541	0	17.4	0	0	0	3
133	29	0	2.18237133	20.9247337	20.877152	20.6526855	21.0963152	0.443629781	0.0775827541	0	17.4	0	0	0	3
134	30	0	2.19878013	21.0758646	20.8888011	20.6526855	21.0963152	0.443629781	0.0775827541	0	17.4	0	0	0	3
135	30	0	2.21518894	21.0585608	20.9002339	20.6526855	21.0963152	0.443629781	0.0775827541	0	17.4	0	0	0	3
136	30	0	2.23159775	21.1741008	20.9153065	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
137	30	0	2.24800655	21.1687153	20.9302439	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
138	31	0	2.26441536	21.1689293	20.945383	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
139	31	0	2.28082417	21.154293	20.9601788	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
140	31	0	2.29723298	21.1526831	20.9751588	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
141	31	0	2.31364178	21.1412635	20.9900729	20.6526855	21.1741008	0.521415353	0.0775827541	0	14.8	0	0	0	3
142	31	0	2.33005059	21.1473998	21.0060314	20.7932449	21.1741008	0.380855924	0.0775827541	0	20.3	0	0	0	3
143	32	0	2.3464594	21.1336594	21.0169303	20.7932449	21.1741008	0.380855924	0.0775827541	0	20.3	0	0	0	3
144	32	0	2.3628682	21.1349423	21.0279147	20.7932449	21.1741008	0.380855924	0.0775827541	0	20.3	0	0	0	3
145	32	0	2.37927701	21.1258894	21.0386452	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
146	32	0	2.39568582	21.1319734	21.0466615	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
147	33	0	2.41209462	21.1163787	21.0532749	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
148	33	0	2.42850343	21.1215056	21.0606736	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
149	33	0	2.44491224	21.1099922	21.0672521	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
150	33	0	2.46132104	21.1099832	21.0743262	20.8761131	21.1741008	0.297987695	0.0775827541	0	26	0	0	0	3
151	33	0	2.47772985	21.1013629	21.0815923	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
152	34	0	2.49413866	21.1160261	21.0867084	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
153	34	0	2.51054747	21.1164188	21.0883661	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
154	34	0	2.52695627	21.1441036	21.0899076	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
155	34	0	2.54336508	21.133785	21.0914419	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
156	35	0	2.55977389	21.1464472	21.0940619	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
157	35	0	2.57618269	21.1367503	21.0967978	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
158	35	0	2.5925915	21.1495147	21.1006088	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
159	35	0	2.60900031	21.1379735	21.1045486	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
160	35	0	2.62540911	21.1425228	21.1093963	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
161	36	0	2.64181792	21.1384765	21.1142225	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
162	36	0	2.65822673	21.1440361	21.1200297	20.9247337	21.1741008	0.249367121	0.0775827541	0	31.1	0	0	0	3
163	36	0	2.67463554	21.136304	21.1256319	20.9247337	21.1741008	0.248479891	0.0775827541	0	31.2	0	0	0	3
164	36	0	2.69104434	21.1492839	21.1328755	21.0585608	21.1741008	0.115540017	0.0775827541	0	67.1	0	0	0	3
165	36	0	2.70745315	21.1362636	21.1348238	21.0585608	21.1741008	0.115540017	0.0775827541	0	67.1	0	0	0	3
166	37	0	2.72386196	21.1483015	21.1377187	21.1013629	21.1741008	0.0727379422	0.0775827541	0	100	0	0	0	3
