Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	0	0	0	0	0	0	0	0	0	0	0	3
2	2	0	0.0328176139	0	0	0	0	0	0	0	0	0	0	0	3
3	2	0	0.0492264209	0	0	0	0	0	0	0	0	0	0	0	3
4	2	0	0.0656352279	0	0	0	0	0	0	0	0	0	0	0	3
5	2	0	0.0820440348	0	0	0	0	0	0	0	0	0	0	0	3
6	2	0	0.0984528418	0	0	0	0	0	0	0	0	0	0	0	3
7	3	0	0.114861649	0	0	0	0	0	0	0	0	0	0	0	3
8	3	0	0.131270456	0	0	0	0	0	0	0	0	0	0	0	3
9	3	0	0.147679263	0	0	0	0	0	0	0	0	0	0	0	3
10	3	0	0.16408807	0	0	0	0	0	0	0	0	0	0	0	3
11	3	0	0.180496877	0	0	0	0	0	0	0	0	0	0	0	3
12	4	0	0.196905684	0	0	0	0	0	0	0	0	0	0	0	3
13	4	0	0.213314491	0	0	0	0	0	0	0	0	0	0	0	3
14	4	0	0.229723298	0	0	0	0	0	0	0	0	0	0	0	3
15	4	0	0.246132104	0	0	0	0	0	0	0	0	0	0	0	3
16	4	0	0.262540911	0	0	0	0	0	0	0	0	0	0	0	3
17	4	0	0.278949718	0	0	0	0	0	0	0	0	0	0	0	3
18	5	0	0.295358525	0	0	0	0	0	0	0	0	0	0	0	3
19	5	0	0.311767332	0	0	0	0	0	0	0	0	0	0	0	3
20	5	0	0.328176139	0	0	0	0	0	0	0	0	0	0	0	3
21	5	0	0.344584946	0	0	0	0	0	0	0	0	0	0	0	3
22	5	0	0.360993753	0	0	0	0	0	0	0	0	0	0	0	3
23	6	0	0.37740256	0	0	0	0	0	0	0	0	0	0	0	3
24	6	0	0.393811367	0	0	0	0	0	0	0	0	0	0	0	3
25	6	0	0.410220174	0	0	0	0	0	0	0	0	0	0	0	3
26	6	0	0.426628981	0	0	0	0	0	0	0	0	0	0	0	3
27	6	0	0.443037788	0	0	0	0	0	0	0	0	0	0	0	3
28	6	0	0.459446595	0	0	0	0	0	0	0	0	0	0	0	3
29	7	0	0.475855402	0	0	0	0	0	0	0	0	0	0	0	3
30	7	0	0.492264209	0	0	0	0	0	0	0	0	0	0	0	3
31	7	0	0.508673016	0	0	0	0	0	0	0	0	0	0	0	3
32	7	0	0.525081823	0	0	0	0	0	0	0	0	0	0	0	3
33	7	0	0.54149063	0	0	0	0	0	0	0	0	0	0	0	3
34	8	0	0.557899437	0	0	0	0	0	0	0	0	0	0	0	3
35	8	0	0.574308244	0	0	0	0	0	0	0	0	0	0	0	3
36	8	0	0.590717051	0	0	0	0	0	0	0	0	0	0	0	3
37	8	0	0.607125858	0	0	0	0	0	0	0	0	0	0	0	3
38	8	0	0.623534665	0	0	0	0	0	0	0	0	0	0	0	3
39	9	0	0.639943472	0	0	0	0	0	0	0	0	0	0	0	3
40	9	0	0.656352279	0	0	0	0	0	0	0	0	0	0	0	3
41	9	0	0.672761086	0	0	0	0	0	0	0	0	0	0	0	3
42	9	0	0.689169893	0	0	0	0	0	0	0	0	0	0	0	3
43	9	0	0.7055787	0	0	0	0	0	0	0	0	0	0	0	3
44	9	0	0.721987506	0	0	0	0	0	0	0	0	0	0	0	3
45	10	0	0.738396313	0	0	0	0	0	0	0	0	0	0	0	3
46	10	0	0.75480512	0	0	0	0	0	0	0	0	0	0	0	3
47	10	0	0.771213927	0	0	0	0	0	0	0	0	0	0	0	3
48	10	0	0.787622734	0	0	0	0	0	0	0	0	0	0	0	3
49	10	0	0.804031541	0	0	0	0	0	0	0	0	0	0	0	3
50	11	0	0.820440348	0	0	0	0	0	0	0	0	0	0	0	3
51	11	0	0.836849155	0	0	0	0	0	0	0	0	0	0	0	3
52	11	0	0.853257962	0	0	0	0	0	0	0	0	0	0	0	3
53	11	0	0.869666769	0	0	0	0	0	0	0	0	0	0	0	3
54	11	0	0.886075576	0	0	0	0	0	0	0	0	0	0	0	3
55	12	0	0.902484383	0	0	0	0	0	0	0	0	0	0	0	3
56	12	0	0.91889319	0	0	0	0	0	0	0	0	0	0	0	3
57	12	0	0.935301997	0	0	0	0	0	0	0	0	0	0	0	3
58	12	0	0.951710804	0	0	0	0	0	0	0	0	0	0	0	3
59	12	0	0.968119611	0	0	0	0	0	0	0	0	0	0	0	3
60	13	0	0.984528418	0	0	0	0	0	0	0	0	0	0	0	3
61	13	0	1.00093722	0	0	0	0	0	5e-06	0	0	0	0	0	3
62	13	0	1.01734603	0	0	0	0	0	5e-06	0	0	0	0	0	3
63	13	0	1.03375484	0	0	0	0	0	5e-06	0	0	0	0	0	3
64	13	0	1.05016365	0	0	0	0	0	5e-06	0	0	0	0	0	3
65	14	0	1.06657245	0	0	0	0	0	5e-06	0	0	0	0	0	3
66	14	0	1.08298126	0	0	0	0	0	5e-06	0	0	0	0	0	3
67	14	0	1.09939007	0	0	0	0	0	5e-06	0	0	0	0	0	3
68	14	0	1.11579887	0	0	0	0	0	5e-06	0	0	0	0	0	3
69	15	0	1.13220768	0	0	0	0	0	5e-06	0	0	0	0	0	3
70	15	0	1.14861649	0	0	0	0	0	5e-06	0	0	0	0	0	3
71	15	0	1.16502529	0	0	0	0	0	5e-06	0	0	0	0	0	3
72	15	0	1.1814341	0	0	0	0	0	5e-06	0	0	0	0	0	3
73	15	0	1.19784291	0	0	0	0	0	5e-06	0	0	0	0	0	3
74	16	0	1.21425172	0	0	0	0	0	5e-06	0	0	0	0	0	3
75	16	0	1.23066052	0	0	0	0	0	5e-06	0	0	0	0	0	3
76	16	0	1.24706933	0	0	0	0	0	5e-06	0	0	0	0	0	3
77	16	0	1.26347814	0	0	0	0	0	5e-06	0	0	0	0	0	3
78	16	0	1.27988694	0	0	0	0	0	5e-06	0	0	0	0	0	3
79	17	0	1.29629575	0	0	0	0	0	5e-06	0	0	0	0	0	3
80	17	0	1.31270456	0	0	0	0	0	5e-06	0	0	0	0	0	3
81	17	0	1.32911336	0	0	0	0	0	5e-06	0	0	0	0	0	3
82	17	0	1.34552217	0	0	0	0	0	5e-06	0	0	0	0	0	3
83	18	0	1.36193098	0	0	0	0	0	5e-06	0	0	0	0	0	3
84	18	0	1.37833979	0	0	0	0	0	5e-06	0	0	0	0	0	3
85	18	0	1.39474859	0	0	0	0	0	5e-06	0	0	0	0	0	3
86	18	0	1.4111574	0	0	0	0	0	5e-06	0	0	0	0	0	3
87	19	0	1.42756621	0	0	0	0	0	5e-06	0	0	0	0	0	3
88	19	0	1.44397501	0	0	0	0	0	5e-06	0	0	0	0	0	3
89	19	0	1.46038382	0	0	0	0	0	5e-06	0	0	0	0	0	3
90	19	0	1.47679263	0	0	0	0	0	5e-06	0	0	0	0	0	3
91	20	0	1.49320143	0	0	0	0	0	5e-06	0	0	0	0	0	3
92	20	0	1.50961024	0	0	0	0	0	5e-06	0	0	0	0	0	3
93	20	0	1.52601905	0	0	0	0	0	5e-06	0	0	0	0	0	3
94	20	0	1.54242785	0	0	0	0	0	5e-06	0	0	0	0	0	3
95	21	0	1.55883666	0	0	0	0	0	5e-06	0	0	0	0	0	3
96	21	0	1.57524547	0	0	0	0	0	5e-06	0	0	0	0	0	3
97	21	0	1.59165428	0	0	0	0	0	5e-06	0	0	0	0	0	3
98	21	0	1.60806308	0	0	0	0	0	5e-06	0	0	0	0	0	3
99	21	0	1.62447189	0	0	0	0	0	5e-06	0	0	0	0	0	3
100	22	0	1.6408807	0	0	0	0	0	5e-06	0	0	0	0	0	3
101	22	0	1.6572895	0	0	0	0	0	5e-06	0	0	0	0	0	3
102	23	0	1.67369831	0	0	0	0	0	5e-06	0	0	0	0	0	3
103	23	0	1.69010712	0	0	0	0	0	5e-06	0	0	0	0	0	3
104	23	0	1.70651592	0	0	0	0	0	5e-06	0	0	0	0	0	3
105	23	0	1.72292473	0	0	0	0	0	5e-06	0	0	0	0	0	3
106	23	0	1.73933354	0	0	0	0	0	5e-06	0	0	0	0	0	3
107	24	0	1.75574235	0	0	0	0	0	5e-06	0	0	0	0	0	3
108	24	0	1.77215115	0	0	0	0	0	5e-06	0	0	0	0	0	3
109	24	0	1.78855996	0	0	0	0	0	5e-06	0	0	0	0	0	3
110	24	0	1.80496877	0	0	0	0	0	5e-06	0	0	0	0	0	3
111	25	0	1.82137757	0	0	0	0	0	5e-06	0	0	0	0	0	3
112	25	0	1.83778638	0	0	0	0	0	5e-06	0	0	0	0	0	3
113	25	0	1.85419519	0	0	0	0	0	5e-06	0	0	0	0	0	3
114	25	0	1.87060399	0	0	0	0	0	5e-06	0	0	0	0	0	3
115	25	0	1.8870128	0	0	0	0	0	5e-06	0	0	0	0	0	3
116	26	0	1.90342161	0	0	0	0	0	5e-06	0	0	0	0	0	3
117	26	0	1.91983041	0	0	0	0	0	5e-06	0	0	0	0	0	3
118	26	0	1.93623922	0	0	0	0	0	5e-06	0	0	0	0	0	3
119	26	0	1.95264803	0	0	0	0	0	5e-06	0	0	0	0	0	3
120	27	0	1.96905684	0	0	0	0	0	5e-06	0	0	0	0	0	3
121	27	0	1.98546564	0	0	0	0	0	5e-06	0	0	0	0	0	3
122	27	0	2.00187445	0	0	0	0	0	5e-06	0	0	0	0	0	3
123	27	0	2.01828326	0	0	0	0	0	5e-06	0	0	0	0	0	3
124	27	0	2.03469206	0	0	0	0	0	5e-06	0	0	0	0	0	3
125	28	0	2.05110087	0	0	0	0	0	5e-06	0	0	0	0	0	3
126	28	0	2.06750968	0	0	0	0	0	5e-06	0	0	0	0	0	3
127	28	0	2.08391848	0	0	0	0	0	5e-06	0	0	0	0	0	3
128	28	0	2.10032729	0	0	0	0	0	5e-06	0	0	0	0	0	3
129	29	0	2.1167361	0	0	0	0	0	5e-06	0	0	0	0	0	3
130	29	0	2.13314491	0	0	0	0	0	5e-06	0	0	0	0	0	3
131	29	0	2.14955371	0	0	0	0	0	5e-06	0	0	0	0	0	3
132	29	0	2.16596252	0	0	0	0	0	5e-06	0	0	0	0	0	3
133	29	0	2.18237133	0	0	0	0	0	5e-06	0	0	0	0	0	3
134	30	0	2.19878013	0	0	0	0	0	5e-06	0	0	0	0	0	3
135	30	0	2.21518894	0	0	0	0	0	5e-06	0	0	0	0	0	3
136	30	0	2.23159775	0	0	0	0	0	5e-06	0	0	0	0	0	3
137	30	0	2.24800655	0	0	0	0	0	5e-06	0	0	0	0	0	3
138	31	0	2.26441536	0	0	0	0	0	5e-06	0	0	0	0	0	3
139	31	0	2.28082417	0	0	0	0	0	5e-06	0	0	0	0	0	3
140	31	0	2.29723298	0	0	0	0	0	5e-06	0	0	0	0	0	3
141	31	0	2.31364178	0	0	0	0	0	5e-06	0	0	0	0	0	3
142	31	0	2.33005059	0	0	0	0	0	5e-06	0	0	0	0	0	3
143	32	0	2.3464594	0	0	0	0	0	5e-06	0	0	0	0	0	3
144	32	0	2.3628682	0	0	0	0	0	5e-06	0	0	0	0	0	3
145	32	0	2.37927701	0	0	0	0	0	5e-06	0	0	0	0	0	3
146	32	0	2.39568582	0	0	0	0	0	5e-06	0	0	0	0	0	3
147	33	0	2.41209462	0	0	0	0	0	5e-06	0	0	0	0	0	3
148	33	0	2.42850343	0	0	0	0	0	5e-06	0	0	0	0	0	3
149	33	0	2.44491224	0	0	0	0	0	5e-06	0	0	0	0	0	3
150	33	0	2.46132104	0	0	0	0	0	5e-06	0	0	0	0	0	3
151	33	0	2.47772985	0	0	0	0	0	5e-06	0	0	0	0	0	3
152	34	0	2.49413866	0	0	0	0	0	5e-06	0	0	0	0	0	3
153	34	0	2.51054747	0	0	0	0	0	5e-06	0	0	0	0	0	3
154	34	0	2.52695627	0	0	0	0	0	5e-06	0	0	0	0	0	3
155	34	0	2.54336508	0	0	0	0	0	5e-06	0	0	0	0	0	3
156	35	0	2.55977389	0	0	0	0	0	5e-06	0	0	0	0	0	3
157	35	0	2.57618269	0	0	0	0	0	5e-06	0	0	0	0	0	3
158	35	0	2.5925915	0	0	0	0	0	5e-06	0	0	0	0	0	3
159	35	0	2.60900031	0	0	0	0	0	5e-06	0	0	0	0	0	3
160	35	0	2.62540911	0	0	0	0	0	5e-06	0	0	0	0	0	3
161	36	0	2.64181792	0	0	0	0	0	5e-06	0	0	0	0	0	3
162	36	0	2.65822673	0	0	0	0	0	5e-06	0	0	0	0	0	3
163	36	0	2.67463554	0	0	0	0	0	5e-06	0	0	0	0	0	3
164	36	0	2.69104434	0	0	0	0	0	5e-06	0	0	0	0	0	3
165	36	0	2.70745315	0	0	0	0	0	5e-06	0	0	0	0	0	3
166	37	0	2.72386196	0	0	0	0	0	5e-06	0	0	0	0	0	3
