Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	1.5436322e-05	1.5436322e-05	1.5436322e-05	1.5436322e-05	0	0	0	0	0	0	0	3
2	2	0	0.0328176139	1.00601799e-06	8.22116999e-06	1.00601799e-06	1.5436322e-05	7.21515199e-06	0	0	0	0	0	0	3
3	2	0	0.0492264209	-1.06462738e-06	5.1259042e-06	-1.06462738e-06	1.5436322e-05	1.03104178e-05	0	0	0	0	0	0	3
4	2	0	0.0656352279	-5.10689343e-07	3.71675581e-06	-1.06462738e-06	1.5436322e-05	1.17195662e-05	0	0	0	0	0	0	3
5	2	0	0.0820440348	-1.11363365e-07	2.95113198e-06	-1.06462738e-06	1.5436322e-05	1.248519e-05	0	0	0	0	0	0	3
6	2	0	0.0984528418	1.14285376e-07	2.47832421e-06	-1.06462738e-06	1.5436322e-05	1.29579978e-05	0	0	0	0	0	0	3
7	3	0	0.114861649	-2.00246361e-07	2.09567127e-06	-1.06462738e-06	1.5436322e-05	1.33406507e-05	0	0	0	0	0	0	3
8	3	0	0.131270456	7.82960253e-07	1.93158239e-06	-1.06462738e-06	1.5436322e-05	1.35047396e-05	0	0	0	0	0	0	3
9	3	0	0.147679263	4.72589791e-07	1.7694721e-06	-1.06462738e-06	1.5436322e-05	1.36668499e-05	0	0	0	0	0	0	3
10	3	0	0.16408807	8.21708753e-07	1.67469577e-06	-1.06462738e-06	1.5436322e-05	1.37616262e-05	0	0	0	0	0	0	3
11	3	0	0.180496877	4.89925288e-07	1.56698936e-06	-1.06462738e-06	1.5436322e-05	1.38693326e-05	0	0	0	0	0	0	3
12	4	0	0.196905684	5.99007533e-07	1.48632421e-06	-1.06462738e-06	1.5436322e-05	1.39499978e-05	0	0	0	0	0	0	3
13	4	0	0.213314491	8.957232e-07	1.44089336e-06	-1.06462738e-06	1.5436322e-05	1.39954286e-05	0	0	0	0	0	0	3
14	4	0	0.229723298	5.49167959e-07	1.37719869e-06	-1.06462738e-06	1.5436322e-05	1.40591233e-05	0	0	0	0	0	0	3
15	4	0	0.246132104	1.13221903e-06	1.36086671e-06	-1.06462738e-06	1.5436322e-05	1.40754553e-05	0	0	0	0	0	0	3
16	4	0	0.262540911	8.5923082e-07	1.32951447e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
17	4	0	0.278949718	2.11769508e-06	1.37587804e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
18	5	0	0.295358525	1.24737104e-06	1.36873876e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
19	5	0	0.311767332	2.05196019e-06	1.40469778e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
20	5	0	0.328176139	1.19336745e-06	1.39413126e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
21	5	0	0.344584946	9.47823977e-07	1.37287854e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
22	5	0	0.360993753	1.40561077e-06	1.37436636e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
23	6	0	0.37740256	1.53382742e-06	1.38129945e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
24	6	0	0.393811367	1.66738544e-06	1.3932197e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
25	6	0	0.410220174	2.55655834e-06	1.43975325e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
26	6	0	0.426628981	2.34054485e-06	1.47439908e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
27	6	0	0.443037788	2.2664659e-06	1.50373489e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
28	6	0	0.459446595	3.7635098e-06	1.58444113e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
29	7	0	0.475855402	3.0311683e-06	1.63432828e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
30	7	0	0.492264209	1.73860729e-06	1.63780425e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
31	7	0	0.508673016	2.24353839e-06	1.65734406e-06	-1.06462738e-06	1.5436322e-05	1.41068075e-05	0	0	0	0	0	0	3
32	7	0	0.525081823	2.72734896e-06	1.24737718e-06	-1.06462738e-06	3.7635098e-06	4.82813718e-06	0	0	0	0	0	0	3
33	7	0	0.54149063	5.56478618e-06	1.39443422e-06	-1.06462738e-06	5.56478618e-06	3.87852701e-06	0	0	0	0	0	0	3
34	8	0	0.557899437	3.5496779e-06	1.54328278e-06	-5.10689343e-07	5.56478618e-06	2.46937863e-06	0	0	0	0	0	0	3
35	8	0	0.574308244	4.79831564e-06	1.71454101e-06	-2.00246361e-07	5.56478618e-06	1.70375479e-06	0	0	0	0	0	0	3
36	8	0	0.590717051	4.92955429e-06	1.87715125e-06	-2.00246361e-07	5.56478618e-06	1.23094703e-06	0	0	0	0	0	0	3
37	8	0	0.607125858	7.1053103e-06	2.10266819e-06	-2.00246361e-07	7.1053103e-06	8.55291001e-07	0	0	0	0	0	0	3
38	8	0	0.623534665	4.07386999e-06	2.24054291e-06	4.72589791e-07	7.1053103e-06	9.93165722e-07	0	0	0	0	0	0	3
39	9	0	0.639943472	3.99271151e-06	2.34408327e-06	4.72589791e-07	7.1053103e-06	1.09670608e-06	0	0	0	0	0	0	3
40	9	0	0.656352279	7.51788367e-06	2.57135081e-06	4.89925288e-07	7.51788367e-06	1.32397363e-06	0	0	0	0	0	0	3
41	9	0	0.672761086	5.94071481e-06	2.73648004e-06	4.89925288e-07	7.51788367e-06	1.48910286e-06	0	0	0	0	0	0	3
42	9	0	0.689169893	7.68838687e-06	2.96868848e-06	5.49167959e-07	7.68838687e-06	1.7213113e-06	0	0	0	0	0	0	3
43	9	0	0.7055787	6.63113824e-06	3.16327334e-06	5.49167959e-07	7.68838687e-06	1.91589616e-06	0	0	0	0	0	0	3
44	9	0	0.721987506	5.14596652e-06	3.30037796e-06	5.49167959e-07	7.68838687e-06	2.05300078e-06	0	0	0	0	0	0	3
45	10	0	0.738396313	3.65397826e-06	3.40053314e-06	8.5923082e-07	7.68838687e-06	2.15315595e-06	0	0	0	0	0	0	3
46	10	0	0.75480512	1.72924074e-06	3.4197919e-06	8.5923082e-07	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
47	10	0	0.771213927	-5.34257157e-06	3.21973376e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
48	10	0	0.787622734	-3.18147384e-07	3.1411582e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
49	10	0	0.804031541	-4.87890342e-07	3.08518202e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
50	11	0	0.820440348	-1.17471912e-06	2.98109559e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
51	11	0	0.836849155	-1.44056318e-06	2.89613009e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
52	11	0	0.853257962	-3.25021201e-06	2.76070957e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
53	11	0	0.869666769	-5.30609774e-06	2.54420285e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
54	11	0	0.886075576	-4.86745756e-06	2.33770978e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
55	12	0	0.902484383	-1.81117415e-06	2.22549818e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
56	12	0	0.91889319	2.30317576e-06	2.21732455e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
57	12	0	0.935301997	4.36860563e-06	2.28274587e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
58	12	0	0.951710804	6.55182297e-06	2.42098319e-06	-5.34257157e-06	7.68838687e-06	2.17241472e-06	0	0	0	0	0	0	3
59	12	0	0.968119611	7.99711893e-06	2.55755123e-06	-5.34257157e-06	7.99711893e-06	2.17241472e-06	0	0	0	0	0	0	3
60	13	0	0.984528418	7.71116155e-06	2.70851875e-06	-5.34257157e-06	7.99711893e-06	2.17241472e-06	0	0	0	0	0	0	3
61	13	0	1.00093722	5.06041468e-06	2.81567383e-06	-5.34257157e-06	7.99711893e-06	2.17241472e-06	0.0106221698	0	0	0	0	0	3
62	13	0	1.01734603	4.72277635e-06	2.89564925e-06	-5.34257157e-06	7.99711893e-06	2.17241472e-06	0.0106245453	0	0	0	0	0	3
63	13	0	1.03375484	-2.09089205e-07	2.80092544e-06	-5.34257157e-06	7.99711893e-06	2.02535768e-06	0.0106258091	0	0	0	0	0	3
64	13	0	1.05016365	-3.39179757e-07	2.61047492e-06	-5.34257157e-06	7.99711893e-06	1.87650912e-06	0.0106268698	0	0	0	0	0	3
65	14	0	1.06657245	-1.68947226e-06	2.44147008e-06	-5.34257157e-06	7.99711893e-06	1.7052509e-06	0.0106260715	0	0	0	0	0	3
66	14	0	1.08298126	-1.07099466e-06	2.25213749e-06	-5.34257157e-06	7.99711893e-06	1.54264065e-06	0.0105719186	0	0	0	0	0	3
67	14	0	1.09939007	-6.54098202e-07	2.07201967e-06	-5.34257157e-06	7.99711893e-06	1.34777224e-06	0.010601294	0	0	0	0	0	3
68	14	0	1.11579887	5.6686911e-06	2.02567711e-06	-5.34257157e-06	7.99711893e-06	1.39411479e-06	0.0106151609	0	0	0	0	0	3
69	15	0	1.13220768	3.8441231e-06	2.01826592e-06	-5.34257157e-06	7.99711893e-06	1.40152598e-06	0.0106189573	0	0	0	0	0	3
70	15	0	1.14861649	7.0817725e-06	2.11791305e-06	-5.34257157e-06	7.99711893e-06	1.40152598e-06	0.0106223132	0	0	0	0	0	3
71	15	0	1.16502529	4.97365635e-06	2.0358412e-06	-5.34257157e-06	7.99711893e-06	1.40152598e-06	0.010622825	0	0	0	0	0	3
72	15	0	1.1814341	2.1851314e-06	1.91469335e-06	-5.34257157e-06	7.99711893e-06	1.50509855e-06	0.010626027	0	0	0	0	0	3
73	15	0	1.19784291	8.69278059e-07	1.6947221e-06	-5.34257157e-06	7.99711893e-06	1.7250698e-06	0.0106257517	0	0	0	0	0	3
74	16	0	1.21425172	6.92256018e-07	1.50314525e-06	-5.34257157e-06	7.99711893e-06	1.91664665e-06	0.0106280259	0	0	0	0	0	3
75	16	0	1.23066052	1.13339794e-06	1.37370755e-06	-5.34257157e-06	7.99711893e-06	2.04608435e-06	0.010626796	0	0	0	0	0	3
76	16	0	1.24706933	8.21710076e-07	1.28234406e-06	-5.34257157e-06	7.99711893e-06	2.13744784e-06	0.0106275987	0	0	0	0	0	3
77	16	0	1.26347814	1.56657405e-06	1.27709675e-06	-5.34257157e-06	7.99711893e-06	1.94263701e-06	0.0106263952	0	0	0	0	0	3
78	16	0	1.27988694	5.31700511e-08	1.45115293e-06	-5.30609774e-06	7.99711893e-06	1.86406144e-06	0.0106274466	0	0	0	0	0	3
79	17	0	1.29629575	-5.51703541e-07	1.44361886e-06	-5.30609774e-06	7.99711893e-06	1.80808527e-06	0.0105632775	0	0	0	0	0	3
80	17	0	1.31270456	-2.53514878e-06	1.37757827e-06	-5.30609774e-06	7.99711893e-06	1.70399884e-06	0.0106040166	0	0	0	0	0	3
81	17	0	1.32911336	2.25618914e-06	1.48825273e-06	-5.30609774e-06	7.99711893e-06	1.61903334e-06	0.0106197107	0	0	0	0	0	3
82	17	0	1.34552217	3.16001865e-06	1.63665859e-06	-5.30609774e-06	7.99711893e-06	1.6185525e-06	0.0105674435	0	0	0	0	0	3
83	18	0	1.36193098	4.72859661e-06	1.89403952e-06	-5.30609774e-06	7.99711893e-06	1.6185525e-06	0.0105931625	0	0	0	0	0	3
84	18	0	1.37833979	5.35280266e-06	2.23787501e-06	-4.86745756e-06	7.99711893e-06	1.6185525e-06	0.0106130726	0	0	0	0	0	3
