Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	532224.519	532224.519	532224.519	532224.519	0	0	0	0	3.0584e+06	0	0	3
2	2	0	0.0328176139	112210.174	322217.346	112210.174	532224.519	210007.172	0	0	0	3.15695e+06	0	0	3
3	2	0	0.0492264209	23771.6455	222735.446	23771.6455	532224.519	309489.073	0	0	0	2.8199e+06	0	0	3
4	2	0	0.0656352279	-16774.3086	162858.007	-16774.3086	532224.519	369366.511	0	0	0	2.11888e+06	0	0	3
5	2	0	0.0820440348	-18332.3616	126619.934	-18332.3616	532224.519	405604.585	0	0	0	1.35082e+06	0	0	3
6	2	0	0.0984528418	-23909.8483	101531.637	-23909.8483	532224.519	430692.882	0	0	0	1.14562e+06	0	0	3
7	3	0	0.114861649	-22078.787	83873.0046	-23909.8483	532224.519	448351.514	0	0	0	965436	0	0	3
8	3	0	0.131270456	-17659.331	71181.4627	-23909.8483	532224.519	461043.056	0	0	0	766804	0	0	3
9	3	0	0.147679263	-14257.8134	61688.2098	-23909.8483	532224.519	470536.309	0	0	0	700133	0	0	3
10	3	0	0.16408807	-9968.04488	54522.5843	-23909.8483	532224.519	477701.934	0	0	0	665716	0	0	3
11	3	0	0.180496877	-5115.62338	49100.9291	-23909.8483	532224.519	483123.59	0	0	0	651437	0	0	3
12	4	0	0.196905684	-413.826081	44974.6995	-23909.8483	532224.519	487249.819	0	0	0	647715	0	0	3
13	4	0	0.213314491	1958.70189	41665.7766	-23909.8483	532224.519	490558.742	0	0	0	647675	0	0	3
14	4	0	0.229723298	4081.08919	38981.1561	-23909.8483	532224.519	493243.363	0	0	0	644876	0	0	3
15	4	0	0.246132104	5368.18511	36740.2913	-23909.8483	532224.519	495484.227	0	0	0	629991	0	0	3
16	4	0	0.262540911	6040.81579	34821.5741	-23909.8483	532224.519	497402.945	0	0	0	624598	0	0	3
17	4	0	0.278949718	7826.51759	33233.6296	-23909.8483	532224.519	498990.889	0	0	0	609650	0	0	3
18	5	0	0.295358525	8301.10583	31848.4894	-23909.8483	532224.519	500376.029	0	0	0	600932	0	0	3
19	5	0	0.311767332	8598.19124	30624.7895	-23909.8483	532224.519	501599.729	0	0	0	595215	0	0	3
20	5	0	0.328176139	8743.21718	29530.7109	-23909.8483	532224.519	502693.808	0	0	0	593892	0	0	3
21	5	0	0.344584946	9596.37805	28581.4569	-23909.8483	532224.519	503643.062	0	0	0	588631	0	0	3
22	5	0	0.360993753	10238.4649	27747.6846	-23909.8483	532224.519	504476.834	0	0	0	590483	0	0	3
23	6	0	0.37740256	10793.8465	27010.5612	-23909.8483	532224.519	505213.958	0	0	0	587190	0	0	3
24	6	0	0.393811367	10881.0963	26338.5001	-23909.8483	532224.519	505886.019	0	0	0	589919	0	0	3
25	6	0	0.410220174	10909.0709	25721.323	-23909.8483	532224.519	506503.196	0	0	0	586067	0	0	3
26	6	0	0.426628981	11475.5363	25173.4081	-23909.8483	532224.519	507051.111	0	0	0	588345	0	0	3
27	6	0	0.443037788	12320.0103	24697.3563	-23909.8483	532224.519	507527.162	0	0	0	584759	0	0	3
28	6	0	0.459446595	12774.3986	24271.5364	-23909.8483	532224.519	507952.982	0	0	0	585988	0	0	3
29	7	0	0.475855402	12979.2137	23882.146	-23909.8483	532224.519	508342.373	0	0	0	581140	0	0	3
30	7	0	0.492264209	13552.5291	23537.8254	-23909.8483	532224.519	508686.693	0	0	0	580672	0	0	3
31	7	0	0.508673016	14459.8054	23244.9861	-23909.8483	532224.519	508979.533	0	0	0	575968	0	0	3
32	7	0	0.525081823	16530.5769	6609.69761	-23909.8483	112210.174	136120.022	0	0	0	571985	0	0	3
