Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.016408807	90.3716369	90.3716369	90.3716369	90.3716369	0	0	0	0	0.0750615	0	0	3
2	2	0	0.0328176139	90.3716699	90.3716534	90.3716369	90.3716699	1.65170542e-05	0	0	0	0.120103	0	0	3
3	2	0	0.0492264209	90.3717177	90.3716748	90.3716369	90.3717177	3.79543162e-05	0	0	0	0.17133	0	0	3
4	2	0	0.0656352279	90.371789	90.3717034	90.3716369	90.371789	6.6506908e-05	0	0	0	0.211367	0	0	3
5	2	0	0.0820440348	90.3718536	90.3717334	90.3716369	90.3718536	9.6547481e-05	0	0	0	0.234681	0	0	3
6	2	0	0.0984528418	90.3719761	90.3717739	90.3716369	90.3719761	0.00013700546	0	0	0	0.254225	0	0	3
7	3	0	0.114861649	90.3721335	90.3718252	90.3716369	90.3721335	0.000188379233	0	0	0	0.271295	0	0	3
8	3	0	0.131270456	90.3722944	90.3718839	90.3716369	90.3722944	0.000247024264	0	0	0	0.289163	0	0	3
9	3	0	0.147679263	90.3724532	90.3719471	90.3716369	90.3724532	0.000310283365	0	0	0	0.298574	0	0	3
10	3	0	0.16408807	90.3726043	90.3720129	90.3716369	90.3726043	0.000376002005	0	0	0	0.305474	0	0	3
11	3	0	0.180496877	90.3728271	90.3720869	90.3716369	90.3728271	0.000450024311	0	0	0	0.315706	0	0	3
12	4	0	0.196905684	90.3716441	90.37205	90.3716369	90.3728271	0.000450024311	0	0	0	0.333662	0	0	3
13	4	0	0.213314491	90.3711529	90.371981	90.3711529	90.3728271	0.000450024311	0	0	0	0.368218	0	0	3
14	4	0	0.229723298	90.3707239	90.3718912	90.3707239	90.3728271	0.000450024311	0	0	0	0.394591	0	0	3
15	4	0	0.246132104	90.3705363	90.3718009	90.3705363	90.3728271	0.000450024311	0	0	0	0.408448	0	0	3
16	4	0	0.262540911	90.3706099	90.3717264	90.3705363	90.3728271	0.000450024311	0	0	0	0.419883	0	0	3
17	4	0	0.278949718	90.3703133	90.3716433	90.3703133	90.3728271	0.000450024311	0	0	0	0.417236	0	0	3
18	5	0	0.295358525	90.3703838	90.3715733	90.3703133	90.3728271	0.000513556533	0	0	0	0.40754	0	0	3
19	5	0	0.311767332	90.370484	90.371516	90.3703133	90.3728271	0.000570891306	0	0	0	0.395118	0	0	3
20	5	0	0.328176139	90.3706142	90.3714709	90.3703133	90.3728271	0.000615980203	0	0	0	0.387607	0	0	3
21	5	0	0.344584946	90.3706061	90.3714297	90.3703133	90.3728271	0.000657163062	0	0	0	0.382132	0	0	3
22	5	0	0.360993753	90.3706589	90.3713947	90.3703133	90.3728271	0.000692199469	0	0	0	0.376309	0	0	3
23	6	0	0.37740256	90.3707378	90.3713661	90.3703133	90.3728271	0.000720760679	0	0	0	0.368085	0	0	3
24	6	0	0.393811367	90.3709591	90.3713492	90.3703133	90.3728271	0.000737720796	0	0	0	0.360881	0	0	3
25	6	0	0.410220174	90.3711985	90.3713431	90.3703133	90.3728271	0.000743747972	0	0	0	0.35326	0	0	3
26	6	0	0.426628981	90.3714046	90.3713455	90.3703133	90.3728271	0.000743747972	0	0	0	0.34657	0	0	3
27	6	0	0.443037788	90.3715294	90.3713523	90.3703133	90.3728271	0.000743747972	0	0	0	0.348288	0	0	3
28	6	0	0.459446595	90.3717766	90.3713675	90.3703133	90.3728271	0.000743747972	0	0	0	0.350102	0	0	3
29	7	0	0.475855402	90.3720967	90.3713926	90.3703133	90.3728271	0.000743747972	0	0	0	0.35155	0	0	3
30	7	0	0.492264209	90.3723056	90.371423	90.3703133	90.3728271	0.000743747972	0	0	0	0.350445	0	0	3
31	7	0	0.508673016	90.3726074	90.3714612	90.3703133	90.3728271	0.000743747972	0	0	0	0.348248	0	0	3
32	7	0	0.525081823	90.3725611	90.3714911	90.3703133	90.3728271	0.000743747972	0	0	0	0.339014	0	0	3
33	7	0	0.54149063	90.3722911	90.3715111	90.3703133	90.3728271	0.000743747972	0	0	0	0.329347	0	0	3
