Iteration	CPUTime	PhysTime	Travels
1	1	0	0.016408807
2	2	0	0.0328176139
3	2	0	0.0492264209
4	2	0	0.0656352279
5	2	0	0.0820440348
6	2	0	0.0984528418
7	3	0	0.114861649
8	3	0	0.131270456
9	3	0	0.147679263
10	3	0	0.16408807
11	3	0	0.180496877
12	4	0	0.196905684
13	4	0	0.213314491
14	4	0	0.229723298
15	4	0	0.246132104
16	4	0	0.262540911
17	4	0	0.278949718
18	5	0	0.295358525
19	5	0	0.311767332
20	5	0	0.328176139
21	5	0	0.344584946
22	5	0	0.360993753
23	6	0	0.37740256
24	6	0	0.393811367
25	6	0	0.410220174
26	6	0	0.426628981
27	6	0	0.443037788
28	6	0	0.459446595
29	7	0	0.475855402
30	7	0	0.492264209
31	7	0	0.508673016
32	7	0	0.525081823
33	7	0	0.54149063
34	8	0	0.557899437
35	8	0	0.574308244
36	8	0	0.590717051
37	8	0	0.607125858
38	8	0	0.623534665
39	9	0	0.639943472
40	9	0	0.656352279
41	9	0	0.672761086
42	9	0	0.689169893
43	9	0	0.7055787
44	9	0	0.721987506
45	10	0	0.738396313
46	10	0	0.75480512
47	10	0	0.771213927
48	10	0	0.787622734
49	10	0	0.804031541
50	11	0	0.820440348
51	11	0	0.836849155
52	11	0	0.853257962
53	11	0	0.869666769
54	11	0	0.886075576
55	12	0	0.902484383
56	12	0	0.91889319
57	12	0	0.935301997
58	12	0	0.951710804
59	12	0	0.968119611
60	13	0	0.984528418
61	13	0	1.00093722
62	13	0	1.01734603
63	13	0	1.03375484
64	13	0	1.05016365
65	14	0	1.06657245
66	14	0	1.08298126
67	14	0	1.09939007
68	14	0	1.11579887
69	15	0	1.13220768
70	15	0	1.14861649
71	15	0	1.16502529
72	15	0	1.1814341
73	15	0	1.19784291
74	16	0	1.21425172
75	16	0	1.23066052
76	16	0	1.24706933
77	16	0	1.26347814
78	16	0	1.27988694
79	17	0	1.29629575
80	17	0	1.31270456
81	17	0	1.32911336
82	17	0	1.34552217
83	18	0	1.36193098
84	18	0	1.37833979
85	18	0	1.39474859
86	18	0	1.4111574
87	19	0	1.42756621
88	19	0	1.44397501
89	19	0	1.46038382
90	19	0	1.47679263
91	20	0	1.49320143
92	20	0	1.50961024
93	20	0	1.52601905
94	20	0	1.54242785
95	21	0	1.55883666
96	21	0	1.57524547
97	21	0	1.59165428
98	21	0	1.60806308
99	21	0	1.62447189
100	22	0	1.6408807
101	22	0	1.6572895
102	23	0	1.67369831
103	23	0	1.69010712
104	23	0	1.70651592
105	23	0	1.72292473
106	23	0	1.73933354
107	24	0	1.75574235
108	24	0	1.77215115
109	24	0	1.78855996
110	24	0	1.80496877
111	25	0	1.82137757
112	25	0	1.83778638
113	25	0	1.85419519
114	25	0	1.87060399
115	25	0	1.8870128
116	26	0	1.90342161
117	26	0	1.91983041
118	26	0	1.93623922
119	26	0	1.95264803
120	27	0	1.96905684
121	27	0	1.98546564
122	27	0	2.00187445
123	27	0	2.01828326
124	27	0	2.03469206
125	28	0	2.05110087
126	28	0	2.06750968
127	28	0	2.08391848
128	28	0	2.10032729
129	29	0	2.1167361
130	29	0	2.13314491
131	29	0	2.14955371
132	29	0	2.16596252
133	29	0	2.18237133
134	30	0	2.19878013
135	30	0	2.21518894
136	30	0	2.23159775
137	30	0	2.24800655
138	31	0	2.26441536
139	31	0	2.28082417
140	31	0	2.29723298
141	31	0	2.31364178
142	31	0	2.33005059
143	32	0	2.3464594
144	32	0	2.3628682
145	32	0	2.37927701
146	32	0	2.39568582
147	33	0	2.41209462
148	33	0	2.42850343
149	33	0	2.44491224
150	33	0	2.46132104
151	33	0	2.47772985
152	34	0	2.49413866
153	34	0	2.51054747
154	34	0	2.52695627
155	34	0	2.54336508
156	35	0	2.55977389
157	35	0	2.57618269
158	35	0	2.5925915
159	35	0	2.60900031
160	35	0	2.62540911
161	36	0	2.64181792
162	36	0	2.65822673
163	36	0	2.67463554
164	36	0	2.69104434
165	36	0	2.70745315
166	37	0	2.72386196
