Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0247900352	161850.309	161850.309	161850.309	161850.309	0	0	0	0	958657	0	0	3
2	1	0	0.0495800704	-122298.04	19776.1342	-122298.04	161850.309	142074.174	0	0	0	677616	0	0	3
3	1	0	0.0743701057	-165392.527	-41946.7528	-165392.527	161850.309	203797.061	0	0	0	591596	0	0	3
4	2	0	0.0991601409	-191760.266	-79400.1312	-191760.266	161850.309	241250.44	0	0	0	615433	0	0	3
5	2	0	0.123950176	-167214.502	-96963.0054	-191760.266	161850.309	258813.314	0	0	0	608599	0	0	3
6	2	0	0.148740211	-175843.199	-110109.704	-191760.266	161850.309	271960.013	0	0	0	561419	0	0	3
7	2	0	0.173530247	-148667.027	-115617.893	-191760.266	161850.309	277468.202	0	0	0	548955	0	0	3
8	2	0	0.198320282	-141997.714	-118915.371	-191760.266	161850.309	280765.679	0	0	0	545522	0	0	3
9	3	0	0.223110317	-113646.534	-118329.945	-191760.266	161850.309	280765.679	0	0	0	562601	0	0	3
10	3	0	0.247900352	-108699.971	-117366.947	-191760.266	161850.309	280765.679	0	0	0	553777	0	0	3
11	3	0	0.272690387	-90255.3399	-114902.256	-191760.266	161850.309	280765.679	0	0	0	556679	0	0	3
12	3	0	0.297480423	-80252.0862	-112014.741	-191760.266	161850.309	280765.679	0	0	0	554814	0	0	3
13	3	0	0.322270458	-64667.2631	-108372.628	-191760.266	161850.309	280765.679	0	0	0	563141	0	0	3
14	3	0	0.347060493	-59808.7155	-104903.777	-191760.266	161850.309	280765.679	0	0	0	568451	0	0	3
15	4	0	0.371850528	-52792.2692	-101429.676	-191760.266	161850.309	280765.679	0	0	0	577301	0	0	3
16	4	0	0.396640564	-49733.733	-98198.6799	-191760.266	161850.309	280765.679	0	0	0	589465	0	0	3
17	4	0	0.421430599	-48601.3901	-95281.1922	-191760.266	161850.309	280765.679	0	0	0	601800	0	0	3
18	4	0	0.446220634	-47703.409	-92637.9821	-191760.266	161850.309	280765.679	0	0	0	613465	0	0	3
19	4	0	0.471010669	-46083.8235	-90187.7632	-191760.266	161850.309	280765.679	0	0	0	621329	0	0	3
20	4	0	0.495800704	-44748.9005	-87915.8201	-191760.266	161850.309	280765.679	0	0	0	623913	0	0	3
21	5	0	0.52059074	-40550.2942	-85660.3188	-191760.266	161850.309	280765.679	0	0	0	650846	0	0	3
22	5	0	0.545380775	-35161.2949	-95041.8238	-191760.266	-35161.2949	138691.505	0	0	0	640749	0	0	3
23	5	0	0.57017081	-30046.2286	-90648.8804	-191760.266	-30046.2286	76968.6181	0	0	0	663281	0	0	3
24	5	0	0.594960845	-25350.3117	-83980.2034	-191760.266	-25350.3117	39515.2397	0	0	0	688302	0	0	3
25	5	0	0.619750881	-20288.7046	-75814.891	-175843.199	-20288.7046	43100.4799	0	0	0	709158	0	0	3
26	5	0	0.644540916	-16204.1613	-68623.9224	-175843.199	-16204.1613	50291.4485	0	0	0	724129	0	0	3
27	6	0	0.669330951	-11718.889	-60808.479	-148667.027	-11718.889	58106.8919	0	0	0	762885	0	0	3
28	6	0	0.694120986	-9023.31558	-54158.7785	-141997.714	-9023.31558	64756.5924	0	0	0	791151	0	0	3
29	6	0	0.718911021	-5714.01704	-47669.0786	-113646.534	-5714.01704	70660.8659	0	0	0	828846	0	0	3
30	6	0	0.743701057	-2983.16842	-42399.3946	-108699.971	-2983.16842	74967.5525	0	0	0	844904	0	0	3
31	6	0	0.768491092	-43.0301732	-37225.2546	-90255.3399	-43.0301732	77677.001	0	0	0	860599	0	0	3
32	7	0	0.793281127	1837.83857	-32839.8651	-80252.0862	1837.83857	79174.8763	0	0	0	866476	0	0	3
33	7	0	0.818071162	4077.02481	-28824.1931	-64667.2631	4077.02481	68744.288	0	0	0	879316	0	0	3
34	7	0	0.842861198	5406.24662	-25487.3594	-59808.7155	5406.24662	65214.9621	0	0	0	882242	0	0	3
35	7	0	0.867651233	6442.07778	-22332.5597	-52792.2692	6442.07778	59234.347	0	0	0	892198	0	0	3
36	7	0	0.892441268	8731.79692	-19402.8422	-49733.733	8731.79692	58465.53	0	0	0	894691	0	0	3
37	7	0	0.917231303	11373.2772	-16492.9846	-48601.3901	11373.2772	59974.6673	0	0	0	893678	0	0	3
38	8	0	0.942021338	12791.3709	-13569.5198	-47703.409	12791.3709	60494.7799	0	0	0	876018	0	0	3
39	8	0	0.966811374	13227.6736	-10668.0397	-46083.8235	13227.6736	59311.4971	0	0	0	811033	0	0	3
40	8	0	0.991601409	13159.4508	-7846.93137	-44748.9005	13227.6736	57976.5741	0	0	0	825435	0	0	3
41	8	0	1.01639144	13768.7882	-5060.37476	-40550.2942	13768.7882	54319.0824	22924.7108	0	0	835636	0	0	3
42	8	0	1.04118148	14028.2882	-2461.39465	-35161.2949	14028.2882	49189.5831	22953.6554	0	0	824770	0	0	3
43	9	0	1.06597151	14654.157	-89.2302767	-30046.2286	14654.157	44700.3856	22988.5601	0	0	836741	0	0	3
44	9	0	1.09076155	15658.7662	2087.19805	-25350.3117	15658.7662	41009.0779	23037.5464	0	0	846491	0	0	3
45	9	0	1.11555159	16583.7967	4084.06035	-20288.7046	16583.7967	36872.5013	22924.7108	0	0	857499	0	0	3
46	9	0	1.14034162	17096.3338	5864.30028	-16204.1613	17096.3338	33300.4951	22924.7108	0	0	866101	0	0	3
47	9	0	1.16513166	17880.6491	7487.38649	-11718.889	17880.6491	29599.538	22924.7108	0	0	876100	0	0	3
48	10	0	1.18992169	18358.1886	8919.62827	-9023.31558	18358.1886	27381.5042	22924.7108	0	0	884010	0	0	3
49	10	0	1.21471173	18708.2868	10240.1808	-5714.01704	18708.2868	24422.3038	22924.7108	0	0	892891	0	0	3
50	10	0	1.23950176	18866.0833	11410.6617	-2983.16842	18866.0833	21849.2517	22924.7108	0	0	899630	0	0	3
51	10	0	1.2642918	19075.4707	12461.0731	-43.0301732	19075.4707	19118.5009	22924.7108	0	0	907841	0	0	3
52	10	0	1.28908183	19039.1565	13369.7487	1837.83857	19075.4707	17237.6321	22924.7108	0	0	913242	0	0	3
53	11	0	1.31387187	19218.7359	14197.4105	4077.02481	19218.7359	15141.7111	22924.7108	0	0	920747	0	0	3
