Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0198520302	2859612.51	2859612.51	2859612.51	2859612.51	0	0	0	0	6.55329e+06	0	0	3
2	2	0	0.0397040604	1111327.04	1985469.77	1111327.04	2859612.51	874142.733	0	0	0	4.56801e+06	0	0	3
3	2	0	0.0595560906	832235.998	1601058.51	832235.998	2859612.51	1258553.99	0	0	0	3.44835e+06	0	0	3
4	2	0	0.0794081208	752504.896	1388920.11	752504.896	2859612.51	1470692.4	0	0	0	3.21555e+06	0	0	3
5	2	0	0.099260151	833534.455	1277842.98	752504.896	2859612.51	1581769.53	0	0	0	2.7062e+06	0	0	3
6	3	0	0.119112181	809925.012	1199856.65	752504.896	2859612.51	1659755.85	0	0	0	2.6583e+06	0	0	3
7	3	0	0.138964211	894495.933	1156233.69	752504.896	2859612.51	1703378.81	0	0	0	2.66429e+06	0	0	3
8	3	0	0.158816242	943266.626	1129612.81	752504.896	2859612.51	1729999.7	0	0	0	2.67314e+06	0	0	3
9	3	0	0.178668272	1043493.02	1120043.94	752504.896	2859612.51	1739568.56	0	0	0	2.67901e+06	0	0	3
10	4	0	0.198520302	1100533.05	1118092.85	752504.896	2859612.51	1741519.65	0	0	0	2.66878e+06	0	0	3
11	4	0	0.218372332	1201291.15	1125656.33	752504.896	2859612.51	1741519.65	0	0	0	2.65045e+06	0	0	3
12	4	0	0.238224362	1299341.59	1140130.11	752504.896	2859612.51	1741519.65	0	0	0	2.64824e+06	0	0	3
13	4	0	0.258076393	1382077.21	1158741.42	752504.896	2859612.51	1741519.65	0	0	0	2.63937e+06	0	0	3
14	4	0	0.277928423	1451066.6	1179621.79	752504.896	2859612.51	1741519.65	0	0	0	2.62437e+06	0	0	3
15	5	0	0.297780453	1497655.57	1200824.04	752504.896	2859612.51	1741519.65	0	0	0	2.62234e+06	0	0	3
16	5	0	0.317632483	1517033.95	1220587.16	752504.896	2859612.51	1741519.65	0	0	0	2.58714e+06	0	0	3
17	5	0	0.337484514	1534770.35	1239068.53	752504.896	2859612.51	1741519.65	0	0	0	2.58947e+06	0	0	3
18	5	0	0.357336544	1545969.21	1256118.57	752504.896	2859612.51	1741519.65	0	0	0	2.56992e+06	0	0	3
19	6	0	0.377188574	1557820.76	1271997.63	752504.896	2859612.51	1741519.65	0	0	0	2.58589e+06	0	0	3
20	6	0	0.397040604	1567329.81	1286764.24	752504.896	2859612.51	1741519.65	0	0	0	2.5379e+06	0	0	3
21	6	0	0.416892634	1583853.84	1300911.36	752504.896	2859612.51	1741519.65	0	0	0	2.54837e+06	0	0	3
22	6	0	0.436744665	1601662.07	1314581.85	752504.896	2859612.51	1741519.65	0	0	0	2.55012e+06	0	0	3
23	6	0	0.456596695	1615349.92	1327658.72	752504.896	2859612.51	1741519.65	0	0	0	2.5631e+06	0	0	3
24	7	0	0.476448725	1629697.16	1340243.66	752504.896	2859612.51	1741519.65	0	0	0	2.56077e+06	0	0	3
25	7	0	0.496300755	1642764.94	1352344.51	752504.896	2859612.51	1741519.65	0	0	0	2.54795e+06	0	0	3
26	7	0	0.516152785	1660393.39	1364192.54	752504.896	2859612.51	1741519.65	0	0	0	2.56395e+06	0	0	3
27	7	0	0.536004816	1673841.55	1318585.97	752504.896	1673841.55	867376.92	0	0	0	2.57068e+06	0	0	3
