Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0198520302	4.60663363	4.60663363	4.60663363	4.60663363	0	0	0	0	59.6956	0	0	3
2	2	0	0.0397040604	4.60805095	4.60734229	4.60663363	4.60805095	0.000708660897	0	0	0	59.8306	0	0	3
3	2	0	0.0595560906	4.60752921	4.6074046	4.60663363	4.60805095	0.000770969807	0	0	0	59.8876	0	0	3
4	2	0	0.0794081208	4.60655824	4.60719301	4.60655824	4.60805095	0.000770969807	0	0	0	59.8852	0	0	3
5	2	0	0.099260151	4.60391056	4.60653652	4.60391056	4.60805095	0.000868078414	0	0	0	59.8611	0	0	3
6	3	0	0.119112181	4.60037557	4.60550969	4.60037557	4.60805095	0.00189490223	0	0	0	59.8162	0	0	3
7	3	0	0.138964211	4.60043868	4.60478526	4.60037557	4.60805095	0.00261933327	0	0	0	59.7614	0	0	3
8	3	0	0.158816242	4.61363596	4.6058916	4.60037557	4.61363596	0.00261933327	0	0	0	59.6908	0	0	3
9	3	0	0.178668272	4.64816548	4.6105887	4.60037557	4.64816548	0.00580343503	0	0	0	59.6106	0	0	3
10	4	0	0.198520302	4.7091193	4.62044176	4.60037557	4.7091193	0.015656495	0	0	0	59.5209	0	0	3
11	4	0	0.218372332	4.8765145	4.6437211	4.60037557	4.8765145	0.0389358353	0	0	0	59.3865	0	0	3
12	4	0	0.238224362	5.07096783	4.67932499	4.60037557	5.07096783	0.0745397293	0	0	0	59.2496	0	0	3
13	4	0	0.258076393	5.43716268	4.7376202	4.60037557	5.43716268	0.132834936	0	0	0	59.1165	0	0	3
14	4	0	0.277928423	5.87512445	4.8188705	4.60037557	5.87512445	0.21408524	0	0	0	58.9877	0	0	3
15	5	0	0.297780453	6.40976764	4.92493031	4.60037557	6.40976764	0.320145049	0	0	0	58.8642	0	0	3
16	5	0	0.317632483	7.20685168	5.0675504	4.60037557	7.20685168	0.462765135	0	0	0	58.6827	0	0	3
17	5	0	0.337484514	8.01316216	5.24082168	4.60037557	8.01316216	0.636036415	0	0	0	58.5044	0	0	3
18	5	0	0.357336544	8.7801884	5.43745316	4.60037557	8.7801884	0.832667899	0	0	0	58.3283	0	0	3
19	6	0	0.377188574	9.31042074	5.64129356	4.60037557	9.31042074	1.0365083	0	0	0	58.1575	0	0	3
20	6	0	0.397040604	10.1730955	5.86788366	4.60037557	10.1730955	1.26309839	0	0	0	57.9834	0	0	3
21	6	0	0.416892634	11.1930141	6.12146129	4.60037557	11.1930141	1.51667603	0	0	0	57.7275	0	0	3
22	6	0	0.436744665	11.9637406	6.38701944	4.60037557	11.9637406	1.78223418	0	0	0	57.4771	0	0	3
23	6	0	0.456596695	12.6399523	6.65888609	4.60037557	12.6399523	2.05410083	0	0	0	57.24	0	0	3
24	7	0	0.476448725	13.1822143	6.93069144	4.60037557	13.1822143	2.32590617	0	0	0	57.0086	0	0	3
25	7	0	0.496300755	13.6300172	7.19866447	4.60037557	13.6300172	2.5938792	0	0	0	56.7871	0	0	3
26	7	0	0.516152785	14.122178	7.46495345	4.60037557	14.122178	2.86016818	0	0	0	56.4652	0	0	3
27	7	0	0.536004816	14.4984363	7.8454074	4.60037557	14.4984363	3.24062213	0	0	0	56.1547	0	0	3
28	7	0	0.555856846	14.8117977	8.2378592	4.60037557	14.8117977	3.63307393	0	0	0	55.858	0	0	3
29	8	0	0.575708876	15.0722007	8.64034656	4.60037557	15.0722007	4.0355613	0	0	0	55.5686	0	0	3
30	8	0	0.595560906	15.2215949	9.0486172	4.60037557	15.2215949	4.44383194	0	0	0	55.29	0	0	3
31	8	0	0.615412936	15.5336557	9.46899202	4.60037557	15.5336557	4.86420675	0	0	0	54.8887	0	0	3
