Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	5.77159112e-06	5.77159112e-06	5.77159112e-06	5.77159112e-06	0	0	0	0	0	0	0	3
2	1	0	0.05	1.43794865e-06	3.60476989e-06	1.43794865e-06	5.77159112e-06	2.16682123e-06	0	0	0	0	0	0	3
3	2	0	0.075	-7.32464533e-07	2.15902508e-06	-7.32464533e-07	5.77159112e-06	3.61256604e-06	0	0	0	0	0	0	3
4	2	0	0.1	-6.89253465e-07	1.44695544e-06	-7.32464533e-07	5.77159112e-06	4.32463568e-06	0	0	0	0	0	0	3
5	2	0	0.125	-9.41780486e-08	1.13872875e-06	-7.32464533e-07	5.77159112e-06	4.63286238e-06	0	0	0	0	0	0	3
6	2	0	0.15	1.44380042e-07	9.73003962e-07	-7.32464533e-07	5.77159112e-06	4.79858716e-06	0	0	0	0	0	0	3
7	2	0	0.175	-2.17318881e-07	8.02957841e-07	-7.32464533e-07	5.77159112e-06	4.96863328e-06	0	0	0	0	0	0	3
8	2	0	0.2	2.18486267e-07	7.29898894e-07	-7.32464533e-07	5.77159112e-06	5.04169223e-06	0	0	0	0	0	0	3
9	3	0	0.225	4.55401653e-07	6.99399201e-07	-7.32464533e-07	5.77159112e-06	5.07219192e-06	0	0	0	0	0	0	3
10	3	0	0.25	2.57934869e-07	6.55252768e-07	-7.32464533e-07	5.77159112e-06	5.11633835e-06	0	0	0	0	0	0	3
11	3	0	0.275	2.96139262e-07	6.22606085e-07	-7.32464533e-07	5.77159112e-06	5.14898504e-06	0	0	0	0	0	0	3
12	3	0	0.3	5.2224184e-07	6.14242398e-07	-7.32464533e-07	5.77159112e-06	5.15734872e-06	0	0	0	0	0	0	3
13	3	0	0.325	5.52923534e-07	6.09525563e-07	-7.32464533e-07	5.77159112e-06	5.16206556e-06	0	0	0	0	0	0	3
14	3	0	0.35	3.55062305e-07	5.91349616e-07	-7.32464533e-07	5.77159112e-06	5.18024151e-06	0	0	0	0	0	0	3
15	4	0	0.375	5.66011364e-08	5.55699717e-07	-7.32464533e-07	5.77159112e-06	5.2158914e-06	0	0	0	0	0	0	3
16	4	0	0.4	5.33953583e-08	5.24305695e-07	-7.32464533e-07	5.77159112e-06	5.24728543e-06	0	0	0	0	0	0	3
17	4	0	0.425	-1.24575642e-06	4.20184394e-07	-1.24575642e-06	5.77159112e-06	5.35140673e-06	0	0	0	0	0	0	3
18	4	0	0.45	-8.84874642e-07	3.47681114e-07	-1.24575642e-06	5.77159112e-06	5.42391001e-06	0	0	0	0	0	0	3
19	4	0	0.475	-8.8637305e-07	2.82730895e-07	-1.24575642e-06	5.77159112e-06	5.48886023e-06	0	0	0	0	0	0	3
20	5	0	0.5	-1.94318267e-07	2.58878437e-07	-1.24575642e-06	5.77159112e-06	5.51271268e-06	0	0	0	0	0	0	3
21	5	0	0.525	-1.13828453e-07	-3.53925421e-08	-1.24575642e-06	1.43794865e-06	2.68370508e-06	0	0	0	0	0	0	3
22	5	0	0.55	3.03773946e-08	-1.05771105e-07	-1.24575642e-06	5.52923534e-07	1.79867996e-06	0	0	0	0	0	0	3
23	5	0	0.575	-8.59994135e-07	-1.12147585e-07	-1.24575642e-06	5.52923534e-07	1.55910303e-06	0	0	0	0	0	0	3
24	5	0	0.6	3.79199505e-08	-7.57889143e-08	-1.24575642e-06	5.52923534e-07	1.25087633e-06	0	0	0	0	0	0	3
25	5	0	0.625	4.44753755e-07	-4.88423241e-08	-1.24575642e-06	5.52923534e-07	1.08515155e-06	0	0	0	0	0	0	3
26	6	0	0.65	-1.919352e-07	-6.56580863e-08	-1.24575642e-06	5.52923534e-07	9.15105426e-07	0	0	0	0	0	0	3
27	6	0	0.675	-3.00765356e-07	-6.983041e-08	-1.24575642e-06	5.52923534e-07	8.4204648e-07	0	0	0	0	0	0	3
28	6	0	0.7	2.87375677e-07	-6.63859395e-08	-1.24575642e-06	5.52923534e-07	8.11546786e-07	0	0	0	0	0	0	3
29	6	0	0.725	1.05141406e-06	-3.65853193e-08	-1.24575642e-06	1.05141406e-06	7.67400353e-07	0	0	0	0	0	0	3
30	6	0	0.75	1.52642619e-07	-4.18499318e-08	-1.24575642e-06	1.05141406e-06	7.34753671e-07	0	0	0	0	0	0	3
31	7	0	0.775	9.06237371e-08	-5.2125708e-08	-1.24575642e-06	1.05141406e-06	7.26389983e-07	0	0	0	0	0	0	3
32	7	0	0.8	-7.07036705e-07	-1.13589635e-07	-1.24575642e-06	1.05141406e-06	7.23115198e-07	0	0	0	0	0	0	3
33	7	0	0.825	1.22413062e-07	-1.35115159e-07	-1.24575642e-06	1.05141406e-06	7.26464775e-07	0	0	0	0	0	0	3
34	7	0	0.85	1.5718397e-06	-7.42762892e-08	-1.24575642e-06	1.5718397e-06	6.90814876e-07	0	0	0	0	0	0	3
35	7	0	0.875	1.89315376e-07	-6.76405772e-08	-1.24575642e-06	1.5718397e-06	6.59420853e-07	0	0	0	0	0	0	3
36	8	0	0.9	-5.48737427e-07	-9.77472165e-08	-1.24575642e-06	1.5718397e-06	5.55299553e-07	0	0	0	0	0	0	3
37	8	0	0.925	9.60652633e-07	1.25732363e-08	-8.8637305e-07	1.5718397e-06	4.82796273e-07	0	0	0	0	0	0	3
38	8	0	0.95	2.86325799e-07	7.11332583e-08	-8.8637305e-07	1.5718397e-06	4.17846054e-07	0	0	0	0	0	0	3
39	8	0	0.975	-1.05253022e-06	6.28253998e-08	-1.05253022e-06	1.5718397e-06	3.93993596e-07	0	0	0	0	0	0	3
40	8	0	1	-3.26978521e-06	-9.09479472e-08	-3.26978521e-06	1.5718397e-06	2.06248417e-07	0.0173239501	0	0	0	0	0	3
41	9	0	1.025	-4.96696846e-06	-3.33604947e-07	-4.96696846e-06	1.5718397e-06	4.04738206e-07	0.0172211367	0	0	0	0	0	3
42	9	0	1.05	-8.4402333e-07	-3.77324984e-07	-4.96696846e-06	1.5718397e-06	4.48458242e-07	0.0171657896	0	0	0	0	0	3
43	9	0	1.075	-6.56100441e-07	-3.67130299e-07	-4.96696846e-06	1.5718397e-06	4.48458242e-07	0.0170960486	0	0	0	0	0	3
44	9	0	1.1	-2.35658259e-06	-4.61866122e-07	-4.96696846e-06	1.5718397e-06	5.3299938e-07	0.0170514639	0	0	0	0	0	3
45	9	0	1.125	-4.78446012e-06	-6.91503268e-07	-4.96696846e-06	1.5718397e-06	7.62636527e-07	0.0170276882	0	0	0	0	0	3
46	10	0	1.15	-3.88744459e-06	-8.97798428e-07	-4.96696846e-06	1.5718397e-06	9.68931686e-07	0.0169938088	0	0	0	0	0	3
47	10	0	1.175	-2.88345572e-06	-1.02596607e-06	-4.96696846e-06	1.5718397e-06	1.09709933e-06	0.0169191416	0	0	0	0	0	3
48	10	0	1.2	-3.17048638e-06	-1.16261945e-06	-4.96696846e-06	1.5718397e-06	1.23375271e-06	0.016716952	0	0	0	0	0	3
49	10	0	1.225	-3.06175861e-06	-1.32210204e-06	-4.96696846e-06	1.5718397e-06	1.3932353e-06	0.0167612274	0	0	0	0	0	3
50	10	0	1.25	-3.05044508e-06	-1.51742866e-06	-4.96696846e-06	1.5718397e-06	1.58856192e-06	0.0167381883	0	0	0	0	0	3
51	11	0	1.275	-3.14165531e-06	-1.67429999e-06	-4.96696846e-06	1.5718397e-06	1.74543325e-06	0.0163771205	0	0	0	0	0	3
52	11	0	1.3	-6.32572829e-07	-1.70873793e-06	-4.96696846e-06	1.5718397e-06	1.77987118e-06	0.0164663902	0	0	0	0	0	3
