Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.025	90.3720666	90.3720666	90.3720666	90.3720666	0	0	0	0	0.00945149	0	0	3
2	1	0	0.05	90.3721517	90.3721091	90.3720666	90.3721517	4.25884241e-05	0	0	0	0.012376	0	0	3
3	2	0	0.075	90.37224	90.3721528	90.3720666	90.37224	8.62167906e-05	0	0	0	0.0148121	0	0	3
4	2	0	0.1	90.3723334	90.3721979	90.3720666	90.3723334	0.000131364339	0	0	0	0.0161131	0	0	3
5	2	0	0.125	90.3724263	90.3722436	90.3720666	90.3724263	0.000177031239	0	0	0	0.0166668	0	0	3
6	2	0	0.15	90.3726024	90.3723034	90.3720666	90.3726024	0.000236837028	0	0	0	0.017025	0	0	3
7	2	0	0.175	90.3728332	90.3723791	90.3720666	90.3728332	0.000312523446	0	0	0	0.0181885	0	0	3
8	2	0	0.2	90.3730898	90.3724679	90.3720666	90.3730898	0.000401360797	0	0	0	0.0196066	0	0	3
9	3	0	0.225	90.3733481	90.3725657	90.3720666	90.3733481	0.000499154281	0	0	0	0.02058	0	0	3
10	3	0	0.25	90.3736031	90.3726694	90.3720666	90.3736031	0.000602891537	0	0	0	0.021241	0	0	3
11	3	0	0.275	90.3739829	90.3727889	90.3720666	90.3739829	0.000722297916	0	0	0	0.0231706	0	0	3
12	3	0	0.3	90.3739373	90.3728846	90.3720666	90.3739829	0.000818000801	0	0	0	0.0243381	0	0	3
13	3	0	0.325	90.3739948	90.37297	90.3720666	90.3739948	0.000903406657	0	0	0	0.0252725	0	0	3
14	3	0	0.35	90.3739896	90.3730428	90.3720666	90.3739948	0.000976235061	0	0	0	0.0259661	0	0	3
15	4	0	0.375	90.3740873	90.3731124	90.3720666	90.3740873	0.00104587015	0	0	0	0.0264794	0	0	3
16	4	0	0.4	90.3742313	90.3731824	90.3720666	90.3742313	0.00111580084	0	0	0	0.0270187	0	0	3
17	4	0	0.425	90.3743868	90.3732532	90.3720666	90.3743868	0.00118665048	0	0	0	0.0273212	0	0	3
18	4	0	0.45	90.3745457	90.373325	90.3720666	90.3745457	0.00125845724	0	0	0	0.0275135	0	0	3
19	4	0	0.475	90.3747006	90.3733974	90.3720666	90.3747006	0.00133085815	0	0	0	0.0276187	0	0	3
20	5	0	0.5	90.374842	90.3734696	90.3720666	90.374842	0.00140308749	0	0	0	0.0277132	0	0	3
21	5	0	0.525	90.3750657	90.3736196	90.3721517	90.3750657	0.00151045613	0	0	0	0.0277753	0	0	3
22	5	0	0.55	90.3752509	90.3737746	90.37224	90.3752509	0.00162178758	0	0	0	0.0279082	0	0	3
23	5	0	0.575	90.3754921	90.3739372	90.3723334	90.3754921	0.00173924284	0	0	0	0.0280457	0	0	3
24	5	0	0.6	90.3756911	90.374105	90.3724263	90.3756911	0.00186146046	0	0	0	0.0288499	0	0	3
25	5	0	0.625	90.3759672	90.3742821	90.3726024	90.3759672	0.0019787018	0	0	0	0.0298961	0	0	3
26	6	0	0.65	90.3764194	90.3744729	90.3728332	90.3764194	0.00209386269	0	0	0	0.0311907	0	0	3
27	6	0	0.675	90.3769262	90.3746776	90.3730898	90.3769262	0.00220967318	0	0	0	0.0326458	0	0	3
28	6	0	0.7	90.3774005	90.3748931	90.3733481	90.3774005	0.00232741469	0	0	0	0.0340725	0	0	3
29	6	0	0.725	90.3779286	90.3751222	90.3736031	90.3779286	0.00245270259	0	0	0	0.0352794	0	0	3
30	6	0	0.75	90.378429	90.3753634	90.3739373	90.378429	0.00257459394	0	0	0	0.0361949	0	0	3
31	7	0	0.775	90.3791018	90.3756194	90.3739373	90.3791018	0.00273483508	0	0	0	0.0368805	0	0	3
