Iteration	CPUTime	PhysTime	Travels
1	1	0	0.0228568003
2	2	0	0.0457136007
3	2	0	0.068570401
4	2	0	0.0914272013
5	2	0	0.114284002
6	2	0	0.137140802
7	3	0	0.159997602
8	3	0	0.182854403
9	3	0	0.205711203
10	3	0	0.228568003
11	3	0	0.251424804
12	3	0	0.274281604
13	4	0	0.297138404
14	4	0	0.319995205
15	4	0	0.342852005
16	4	0	0.365708805
17	4	0	0.388565606
18	5	0	0.411422406
19	5	0	0.434279206
20	5	0	0.457136007
21	5	0	0.479992807
22	5	0	0.502849607
23	5	0	0.525706407
24	6	0	0.548563208
25	6	0	0.571420008
26	6	0	0.594276808
27	6	0	0.617133609
28	6	0	0.639990409
29	7	0	0.662847209
30	7	0	0.68570401
31	7	0	0.70856081
32	7	0	0.73141761
33	7	0	0.754274411
34	8	0	0.777131211
35	8	0	0.799988011
36	8	0	0.822844812
37	8	0	0.845701612
38	8	0	0.868558412
39	9	0	0.891415213
40	9	0	0.914272013
41	9	0	0.937128813
42	9	0	0.959985614
43	9	0	0.982842414
44	10	0	1.00569921
45	10	0	1.02855601
46	10	0	1.05141281
47	10	0	1.07426962
48	10	0	1.09712642
49	11	0	1.11998322
50	11	0	1.14284002
51	11	0	1.16569682
52	11	0	1.18855362
53	12	0	1.21141042
54	12	0	1.23426722
55	12	0	1.25712402
56	12	0	1.27998082
57	12	0	1.30283762
58	13	0	1.32569442
59	13	0	1.34855122
60	13	0	1.37140802
61	13	0	1.39426482
62	13	0	1.41712162
63	14	0	1.43997842
64	14	0	1.46283522
65	14	0	1.48569202
66	14	0	1.50854882
67	15	0	1.53140562
68	15	0	1.55426242
69	15	0	1.57711922
70	15	0	1.59997602
71	15	0	1.62283282
72	16	0	1.64568962
73	16	0	1.66854642
74	16	0	1.69140322
75	16	0	1.71426002
76	16	0	1.73711682
77	17	0	1.75997363
78	17	0	1.78283043
79	17	0	1.80568723
80	17	0	1.82854403
81	18	0	1.85140083
82	18	0	1.87425763
83	18	0	1.89711443
84	18	0	1.91997123
85	18	0	1.94282803
86	19	0	1.96568483
87	19	0	1.98854163
