Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.0197365874	111.616426	111.616426	111.616426	111.616426	0	0	0	0	0	0	0	3
2	1	0	0.0394731748	111.597036	111.606731	111.597036	111.616426	0.00969516135	0	0	0	0	0	0	3
3	2	0	0.0592097622	111.613695	111.609052	111.597036	111.616426	0.00969516135	0	0	0	0	0	0	3
4	2	0	0.0789463496	111.607472	111.608657	111.597036	111.616426	0.00969516135	0	0	0	0	0	0	3
5	2	0	0.098682937	111.585534	111.604033	111.585534	111.616426	0.0123936774	0	0	0	0	0	0	3
6	2	0	0.118419524	111.526684	111.591141	111.526684	111.616426	0.0252850717	0	0	0	0	0	0	3
7	3	0	0.138156112	111.430181	111.568147	111.430181	111.616426	0.0482794478	0	0	0	0	0	0	3
8	3	0	0.157892699	111.349459	111.540811	111.349459	111.616426	0.0756153691	0	0	0	0	0	0	3
9	3	0	0.177629287	111.289025	111.512835	111.289025	111.616426	0.103591578	0	0	0	0	0	0	3
10	3	0	0.197365874	111.262455	111.487797	111.262455	111.616426	0.128629584	0	0	0	0	0	0	3
11	3	0	0.217102461	111.315358	111.47212	111.262455	111.616426	0.144305829	0	0	0	0	0	0	3
12	4	0	0.236839049	111.41894	111.467689	111.262455	111.616426	0.148737505	0	0	0	0	0	0	3
13	4	0	0.256575636	111.673196	111.483497	111.262455	111.673196	0.148737505	0	0	0	0	0	0	3
14	4	0	0.276312224	112.078649	111.526008	111.262455	112.078649	0.148737505	0	0	0	0	0	0	3
15	4	0	0.296048811	112.723211	111.605821	111.262455	112.723211	0.148737505	0	0	0	0	0	0	3
16	5	0	0.315785398	114.270821	111.772384	111.262455	114.270821	0.304695103	0	0	0	0	0	0	3
17	5	0	0.335521986	116.454029	112.047775	111.262455	116.454029	0.580085974	0	0	0	0	0	0	3
18	5	0	0.355258573	119.610905	112.467949	111.262455	119.610905	1.00025985	0	0	0	0	0	0	3
19	5	0	0.374995161	124.278883	113.089577	111.262455	124.278883	1.62188797	0	0	0	0	0	0	3
20	5	0	0.394731748	130.959017	113.983049	111.262455	130.959017	2.51535996	0	0	0	0	0	0	3
21	6	0	0.414468335	143.918464	115.408545	111.262455	143.918464	3.94085591	0	0	0	0	0	0	3
22	6	0	0.434204923	159.983439	117.434676	111.262455	159.983439	5.96698748	0	0	0	0	0	0	3
23	6	0	0.45394151	177.622637	120.051544	111.262455	177.622637	8.58385535	0	0	0	0	0	0	3
24	6	0	0.473678098	200.882338	123.419494	111.262455	200.882338	11.9518051	0	0	0	0	0	0	3
25	6	0	0.493414685	222.923348	127.399648	111.262455	222.923348	15.9319593	0	0	0	0	0	0	3
26	7	0	0.513151272	259.942039	132.497432	111.262455	259.942039	21.0297435	0	0	0	0	0	0	3
27	7	0	0.53288786	286.246351	139.213968	111.262455	286.246351	27.7462791	0	0	0	0	0	0	3
28	7	0	0.552624447	318.646123	147.177394	111.262455	318.646123	35.7097055	0	0	0	0	0	0	3
29	7	0	0.572361034	342.760418	156.067653	111.262455	342.760418	44.5999641	0	0	0	0	0	0	3
30	7	0	0.592097622	360.37085	165.635475	111.262455	360.37085	54.1677863	0	0	0	0	0	0	3
31	8	0	0.611834209	379.51375	175.940407	111.262455	379.51375	64.4727177	0	0	0	0	0	0	3
32	8	0	0.631570797	394.760667	186.834021	111.262455	394.760667	75.3663324	0	0	0	0	0	0	3
33	8	0	0.651307384	404.271279	198.09714	111.262455	404.271279	86.6294516	0	0	0	0	0	0	3
34	8	0	0.671043971	413.61732	209.722827	111.262455	413.61732	98.2551386	0	0	0	0	0	0	3
35	9	0	0.690780559	421.763566	221.664156	111.262455	421.763566	110.196467	0	0	0	0	0	0	3
36	9	0	0.710517146	433.501062	234.057948	111.315358	433.501062	122.59026	0	0	0	0	0	0	3
37	9	0	0.730253734	446.653434	246.955567	111.41894	446.653434	135.487878	0	0	0	0	0	0	3
38	9	0	0.749990321	456.845064	260.241187	111.673196	456.845064	148.75769	0	0	0	0	0	0	3
39	9	0	0.769726908	461.016581	273.677471	112.078649	461.016581	162.151463	0	0	0	0	0	0	3
40	10	0	0.789463496	464.91455	287.248083	112.723211	464.91455	175.642261	0	0	0	0	0	0	3
41	10	0	0.809200083	474.529899	301.163724	114.270821	474.529899	189.39134	0	0	0	0	0	0	3
42	10	0	0.828936671	474.021261	315.00028	116.454029	474.529899	202.952505	0	0	0	0	0	0	3
43	10	0	0.848673258	474.379458	328.766642	119.610905	474.529899	216.298694	0	0	0	0	0	0	3
44	10	0	0.868409845	478.668266	342.576541	124.278883	478.668266	229.486964	0	0	0	0	0	0	3
45	11	0	0.888146433	478.548742	356.202305	130.959017	478.668266	242.219256	0	0	0	0	0	0	3
46	11	0	0.90788302	476.989426	369.511167	143.918464	478.668266	254.102622	0	0	0	0	0	0	3
47	11	0	0.927619608	476.744147	382.312154	159.983439	478.668266	264.877478	0	0	0	0	0	0	3
48	11	0	0.947356195	474.246299	394.399188	177.622637	478.668266	274.347643	0	0	0	0	0	0	3
49	12	0	0.967092782	472.706851	405.74858	200.882338	478.668266	277.785928	0	0	0	0	0	0	3
50	12	0	0.98682937	471.750742	416.166596	222.923348	478.668266	255.744917	0	0	0	0	0	0	3
51	12	0	1.00656596	469.343818	425.644306	259.942039	478.668266	218.726227	11.0221743	0	5	0	0	0	3
52	12	0	1.02630254	471.403314	433.777432	286.246351	478.668266	192.421914	11.0221743	0	5.7	0	0	0	3
