Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	330329.974	330329.974	330329.974	330329.974	0	0	0	0	5.80345e+06	0	0	3
2	3	0	0.031778218	174563.773	252446.874	174563.773	330329.974	77883.1004	0	0	0	5.52402e+06	0	0	3
3	3	0	0.0476673269	85846.2056	196913.318	85846.2056	330329.974	133416.656	0	0	0	5.38983e+06	0	0	3
4	4	0	0.0635564359	51858.5598	160649.628	51858.5598	330329.974	169680.346	0	0	0	4.64144e+06	0	0	3
5	4	0	0.0794455449	48055.3691	138130.776	48055.3691	330329.974	192199.198	0	0	0	4.07679e+06	0	0	3
6	4	0	0.0953346539	51958.6426	123768.754	48055.3691	330329.974	206561.22	0	0	0	3.25908e+06	0	0	3
7	5	0	0.111223763	55191.776	113972.043	48055.3691	330329.974	216357.931	0	0	0	2.9584e+06	0	0	3
8	5	0	0.127112872	55814.1289	106702.304	48055.3691	330329.974	223627.67	0	0	0	3.0045e+06	0	0	3
9	5	0	0.143001981	55314.9772	100992.601	48055.3691	330329.974	229337.373	0	0	0	2.96968e+06	0	0	3
10	5	0	0.15889109	54480.1372	96341.3544	48055.3691	330329.974	233988.62	0	0	0	2.98255e+06	0	0	3
11	6	0	0.174780199	54029.516	92494.8236	48055.3691	330329.974	237835.15	0	0	0	3.05294e+06	0	0	3
12	6	0	0.190669308	53673.9111	89259.7476	48055.3691	330329.974	241070.227	0	0	0	3.12917e+06	0	0	3
13	6	0	0.206558417	53508.4396	86509.6469	48055.3691	330329.974	243820.327	0	0	0	3.19316e+06	0	0	3
14	6	0	0.222447526	53538.1601	84154.5407	48055.3691	330329.974	246175.433	0	0	0	3.21433e+06	0	0	3
15	7	0	0.238336635	53307.9339	82098.1003	48055.3691	330329.974	248231.874	0	0	0	3.20038e+06	0	0	3
16	7	0	0.254225744	53446.5953	80307.3812	48055.3691	330329.974	250022.593	0	0	0	3.19487e+06	0	0	3
17	7	0	0.270114853	53312.2556	78719.4327	48055.3691	330329.974	251610.541	0	0	0	3.17475e+06	0	0	3
18	8	0	0.286003962	53586.9637	77323.1844	48055.3691	330329.974	253006.79	0	0	0	3.16534e+06	0	0	3
19	8	0	0.301893071	53755.9762	76082.805	48055.3691	330329.974	254247.169	0	0	0	3.13404e+06	0	0	3
20	8	0	0.31778218	54002.4081	74978.7852	48055.3691	330329.974	255351.189	0	0	0	3.12827e+06	0	0	3
21	8	0	0.333671289	54208.9934	73989.7475	48055.3691	330329.974	256340.227	0	0	0	3.11208e+06	0	0	3
22	9	0	0.349560398	54354.9768	73097.2579	48055.3691	330329.974	257232.716	0	0	0	3.1159e+06	0	0	3
23	9	0	0.365449506	54839.2837	72303.4329	48055.3691	330329.974	258026.541	0	0	0	3.10614e+06	0	0	3
24	9	0	0.381338615	54962.4261	71580.891	48055.3691	330329.974	258749.083	0	0	0	3.11164e+06	0	0	3
25	10	0	0.397227724	55199.7171	70925.644	48055.3691	330329.974	259404.33	0	0	0	3.10725e+06	0	0	3
26	10	0	0.413116833	55183.52	70320.1777	48055.3691	330329.974	260009.796	0	0	0	3.11245e+06	0	0	3
27	10	0	0.429005942	55369.4819	69766.4482	48055.3691	330329.974	260563.526	0	0	0	3.10434e+06	0	0	3
28	10	0	0.444895051	55417.4824	69253.9852	48055.3691	330329.974	261075.989	0	0	0	3.10808e+06	0	0	3
29	11	0	0.46078416	55625.1775	68784.0263	48055.3691	330329.974	261545.948	0	0	0	3.09874e+06	0	0	3
30	11	0	0.476673269	55616.3053	68345.1022	48055.3691	330329.974	261984.872	0	0	0	3.10611e+06	0	0	3
31	11	0	0.492562378	55691.4504	67936.9199	48055.3691	330329.974	262393.054	0	0	0	3.09248e+06	0	0	3
32	11	0	0.508451487	55714.0539	67554.9554	48055.3691	330329.974	262775.019	0	0	0	3.09218e+06	0	0	3
33	12	0	0.524340596	55803.2916	58975.9965	48055.3691	174563.773	126508.404	0	0	0	3.07606e+06	0	0	3
34	12	0	0.540229705	55842.235	55265.9485	48055.3691	85846.2056	37790.8364	0	0	0	3.0992e+06	0	0	3
35	12	0	0.556118814	55920.5159	54330.7707	48055.3691	55920.5159	7865.14678	0	0	0	3.07479e+06	0	0	3
36	13	0	0.572007923	56001.8261	54460.2477	48055.3691	56001.8261	7946.45702	0	0	0	3.08035e+06	0	0	3
37	13	0	0.587897032	56026.276	54709.3386	51958.6426	56026.276	4067.63344	0	0	0	3.01769e+06	0	0	3
38	13	0	0.603786141	56090.7479	54838.4669	53307.9339	56090.7479	2782.814	0	0	0	3.02654e+06	0	0	3
39	13	0	0.61967525	56095.6554	54866.7131	53307.9339	56095.6554	2787.72142	0	0	0	2.99267e+06	0	0	3
40	14	0	0.635564359	56144.0243	54877.0223	53307.9339	56144.0243	2836.0904	0	0	0	2.99886e+06	0	0	3
41	14	0	0.651453468	56142.6197	54902.8862	53307.9339	56144.0243	2836.0904	0	0	0	2.95669e+06	0	0	3
42	14	0	0.667342577	56279.2179	54959.1074	53307.9339	56279.2179	2971.28397	0	0	0	2.98751e+06	0	0	3
43	15	0	0.683231686	56243.9839	55028.3096	53307.9339	56279.2179	2971.28397	0	0	0	2.94101e+06	0	0	3
44	15	0	0.699120795	56262.4493	55109.2014	53307.9339	56279.2179	2971.28397	0	0	0	2.95552e+06	0	0	3
45	15	0	0.715009904	56332.3338	55197.4481	53307.9339	56332.3338	3024.3999	0	0	0	2.90899e+06	0	0	3
46	16	0	0.730899013	56278.9122	55283.0966	53307.9339	56332.3338	3024.3999	0	0	0	2.93501e+06	0	0	3
47	16	0	0.746788122	56221.1039	55374.1331	53312.2556	56332.3338	3020.07828	0	0	0	2.9127e+06	0	0	3
48	16	0	0.762677231	56280.2245	55462.684	53312.2556	56332.3338	3020.07828	0	0	0	2.92158e+06	0	0	3
49	16	0	0.77856634	56230.5629	55553.8811	53586.9637	56332.3338	2745.37017	0	0	0	2.90541e+06	0	0	3
50	17	0	0.794455449	56239.3259	55636.7675	53755.9762	56332.3338	2576.35768	0	0	0	2.91175e+06	0	0	3
51	17	0	0.810344558	56199.1146	55713.1155	54002.4081	56332.3338	2329.92574	0	0	0	2.90073e+06	0	0	3
52	17	0	0.826233667	56198.4254	55781.7411	54208.9934	56332.3338	2123.3404	0	0	0	2.89871e+06	0	0	3
53	18	0	0.842122776	56185.8974	55843.5193	54354.9768	56332.3338	1977.35705	0	0	0	2.89733e+06	0	0	3
54	18	0	0.858011885	56223.7626	55901.9189	54839.2837	56332.3338	1493.05009	0	0	0	2.90314e+06	0	0	3
55	18	0	0.873900994	56244.7767	55945.8405	54962.4261	56332.3338	1369.90773	0	0	0	2.9019e+06	0	0	3
56	19	0	0.889790103	56269.3316	55986.6813	55183.52	56332.3338	1148.81388	0	0	0	2.9018e+06	0	0	3
57	19	0	0.905679212	56287.6454	56020.6791	55183.52	56332.3338	1148.81388	0	0	0	2.89604e+06	0	0	3
58	19	0	0.921568321	56326.9521	56056.4114	55369.4819	56332.3338	962.851903	0	0	0	2.89976e+06	0	0	3
59	19	0	0.93745743	56399.6755	56088.6049	55417.4824	56399.6755	982.1931	0	0	0	2.89806e+06	0	0	3
60	20	0	0.953346539	56409.5145	56119.6059	55616.3053	56409.5145	793.209168	0	0	0	2.89923e+06	0	0	3
61	20	0	0.969235648	56427.172	56144.6682	55616.3053	56427.172	810.8667	0	0	0	2.90153e+06	0	0	3
62	20	0	0.985124757	56457.2642	56170.9482	55691.4504	56457.2642	765.813835	0	0	0	2.9047e+06	0	0	3
63	21	0	1.00101387	56525.2491	56197.0044	55714.0539	56525.2491	811.195196	1133.72509	0	100	2.90356e+06	0	0	3
64	21	0	1.01690297	56564.9212	56223.594	55803.2916	56564.9212	761.629629	1133.72509	0	100	2.90269e+06	0	0	3
65	21	0	1.03279208	56578.4458	56247.8176	55842.235	56578.4458	736.210775	1133.72509	0	100	2.89807e+06	0	0	3
66	22	0	1.04868119	56603.3631	56271.6028	55920.5159	56603.3631	682.847237	1133.72509	0	100	2.89218e+06	0	0	3
67	22	0	1.0645703	56680.3434	56295.3475	56001.8261	56680.3434	678.517261	1133.72509	0	100	2.89153e+06	0	0	3
68	22	0	1.08045941	56712.0036	56317.5405	56026.276	56712.0036	685.727533	1133.72509	0	100	2.89665e+06	0	0	3
69	23	0	1.09634852	56707.5701	56338.8309	56090.7479	56712.0036	621.255637	1133.72509	0	100	2.89803e+06	0	0	3
70	23	0	1.11223763	56731.9094	56358.8672	56095.6554	56731.9094	636.254079	1133.72509	0	100	2.90049e+06	0	0	3
71	23	0	1.12812674	56801.2243	56380.9163	56142.6197	56801.2243	658.604653	1133.72509	0	100	2.89685e+06	0	0	3
72	24	0	1.14401585	56816.9836	56401.9462	56142.6197	56816.9836	674.36396	1133.72509	0	100	2.8983e+06	0	0	3
73	24	0	1.15990496	56813.4267	56422.909	56185.8974	56816.9836	631.086208	1133.72509	0	100	2.89559e+06	0	0	3
74	24	0	1.17579406	56834.0416	56440.2472	56185.8974	56834.0416	648.144155	1133.72509	0	100	2.8906e+06	0	0	3
75	25	0	1.19168317	56886.0494	56460.3117	56185.8974	56886.0494	700.151968	1133.72509	0	100	2.89575e+06	0	0	3
