Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	16.488791	16.488791	16.488791	16.488791	0	0	0	0	52.239	0	0	3
2	3	0	0.031778218	16.4828305	16.4858108	16.4828305	16.488791	0.00298024103	0	0	0	52.6874	0	0	3
3	3	0	0.0476673269	16.4666728	16.4794314	16.4666728	16.488791	0.00935957228	0	0	0	52.9149	0	0	3
4	4	0	0.0635564359	16.4552679	16.4733906	16.4552679	16.488791	0.0154004572	0	0	0	52.934	0	0	3
5	4	0	0.0794455449	16.4401968	16.4667518	16.4401968	16.488791	0.0220392086	0	0	0	52.9469	0	0	3
6	4	0	0.0953346539	16.425969	16.4599547	16.425969	16.488791	0.0288363344	0	0	0	53.6634	0	0	3
7	5	0	0.111223763	16.419455	16.454169	16.419455	16.488791	0.0346220019	0	0	0	54.3156	0	0	3
8	5	0	0.127112872	16.4161225	16.4494132	16.4161225	16.488791	0.0393778191	0	0	0	54.7532	0	0	3
9	5	0	0.143001981	16.4154145	16.4456356	16.4154145	16.488791	0.0431554555	0	0	0	55.0676	0	0	3
10	5	0	0.15889109	16.4149301	16.442565	16.4149301	16.488791	0.0462260053	0	0	0	55.2326	0	0	3
11	6	0	0.174780199	16.4144899	16.4400127	16.4144899	16.488791	0.0487782917	0	0	0	55.4609	0	0	3
12	6	0	0.190669308	16.4144343	16.4378812	16.4144343	16.488791	0.0509098226	0	0	0	55.9851	0	0	3
13	6	0	0.206558417	16.4152171	16.4361378	16.4144343	16.488791	0.0526532168	0	0	0	56.4412	0	0	3
14	6	0	0.222447526	16.4146807	16.4346051	16.4144343	16.488791	0.0541858625	0	0	0	56.8332	0	0	3
15	7	0	0.238336635	16.4166581	16.4334087	16.4144343	16.488791	0.0553823322	0	0	0	57.1416	0	0	3
16	7	0	0.254225744	16.4159164	16.4323154	16.4144343	16.488791	0.0564756013	0	0	0	57.5247	0	0	3
17	7	0	0.270114853	16.4172165	16.4314272	16.4144343	16.488791	0.0573637738	0	0	0	57.7334	0	0	3
18	8	0	0.286003962	16.4169611	16.4306236	16.4144343	16.488791	0.0581674454	0	0	0	57.9442	0	0	3
19	8	0	0.301893071	16.4178879	16.4299533	16.4144343	16.488791	0.0588377457	0	0	0	58.0101	0	0	3
20	8	0	0.31778218	16.4182264	16.4293669	16.4144343	16.488791	0.0594240867	0	0	0	58.117	0	0	3
21	8	0	0.333671289	16.4188766	16.4288674	16.4144343	16.488791	0.0599236242	0	0	0	58.0636	0	0	3
22	9	0	0.349560398	16.4195177	16.4284424	16.4144343	16.488791	0.0603486114	0	0	0	58.1285	0	0	3
23	9	0	0.365449506	16.4179164	16.4279847	16.4144343	16.488791	0.0608062638	0	0	0	57.9839	0	0	3
24	9	0	0.381338615	16.4193812	16.4276263	16.4144343	16.488791	0.0611647442	0	0	0	58.0289	0	0	3
25	10	0	0.397227724	16.4193256	16.4272942	16.4144343	16.488791	0.0614967689	0	0	0	58.0015	0	0	3
26	10	0	0.413116833	16.4212467	16.4270616	16.4144343	16.488791	0.0617293668	0	0	0	57.9041	0	0	3
27	10	0	0.429005942	16.4203228	16.4268121	16.4144343	16.488791	0.0619789549	0	0	0	57.6892	0	0	3
28	10	0	0.444895051	16.4218619	16.4266353	16.4144343	16.488791	0.0621557451	0	0	0	57.4768	0	0	3
29	11	0	0.46078416	16.4211984	16.4264478	16.4144343	16.488791	0.0623432235	0	0	0	57.2192	0	0	3
30	11	0	0.476673269	16.4228173	16.4263268	16.4144343	16.488791	0.0624642385	0	0	0	56.9903	0	0	3
31	11	0	0.492562378	16.422018	16.4261878	16.4144343	16.488791	0.0626032309	0	0	0	56.6379	0	0	3
32	11	0	0.508451487	16.4231972	16.4260943	16.4144343	16.488791	0.0626966856	0	0	0	56.6534	0	0	3
33	12	0	0.524340596	16.4227861	16.4240317	16.4144343	16.4828305	0.0617790968	0	0	0	56.7615	0	0	3
34	12	0	0.540229705	16.4235621	16.4221795	16.4144343	16.4666728	0.0522384274	0	0	0	56.7884	0	0	3
35	12	0	0.556118814	16.4236942	16.4208365	16.4144343	16.4552679	0.0408335504	0	0	0	56.8455	0	0	3
36	13	0	0.572007923	16.42353	16.4198446	16.4144343	16.4401968	0.0257624479	0	0	0	56.7648	0	0	3
37	13	0	0.587897032	16.423652	16.4193276	16.4144343	16.425969	0.0115346989	0	0	0	56.6897	0	0	3
38	13	0	0.603786141	16.4231881	16.4192407	16.4144343	16.4236942	0.00925985082	0	0	0	56.5176	0	0	3
39	13	0	0.61967525	16.4236488	16.4193718	16.4144343	16.4236942	0.00925985082	0	0	0	56.4433	0	0	3
40	14	0	0.635564359	16.4233365	16.4195972	16.4144343	16.4236942	0.00925985082	0	0	0	56.2717	0	0	3
41	14	0	0.651453468	16.4266066	16.419947	16.4144343	16.4266066	0.0121722223	0	0	0	56.2039	0	0	3
42	14	0	0.667342577	16.4246723	16.4202514	16.4144343	16.4266066	0.0121722223	0	0	0	56.0949	0	0	3
43	15	0	0.683231686	16.4244903	16.4205639	16.4144343	16.4266066	0.0121722223	0	0	0	56.1418	0	0	3
44	15	0	0.699120795	16.4270122	16.420957	16.4146807	16.4270122	0.0123314756	0	0	0	56.0456	0	0	3
45	15	0	0.715009904	16.4260885	16.4212967	16.4146807	16.4270122	0.0123314756	0	0	0	56.0612	0	0	3
46	16	0	0.730899013	16.4247929	16.4216127	16.4159164	16.4270122	0.0110958564	0	0	0	55.9503	0	0	3
47	16	0	0.746788122	16.4274451	16.4219498	16.4159164	16.4274451	0.0115287657	0	0	0	55.9747	0	0	3
48	16	0	0.762677231	16.4245528	16.4222197	16.4169611	16.4274451	0.0104839903	0	0	0	55.8549	0	0	3
49	16	0	0.77856634	16.4242433	16.4224393	16.4169611	16.4274451	0.0104839903	0	0	0	55.8525	0	0	3
50	17	0	0.794455449	16.4241553	16.4226641	16.4178879	16.4274451	0.00955727796	0	0	0	55.6912	0	0	3
51	17	0	0.810344558	16.4239743	16.4228543	16.4179164	16.4274451	0.0095287445	0	0	0	55.7317	0	0	3
52	17	0	0.826233667	16.4244879	16.42305	16.4179164	16.4274451	0.0095287445	0	0	0	55.6319	0	0	3
53	18	0	0.842122776	16.4233456	16.4231896	16.4179164	16.4274451	0.00920168351	0	0	0	55.7409	0	0	3
54	18	0	0.858011885	16.4239479	16.4233281	16.4179164	16.4274451	0.00874403109	0	0	0	55.6472	0	0	3
55	18	0	0.873900994	16.4236316	16.4235067	16.4193256	16.4274451	0.00811949109	0	0	0	55.7244	0	0	3
56	19	0	0.889790103	16.4242941	16.4236602	16.4193256	16.4274451	0.00805352596	0	0	0	55.5967	0	0	3
57	19	0	0.905679212	16.4231883	16.4237809	16.4203228	16.4274451	0.00712237427	0	0	0	55.6575	0	0	3
58	19	0	0.921568321	16.4240716	16.4238692	16.4203228	16.4274451	0.00712237427	0	0	0	55.5675	0	0	3
59	19	0	0.93745743	16.4225679	16.4239394	16.4211984	16.4274451	0.00624674734	0	0	0	55.647	0	0	3
60	20	0	0.953346539	16.4238612	16.4240018	16.4211984	16.4274451	0.00624674734	0	0	0	55.5603	0	0	3
61	20	0	0.969235648	16.4228695	16.4240541	16.422018	16.4274451	0.00542713121	0	0	0	55.6361	0	0	3
62	20	0	0.985124757	16.423682	16.4240811	16.422018	16.4274451	0.00542713121	0	0	0	55.5391	0	0	3
63	21	0	1.00101387	16.4220307	16.4240815	16.4220307	16.4274451	0.00541447063	0.00156715282	0	28.9	55.6041	0	0	3
64	21	0	1.01690297	16.4231583	16.4240803	16.4220307	16.4274451	0.0048407656	0.00156715282	0	32.3	55.486	0	0	3
65	21	0	1.03279208	16.4224499	16.4240698	16.4220307	16.4274451	0.0048407656	0.00156715282	0	32.3	55.5506	0	0	3
66	22	0	1.04868119	16.4235164	16.4240683	16.4220307	16.4274451	0.0048407656	0.00156715282	0	32.3	55.4514	0	0	3
67	22	0	1.0645703	16.4216081	16.4240031	16.4216081	16.4274451	0.0048407656	0.00156715282	0	32.3	55.5484	0	0	3
68	22	0	1.08045941	16.4230107	16.4239869	16.4216081	16.4274451	0.0048407656	0.00156715282	0	32.3	55.4749	0	0	3
69	23	0	1.09634852	16.4224204	16.4239484	16.4216081	16.4274451	0.0048407656	0.00156715282	0	32.3	55.5803	0	0	3
70	23	0	1.11223763	16.4232533	16.4239505	16.4216081	16.4274451	0.00470970989	0.00156715282	0	33.2	55.4839	0	0	3
71	23	0	1.12812674	16.4216299	16.4238874	16.4216081	16.4274451	0.00448427144	0.00156715282	0	34.9	55.5633	0	0	3
72	24	0	1.14401585	16.4230568	16.4238786	16.4216081	16.4274451	0.00413451811	0.00156715282	0	37.9	55.4539	0	0	3
73	24	0	1.15990496	16.422295	16.4237439	16.4216081	16.4274451	0.00383007298	0.00156715282	0	40.9	55.5159	0	0	3
74	24	0	1.17579406	16.4231585	16.4236966	16.4216081	16.4274451	0.00351755965	0.00156715282	0	44.5	55.3978	0	0	3
75	25	0	1.19168317	16.4216789	16.4236087	16.4216081	16.4274451	0.00312450089	0.00156715282	0	50.1	55.4554	0	0	3
76	25	0	1.20757228	16.4228556	16.4234788	16.4216081	16.4274451	0.00278476751	0.00156715282	0	56.2	55.3382	0	0	3
77	25	0	1.22346139	16.4222214	16.423358	16.4216081	16.4274451	0.00246876158	0.00156715282	0	63.4	55.4017	0	0	3
78	26	0	1.2393505	16.4230814	16.4233045	16.4216081	16.4274451	0.00213166675	0.00156715282	0	73.5	55.2911	0	0	3
79	26	0	1.25523961	16.4214749	16.4231179	16.4214749	16.4245528	0.00186177861	0.00156715282	0	84.1	55.3668	0	0	3
80	26	0	1.27112872	16.4224511	16.4230522	16.4214749	16.4244879	0.00164219097	0.00156715282	0	95.4	55.2601	0	0	3
81	27	0	1.28701783	16.4219624	16.422981	16.4214749	16.4244879	0.0014173733	0.00156715282	0	100	55.3192	0	0	3
82	27	0	1.30290694	16.42271	16.4229358	16.4214749	16.4244879	0.00122717064	0.00156715282	0	100	55.202	0	0	3
83	28	0	1.31879605	16.4211664	16.4228481	16.4211664	16.4244879	0.00123342092	0.00156715282	0	100	55.2774	0	0	3
84	28	0	1.33468515	16.4226017	16.4227891	16.4211664	16.4242941	0.00129236659	0.00156715282	0	100	55.1966	0	0	3
85	28	0	1.35057426	16.4218451	16.4227422	16.4211664	16.4242941	0.00133925943	0.00156715282	0	100	55.2953	0	0	3
86	29	0	1.36646337	16.4230285	16.4227135	16.4211664	16.4242941	0.0013679926	0.00156715282	0	100	55.2214	0	0	3
87	29	0	1.38235248	16.4211466	16.4226358	16.4211466	16.4242941	0.00144564785	0.00156715282	0	100	55.3188	0	0	3
88	29	0	1.39824159	16.4226252	16.4225837	16.4211466	16.4240716	0.00149780181	0.00156715282	0	100	55.2307	0	0	3
89	30	0	1.4141307	16.4219522	16.422545	16.4211466	16.4240716	0.00153643127	0.00156715282	0	100	55.3214	0	0	3
90	30	0	1.43001981	16.4233126	16.4225213	16.4211466	16.4238612	0.0015601511	0.00156715282	0	100	55.2335	0	0	3
91	30	0	1.44590892	16.4211673	16.4224776	16.4211466	16.4238612	0.00160391859	0.00156715282	0	97.7	55.3147	0	0	3
92	31	0	1.46179803	16.4228003	16.4224444	16.4211466	16.423682	0.00163707025	0.00156715282	0	95.7	55.209	0	0	3
93	31	0	1.47768713	16.4220066	16.4224174	16.4211466	16.423682	0.00166403796	0.00156715282	0	94.1	55.2796	0	0	3
94	31	0	1.49357624	16.4232588	16.4224042	16.4211466	16.4235164	0.00167726564	0.00156715282	0	93.4	55.171	0	0	3
95	32	0	1.50946535	16.4207112	16.422363	16.4207112	16.4235164	0.00171728486	0.00156715282	0	91.2	55.2348	0	0	3
96	32	0	1.52535446	16.4226784	16.422348	16.4207112	16.4235164	0.00172177291	0.00156715282	0	91	55.1283	0	0	3
97	32	0	1.54124357	16.4221643	16.4223391	16.4207112	16.4235164	0.00172926985	0.00156715282	0	90.6	55.1954	0	0	3
98	33	0	1.55713268	16.4231574	16.4223278	16.4207112	16.4233126	0.00167529535	0.00156715282	0	93.5	55.0989	0	0	3
99	33	0	1.57302179	16.4206841	16.422299	16.4206841	16.4233126	0.00168794024	0.00156715282	0	92.8	55.1802	0	0	3
100	34	0	1.5889109	16.4223866	16.4222795	16.4206841	16.4233126	0.00167099382	0.00156715282	0	93.7	55.0922	0	0	3
101	35	0	1.60480001	16.4219917	16.4222661	16.4206841	16.4233126	0.00168439025	0.00156715282	0	93	55.1756	0	0	3
102	35	0	1.62068912	16.4228568	16.4222537	16.4206841	16.4233126	0.00163369002	0.00156715282	0	95.9	55.0885	0	0	3
103	35	0	1.63657822	16.4211328	16.4222381	16.4206841	16.4233126	0.0016404818	0.00156715282	0	95.5	55.1794	0	0	3
104	36	0	1.65246733	16.422683	16.4222265	16.4206841	16.4233126	0.00151742473	0.00156715282	0	100	55.0985	0	0	3
105	36	0	1.66835644	16.4218757	16.4222134	16.4206841	16.4233126	0.00148322091	0.00156715282	0	100	55.185	0	0	3
106	36	0	1.68424555	16.4226591	16.4221978	16.4206841	16.4233126	0.00141096932	0.00156715282	0	100	55.094	0	0	3
107	37	0	1.70013466	16.4212026	16.4221829	16.4206841	16.4233126	0.00129595765	0.00156715282	0	100	55.1764	0	0	3
108	37	0	1.71602377	16.4223807	16.422168	16.4206841	16.4233126	0.00118994794	0.00156715282	0	100	55.0895	0	0	3
109	37	0	1.73191288	16.4219566	16.4221598	16.4206841	16.4233126	0.00114473485	0.00156715282	0	100	55.1646	0	0	3
