Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	564.77355	564.77355	564.77355	564.77355	0	0	0	0	0	0	0	3
2	3	0	0.031778218	564.569392	564.671471	564.569392	564.77355	0.102079122	0	0	0	0	0	0	3
3	3	0	0.0476673269	564.015957	564.452966	564.015957	564.77355	0.320583775	0	0	0	0	0	0	3
4	4	0	0.0635564359	563.625318	564.246054	563.625318	564.77355	0.527495974	0	0	0	0	0	0	3
5	4	0	0.0794455449	563.109103	564.018664	563.109103	564.77355	0.754886279	0	0	0	0	0	0	3
6	4	0	0.0953346539	562.621774	563.785849	562.621774	564.77355	0.987701217	0	0	0	0	0	0	3
7	5	0	0.111223763	562.398656	563.587679	562.398656	564.77355	1.18587172	0	0	0	0	0	0	3
8	5	0	0.127112872	562.28451	563.424782	562.28451	564.77355	1.34876782	0	0	0	0	0	0	3
9	5	0	0.143001981	562.260259	563.295391	562.260259	564.77355	1.4781593	0	0	0	0	0	0	3
10	5	0	0.15889109	562.243667	563.190219	562.243667	564.77355	1.58333168	0	0	0	0	0	0	3
11	6	0	0.174780199	562.228589	563.102798	562.228589	564.77355	1.67075251	0	0	0	0	0	0	3
12	6	0	0.190669308	562.226688	563.029789	562.226688	564.77355	1.74376164	0	0	0	0	0	0	3
13	6	0	0.206558417	562.253498	562.970074	562.226688	564.77355	1.80347632	0	0	0	0	0	0	3
14	6	0	0.222447526	562.235128	562.917578	562.226688	564.77355	1.85597246	0	0	0	0	0	0	3
15	7	0	0.238336635	562.302856	562.876596	562.226688	564.77355	1.8969539	0	0	0	0	0	0	3
16	7	0	0.254225744	562.27745	562.83915	562.226688	564.77355	1.93440052	0	0	0	0	0	0	3
17	7	0	0.270114853	562.321982	562.808728	562.226688	564.77355	1.96482217	0	0	0	0	0	0	3
18	8	0	0.286003962	562.313236	562.781201	562.226688	564.77355	1.99234951	0	0	0	0	0	0	3
19	8	0	0.301893071	562.344978	562.758242	562.226688	564.77355	2.01530861	0	0	0	0	0	0	3
20	8	0	0.31778218	562.356575	562.738158	562.226688	564.77355	2.03539195	0	0	0	0	0	0	3
21	8	0	0.333671289	562.378845	562.721048	562.226688	564.77355	2.05250209	0	0	0	0	0	0	3
22	9	0	0.349560398	562.400802	562.706492	562.226688	564.77355	2.06705874	0	0	0	0	0	0	3
23	9	0	0.365449506	562.345955	562.690816	562.226688	564.77355	2.08273423	0	0	0	0	0	0	3
24	9	0	0.381338615	562.396128	562.678537	562.226688	564.77355	2.09501289	0	0	0	0	0	0	3
25	10	0	0.397227724	562.394225	562.667165	562.226688	564.77355	2.10638539	0	0	0	0	0	0	3
26	10	0	0.413116833	562.460025	562.659198	562.226688	564.77355	2.11435233	0	0	0	0	0	0	3
27	10	0	0.429005942	562.428378	562.650649	562.226688	564.77355	2.12290121	0	0	0	0	0	0	3
28	10	0	0.444895051	562.481098	562.644594	562.226688	564.77355	2.12895662	0	0	0	0	0	0	3
