Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	4117803.22	4117803.22	4117803.22	4117803.22	0	0	0	0	5.80345e+06	0	0	3
2	3	0	0.031778218	2038910.48	3078356.85	2038910.48	4117803.22	1039446.37	0	0	0	5.52402e+06	0	0	3
3	3	0	0.0476673269	1541291.53	2566001.74	1541291.53	4117803.22	1551801.48	0	0	0	5.38983e+06	0	0	3
4	4	0	0.0635564359	1438712.32	2284179.39	1438712.32	4117803.22	1833623.83	0	0	0	4.64144e+06	0	0	3
5	4	0	0.0794455449	1416220.91	2110587.69	1416220.91	4117803.22	2007215.53	0	0	0	4.07679e+06	0	0	3
6	4	0	0.0953346539	1421482.02	1995736.75	1416220.91	4117803.22	2122066.47	0	0	0	3.25908e+06	0	0	3
7	5	0	0.111223763	1445954.06	1917196.36	1416220.91	4117803.22	2200606.86	0	0	0	2.9584e+06	0	0	3
8	5	0	0.127112872	1446166.93	1858317.68	1416220.91	4117803.22	2259485.53	0	0	0	3.0045e+06	0	0	3
9	5	0	0.143001981	1448821.48	1812818.11	1416220.91	4117803.22	2304985.11	0	0	0	2.96968e+06	0	0	3
10	5	0	0.15889109	1443703.84	1775906.68	1416220.91	4117803.22	2341896.54	0	0	0	2.98255e+06	0	0	3
11	6	0	0.174780199	1458033.81	1747009.15	1416220.91	4117803.22	2370794.07	0	0	0	3.05294e+06	0	0	3
12	6	0	0.190669308	1453943.78	1722587.03	1416220.91	4117803.22	2395216.19	0	0	0	3.12917e+06	0	0	3
13	6	0	0.206558417	1459658.75	1702361.78	1416220.91	4117803.22	2415441.44	0	0	0	3.19316e+06	0	0	3
14	6	0	0.222447526	1451948.64	1684475.13	1416220.91	4117803.22	2433328.09	0	0	0	3.21433e+06	0	0	3
15	7	0	0.238336635	1457302.1	1669330.26	1416220.91	4117803.22	2448472.96	0	0	0	3.20038e+06	0	0	3
16	7	0	0.254225744	1456936.97	1656055.68	1416220.91	4117803.22	2461747.54	0	0	0	3.19487e+06	0	0	3
17	7	0	0.270114853	1462033.68	1644642.62	1416220.91	4117803.22	2473160.6	0	0	0	3.17475e+06	0	0	3
18	8	0	0.286003962	1462953.31	1634548.77	1416220.91	4117803.22	2483254.45	0	0	0	3.16534e+06	0	0	3
19	8	0	0.301893071	1463033.15	1625521.63	1416220.91	4117803.22	2492281.59	0	0	0	3.13404e+06	0	0	3
20	8	0	0.31778218	1465096.64	1617500.38	1416220.91	4117803.22	2500302.84	0	0	0	3.12827e+06	0	0	3
21	8	0	0.333671289	1467641.22	1610364.23	1416220.91	4117803.22	2507438.99	0	0	0	3.11208e+06	0	0	3
22	9	0	0.349560398	1469504.61	1603961.52	1416220.91	4117803.22	2513841.7	0	0	0	3.1159e+06	0	0	3
23	9	0	0.365449506	1471012.36	1598181.12	1416220.91	4117803.22	2519622.1	0	0	0	3.10614e+06	0	0	3
24	9	0	0.381338615	1473216.28	1592974.25	1416220.91	4117803.22	2524828.97	0	0	0	3.11164e+06	0	0	3
25	10	0	0.397227724	1472588.24	1588158.81	1416220.91	4117803.22	2529644.41	0	0	0	3.10725e+06	0	0	3
26	10	0	0.413116833	1468884.08	1583571.32	1416220.91	4117803.22	2534231.9	0	0	0	3.11245e+06	0	0	3
27	10	0	0.429005942	1473656.6	1579500.41	1416220.91	4117803.22	2538302.81	0	0	0	3.10434e+06	0	0	3
28	10	0	0.444895051	1477467.22	1575856.37	1416220.91	4117803.22	2541946.85	0	0	0	3.10808e+06	0	0	3
29	11	0	0.46078416	1479409.3	1572530.6	1416220.91	4117803.22	2545272.61	0	0	0	3.09874e+06	0	0	3
30	11	0	0.476673269	1482449.53	1569527.9	1416220.91	4117803.22	2548275.32	0	0	0	3.10611e+06	0	0	3
31	11	0	0.492562378	1486114.58	1566837.15	1416220.91	4117803.22	2550966.07	0	0	0	3.09248e+06	0	0	3
32	11	0	0.508451487	1488426.56	1564386.82	1416220.91	4117803.22	2553416.4	0	0	0	3.09218e+06	0	0	3
33	12	0	0.524340596	1486812.46	1482168.36	1416220.91	2038910.48	622689.571	0	0	0	3.07606e+06	0	0	3
34	12	0	0.540229705	1481623.56	1464753.14	1416220.91	1541291.53	125070.62	0	0	0	3.0992e+06	0	0	3
35	12	0	0.556118814	1480750.27	1462861.23	1416220.91	1488426.56	72205.6506	0	0	0	3.07479e+06	0	0	3
36	13	0	0.572007923	1484021.11	1464277.13	1416220.91	1488426.56	72205.6506	0	0	0	3.08035e+06	0	0	3
37	13	0	0.587897032	1499428.38	1466877.36	1421482.02	1499428.38	77946.3629	0	0	0	3.01769e+06	0	0	3
38	13	0	0.603786141	1504003.01	1469456.14	1443703.84	1504003.01	60299.1688	0	0	0	3.02654e+06	0	0	3
39	13	0	0.61967525	1505434.33	1471314.9	1443703.84	1505434.33	61730.4974	0	0	0	2.99267e+06	0	0	3
40	14	0	0.635564359	1503231.58	1473098.17	1443703.84	1505434.33	61730.4974	0	0	0	2.99886e+06	0	0	3
41	14	0	0.651453468	1500037.04	1474698.66	1443703.84	1505434.33	61730.4974	0	0	0	2.95669e+06	0	0	3
42	14	0	0.667342577	1498368.55	1476406.93	1451948.64	1505434.33	53485.6918	0	0	0	2.98751e+06	0	0	3
43	15	0	0.683231686	1499294.86	1477696.34	1451948.64	1505434.33	53485.6918	0	0	0	2.94101e+06	0	0	3
44	15	0	0.699120795	1500903.73	1479163.83	1451948.64	1505434.33	53485.6918	0	0	0	2.95552e+06	0	0	3
45	15	0	0.715009904	1503550.16	1480535.44	1451948.64	1505434.33	53485.6918	0	0	0	2.90899e+06	0	0	3
46	16	0	0.730899013	1502913.97	1482128.11	1456936.97	1505434.33	48497.3658	0	0	0	2.93501e+06	0	0	3
47	16	0	0.746788122	1503123.78	1483560.04	1456936.97	1505434.33	48497.3658	0	0	0	2.9127e+06	0	0	3
48	16	0	0.762677231	1504307.36	1485040.36	1462033.68	1505434.33	43400.6499	0	0	0	2.92158e+06	0	0	3
49	16	0	0.77856634	1505479.8	1486398.05	1462953.31	1505479.8	42526.4898	0	0	0	2.90541e+06	0	0	3
50	17	0	0.794455449	1503120.76	1487653.28	1463033.15	1505479.8	42446.651	0	0	0	2.91175e+06	0	0	3
51	17	0	0.810344558	1502346.93	1488881.84	1465096.64	1505479.8	40383.153	0	0	0	2.90073e+06	0	0	3
52	17	0	0.826233667	1497759.59	1489902.56	1467641.22	1505479.8	37838.5745	0	0	0	2.89871e+06	0	0	3
53	18	0	0.842122776	1499013.61	1490882.94	1468884.08	1505479.8	36595.7148	0	0	0	2.89733e+06	0	0	3
54	18	0	0.858011885	1498716.58	1491795.82	1468884.08	1505479.8	36595.7148	0	0	0	2.90314e+06	0	0	3
55	18	0	0.873900994	1503889.75	1492823.24	1468884.08	1505479.8	36595.7148	0	0	0	2.9019e+06	0	0	3
56	19	0	0.889790103	1503471.76	1493768.72	1468884.08	1505479.8	36595.7148	0	0	0	2.9018e+06	0	0	3
57	19	0	0.905679212	1504244.1	1494757.97	1468884.08	1505479.8	36595.7148	0	0	0	2.89604e+06	0	0	3
58	19	0	0.921568321	1502725	1495815.49	1473656.6	1505479.8	31823.1999	0	0	0	2.89976e+06	0	0	3
59	19	0	0.93745743	1502597.37	1496719.89	1477467.22	1505479.8	28012.5756	0	0	0	2.89806e+06	0	0	3
60	20	0	0.953346539	1499677.85	1497413.97	1479409.3	1505479.8	26070.4968	0	0	0	2.89923e+06	0	0	3
61	20	0	0.969235648	1500668.86	1498078.34	1480750.27	1505479.8	24729.524	0	0	0	2.90153e+06	0	0	3
62	20	0	0.985124757	1501144.79	1498662.56	1480750.27	1505479.8	24729.524	0	0	0	2.9047e+06	0	0	3
63	21	0	1.00101387	1505460.04	1499267.11	1480750.27	1505479.8	24729.524	3752.11859	0	15.1	2.90356e+06	0	0	3
64	21	0	1.01690297	1504745.01	1499777.06	1480750.27	1505479.8	24729.524	3752.11859	0	15.1	2.90269e+06	0	0	3
65	21	0	1.03279208	1503896.37	1500310.93	1480750.27	1505479.8	24729.524	3752.11859	0	15.1	2.89807e+06	0	0	3
66	22	0	1.04868119	1499130.71	1500858.03	1480750.27	1505479.8	24729.524	3752.11859	0	15.1	2.89218e+06	0	0	3
67	22	0	1.0645703	1497248.85	1501373.61	1484021.11	1505479.8	21458.6892	3752.11859	0	17.4	2.89153e+06	0	0	3
68	22	0	1.08045941	1493976.03	1501684.7	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89665e+06	0	0	3
69	23	0	1.09634852	1495922.81	1501575.15	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89803e+06	0	0	3
70	23	0	1.11223763	1496916.35	1501353.7	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.90049e+06	0	0	3
71	23	0	1.12812674	1500109.58	1501187.3	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89685e+06	0	0	3
72	24	0	1.14401585	1498108.44	1501027.2	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.8983e+06	0	0	3
73	24	0	1.15990496	1500465.01	1501040.57	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89559e+06	0	0	3
74	24	0	1.17579406	1500391.52	1501103.79	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.8906e+06	0	0	3
75	25	0	1.19168317	1501920.85	1501185.85	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89575e+06	0	0	3
76	25	0	1.20757228	1498469.37	1501109.78	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89667e+06	0	0	3
77	25	0	1.22346139	1496595.23	1500892.44	1493976.03	1505479.8	11503.7642	3752.11859	0	32.6	2.89282e+06	0	0	3
