Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	29.4705023	29.4705023	29.4705023	29.4705023	0	0	0	0	52.239	0	0	3
2	3	0	0.031778218	29.4874622	29.4789822	29.4705023	29.4874622	0.00847994761	0	0	0	52.6874	0	0	3
3	3	0	0.0476673269	29.4913602	29.4831082	29.4705023	29.4913602	0.0126059442	0	0	0	52.9149	0	0	3
4	4	0	0.0635564359	29.4989828	29.4870769	29.4705023	29.4989828	0.0165745856	0	0	0	52.934	0	0	3
5	4	0	0.0794455449	29.509585	29.4915785	29.4705023	29.509585	0.0210762094	0	0	0	52.9469	0	0	3
6	4	0	0.0953346539	29.5283942	29.4977145	29.4705023	29.5283942	0.0272121605	0	0	0	53.6634	0	0	3
7	5	0	0.111223763	29.554157	29.5057777	29.4705023	29.554157	0.0352753839	0	0	0	54.3156	0	0	3
8	5	0	0.127112872	29.5916331	29.5165096	29.4705023	29.5916331	0.0460073111	0	0	0	54.7532	0	0	3
9	5	0	0.143001981	29.6177197	29.5277552	29.4705023	29.6177197	0.0572528815	0	0	0	55.0676	0	0	3
10	5	0	0.15889109	29.646901	29.5396698	29.4705023	29.646901	0.0691674619	0	0	0	55.2326	0	0	3
11	6	0	0.174780199	29.6617165	29.5507649	29.4705023	29.6617165	0.0802626224	0	0	0	55.4609	0	0	3
12	6	0	0.190669308	29.6808474	29.5616051	29.4705023	29.6808474	0.0911028322	0	0	0	55.9851	0	0	3
13	6	0	0.206558417	29.6918054	29.5716205	29.4705023	29.6918054	0.101118241	0	0	0	56.4412	0	0	3
14	6	0	0.222447526	29.7027652	29.580988	29.4705023	29.7027652	0.110485718	0	0	0	56.8332	0	0	3
15	7	0	0.238336635	29.6968673	29.5887133	29.4705023	29.7027652	0.118211004	0	0	0	57.1416	0	0	3
16	7	0	0.254225744	29.7108199	29.596345	29.4705023	29.7108199	0.125842665	0	0	0	57.5247	0	0	3
17	7	0	0.270114853	29.6917583	29.6019575	29.4705023	29.7108199	0.131455213	0	0	0	57.7334	0	0	3
18	8	0	0.286003962	29.6920901	29.6069649	29.4705023	29.7108199	0.13646258	0	0	0	57.9442	0	0	3
19	8	0	0.301893071	29.6853131	29.6110885	29.4705023	29.7108199	0.140586168	0	0	0	58.0101	0	0	3
20	8	0	0.31778218	29.6831589	29.614692	29.4705023	29.7108199	0.144189691	0	0	0	58.117	0	0	3
