Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	1311.08928	1311.08928	1311.08928	1311.08928	0	0	0	0	0	0	0	3
2	3	0	0.031778218	1311.84379	1311.46653	1311.08928	1311.84379	0.377257512	0	0	0	0	0	0	3
3	3	0	0.0476673269	1312.01721	1311.65009	1311.08928	1312.01721	0.560815628	0	0	0	0	0	0	3
4	4	0	0.0635564359	1312.35632	1311.82665	1311.08928	1312.35632	0.737373296	0	0	0	0	0	0	3
5	4	0	0.0794455449	1312.82799	1312.02692	1311.08928	1312.82799	0.937642388	0	0	0	0	0	0	3
6	4	0	0.0953346539	1313.66478	1312.2999	1311.08928	1313.66478	1.21061974	0	0	0	0	0	0	3
7	5	0	0.111223763	1314.81092	1312.65861	1311.08928	1314.81092	1.56933795	0	0	0	0	0	0	3
8	5	0	0.127112872	1316.47817	1313.13606	1311.08928	1316.47817	2.04678195	0	0	0	0	0	0	3
9	5	0	0.143001981	1317.63871	1313.63635	1311.08928	1317.63871	2.54707701	0	0	0	0	0	0	3
10	5	0	0.15889109	1318.93693	1314.16641	1311.08928	1318.93693	3.07713511	0	0	0	0	0	0	3
11	6	0	0.174780199	1319.59605	1314.66001	1311.08928	1319.59605	3.57073871	0	0	0	0	0	0	3
12	6	0	0.190669308	1320.44715	1315.14228	1311.08928	1320.44715	4.05300002	0	0	0	0	0	0	3
13	6	0	0.206558417	1320.93465	1315.58784	1311.08928	1320.93465	4.49856742	0	0	0	0	0	0	3
14	6	0	0.222447526	1321.42223	1316.00458	1311.08928	1321.42223	4.91530948	0	0	0	0	0	0	3
15	7	0	0.238336635	1321.15984	1316.34827	1311.08928	1321.42223	5.25899347	0	0	0	0	0	0	3
16	7	0	0.254225744	1321.78057	1316.68779	1311.08928	1321.78057	5.59851228	0	0	0	0	0	0	3
17	7	0	0.270114853	1320.93255	1316.93748	1311.08928	1321.78057	5.84820437	0	0	0	0	0	0	3
18	8	0	0.286003962	1320.94732	1317.16025	1311.08928	1321.78057	6.07097305	0	0	0	0	0	0	3
19	8	0	0.301893071	1320.64582	1317.3437	1311.08928	1321.78057	6.25442402	0	0	0	0	0	0	3
20	8	0	0.31778218	1320.54998	1317.50401	1311.08928	1321.78057	6.41473824	0	0	0	0	0	0	3
21	8	0	0.333671289	1320.40037	1317.64194	1311.08928	1321.78057	6.55265973	0	0	0	0	0	0	3
22	9	0	0.349560398	1320.33692	1317.76443	1311.08928	1321.78057	6.67515885	0	0	0	0	0	0	3
