Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.031778218	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0476673269	0	0	0	0	0	0	0	0	0	0	0	3
4	4	0	0.0635564359	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0794455449	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0953346539	0	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.111223763	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.127112872	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.143001981	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.15889109	0	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.174780199	0	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.190669308	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.206558417	0	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.222447526	0	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.238336635	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.254225744	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.270114853	0	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.286003962	0	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.301893071	0	0	0	0	0	0	0	0	0	0	0	3
20	8	0	0.31778218	0	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.333671289	0	0	0	0	0	0	0	0	0	0	0	3
22	9	0	0.349560398	0	0	0	0	0	0	0	0	0	0	0	3
23	9	0	0.365449506	0	0	0	0	0	0	0	0	0	0	0	3
24	9	0	0.381338615	0	0	0	0	0	0	0	0	0	0	0	3
25	10	0	0.397227724	0	0	0	0	0	0	0	0	0	0	0	3
26	10	0	0.413116833	0	0	0	0	0	0	0	0	0	0	0	3
27	10	0	0.429005942	0	0	0	0	0	0	0	0	0	0	0	3
28	10	0	0.444895051	0	0	0	0	0	0	0	0	0	0	0	3
29	11	0	0.46078416	0	0	0	0	0	0	0	0	0	0	0	3
30	11	0	0.476673269	0	0	0	0	0	0	0	0	0	0	0	3
31	11	0	0.492562378	0	0	0	0	0	0	0	0	0	0	0	3
32	11	0	0.508451487	0	0	0	0	0	0	0	0	0	0	0	3
33	12	0	0.524340596	0	0	0	0	0	0	0	0	0	0	0	3
34	12	0	0.540229705	0	0	0	0	0	0	0	0	0	0	0	3
35	12	0	0.556118814	0	0	0	0	0	0	0	0	0	0	0	3
36	13	0	0.572007923	0	0	0	0	0	0	0	0	0	0	0	3
37	13	0	0.587897032	0	0	0	0	0	0	0	0	0	0	0	3
38	13	0	0.603786141	0	0	0	0	0	0	0	0	0	0	0	3
39	13	0	0.61967525	0	0	0	0	0	0	0	0	0	0	0	3
40	14	0	0.635564359	0	0	0	0	0	0	0	0	0	0	0	3
41	14	0	0.651453468	0	0	0	0	0	0	0	0	0	0	0	3
42	14	0	0.667342577	0	0	0	0	0	0	0	0	0	0	0	3
43	15	0	0.683231686	0	0	0	0	0	0	0	0	0	0	0	3
44	15	0	0.699120795	0	0	0	0	0	0	0	0	0	0	0	3
45	15	0	0.715009904	0	0	0	0	0	0	0	0	0	0	0	3
46	16	0	0.730899013	0	0	0	0	0	0	0	0	0	0	0	3
47	16	0	0.746788122	0	0	0	0	0	0	0	0	0	0	0	3
48	16	0	0.762677231	0	0	0	0	0	0	0	0	0	0	0	3
49	16	0	0.77856634	0	0	0	0	0	0	0	0	0	0	0	3
50	17	0	0.794455449	0	0	0	0	0	0	0	0	0	0	0	3
51	17	0	0.810344558	0	0	0	0	0	0	0	0	0	0	0	3
52	17	0	0.826233667	0	0	0	0	0	0	0	0	0	0	0	3
53	18	0	0.842122776	0	0	0	0	0	0	0	0	0	0	0	3
54	18	0	0.858011885	0	0	0	0	0	0	0	0	0	0	0	3
55	18	0	0.873900994	0	0	0	0	0	0	0	0	0	0	0	3
56	19	0	0.889790103	0	0	0	0	0	0	0	0	0	0	0	3
57	19	0	0.905679212	0	0	0	0	0	0	0	0	0	0	0	3
58	19	0	0.921568321	0	0	0	0	0	0	0	0	0	0	0	3
59	19	0	0.93745743	0	0	0	0	0	0	0	0	0	0	0	3
60	20	0	0.953346539	0	0	0	0	0	0	0	0	0	0	0	3
61	20	0	0.969235648	0	0	0	0	0	0	0	0	0	0	0	3
62	20	0	0.985124757	0	0	0	0	0	0	0	0	0	0	0	3
63	21	0	1.00101387	0	0	0	0	0	5e-06	0	0	0	0	0	3
64	21	0	1.01690297	0	0	0	0	0	5e-06	0	0	0	0	0	3
65	21	0	1.03279208	0	0	0	0	0	5e-06	0	0	0	0	0	3
66	22	0	1.04868119	0	0	0	0	0	5e-06	0	0	0	0	0	3
67	22	0	1.0645703	0	0	0	0	0	5e-06	0	0	0	0	0	3
68	22	0	1.08045941	0	0	0	0	0	5e-06	0	0	0	0	0	3
69	23	0	1.09634852	0	0	0	0	0	5e-06	0	0	0	0	0	3
