Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	6.85974079e-06	6.85974079e-06	6.85974079e-06	6.85974079e-06	0	0	0	0	0	0	0	3
2	3	0	0.031778218	1.4059063e-06	4.13282354e-06	1.4059063e-06	6.85974079e-06	2.72691725e-06	0	0	0	0	0	0	3
3	3	0	0.0476673269	-1.62829084e-06	2.21245208e-06	-1.62829084e-06	6.85974079e-06	4.64728871e-06	0	0	0	0	0	0	3
4	4	0	0.0635564359	-2.8654741e-06	9.42970536e-07	-2.8654741e-06	6.85974079e-06	5.91677026e-06	0	0	0	0	0	0	3
5	4	0	0.0794455449	-8.53296717e-07	5.83717086e-07	-2.8654741e-06	6.85974079e-06	6.27602371e-06	0	0	0	0	0	0	3
6	4	0	0.0953346539	-8.51465868e-07	3.44519927e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
7	5	0	0.111223763	9.49087946e-07	4.30886787e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
8	5	0	0.127112872	9.58523306e-07	4.96841352e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
9	5	0	0.143001981	7.96500704e-07	5.30136835e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
10	5	0	0.15889109	4.10687403e-07	5.18191892e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
11	6	0	0.174780199	3.20556388e-07	5.00225028e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
12	6	0	0.190669308	2.13962416e-07	4.7636981e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
13	6	0	0.206558417	6.82261736e-08	4.44974146e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
14	6	0	0.222447526	3.20832008e-09	4.13419444e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
15	7	0	0.238336635	4.32096737e-07	4.14664597e-07	-2.8654741e-06	6.85974079e-06	6.51522086e-06	0	0	0	0	0	0	3
16	7	0	0.254225744	-8.91622795e-07	3.33021635e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
17	7	0	0.270114853	9.11530477e-07	3.67051567e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
18	8	0	0.286003962	1.44232488e-07	3.54672729e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
19	8	0	0.301893071	1.6585995e-07	3.44735214e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
20	8	0	0.31778218	1.06260581e-06	3.80628744e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
21	8	0	0.333671289	1.39237478e-06	4.28807127e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
22	9	0	0.349560398	1.67638606e-07	4.16935831e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
23	9	0	0.365449506	-1.12971993e-07	3.9389636e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
24	9	0	0.381338615	5.53216865e-07	4.00534715e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
25	10	0	0.397227724	5.90062266e-07	4.08115817e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
26	10	0	0.413116833	7.48865195e-07	4.21221562e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
27	10	0	0.429005942	-1.15334398e-06	3.6290432e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
28	10	0	0.444895051	6.1298395e-07	3.71835735e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
29	11	0	0.46078416	4.54568757e-08	3.60581292e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
30	11	0	0.476673269	1.12873844e-06	3.8618653e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
31	11	0	0.492562378	1.70605744e-07	3.79232311e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
32	11	0	0.508451487	1.55231717e-06	4.15891213e-07	-2.8654741e-06	6.85974079e-06	6.52671916e-06	0	0	0	0	0	0	3
33	12	0	0.524340596	9.39447211e-07	2.30882039e-07	-2.8654741e-06	1.55231717e-06	3.90194151e-06	0	0	0	0	0	0	3
34	12	0	0.540229705	1.5026146e-06	2.33904173e-07	-2.8654741e-06	1.55231717e-06	1.98157004e-06	0	0	0	0	0	0	3
35	12	0	0.556118814	6.09238844e-07	3.03826976e-07	-2.8654741e-06	1.55231717e-06	7.12088498e-07	0	0	0	0	0	0	3
36	13	0	0.572007923	1.69760507e-06	4.464232e-07	-1.15334398e-06	1.69760507e-06	3.52835047e-07	0	0	0	0	0	0	3
37	13	0	0.587897032	4.38045758e-07	4.86777653e-07	-1.15334398e-06	1.69760507e-06	2.99254796e-07	0	0	0	0	0	0	3
38	13	0	0.603786141	8.06492674e-06	7.65414922e-07	-1.15334398e-06	8.06492674e-06	5.34532883e-07	0	0	0	0	0	0	3
39	13	0	0.61967525	1.81391616e-06	7.92440803e-07	-1.15334398e-06	8.06492674e-06	5.61558765e-07	0	0	0	0	0	0	3
40	14	0	0.635564359	8.44412587e-07	7.88874843e-07	-1.15334398e-06	8.06492674e-06	5.61558765e-07	0	0	0	0	0	0	3
41	14	0	0.651453468	1.25319207e-06	8.03146448e-07	-1.15334398e-06	8.06492674e-06	5.7226441e-07	0	0	0	0	0	0	3
42	14	0	0.667342577	1.12031514e-06	8.25322315e-07	-1.15334398e-06	8.06492674e-06	5.94440276e-07	0	0	0	0	0	0	3
43	15	0	0.683231686	-1.34255085e-06	7.73350214e-07	-1.34255085e-06	8.06492674e-06	5.94440276e-07	0	0	0	0	0	0	3
44	15	0	0.699120795	8.90582291e-07	7.94494585e-07	-1.34255085e-06	8.06492674e-06	5.94440276e-07	0	0	0	0	0	0	3
45	15	0	0.715009904	3.25264013e-06	8.94007521e-07	-1.34255085e-06	8.06492674e-06	6.63125482e-07	0	0	0	0	0	0	3
46	16	0	0.730899013	2.411845e-06	9.69277417e-07	-1.34255085e-06	8.06492674e-06	7.38395379e-07	0	0	0	0	0	0	3
47	16	0	0.746788122	1.46869769e-06	1.0016712e-06	-1.34255085e-06	8.06492674e-06	7.70789158e-07	0	0	0	0	0	0	3
48	16	0	0.762677231	1.5878419e-06	1.07915447e-06	-1.34255085e-06	8.06492674e-06	8.4827243e-07	0	0	0	0	0	0	3
49	16	0	0.77856634	8.22714035e-07	1.07637895e-06	-1.34255085e-06	8.06492674e-06	8.4827243e-07	0	0	0	0	0	0	3
50	17	0	0.794455449	1.63217045e-06	1.12287702e-06	-1.34255085e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
51	17	0	0.810344558	-4.94679891e-07	1.10223515e-06	-1.34255085e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
52	17	0	0.826233667	-1.93373994e-06	1.00859934e-06	-1.93373994e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
53	18	0	0.842122776	-1.82490746e-07	9.59384793e-07	-1.93373994e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
54	18	0	0.858011885	2.37228755e-06	1.02828007e-06	-1.93373994e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
55	18	0	0.873900994	1.46035959e-06	1.07744669e-06	-1.93373994e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
56	19	0	0.889790103	1.80040346e-06	1.11642127e-06	-1.93373994e-06	8.06492674e-06	8.91994978e-07	0	0	0	0	0	0	3
57	19	0	0.905679212	1.0008107e-06	1.12925715e-06	-1.93373994e-06	8.06492674e-06	8.98375116e-07	0	0	0	0	0	0	3
