Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.015889109	424179.073	424179.073	424179.073	424179.073	0	0	0	0	5.67577e+06	0	0	3
2	3	0	0.031778218	211159.033	317669.053	211159.033	424179.073	106510.02	0	0	0	5.52402e+06	0	0	3
3	3	0	0.0476673269	112359.251	249232.453	112359.251	424179.073	174946.621	0	0	0	5.38983e+06	0	0	3
4	4	0	0.0635564359	76583.1307	206070.122	76583.1307	424179.073	218108.951	0	0	0	4.51352e+06	0	0	3
5	4	0	0.0794455449	72111.4787	179278.393	72111.4787	424179.073	244900.68	0	0	0	3.78244e+06	0	0	3
6	4	0	0.0953346539	76112.9571	162084.154	72111.4787	424179.073	262094.919	0	0	0	2.8311e+06	0	0	3
7	5	0	0.111223763	79865.439	150338.623	72111.4787	424179.073	273840.45	0	0	0	2.47095e+06	0	0	3
8	5	0	0.127112872	80426.7955	141599.645	72111.4787	424179.073	282579.428	0	0	0	2.57737e+06	0	0	3
9	5	0	0.143001981	80098.2172	134766.153	72111.4787	424179.073	289412.92	0	0	0	2.64378e+06	0	0	3
10	5	0	0.15889109	79113.3671	129200.874	72111.4787	424179.073	294978.199	0	0	0	2.63726e+06	0	0	3
11	6	0	0.174780199	79107.8234	124646.961	72111.4787	424179.073	299532.113	0	0	0	2.62061e+06	0	0	3
12	6	0	0.190669308	78588.4212	120808.749	72111.4787	424179.073	303370.324	0	0	0	2.53765e+06	0	0	3
13	6	0	0.206558417	78584.4841	117560.729	72111.4787	424179.073	306618.345	0	0	0	2.48402e+06	0	0	3
14	6	0	0.222447526	78340.1438	114759.258	72111.4787	424179.073	309419.815	0	0	0	2.49436e+06	0	0	3
15	7	0	0.238336635	78282.9154	112327.502	72111.4787	424179.073	311851.571	0	0	0	2.44865e+06	0	0	3
16	7	0	0.254225744	78323.5099	110202.253	72111.4787	424179.073	313976.821	0	0	0	2.46485e+06	0	0	3
17	7	0	0.270114853	78308.0311	108326.122	72111.4787	424179.073	315852.951	0	0	0	2.43846e+06	0	0	3
18	8	0	0.286003962	78554.2776	106672.131	72111.4787	424179.073	317506.943	0	0	0	2.46367e+06	0	0	3
19	8	0	0.301893071	78661.443	105197.884	72111.4787	424179.073	318981.189	0	0	0	2.44086e+06	0	0	3
20	8	0	0.31778218	78899.0767	103882.943	72111.4787	424179.073	320296.13	0	0	0	2.5094e+06	0	0	3
21	8	0	0.333671289	79102.3066	102702.913	72111.4787	424179.073	321476.16	0	0	0	2.42651e+06	0	0	3
22	9	0	0.349560398	79220.7103	101635.54	72111.4787	424179.073	322543.533	0	0	0	2.448e+06	0	0	3
23	9	0	0.365449506	79670.2967	100680.53	72111.4787	424179.073	323498.544	0	0	0	2.38207e+06	0	0	3
24	9	0	0.381338615	79794.156	99810.2641	72111.4787	424179.073	324368.809	0	0	0	2.4061e+06	0	0	3
25	10	0	0.397227724	79966.0887	99016.4971	72111.4787	424179.073	325162.576	0	0	0	2.36964e+06	0	0	3
26	10	0	0.413116833	79835.9652	98278.7843	72111.4787	424179.073	325900.289	0	0	0	2.37656e+06	0	0	3
27	10	0	0.429005942	80114.8567	97606.0463	72111.4787	424179.073	326573.027	0	0	0	2.36276e+06	0	0	3
28	10	0	0.444895051	80228.6996	96985.4268	72111.4787	424179.073	327193.647	0	0	0	2.37962e+06	0	0	3
29	11	0	0.46078416	80455.9538	96415.4449	72111.4787	424179.073	327763.628	0	0	0	2.35177e+06	0	0	3
30	11	0	0.476673269	80516.7267	95885.4877	72111.4787	424179.073	328293.586	0	0	0	2.35499e+06	0	0	3
31	11	0	0.492562378	80689.3399	95395.2893	72111.4787	424179.073	328783.784	0	0	0	2.37452e+06	0	0	3
32	11	0	0.508451487	80768.5011	94938.2022	72111.4787	424179.073	329240.871	0	0	0	2.37639e+06	0	0	3
33	12	0	0.524340596	80819.3691	84208.2115	72111.4787	211159.033	139047.555	0	0	0	2.39743e+06	0	0	3
34	12	0	0.540229705	80713.8042	80131.798	72111.4787	112359.251	40247.7726	0	0	0	2.40167e+06	0	0	3
35	12	0	0.556118814	80763.8224	79144.4409	72111.4787	80819.3691	8707.89041	0	0	0	2.43074e+06	0	0	3
36	13	0	0.572007923	80906.6597	79279.5512	72111.4787	80906.6597	8795.18099	0	0	0	2.42778e+06	0	0	3
37	13	0	0.587897032	81330.3375	79567.6405	76112.9571	81330.3375	5217.38032	0	0	0	2.45888e+06	0	0	3
38	13	0	0.603786141	81496.8528	79735.8873	78282.9154	81496.8528	3213.9374	0	0	0	2.45422e+06	0	0	3
39	13	0	0.61967525	81544.0683	79788.3444	78282.9154	81544.0683	3261.15287	0	0	0	2.4848e+06	0	0	3
40	14	0	0.635564359	81516.3997	79822.3945	78282.9154	81544.0683	3261.15287	0	0	0	2.47787e+06	0	0	3
41	14	0	0.651453468	81418.1343	79863.642	78282.9154	81544.0683	3261.15287	0	0	0	2.50091e+06	0	0	3
42	14	0	0.667342577	81485.5035	79937.7712	78282.9154	81544.0683	3261.15287	0	0	0	2.49018e+06	0	0	3
43	15	0	0.683231686	81462.748	80011.3626	78282.9154	81544.0683	3261.15287	0	0	0	2.51282e+06	0	0	3
44	15	0	0.699120795	81511.3024	80102.7027	78282.9154	81544.0683	3261.15287	0	0	0	2.49962e+06	0	0	3
45	15	0	0.715009904	81657.9406	80198.7482	78282.9154	81657.9406	3375.02519	0	0	0	2.52232e+06	0	0	3
46	16	0	0.730899013	81582.6187	80300.0755	78282.9154	81657.9406	3375.02519	0	0	0	2.50886e+06	0	0	3
47	16	0	0.746788122	81537.3872	80401.7777	78308.0311	81657.9406	3349.90952	0	0	0	2.52842e+06	0	0	3
48	16	0	0.762677231	81613.3778	80504.5861	78308.0311	81657.9406	3349.90952	0	0	0	2.51064e+06	0	0	3
49	16	0	0.77856634	81598.4515	80607.4118	78554.2776	81657.9406	3103.66295	0	0	0	2.52548e+06	0	0	3
50	17	0	0.794455449	81524.9008	80700.2437	78661.443	81657.9406	2996.49758	0	0	0	2.50414e+06	0	0	3
51	17	0	0.810344558	81469.8205	80788.0055	78899.0767	81657.9406	2758.86385	0	0	0	2.51751e+06	0	0	3
52	17	0	0.826233667	81322.6171	80863.7412	79102.3066	81657.9406	2555.63394	0	0	0	2.4956e+06	0	0	3
53	18	0	0.842122776	81357.6427	80934.2204	79220.7103	81657.9406	2437.23029	0	0	0	2.51096e+06	0	0	3
54	18	0	0.858011885	81374.4677	81001.5253	79670.2967	81657.9406	1987.64384	0	0	0	2.49361e+06	0	0	3
55	18	0	0.873900994	81546.1289	81060.1451	79794.156	81657.9406	1863.78459	0	0	0	2.50847e+06	0	0	3
56	19	0	0.889790103	81540.9699	81114.733	79835.9652	81657.9406	1821.97543	0	0	0	2.49141e+06	0	0	3
57	19	0	0.905679212	81584.0485	81165.2943	79835.9652	81657.9406	1821.97543	0	0	0	2.50783e+06	0	0	3
58	19	0	0.921568321	81566.9958	81219.389	80114.8567	81657.9406	1543.08391	0	0	0	2.48935e+06	0	0	3
59	19	0	0.93745743	81646.742	81267.2604	80228.6996	81657.9406	1429.24101	0	0	0	2.50555e+06	0	0	3
60	20	0	0.953346539	81570.7072	81309.1981	80455.9538	81657.9406	1201.98673	0	0	0	2.48621e+06	0	0	3
61	20	0	0.969235648	81625.5287	81345.7473	80516.7267	81657.9406	1141.21385	0	0	0	2.50486e+06	0	0	3
62	20	0	0.985124757	81662.0233	81381.5379	80689.3399	81662.0233	972.683348	0	0	0	2.48516e+06	0	0	3
63	21	0	1.00101387	81846.8307	81417.7094	80713.8042	81846.8307	1133.02654	1207.43318	0	0	2.50324e+06	0	0	3
64	21	0	1.01690297	81849.8351	81451.5011	80713.8042	81849.8351	1136.03095	1207.43318	0	0	2.48364e+06	0	0	3
65	21	0	1.03279208	81853.361	81483.8134	80713.8042	81853.361	1139.55689	1207.43318	0	0	2.50215e+06	0	0	3
66	22	0	1.04868119	81738.6977	81515.8413	80763.8224	81853.361	1089.53868	1207.43318	0	0	2.48084e+06	0	0	3
67	22	0	1.0645703	81781.6808	81547.6494	80906.6597	81853.361	946.701339	1207.43318	0	0	2.501e+06	0	0	3
68	22	0	1.08045941	81722.1641	81573.1339	81322.6171	81853.361	530.743955	1207.43318	0	0	2.47991e+06	0	0	3
69	23	0	1.09634852	81786.0361	81587.3745	81322.6171	81853.361	530.743955	1207.43318	0	0	2.50111e+06	0	0	3
70	23	0	1.11223763	81819.9466	81597.4712	81322.6171	81853.361	530.743955	1207.43318	0	0	2.48167e+06	0	0	3
71	23	0	1.12812674	81982.0693	81611.1587	81322.6171	81982.0693	659.452221	1207.43318	0	0	2.50155e+06	0	0	3
72	24	0	1.14401585	81927.335	81624.0004	81322.6171	81982.0693	659.452221	1207.43318	0	0	2.48229e+06	0	0	3
