Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0173630186	-9.08395343e-05	-9.08395343e-05	-9.08395343e-05	-9.08395343e-05	0	0	0	0	0	0	0	3
2	2	0	0.0347260373	-6.19207403e-07	-4.57293708e-05	-9.08395343e-05	-6.19207403e-07	4.51101634e-05	0	0	0	0	0	0	3
3	3	0	0.0520890559	5.84022858e-06	-2.85395044e-05	-9.08395343e-05	5.84022858e-06	6.23000299e-05	0	0	0	0	0	0	3
4	3	0	0.0694520746	4.30059556e-07	-2.12971134e-05	-9.08395343e-05	5.84022858e-06	6.95424209e-05	0	0	0	0	0	0	3
5	3	0	0.0868150932	-1.81877678e-09	-1.70380545e-05	-9.08395343e-05	5.84022858e-06	7.38014798e-05	0	0	0	0	0	0	3
6	4	0	0.104178112	-5.03699497e-08	-1.42067737e-05	-9.08395343e-05	5.84022858e-06	7.66327606e-05	0	0	0	0	0	0	3
7	4	0	0.121541131	-1.24944025e-07	-1.21950838e-05	-9.08395343e-05	5.84022858e-06	7.86444505e-05	0	0	0	0	0	0	3
8	4	0	0.138904149	-3.76563098e-07	-1.07177687e-05	-9.08395343e-05	5.84022858e-06	8.01217656e-05	0	0	0	0	0	0	3
9	5	0	0.156267168	-1.43921528e-07	-9.54289677e-06	-9.08395343e-05	5.84022858e-06	8.12966375e-05	0	0	0	0	0	0	3
10	5	0	0.173630186	-9.5837121e-08	-8.5981908e-06	-9.08395343e-05	5.84022858e-06	8.22413435e-05	0	0	0	0	0	0	3
11	5	0	0.190993205	-9.77907168e-08	-7.82542716e-06	-9.08395343e-05	5.84022858e-06	8.30141071e-05	0	0	0	0	0	0	3
12	5	0	0.208356224	-3.8308403e-07	-7.2052319e-06	-9.08395343e-05	5.84022858e-06	8.36343024e-05	0	0	0	0	0	0	3
13	6	0	0.225719242	-5.00432518e-08	-6.65483277e-06	-9.08395343e-05	5.84022858e-06	8.41847015e-05	0	0	0	0	0	0	3
14	6	0	0.243082261	-2.9499356e-07	-6.20055854e-06	-9.08395343e-05	5.84022858e-06	8.46389757e-05	0	0	0	0	0	0	3
15	6	0	0.26044528	-4.51823692e-07	-5.81730955e-06	-9.08395343e-05	5.84022858e-06	8.50222247e-05	0	0	0	0	0	0	3
16	7	0	0.277808298	-7.09558226e-07	-5.4980751e-06	-9.08395343e-05	5.84022858e-06	8.53414592e-05	0	0	0	0	0	0	3
17	7	0	0.295171317	-6.6659508e-07	-5.21387039e-06	-9.08395343e-05	5.84022858e-06	8.56256639e-05	0	0	0	0	0	0	3
18	7	0	0.312534336	-5.38429584e-07	-4.95412368e-06	-9.08395343e-05	5.84022858e-06	8.58854106e-05	0	0	0	0	0	0	3
19	7	0	0.329897354	-4.14570922e-07	-4.71519985e-06	-9.08395343e-05	5.84022858e-06	8.61243344e-05	0	0	0	0	0	0	3
20	8	0	0.347260373	-5.03667211e-07	-4.50462322e-06	-9.08395343e-05	5.84022858e-06	8.63349111e-05	0	0	0	0	0	0	3
21	8	0	0.364623392	-3.59342957e-07	-4.30722892e-06	-9.08395343e-05	5.84022858e-06	8.65323054e-05	0	0	0	0	0	0	3
22	8	0	0.38198641	-5.17230002e-07	-4.13495624e-06	-9.08395343e-05	5.84022858e-06	8.6704578e-05	0	0	0	0	0	0	3
23	8	0	0.399349429	-5.25637062e-07	-3.97802932e-06	-9.08395343e-05	5.84022858e-06	8.6861505e-05	0	0	0	0	0	0	3
24	9	0	0.416712448	1.24056212e-07	-3.80710909e-06	-9.08395343e-05	5.84022858e-06	8.70324252e-05	0	0	0	0	0	0	3
25	9	0	0.434075466	-3.29048725e-07	-3.66798667e-06	-9.08395343e-05	5.84022858e-06	8.71715476e-05	0	0	0	0	0	0	3
26	9	0	0.451438485	-8.53545198e-08	-3.53019313e-06	-9.08395343e-05	5.84022858e-06	8.73093411e-05	0	0	0	0	0	0	3
27	9	0	0.468801503	-8.50803069e-07	-3.43095646e-06	-9.08395343e-05	5.84022858e-06	8.74085778e-05	0	0	0	0	0	0	3
28	10	0	0.486164522	-1.18765813e-05	-3.73258592e-06	-9.08395343e-05	5.84022858e-06	8.74085778e-05	0	0	0	0	0	0	3
29	10	0	0.503527541	-6.37204254e-07	-3.62584862e-06	-9.08395343e-05	5.84022858e-06	8.74085778e-05	0	0	0	0	0	0	3
30	10	0	0.520890559	-6.27670321e-07	-5.15094692e-07	-1.18765813e-05	5.84022858e-06	1.77168099e-05	0	0	0	0	0	0	3
31	11	0	0.538253578	-1.11501245e-06	-5.32191417e-07	-1.18765813e-05	5.84022858e-06	1.77168099e-05	0	0	0	0	0	0	3
32	11	0	0.555616597	-1.24175943e-06	-7.763979e-07	-1.18765813e-05	4.30059556e-07	1.23066409e-05	0	0	0	0	0	0	3
33	11	0	0.572979615	-1.2191983e-06	-8.33268861e-07	-1.18765813e-05	1.24056212e-07	1.20006375e-05	0	0	0	0	0	0	3
34	11	0	0.590342634	-6.40125817e-07	-8.55279448e-07	-1.18765813e-05	1.24056212e-07	1.20006375e-05	0	0	0	0	0	0	3
35	12	0	0.607705653	-1.21590557e-06	-8.95470332e-07	-1.18765813e-05	1.24056212e-07	1.16799891e-05	0	0	0	0	0	0	3
36	12	0	0.625068671	-8.10234348e-07	-9.19101032e-07	-1.18765813e-05	1.24056212e-07	1.0202674e-05	0	0	0	0	0	0	3
37	12	0	0.64243169	-9.42087529e-07	-9.38601875e-07	-1.18765813e-05	1.24056212e-07	9.02780208e-06	0	0	0	0	0	0	3
38	13	0	0.659794709	-5.1305837e-07	-9.51330731e-07	-1.18765813e-05	1.24056212e-07	8.08309611e-06	0	0	0	0	0	0	3
39	13	0	0.677157727	-3.20841887e-07	-9.59089516e-07	-1.18765813e-05	1.24056212e-07	7.31033247e-06	0	0	0	0	0	0	3
40	13	0	0.694520746	-7.25526955e-07	-9.80735594e-07	-1.18765813e-05	1.24056212e-07	6.69013721e-06	0	0	0	0	0	0	3
41	13	0	0.711883765	-7.48656656e-07	-9.93341546e-07	-1.18765813e-05	1.24056212e-07	6.13973808e-06	0	0	0	0	0	0	3
42	14	0	0.729246783	-9.47642674e-07	-1.02429325e-06	-1.18765813e-05	1.24056212e-07	5.68546385e-06	0	0	0	0	0	0	3
43	14	0	0.746609802	-4.81267775e-07	-1.0307165e-06	-1.18765813e-05	1.24056212e-07	5.30221486e-06	0	0	0	0	0	0	3
44	14	0	0.76397282	-1.27664845e-05	-1.45535997e-06	-1.27664845e-05	1.24056212e-07	4.9829804e-06	0	0	0	0	0	0	3
45	15	0	0.781335839	-8.29006857e-07	-1.45947889e-06	-1.27664845e-05	1.24056212e-07	4.6987757e-06	0	0	0	0	0	0	3
46	15	0	0.798698858	-2.84829798e-06	-1.53471003e-06	-1.27664845e-05	1.24056212e-07	4.43902899e-06	0	0	0	0	0	0	3
47	15	0	0.816061876	5.60882016e-07	-1.49680273e-06	-1.27664845e-05	5.60882016e-07	4.20010516e-06	0	0	0	0	0	0	3
48	15	0	0.833424895	-1.08609454e-06	-1.51995872e-06	-1.27664845e-05	5.60882016e-07	3.98952852e-06	0	0	0	0	0	0	3
49	16	0	0.850787914	6.02700134e-07	-1.48180812e-06	-1.27664845e-05	6.02700134e-07	3.79213423e-06	0	0	0	0	0	0	3
50	16	0	0.868150932	-1.81040701e-06	-1.53184481e-06	-1.27664845e-05	6.02700134e-07	3.61986155e-06	0	0	0	0	0	0	3
51	16	0	0.885513951	6.75813963e-07	-1.49070536e-06	-1.27664845e-05	6.75813963e-07	3.46293463e-06	0	0	0	0	0	0	3
52	17	0	0.90287697	-1.37133388e-06	-1.51986732e-06	-1.27664845e-05	6.75813963e-07	3.2920144e-06	0	0	0	0	0	0	3
53	17	0	0.920239988	-2.35889497e-07	-1.53227924e-06	-1.27664845e-05	6.75813963e-07	3.21749123e-06	0	0	0	0	0	0	3
54	17	0	0.937603007	-2.19070849e-06	-1.59647441e-06	-1.27664845e-05	6.75813963e-07	3.21749123e-06	0	0	0	0	0	0	3
55	18	0	0.954966026	1.57046811e-07	-1.58811574e-06	-1.27664845e-05	6.75813963e-07	3.21749123e-06	0	0	0	0	0	0	3
56	18	0	0.972329044	-1.92574749e-06	-1.62518279e-06	-1.27664845e-05	6.75813963e-07	3.21749123e-06	0	0	0	0	0	0	3
