Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0161373424
2	3	0	0.0322746849
3	3	0	0.0484120273
4	4	0	0.0645493697
5	4	0	0.0806867122
6	4	0	0.0968240546
7	5	0	0.112961397
8	5	0	0.129098739
9	5	0	0.145236082
10	5	0	0.161373424
11	6	0	0.177510767
12	6	0	0.193648109
13	6	0	0.209785452
14	7	0	0.225922794
15	7	0	0.242060136
16	7	0	0.258197479
17	8	0	0.274334821
18	8	0	0.290472164
19	8	0	0.306609506
20	9	0	0.322746849
21	9	0	0.338884191
22	9	0	0.355021533
23	9	0	0.371158876
24	10	0	0.387296218
25	10	0	0.403433561
26	10	0	0.419570903
27	11	0	0.435708246
28	11	0	0.451845588
29	11	0	0.467982931
30	12	0	0.484120273
31	12	0	0.500257615
32	12	0	0.516394958
33	13	0	0.5325323
34	13	0	0.548669643
35	13	0	0.564806985
36	14	0	0.580944328
37	14	0	0.59708167
38	14	0	0.613219012
39	14	0	0.629356355
40	15	0	0.645493697
41	15	0	0.66163104
42	15	0	0.677768382
43	16	0	0.693905725
44	16	0	0.710043067
45	16	0	0.726180409
46	17	0	0.742317752
47	17	0	0.758455094
48	17	0	0.774592437
49	18	0	0.790729779
50	18	0	0.806867122
51	18	0	0.823004464
52	19	0	0.839141806
53	19	0	0.855279149
54	19	0	0.871416491
55	20	0	0.887553834
56	20	0	0.903691176
57	20	0	0.919828519
58	21	0	0.935965861
59	21	0	0.952103203
60	21	0	0.968240546
61	22	0	0.984377888
62	22	0	1.00051523
63	22	0	1.01665257
64	23	0	1.03278992
65	23	0	1.04892726
66	23	0	1.0650646
67	24	0	1.08120194
