Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0164707474	15.2659139	15.2659139	15.2659139	15.2659139	0	0	0	0	44.7005	0	0	3
2	2	0	0.0329414948	15.2503324	15.2581232	15.2503324	15.2659139	0.0077907673	0	0	0	44.2161	0	0	3
3	3	0	0.0494122423	15.2450084	15.2537516	15.2450084	15.2659139	0.0121623529	0	0	0	43.6749	0	0	3
4	3	0	0.0658829897	15.2324038	15.2484146	15.2324038	15.2659139	0.0174992997	0	0	0	43.3021	0	0	3
5	3	0	0.0823537371	15.2300518	15.2447421	15.2300518	15.2659139	0.02117187	0	0	0	43.9706	0	0	3
6	4	0	0.0988244845	15.2145556	15.239711	15.2145556	15.2659139	0.0262029498	0	0	0	44.9449	0	0	3
7	4	0	0.115295232	15.2123605	15.2358038	15.2123605	15.2659139	0.0301101603	0	0	0	45.8586	0	0	3
8	4	0	0.131765979	15.1999653	15.231324	15.1999653	15.2659139	0.0345899764	0	0	0	46.6295	0	0	3
9	5	0	0.148236727	15.1984805	15.2276747	15.1984805	15.2659139	0.0382392453	0	0	0	47.2739	0	0	3
10	5	0	0.164707474	15.1881294	15.2237202	15.1881294	15.2659139	0.042193773	0	0	0	47.8214	0	0	3
11	5	0	0.181178222	15.1866461	15.2203498	15.1866461	15.2659139	0.0455641463	0	0	0	48.5168	0	0	3
12	5	0	0.197648969	15.1765254	15.2166978	15.1765254	15.2659139	0.0492161775	0	0	0	49.1238	0	0	3
13	6	0	0.214119717	15.1761183	15.2135763	15.1761183	15.2659139	0.052337673	0	0	0	49.6426	0	0	3
14	6	0	0.230590464	15.1694914	15.2104274	15.1694914	15.2659139	0.0554865927	0	0	0	50.1063	0	0	3
15	6	0	0.247061211	15.1702275	15.2077474	15.1694914	15.2659139	0.058166584	0	0	0	50.4972	0	0	3
16	7	0	0.263531959	15.1649315	15.2050714	15.1649315	15.2659139	0.0608425758	0	0	0	51.0136	0	0	3
17	7	0	0.280002706	15.1649416	15.2027108	15.1649315	15.2659139	0.0632031474	0	0	0	51.4239	0	0	3
18	7	0	0.296473454	15.1633904	15.2005263	15.1633904	15.2659139	0.0653876121	0	0	0	51.6902	0	0	3
19	7	0	0.312944201	15.1636813	15.1985871	15.1633904	15.2659139	0.0673268226	0	0	0	51.8097	0	0	3
20	8	0	0.329414948	15.1639032	15.1968529	15.1633904	15.2659139	0.0690610162	0	0	0	51.9763	0	0	3
21	8	0	0.345885696	15.1648141	15.1953273	15.1633904	15.2659139	0.0705866739	0	0	0	52.0473	0	0	3
22	8	0	0.362356443	15.1656951	15.1939804	15.1633904	15.2659139	0.0719335912	0	0	0	52.1486	0	0	3
23	9	0	0.378827191	15.1661049	15.1927684	15.1633904	15.2659139	0.0731455667	0	0	0	52.0873	0	0	3
24	9	0	0.395297938	15.1670216	15.1916956	15.1633904	15.2659139	0.0742183506	0	0	0	52.1428	0	0	3
25	9	0	0.411768686	15.1671422	15.1907135	15.1633904	15.2659139	0.0752004864	0	0	0	52.0785	0	0	3
26	9	0	0.428239433	15.1681054	15.1898439	15.1633904	15.2659139	0.0760700266	0	0	0	52.1375	0	0	3
27	10	0	0.44471018	15.1684346	15.189051	15.1633904	15.2659139	0.0768629633	0	0	0	52.0167	0	0	3
28	10	0	0.461180928	15.1692639	15.1883443	15.1633904	15.2659139	0.0775696458	0	0	0	52.0793	0	0	3
29	10	0	0.477651675	15.169396	15.1876909	15.1633904	15.2659139	0.0782230359	0	0	0	51.9791	0	0	3
30	11	0	0.494122423	15.1702906	15.1871109	15.1633904	15.2659139	0.0788030452	0	0	0	52.0412	0	0	3
31	11	0	0.51059317	15.170815	15.1865852	15.1633904	15.2659139	0.0793287202	0	0	0	51.8905	0	0	3
32	11	0	0.527063918	15.1715366	15.1835408	15.1633904	15.2503324	0.0745823837	0	0	0	51.9734	0	0	3
33	11	0	0.543534665	15.1717889	15.1810071	15.1633904	15.2450084	0.0727444582	0	0	0	51.8499	0	0	3
34	12	0	0.560005412	15.1722809	15.1786611	15.1633904	15.2324038	0.0690133723	0	0	0	51.9406	0	0	3
35	12	0	0.57647616	15.172094	15.1767156	15.1633904	15.2300518	0.0666613614	0	0	0	51.8132	0	0	3
36	12	0	0.592946907	15.1724996	15.1748591	15.1633904	15.2145556	0.0511651637	0	0	0	51.9212	0	0	3
37	13	0	0.609417655	15.1722794	15.1734953	15.1633904	15.2123605	0.0489700888	0	0	0	51.743	0	0	3
38	13	0	0.625888402	15.1725243	15.1722103	15.1633904	15.1999653	0.0365748238	0	0	0	51.864	0	0	3
39	13	0	0.64235915	15.1724549	15.1713229	15.1633904	15.1984805	0.0350901157	0	0	0	51.6906	0	0	3
40	13	0	0.658829897	15.1726706	15.1704903	15.1633904	15.1881294	0.0247389905	0	0	0	51.829	0	0	3
41	14	0	0.675300644	15.1727862	15.1699953	15.1633904	15.1866461	0.0232556331	0	0	0	51.6304	0	0	3
42	14	0	0.691771392	15.1731897	15.1695613	15.1633904	15.1765254	0.0131349913	0	0	0	51.8009	0	0	3
43	14	0	0.708242139	15.1731565	15.1694526	15.1633904	15.1761183	0.0127278931	0	0	0	51.5664	0	0	3
44	15	0	0.724712887	15.1730584	15.1693539	15.1633904	15.1731897	0.00979924838	0	0	0	51.763	0	0	3
45	15	0	0.741183634	15.1731755	15.1694727	15.1633904	15.1731897	0.00979924838	0	0	0	51.5706	0	0	3
46	15	0	0.757654382	15.1737369	15.1695859	15.1633904	15.1737369	0.0103464464	0	0	0	51.7984	0	0	3
47	16	0	0.774125129	15.1735684	15.1698645	15.1633904	15.1737369	0.0103464464	0	0	0	51.6306	0	0	3
