Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0162818526	8521.16973	8521.16973	8521.16973	8521.16973	0	0	0	0	0	0	0	3
2	3	0	0.0325637053	8521.04687	8521.1083	8521.04687	8521.16973	0.0614324165	0	0	0	0	0	0	3
3	3	0	0.0488455579	8519.98012	8520.73224	8519.98012	8521.16973	0.437493068	0	0	0	0	0	0	3
4	4	0	0.0651274106	8518.86073	8520.26436	8518.86073	8521.16973	0.905369095	0	0	0	0	0	0	3
5	4	0	0.0814092632	8518.06898	8519.82528	8518.06898	8521.16973	1.34444586	0	0	0	0	0	0	3
6	4	0	0.0976911159	8517.17664	8519.38384	8517.17664	8521.16973	1.78588632	0	0	0	0	0	0	3
7	5	0	0.113972969	8516.58335	8518.98377	8516.58335	8521.16973	2.18595709	0	0	0	0	0	0	3
8	5	0	0.130254821	8516.20957	8518.637	8516.20957	8521.16973	2.53273292	0	0	0	0	0	0	3
9	5	0	0.146536674	8515.41174	8518.27864	8515.41174	8521.16973	2.89109478	0	0	0	0	0	0	3
10	6	0	0.162818526	8514.54493	8517.90526	8514.54493	8521.16973	3.26446543	0	0	0	0	0	0	3
11	6	0	0.179100379	8513.51796	8517.50642	8513.51796	8521.16973	3.66331089	0	0	0	0	0	0	3
12	6	0	0.195382232	8499.54751	8516.00984	8499.54751	8521.16973	5.15988677	0	0	0	0	0	0	3
13	6	0	0.211664084	8501.43693	8514.88885	8499.54751	8521.16973	6.28087984	0	0	0	0	0	0	3
14	7	0	0.227945937	8527.67219	8515.80195	8499.54751	8527.67219	6.28087984	0	0	0	0	0	0	3
15	7	0	0.24422779	8594.43322	8521.04403	8499.54751	8594.43322	6.28087984	0	0	0	0	0	0	3
16	7	0	0.260509642	8655.23147	8529.43075	8499.54751	8655.23147	14.5418957	0	0	0	0	0	0	3
17	8	0	0.276791495	8721.83105	8540.74841	8499.54751	8721.83105	25.8595603	0	0	0	0	0	0	3
18	8	0	0.293073348	8783.4226	8554.23031	8499.54751	8783.4226	39.3414599	0	0	0	0	0	0	3
19	8	0	0.3093552	8827.99921	8568.6392	8499.54751	8827.99921	53.7503494	0	0	0	0	0	0	3
20	9	0	0.325637053	8859.15991	8583.16524	8499.54751	8859.15991	68.2763849	0	0	0	0	0	0	3
21	9	0	0.341918906	8861.0043	8596.39567	8499.54751	8861.0043	81.5068166	0	0	0	0	0	0	3
22	9	0	0.358200758	8855.6454	8608.17975	8499.54751	8861.0043	93.2908955	0	0	0	0	0	0	3
