Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0163529335	-1404269.14	-1404269.14	-1404269.14	-1404269.14	0	0	0	0	1.45694e+07	0	0	3
2	3	0	0.0327058671	-114855.673	-759562.408	-1404269.14	-114855.673	644706.735	0	0	0	1.65642e+07	0	0	3
3	3	0	0.0490588006	262677.875	-418815.647	-1404269.14	262677.875	985453.497	0	0	0	1.30335e+07	0	0	3
4	4	0	0.0654117341	398272.521	-214543.605	-1404269.14	398272.521	1189725.54	0	0	0	8.74603e+06	0	0	3
5	4	0	0.0817646676	344023.342	-102830.216	-1404269.14	398272.521	1301438.93	0	0	0	6.21231e+06	0	0	3
6	5	0	0.0981176012	337896.434	-29375.7741	-1404269.14	398272.521	1374893.37	0	0	0	4.55449e+06	0	0	3
7	5	0	0.114470535	325128.821	21267.7395	-1404269.14	398272.521	1425536.88	0	0	0	4.11308e+06	0	0	3
8	5	0	0.130823468	315903.421	58097.1997	-1404269.14	398272.521	1462366.34	0	0	0	4.10421e+06	0	0	3
9	5	0	0.147176402	311841.717	86291.035	-1404269.14	398272.521	1490560.18	0	0	0	4.24866e+06	0	0	3
10	6	0	0.163529335	310673.098	108729.241	-1404269.14	398272.521	1512998.39	0	0	0	4.39414e+06	0	0	3
11	6	0	0.179882269	301206.404	126227.165	-1404269.14	398272.521	1530496.31	0	0	0	4.41267e+06	0	0	3
12	6	0	0.196235202	292518.153	140084.747	-1404269.14	398272.521	1544353.89	0	0	0	4.38426e+06	0	0	3
13	7	0	0.212588136	290799.822	151678.215	-1404269.14	398272.521	1555947.36	0	0	0	4.31495e+06	0	0	3
14	7	0	0.228941069	282300.189	161008.356	-1404269.14	398272.521	1565277.5	0	0	0	4.17015e+06	0	0	3
15	7	0	0.245294003	282519.964	169109.13	-1404269.14	398272.521	1573378.27	0	0	0	3.886e+06	0	0	3
16	8	0	0.261646936	273856.708	175655.853	-1404269.14	398272.521	1579925	0	0	0	3.68993e+06	0	0	3
17	8	0	0.27799987	271001.626	181264.428	-1404269.14	398272.521	1585533.57	0	0	0	3.52803e+06	0	0	3
18	8	0	0.294352804	267194.138	186038.301	-1404269.14	398272.521	1590307.44	0	0	0	3.44735e+06	0	0	3
19	8	0	0.310705737	267843.335	190343.829	-1404269.14	398272.521	1594612.97	0	0	0	3.42919e+06	0	0	3
20	9	0	0.327058671	265153.721	194084.324	-1404269.14	398272.521	1598353.47	0	0	0	3.41983e+06	0	0	3
21	9	0	0.343411604	268369.775	197621.726	-1404269.14	398272.521	1601890.87	0	0	0	3.42158e+06	0	0	3
22	9	0	0.359764538	267326.689	200790.134	-1404269.14	398272.521	1605059.28	0	0	0	3.42166e+06	0	0	3
23	10	0	0.376117471	268947.058	203753.478	-1404269.14	398272.521	1608022.62	0	0	0	3.42855e+06	0	0	3
24	10	0	0.392470405	266916.962	206385.29	-1404269.14	398272.521	1610654.43	0	0	0	3.4413e+06	0	0	3
25	10	0	0.408823338	268659.209	208876.247	-1404269.14	398272.521	1613145.39	0	0	0	3.4382e+06	0	0	3
26	11	0	0.425176272	265274.536	211045.412	-1404269.14	398272.521	1615314.56	0	0	0	3.43359e+06	0	0	3
27	11	0	0.441529205	264704.822	213032.797	-1404269.14	398272.521	1617301.94	0	0	0	3.43305e+06	0	0	3
28	11	0	0.457882139	263252.605	214826.362	-1404269.14	398272.521	1619095.51	0	0	0	3.43089e+06	0	0	3
29	12	0	0.474235072	263096.362	216490.845	-1404269.14	398272.521	1620759.99	0	0	0	3.42808e+06	0	0	3
30	12	0	0.490588006	262014.747	218008.308	-1404269.14	398272.521	1622277.45	0	0	0	3.41453e+06	0	0	3
31	12	0	0.506940939	260553.149	219380.722	-1404269.14	398272.521	1623649.87	0	0	0	3.40871e+06	0	0	3
32	12	0	0.523293873	258721.141	273025.57	-114855.673	398272.521	513128.194	0	0	0	3.39916e+06	0	0	3
33	13	0	0.539646806	256796.713	285014.357	256796.713	398272.521	141475.808	0	0	0	3.39518e+06	0	0	3
34	13	0	0.55599974	256066.804	284801.096	256066.804	398272.521	142205.717	0	0	0	3.39306e+06	0	0	3
35	13	0	0.572352673	255656.837	280200.59	255656.837	344023.342	88366.5056	0	0	0	3.40131e+06	0	0	3
36	14	0	0.588705607	252665.022	277253.548	252665.022	337896.434	85231.4129	0	0	0	3.39641e+06	0	0	3
37	14	0	0.605058541	251624.696	274470.589	251624.696	325128.821	73504.125	0	0	0	3.4036e+06	0	0	3
38	14	0	0.621411474	249790.007	272040.304	249790.007	315903.421	66113.4138	0	0	0	3.39928e+06	0	0	3
39	15	0	0.637764408	248490.049	269865.679	248490.049	311841.717	63351.6682	0	0	0	3.40719e+06	0	0	3
40	15	0	0.654117341	247058.72	267775.905	247058.72	310673.098	63614.3781	0	0	0	3.40456e+06	0	0	3
41	15	0	0.670470275	247495.309	265737.912	247058.72	301206.404	54147.6835	0	0	0	3.40811e+06	0	0	3
42	16	0	0.686823208	247324.342	263999.781	247058.72	292518.153	45459.4328	0	0	0	3.40419e+06	0	0	3
43	16	0	0.703176142	247565.858	262549.707	247058.72	290799.822	43741.1021	0	0	0	3.40643e+06	0	0	3
44	16	0	0.719529075	247513.941	261153.388	247058.72	282519.964	35461.2436	0	0	0	3.40387e+06	0	0	3
45	17	0	0.735882009	246249.085	259990.449	246249.085	282519.964	36270.8793	0	0	0	3.40612e+06	0	0	3
46	17	0	0.752234942	244547.464	258765.53	244547.464	273856.708	29309.2442	0	0	0	3.40215e+06	0	0	3
47	17	0	0.768587876	244428.287	257816.226	244428.287	271001.626	26573.3393	0	0	0	3.40432e+06	0	0	3
48	18	0	0.784940809	243647.983	256933.85	243647.983	268947.058	25299.0747	0	0	0	3.39955e+06	0	0	3
49	18	0	0.801293743	243846.508	256180.701	243647.983	268947.058	25299.0747	0	0	0	3.39938e+06	0	0	3
50	18	0	0.817646676	242855.475	255374.641	242855.475	268947.058	26091.583	0	0	0	3.3949e+06	0	0	3
51	19	0	0.83399961	242383.508	254640.118	242383.508	268947.058	26563.5494	0	0	0	3.39437e+06	0	0	3
52	19	0	0.850352543	242008.575	253789.757	242008.575	268947.058	26938.4828	0	0	0	3.38993e+06	0	0	3
53	19	0	0.866705477	242340.961	252983.766	242008.575	268947.058	26938.4828	0	0	0	3.39273e+06	0	0	3
54	19	0	0.883058411	242087.527	252117.329	242008.575	268659.209	26650.6347	0	0	0	3.39358e+06	0	0	3
55	20	0	0.899411344	240961.319	251280.05	240961.319	268659.209	27697.8902	0	0	0	3.39614e+06	0	0	3
