Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0164542949	293.199897	293.199897	293.199897	293.199897	0	0	0	0	0.0790489	0	0	3
2	3	0	0.0329085898	293.199864	293.19988	293.199864	293.199897	1.64792355e-05	0	0	0	0.114165	0	0	3
3	3	0	0.0493628846	293.199847	293.199869	293.199847	293.199897	2.77556625e-05	0	0	0	0.134387	0	0	3
4	4	0	0.0658171795	293.199835	293.19986	293.199835	293.199897	3.63393831e-05	0	0	0	0.154988	0	0	3
5	4	0	0.0822714744	293.19982	293.199852	293.19982	293.199897	4.45224227e-05	0	0	0	0.171174	0	0	3
6	4	0	0.0987257693	293.199792	293.199842	293.199792	293.199897	5.45372327e-05	0	0	0	0.197532	0	0	3
7	5	0	0.115180064	293.199758	293.19983	293.199758	293.199897	6.66171055e-05	0	0	0	0.213431	0	0	3
8	5	0	0.131634359	293.199723	293.199817	293.199723	293.199897	8.00633249e-05	0	0	0	0.239594	0	0	3
9	5	0	0.148088654	293.199688	293.199802	293.199688	293.199897	9.43598304e-05	0	0	0	0.261367	0	0	3
10	6	0	0.164542949	293.199655	293.199788	293.199655	293.199897	0.00010906302	0	0	0	0.276199	0	0	3
11	6	0	0.180997244	293.199608	293.199771	293.199608	293.199897	0.000125418301	0	0	0	0.284695	0	0	3
12	6	0	0.197451539	293.199653	293.199762	293.199608	293.199897	0.000135272471	0	0	0	0.253671	0	0	3
13	7	0	0.213905833	293.199711	293.199758	293.199608	293.199897	0.000139173987	0	0	0	0.244372	0	0	3
14	7	0	0.230360128	293.199754	293.199757	293.199608	293.199897	0.00013943585	0	0	0	0.282908	0	0	3
15	7	0	0.246814423	293.19981	293.199761	293.199608	293.199897	0.00013943585	0	0	0	0.311084	0	0	3
16	7	0	0.263268718	293.199866	293.199767	293.199608	293.199897	0.00013943585	0	0	0	0.34405	0	0	3
17	8	0	0.279723013	293.199933	293.199777	293.199608	293.199933	0.00013943585	0	0	0	0.377906	0	0	3
18	8	0	0.296177308	293.19998	293.199788	293.199608	293.19998	0.00013943585	0	0	0	0.400079	0	0	3
19	8	0	0.312631603	293.200034	293.199801	293.199608	293.200034	0.00013943585	0	0	0	0.414677	0	0	3
20	9	0	0.329085898	293.200073	293.199815	293.199608	293.200073	0.00013943585	0	0	0	0.431455	0	0	3
21	9	0	0.345540193	293.200142	293.199831	293.199608	293.200142	0.00013943585	0	0	0	0.449917	0	0	3
22	9	0	0.361994487	293.200198	293.199847	293.199608	293.200198	0.00013943585	0	0	0	0.466796	0	0	3
23	10	0	0.378448782	293.200247	293.199865	293.199608	293.200247	0.00013943585	0	0	0	0.47856	0	0	3
24	10	0	0.394903077	293.200288	293.199882	293.199608	293.200288	0.00013943585	0	0	0	0.489287	0	0	3
25	10	0	0.411357372	293.200338	293.199901	293.199608	293.200338	0.000143112683	0	0	0	0.495978	0	0	3
26	11	0	0.427811667	293.200379	293.199919	293.199608	293.200379	0.000161514368	0	0	0	0.509097	0	0	3
27	11	0	0.444265962	293.200435	293.199938	293.199608	293.200435	0.000180617421	0	0	0	0.518292	0	0	3
28	11	0	0.460720257	293.200489	293.199958	293.199608	293.200489	0.000200279509	0	0	0	0.525588	0	0	3
29	11	0	0.477174552	293.200543	293.199978	293.199608	293.200543	0.000220473656	0	0	0	0.530692	0	0	3
30	12	0	0.493628846	293.200589	293.199998	293.199608	293.200589	0.000240831596	0	0	0	0.534817	0	0	3
31	12	0	0.510083141	293.200655	293.200019	293.199608	293.200655	0.000262026129	0	0	0	0.540511	0	0	3
32	12	0	0.526537436	293.200711	293.200046	293.199608	293.200711	0.000288276595	0	0	0	0.544175	0	0	3
33	13	0	0.542991731	293.200756	293.200074	293.199608	293.200756	0.000317039428	0	0	0	0.54862	0	0	3
34	13	0	0.559446026	293.200791	293.200105	293.199608	293.200791	0.000347499349	0	0	0	0.547399	0	0	3
35	13	0	0.575900321	293.200822	293.200137	293.199608	293.200822	0.000379331543	0	0	0	0.547726	0	0	3
36	14	0	0.592354616	293.200852	293.20017	293.199608	293.200852	0.000412650263	0	0	0	0.545997	0	0	3
37	14	0	0.608808911	293.200887	293.200205	293.199608	293.200887	0.000447972503	0	0	0	0.544246	0	0	3
38	14	0	0.625263205	293.200917	293.200243	293.199608	293.200917	0.000485356696	0	0	0	0.540704	0	0	3
39	15	0	0.6417175	293.200945	293.200282	293.199608	293.200945	0.000524774808	0	0	0	0.539612	0	0	3
40	15	0	0.658171795	293.200968	293.200323	293.199608	293.200968	0.000566052126	0	0	0	0.536585	0	0	3
41	15	0	0.67462609	293.201009	293.200367	293.199608	293.201009	0.000609714016	0	0	0	0.537048	0	0	3
42	16	0	0.691080385	293.201039	293.200413	293.199653	293.201039	0.000655895072	0	0	0	0.536975	0	0	3
43	16	0	0.70753468	293.201062	293.200459	293.199711	293.201062	0.000701352538	0	0	0	0.536422	0	0	3
44	16	0	0.723988975	293.20108	293.200503	293.199754	293.20108	0.000745505399	0	0	0	0.533174	0	0	3
45	16	0	0.74044327	293.201096	293.200546	293.19981	293.201096	0.000785288139	0	0	0	0.533172	0	0	3
46	17	0	0.756897565	293.201107	293.200588	293.199866	293.201107	0.000820584435	0	0	0	0.532975	0	0	3
47	17	0	0.773351859	293.201115	293.200628	293.199933	293.201115	0.000851128355	0	0	0	0.533684	0	0	3
48	17	0	0.789806154	293.201122	293.200667	293.19998	293.201122	0.000878182356	0	0	0	0.531974	0	0	3
49	18	0	0.806260449	293.201134	293.200704	293.200034	293.201134	0.000902466176	0	0	0	0.533077	0	0	3
50	18	0	0.822714744	293.201145	293.20074	293.200073	293.201145	0.000924685981	0	0	0	0.533531	0	0	3
51	18	0	0.839169039	293.201157	293.200775	293.200142	293.201157	0.000944074951	0	0	0	0.533972	0	0	3
52	19	0	0.855623334	293.201168	293.200808	293.200198	293.201168	0.000960470478	0	0	0	0.531312	0	0	3
53	19	0	0.872077629	293.20117	293.200839	293.200247	293.20117	0.000923646978	0	0	0	0.532072	0	0	3
54	19	0	0.888531924	293.201173	293.200869	293.200288	293.201173	0.000885363018	0	0	0	0.531499	0	0	3
55	20	0	0.904986218	293.201188	293.200898	293.200338	293.201188	0.000850272112	0	0	0	0.531454	0	0	3
56	20	0	0.921440513	293.201193	293.200926	293.200379	293.201193	0.00081370045	0	0	0	0.529319	0	0	3
57	20	0	0.937894808	293.20119	293.200952	293.200435	293.201193	0.000757960148	0	0	0	0.529607	0	0	3
58	21	0	0.954349103	293.201196	293.200976	293.200489	293.201196	0.000707039511	0	0	0	0.529802	0	0	3
59	21	0	0.970803398	293.201202	293.200999	293.200543	293.201202	0.000658999475	0	0	0	0.530467	0	0	3
60	21	0	0.987257693	293.201208	293.201021	293.200589	293.201208	0.000619532397	0	0	0	0.529201	0	0	3
61	21	0	1.00371199	293.201216	293.201041	293.200655	293.201216	0.000560920853	4.82495469e-05	0	0	0.530115	0	0	3
62	22	0	1.02016628	293.201223	293.201059	293.200711	293.201223	0.000512215502	4.8448532e-05	0	0	0.528029	0	0	3
63	22	0	1.03662058	293.201226	293.201076	293.200756	293.201226	0.000470114095	4.84908843e-05	0	0	0.529261	0	0	3
64	23	0	1.05307487	293.201231	293.201091	293.200791	293.201231	0.00044004184	4.85568762e-05	0	0	0.526925	0	0	3
65	23	0	1.06952917	293.201242	293.201106	293.200822	293.201242	0.000419982372	4.86701143e-05	0	0	0.528395	0	0	3
66	23	0	1.08598346	293.201244	293.201119	293.200852	293.201244	0.000391120116	4.87503933e-05	0	0	0.52903	0	0	3
67	24	0	1.10243776	293.201241	293.201132	293.200887	293.201244	0.000356367697	4.88039126e-05	0	0	0.530163	0	0	3
68	24	0	1.11889205	293.201238	293.201143	293.200917	293.201244	0.000326932236	4.88421407e-05	0	0	0.528353	0	0	3
69	24	0	1.13534635	293.20123	293.201153	293.200945	293.201244	0.000298971229	4.88708117e-05	0	0	0.530118	0	0	3
70	25	0	1.15180064	293.201232	293.201163	293.200968	293.201244	0.000275880893	4.88931115e-05	0	0	0.53085	0	0	3
71	25	0	1.16825494	293.201235	293.201171	293.201009	293.201244	0.000234618972	4.89109512e-05	0	0	0.532155	0	0	3
72	25	0	1.18470923	293.201244	293.201179	293.201039	293.201244	0.000204104228	4.88019944e-05	0	0	0.530248	0	0	3
73	26	0	1.20116353	293.201246	293.201186	293.201062	293.201246	0.000183523614	4.85727337e-05	0	0	0.531173	0	0	3
74	26	0	1.21761782	293.201257	293.201192	293.20108	293.201257	0.000177437138	4.83048858e-05	0	0	0.532838	0	0	3
75	26	0	1.23407212	293.20126	293.201198	293.201096	293.20126	0.000164016401	4.82495469e-05	0	0	0.532732	0	0	3
76	27	0	1.25052641	293.201265	293.201203	293.201107	293.201265	0.000157141389	4.82495469e-05	0	0	0.532112	0	0	3
77	27	0	1.26698071	293.201262	293.201208	293.201115	293.201265	0.00014972203	4.82495469e-05	0	0	0.531675	0	0	3
78	28	0	1.283435	293.201263	293.201213	293.201122	293.201265	0.000142827673	4.82495469e-05	0	0	0.534148	0	0	3
79	28	0	1.2998893	293.201254	293.201217	293.201134	293.201265	0.000130190596	4.82495469e-05	0	0	0.532814	0	0	3
80	28	0	1.31634359	293.201255	293.201221	293.201145	293.201265	0.000119769652	4.82495469e-05	0	0	0.533985	0	0	3
81	29	0	1.33279789	293.201257	293.201225	293.201157	293.201265	0.000107943818	4.82495469e-05	0	0	0.533396	0	0	3
82	29	0	1.34925218	293.201272	293.201228	293.201168	293.201272	0.000104050521	4.82495469e-05	0	0	0.534531	0	0	3
83	29	0	1.36570648	293.201273	293.201232	293.20117	293.201273	0.000102510981	4.82495469e-05	0	0	0.533751	0	0	3
84	30	0	1.38216077	293.20128	293.201235	293.201173	293.20128	0.000106817638	4.82495469e-05	0	0	0.534616	0	0	3
