Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0174543737	31.458389	31.458389	31.458389	31.458389	0	0	0	0	50.9178	0	0	3
2	2	0	0.0349087474	31.161272	31.3098305	31.161272	31.458389	0.148558488	0	0	0	50.49	0	0	3
3	2	0	0.0523631211	30.9935143	31.2043918	30.9935143	31.458389	0.253997227	0	0	0	49.9207	0	0	3
4	3	0	0.0698174948	30.8998147	31.1282475	30.8998147	31.458389	0.330141484	0	0	0	49.3305	0	0	3
5	3	0	0.0872718685	30.8323836	31.0690747	30.8323836	31.458389	0.389314263	0	0	0	48.8218	0	0	3
6	3	0	0.104726242	30.7495006	31.0158124	30.7495006	31.458389	0.442576614	0	0	0	48.1765	0	0	3
7	3	0	0.122180616	30.6768497	30.9673891	30.6768497	31.458389	0.490999858	0	0	0	48.8824	0	0	3
8	4	0	0.13963499	30.6154097	30.9233917	30.6154097	31.458389	0.53499729	0	0	0	51.0944	0	0	3
9	4	0	0.157089363	30.5669146	30.8837831	30.5669146	31.458389	0.574605857	0	0	0	51.5898	0	0	3
10	4	0	0.174543737	30.5259672	30.8480016	30.5259672	31.458389	0.61038745	0	0	0	51.2446	0	0	3
11	5	0	0.191998111	30.4854764	30.8150447	30.4854764	31.458389	0.643344286	0	0	0	52.8407	0	0	3
12	5	0	0.209452484	30.4551924	30.785057	30.4551924	31.458389	0.673331982	0	0	0	54.1266	0	0	3
13	5	0	0.226906858	30.437464	30.7583191	30.437464	31.458389	0.70006991	0	0	0	54.945	0	0	3
14	5	0	0.244361232	30.4230855	30.7343738	30.4230855	31.458389	0.724015167	0	0	0	55.4679	0	0	3
15	6	0	0.261815605	30.4193431	30.7133718	30.4193431	31.458389	0.745017219	0	0	0	55.8703	0	0	3
16	6	0	0.279269979	30.4200853	30.6950414	30.4193431	31.458389	0.763347622	0	0	0	56.3145	0	0	3
17	6	0	0.296724353	30.4196798	30.6788436	30.4193431	31.458389	0.779545362	0	0	0	56.5971	0	0	3
18	6	0	0.314178727	30.420158	30.6644722	30.4193431	31.458389	0.793916785	0	0	0	56.8039	0	0	3
19	7	0	0.3316331	30.4258478	30.651913	30.4193431	31.458389	0.806475966	0	0	0	56.7865	0	0	3
20	7	0	0.349087474	30.4317295	30.6409039	30.4193431	31.458389	0.817485141	0	0	0	56.8898	0	0	3
21	7	0	0.366541848	30.4336726	30.6310357	30.4193431	31.458389	0.827353297	0	0	0	56.7187	0	0	3
22	7	0	0.383996221	30.4430244	30.6224897	30.4193431	31.458389	0.835899266	0	0	0	56.6881	0	0	3
23	8	0	0.401450595	30.455811	30.6152428	30.4193431	31.458389	0.843146168	0	0	0	56.4445	0	0	3
