Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0171610717	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0343221435	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0514832152	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0686442869	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0858053587	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.10296643	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.120127502	0	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.137288574	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.154449646	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.171610717	0	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.188771789	0	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.205932861	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.223093933	0	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.240255004	0	0	0	0	0	0	0	0	0	0	0	3
15	7	0	0.257416076	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.274577148	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.291738219	0	0	0	0	0	0	0	0	0	0	0	3
18	8	0	0.308899291	0	0	0	0	0	0	0	0	0	0	0	3
19	8	0	0.326060363	0	0	0	0	0	0	0	0	0	0	0	3
20	8	0	0.343221435	0	0	0	0	0	0	0	0	0	0	0	3
21	9	0	0.360382506	0	0	0	0	0	0	0	0	0	0	0	3
22	9	0	0.377543578	0	0	0	0	0	0	0	0	0	0	0	3
23	9	0	0.39470465	0	0	0	0	0	0	0	0	0	0	0	3
24	9	0	0.411865722	0	0	0	0	0	0	0	0	0	0	0	3
25	10	0	0.429026793	0	0	0	0	0	0	0	0	0	0	0	3
26	10	0	0.446187865	0	0	0	0	0	0	0	0	0	0	0	3
27	10	0	0.463348937	0	0	0	0	0	0	0	0	0	0	0	3
28	10	0	0.480510008	0	0	0	0	0	0	0	0	0	0	0	3
29	11	0	0.49767108	0	0	0	0	0	0	0	0	0	0	0	3
30	11	0	0.514832152	0	0	0	0	0	0	0	0	0	0	0	3
31	11	0	0.531993224	0	0	0	0	0	0	0	0	0	0	0	3
32	12	0	0.549154295	0	0	0	0	0	0	0	0	0	0	0	3
33	12	0	0.566315367	0	0	0	0	0	0	0	0	0	0	0	3
34	12	0	0.583476439	0	0	0	0	0	0	0	0	0	0	0	3
35	12	0	0.600637511	0	0	0	0	0	0	0	0	0	0	0	3
36	13	0	0.617798582	0	0	0	0	0	0	0	0	0	0	0	3
37	13	0	0.634959654	0	0	0	0	0	0	0	0	0	0	0	3
38	13	0	0.652120726	0	0	0	0	0	0	0	0	0	0	0	3
39	14	0	0.669281798	0	0	0	0	0	0	0	0	0	0	0	3
40	14	0	0.686442869	0	0	0	0	0	0	0	0	0	0	0	3
