Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0164625129	450874.932	450874.932	450874.932	450874.932	0	0	0	0	5.9151e+06	0	0	3
2	3	0	0.0329250259	599498.292	525186.612	450874.932	599498.292	74311.68	0	0	0	6.98235e+06	0	0	3
3	3	0	0.0493875388	676100.529	575491.251	450874.932	676100.529	124616.319	0	0	0	6.72532e+06	0	0	3
4	4	0	0.0658500517	674775.014	600312.192	450874.932	676100.529	149437.26	0	0	0	5.73887e+06	0	0	3
5	4	0	0.0823125647	664583.961	613166.546	450874.932	676100.529	162291.614	0	0	0	4.39851e+06	0	0	3
6	4	0	0.0987750776	662650.302	621413.838	450874.932	676100.529	170538.906	0	0	0	3.72063e+06	0	0	3
7	4	0	0.115237591	661914.341	627199.624	450874.932	676100.529	176324.692	0	0	0	3.41085e+06	0	0	3
8	5	0	0.131700103	662948.686	631668.257	450874.932	676100.529	180793.325	0	0	0	3.21587e+06	0	0	3
9	5	0	0.148162616	665201.768	635394.203	450874.932	676100.529	184519.271	0	0	0	2.97451e+06	0	0	3
10	5	0	0.164625129	663907.841	638245.567	450874.932	676100.529	187370.635	0	0	0	2.75744e+06	0	0	3
11	6	0	0.181087642	663954.718	640582.762	450874.932	676100.529	189707.83	0	0	0	2.70752e+06	0	0	3
12	6	0	0.197550155	663618.936	642502.443	450874.932	676100.529	191627.511	0	0	0	2.65291e+06	0	0	3
13	6	0	0.214012668	663238.644	644097.536	450874.932	676100.529	193222.604	0	0	0	2.62613e+06	0	0	3
14	6	0	0.230475181	662991.672	645447.117	450874.932	676100.529	194572.185	0	0	0	2.58484e+06	0	0	3
15	7	0	0.246937694	663276.492	646635.742	450874.932	676100.529	195760.81	0	0	0	2.56344e+06	0	0	3
16	7	0	0.263400207	663249.172	647674.081	450874.932	676100.529	196799.149	0	0	0	2.54406e+06	0	0	3
17	7	0	0.27986272	663275.776	648591.828	450874.932	676100.529	197716.896	0	0	0	2.52878e+06	0	0	3
18	7	0	0.296325233	663194.634	649403.095	450874.932	676100.529	198528.163	0	0	0	2.51295e+06	0	0	3
19	8	0	0.312787746	663443.946	650142.087	450874.932	676100.529	199267.155	0	0	0	2.5139e+06	0	0	3
20	8	0	0.329250259	663237.919	650796.879	450874.932	676100.529	199921.947	0	0	0	2.57036e+06	0	0	3
21	8	0	0.345712772	663442.709	651399.061	450874.932	676100.529	200524.129	0	0	0	2.55426e+06	0	0	3
22	9	0	0.362175284	663552.359	651951.484	450874.932	676100.529	201076.552	0	0	0	2.57878e+06	0	0	3
23	9	0	0.378637797	663849.956	652468.809	450874.932	676100.529	201593.877	0	0	0	2.60617e+06	0	0	3
24	9	0	0.39510031	663816.121	652941.613	450874.932	676100.529	202066.681	0	0	0	2.62077e+06	0	0	3
25	9	0	0.411562823	663970.149	653382.755	450874.932	676100.529	202507.823	0	0	0	2.65221e+06	0	0	3
26	10	0	0.428025336	663995.975	653790.956	450874.932	676100.529	202916.024	0	0	0	2.65309e+06	0	0	3
27	10	0	0.444487849	664064.617	654171.462	450874.932	676100.529	203296.53	0	0	0	2.67176e+06	0	0	3
28	10	0	0.460950362	664014.81	654523.01	450874.932	676100.529	203648.078	0	0	0	2.66651e+06	0	0	3
29	11	0	0.477412875	664031.782	654850.898	450874.932	676100.529	203975.966	0	0	0	2.68573e+06	0	0	3
30	11	0	0.493875388	663974.273	655155.011	450874.932	676100.529	204280.079	0	0	0	2.67585e+06	0	0	3
31	11	0	0.510337901	664030.011	655441.301	450874.932	676100.529	204566.369	0	0	0	2.6891e+06	0	0	3
32	11	0	0.526800414	664137.801	662320.749	599498.292	676100.529	76602.2369	0	0	0	2.67984e+06	0	0	3
33	12	0	0.543262927	664150.056	664406.289	661914.341	676100.529	14186.1884	0	0	0	2.69167e+06	0	0	3
34	12	0	0.55972544	664142.451	664020.545	661914.341	674775.014	12860.6739	0	0	0	2.68128e+06	0	0	3
35	12	0	0.576187953	664113.874	663676.637	661914.341	665201.768	3287.42769	0	0	0	2.694e+06	0	0	3
36	13	0	0.592650466	664134.503	663662.139	661914.341	665201.768	3287.42769	0	0	0	2.6826e+06	0	0	3
37	13	0	0.609112978	664169.865	663711.157	661914.341	665201.768	3287.42769	0	0	0	2.6921e+06	0	0	3
38	13	0	0.625575491	664185.012	663784.404	662948.686	665201.768	2253.08225	0	0	0	2.68132e+06	0	0	3
39	13	0	0.642038004	664175.383	663823.975	662991.672	665201.768	2210.09636	0	0	0	2.68945e+06	0	0	3
40	14	0	0.658500517	664188.856	663791.3	662991.672	664188.856	1197.18385	0	0	0	2.67851e+06	0	0	3
41	14	0	0.67496303	664138.273	663798.734	662991.672	664188.856	1197.18385	0	0	0	2.684e+06	0	0	3
42	14	0	0.691425543	664115.763	663803.929	662991.672	664188.856	1197.18385	0	0	0	2.67308e+06	0	0	3
43	15	0	0.707888056	664074.319	663818.618	662991.672	664188.856	1197.18385	0	0	0	2.67836e+06	0	0	3
44	15	0	0.724350569	664064.738	663845.267	662991.672	664188.856	1197.18385	0	0	0	2.67058e+06	0	0	3
45	15	0	0.740813082	664008.881	663878.08	663194.634	664188.856	994.221442	0	0	0	2.67703e+06	0	0	3
46	16	0	0.757275595	664019.007	663902.032	663194.634	664188.856	994.221442	0	0	0	2.66855e+06	0	0	3
47	16	0	0.773738108	663986.57	663925.819	663194.634	664188.856	994.221442	0	0	0	2.67518e+06	0	0	3
48	16	0	0.790200621	664001.257	663949.222	663194.634	664188.856	994.221442	0	0	0	2.66805e+06	0	0	3
49	16	0	0.806663134	663964.76	663974.064	663237.919	664188.856	950.936603	0	0	0	2.67546e+06	0	0	3
50	17	0	0.823125647	663992.23	663991.751	663237.919	664188.856	950.936603	0	0	0	2.6671e+06	0	0	3
51	17	0	0.83958816	663946.236	664014.6	663442.709	664188.856	746.146292	0	0	0	2.67248e+06	0	0	3
52	17	0	0.856050672	663940.11	664030.645	663552.359	664188.856	636.496612	0	0	0	2.6645e+06	0	0	3
53	18	0	0.872513185	663875.461	664041.068	663816.121	664188.856	372.735026	0	0	0	2.67201e+06	0	0	3
54	18	0	0.888975698	663870.001	664041.714	663816.121	664188.856	372.735026	0	0	0	2.6645e+06	0	0	3
55	18	0	0.905438211	663813.305	664041.624	663813.305	664188.856	375.550849	0	0	0	2.67138e+06	0	0	3
56	18	0	0.921900724	663784.23	664035.626	663784.23	664188.856	404.626144	0	0	0	2.66463e+06	0	0	3
57	19	0	0.938363237	663732.46	664027.126	663732.46	664188.856	456.395317	0	0	0	2.67237e+06	0	0	3
58	19	0	0.95482575	663732.064	664016.398	663732.064	664188.856	456.791536	0	0	0	2.66528e+06	0	0	3
59	19	0	0.971288263	663693.097	664006.02	663693.097	664188.856	495.758887	0	0	0	2.67217e+06	0	0	3
60	20	0	0.987750776	663701.667	663995.371	663693.097	664188.856	495.758887	0	0	0	2.66395e+06	0	0	3
61	20	0	1.00421329	663630.443	663984.28	663630.443	664188.856	558.412745	425.585653	0	76.2	2.67143e+06	0	0	3
62	20	0	1.0206758	663599.948	663970.407	663599.948	664188.856	588.907501	425.585653	0	72.2	2.66366e+06	0	0	3
63	21	0	1.03713831	663526.407	663950.685	663526.407	664188.856	662.448601	425.585653	0	64.2	2.6711e+06	0	0	3
64	21	0	1.05360083	663495.014	663929.554	663495.014	664188.856	379.57579	425.585653	0	100	2.66183e+06	0	0	3
65	21	0	1.07006334	663405.15	663905.771	663405.15	664188.856	379.57579	425.585653	0	100	2.67088e+06	0	0	3
66	22	0	1.08652585	663373.644	663881.892	663373.644	664188.856	379.57579	425.585653	0	100	2.66161e+06	0	0	3
67	22	0	1.10298837	663277.108	663854.234	663277.108	664188.856	330.557642	425.585653	0	100	2.66994e+06	0	0	3
68	22	0	1.11945088	663272.978	663825.302	663272.978	664188.856	257.310178	425.585653	0	100	2.65875e+06	0	0	3
69	23	0	1.13591339	663212.061	663793.917	663212.061	664188.856	250.413901	425.585653	0	100	2.66431e+06	0	0	3
70	23	0	1.15237591	663187.276	663762.042	663187.276	664188.856	279.671927	425.585653	0	100	2.64809e+06	0	0	3
71	23	0	1.16883842	663156.116	663728.728	663156.116	664138.273	312.986119	425.585653	0	100	2.59915e+06	0	0	3
72	24	0	1.18530093	663153.114	663696.949	663153.114	664115.763	344.765472	425.585653	0	100	2.5861e+06	0	0	3
73	24	0	1.20176344	663093.254	663663.965	663093.254	664074.319	377.749629	425.585653	0	100	2.50874e+06	0	0	3
74	25	0	1.21822596	663095.94	663632.404	663093.254	664064.738	409.310252	425.585653	0	100	2.50131e+06	0	0	3
75	25	0	1.23468847	663038.288	663599.293	663038.288	664019.007	442.421531	425.585653	0	96.1	2.42942e+06	0	0	3
76	25	0	1.25115098	663030.217	663567.723	663030.217	664019.007	473.991342	425.585653	0	89.7	2.42913e+06	0	0	3
77	26	0	1.2676135	662992.125	663534.598	662992.125	664001.257	507.116575	425.585653	0	83.9	2.39736e+06	0	0	3
78	26	0	1.28407601	662967.159	663501.714	662967.159	664001.257	540.00082	425.585653	0	78.8	2.40715e+06	0	0	3
79	26	0	1.30053852	662934.421	663467.299	662934.421	663992.23	574.414902	425.585653	0	74	2.42135e+06	0	0	3
80	27	0	1.31700103	662926.344	663433.802	662926.344	663992.23	607.91221	425.585653	0	70	2.3709e+06	0	0	3
81	27	0	1.33346355	662914.688	663399.043	662914.688	663946.236	642.671642	425.585653	0	66.2	2.39974e+06	0	0	3
82	27	0	1.34992606	662887.988	663364.906	662887.988	663940.11	676.808647	425.585653	0	62.8	2.35237e+06	0	0	3
83	28	0	1.36638857	662886.202	663330.909	662886.202	663875.461	710.805682	425.585653	0	59.8	2.37693e+06	0	0	3
84	28	0	1.38285109	662894.404	663299.262	662886.202	663870.001	742.452704	425.585653	0	57.3	2.34073e+06	0	0	3
85	28	0	1.3993136	662912.737	663268.382	662886.202	663813.305	773.241327	425.585653	0	55	2.36447e+06	0	0	3
86	29	0	1.41577611	662932.438	663239.967	662886.202	663784.23	795.65899	425.585653	0	53.4	2.33259e+06	0	0	3
87	29	0	1.43223863	662934.836	663212.567	662886.202	663732.46	814.558306	425.585653	0	52.2	2.35635e+06	0	0	3
88	29	0	1.44870114	662916.584	663186.249	662886.202	663732.064	830.149381	425.585653	0	51.2	2.32546e+06	0	0	3
89	30	0	1.46516365	662925.888	663160.243	662886.202	663701.667	815.46481	425.585653	0	52.1	2.34894e+06	0	0	3
90	30	0	1.48162616	662905.005	663134.821	662886.202	663701.667	815.46481	425.585653	0	52.1	2.32795e+06	0	0	3
91	30	0	1.49808868	662874.115	663108.125	662874.115	663630.443	756.328348	425.585653	0	56.2	2.34331e+06	0	0	3
92	31	0	1.51455119	662886.931	663084.141	662874.115	663599.948	725.833593	425.585653	0	58.6	2.33297e+06	0	0	3
93	31	0	1.5310137	662870.992	663060.626	662870.992	663526.407	655.415479	425.585653	0	64.9	2.33725e+06	0	0	3
94	31	0	1.54747622	662857.391	663039.045	662857.391	663495.014	637.622299	425.585653	0	66.7	2.32712e+06	0	0	3
95	32	0	1.56393873	662852.612	663018.323	662852.612	663405.15	552.538426	425.585653	0	77	2.33335e+06	0	0	3
96	32	0	1.58040124	662823.85	662999.571	662823.85	663373.644	549.793978	425.585653	0	77.4	2.3342e+06	0	0	3
97	32	0	1.59686375	662809.162	662981.362	662809.162	663277.108	467.946021	425.585653	0	90.9	2.33425e+06	0	0	3
98	33	0	1.61332627	662802.932	662966.066	662802.932	663272.978	470.045541	425.585653	0	90.5	2.32967e+06	0	0	3
99	33	0	1.62978878	662772.069	662949.908	662772.069	663212.061	439.991659	425.585653	0	96.7	2.34061e+06	0	0	3
100	33	0	1.64625129	662785.559	662936.15	662772.069	663187.276	415.206956	425.585653	0	100	2.32964e+06	0	0	3
