Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0166850198	1429.09974	1429.09974	1429.09974	1429.09974	0	0	0	0	0	0	0	3
2	3	0	0.0333700397	1423.0782	1426.08897	1423.0782	1429.09974	3.01076741	0	0	0	0	0	0	3
3	3	0	0.0500550595	1423.05771	1425.07855	1423.05771	1429.09974	4.02118787	0	0	0	0	0	0	3
4	3	0	0.0667400793	1414.9204	1422.53901	1414.9204	1429.09974	6.56072459	0	0	0	0	0	0	3
5	4	0	0.0834250991	1402.52125	1418.53546	1402.52125	1429.09974	10.5642779	0	0	0	0	0	0	3
6	4	0	0.100110119	1385.26479	1412.99035	1385.26479	1429.09974	16.1093898	0	0	0	0	0	0	3
7	4	0	0.116795139	1372.6943	1407.23377	1372.6943	1429.09974	21.8659677	0	0	0	0	0	0	3
8	5	0	0.133480159	1363.92051	1401.81961	1363.92051	1429.09974	27.2801249	0	0	0	0	0	0	3
9	5	0	0.150165178	1357.1651	1396.858	1357.1651	1429.09974	32.2417374	0	0	0	0	0	0	3
10	5	0	0.166850198	1352.03551	1392.37575	1352.03551	1429.09974	36.7239861	0	0	0	0	0	0	3
11	5	0	0.183535218	1345.56324	1388.12007	1345.56324	1429.09974	40.9796693	0	0	0	0	0	0	3
12	6	0	0.200220238	1343.32985	1384.38755	1343.32985	1429.09974	44.712188	0	0	0	0	0	0	3
13	6	0	0.216905258	1340.62489	1381.02119	1340.62489	1429.09974	48.0785464	0	0	0	0	0	0	3
14	6	0	0.233590278	1339.36233	1378.04556	1339.36233	1429.09974	51.0541792	0	0	0	0	0	0	3
15	7	0	0.250275297	1339.15226	1375.45267	1339.15226	1429.09974	53.647066	0	0	0	0	0	0	3
16	7	0	0.266960317	1340.71953	1373.28185	1339.15226	1429.09974	55.8178876	0	0	0	0	0	0	3
17	7	0	0.283645337	1342.77436	1371.48729	1339.15226	1429.09974	57.6124459	0	0	0	0	0	0	3
18	8	0	0.300330357	1344.48372	1369.98709	1339.15226	1429.09974	59.1126445	0	0	0	0	0	0	3
19	8	0	0.317015377	1346.06948	1368.72827	1339.15226	1429.09974	60.3714663	0	0	0	0	0	0	3
20	8	0	0.333700397	1347.58	1367.67086	1339.15226	1429.09974	61.4288799	0	0	0	0	0	0	3
21	8	0	0.350385416	1347.70201	1366.71996	1339.15226	1429.09974	62.3797774	0	0	0	0	0	0	3
22	9	0	0.367070436	1348.20888	1365.87855	1339.15226	1429.09974	63.2211901	0	0	0	0	0	0	3
23	9	0	0.383755456	1348.73793	1365.1333	1339.15226	1429.09974	63.9664345	0	0	0	0	0	0	3
24	9	0	0.400440476	1349.50149	1364.48198	1339.15226	1429.09974	64.6177599	0	0	0	0	0	0	3
25	10	0	0.417125496	1350.09101	1363.90634	1339.15226	1429.09974	65.1933986	0	0	0	0	0	0	3
26	10	0	0.433810515	1352.95445	1363.48511	1339.15226	1429.09974	65.614625	0	0	0	0	0	0	3
27	10	0	0.450495535	1354.67517	1363.15882	1339.15226	1429.09974	65.9409192	0	0	0	0	0	0	3
28	10	0	0.467180555	1356.03872	1362.90453	1339.15226	1429.09974	66.1952086	0	0	0	0	0	0	3
29	11	0	0.483865575	1356.78692	1362.69358	1339.15226	1429.09974	66.4061605	0	0	0	0	0	0	3
30	11	0	0.500550595	1357.58874	1362.52342	1339.15226	1429.09974	66.5763218	0	0	0	0	0	0	3
31	11	0	0.517235615	1355.2559	1360.06196	1339.15226	1423.0782	66.0270155	0	0	0	0	0	0	3
32	12	0	0.533920634	1354.80771	1357.78627	1339.15226	1423.05771	67.2922781	0	0	0	0	0	0	3
33	12	0	0.550605654	1354.21776	1355.49161	1339.15226	1414.9204	67.0474064	0	0	0	0	0	0	3
34	12	0	0.567290674	1354.4264	1353.47514	1339.15226	1402.52125	63.3689906	0	0	0	0	0	0	3
35	12	0	0.583975694	1354.18981	1351.86409	1339.15226	1385.26479	46.1125322	0	0	0	0	0	0	3
36	13	0	0.600660714	1357.97701	1350.9545	1339.15226	1372.6943	33.5420465	0	0	0	0	0	0	3
37	13	0	0.617345734	1359.10083	1350.50138	1339.15226	1363.92051	24.7682566	0	0	0	0	0	0	3
38	13	0	0.634030753	1359.54407	1350.3555	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
39	14	0	0.650715773	1358.75005	1350.40833	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
40	14	0	0.667400793	1358.44083	1350.62184	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
41	14	0	0.684085813	1354.05308	1350.90484	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
42	15	0	0.700770833	1352.7754	1351.21969	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
43	15	0	0.717455853	1351.72939	1351.58984	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
44	15	0	0.734140872	1351.51959	1351.99508	1339.15226	1359.54407	20.3918145	0	0	0	0	0	0	3
45	15	0	0.750825892	1351.08837	1352.39295	1340.71953	1359.54407	18.8245434	0	0	0	0	0	0	3
46	16	0	0.767510912	1351.62377	1352.75643	1342.77436	1359.54407	16.7697125	0	0	0	0	0	0	3
47	16	0	0.784195932	1351.53496	1353.04845	1344.48372	1359.54407	15.060353	0	0	0	0	0	0	3
48	16	0	0.800880952	1351.50775	1353.28258	1346.06948	1359.54407	13.4745918	0	0	0	0	0	0	3
49	17	0	0.817565972	1351.11714	1353.45084	1347.58	1359.54407	11.9640714	0	0	0	0	0	0	3
50	17	0	0.834250991	1351.48969	1353.58116	1347.70201	1359.54407	11.8420594	0	0	0	0	0	0	3
51	17	0	0.850936011	1353.83131	1353.78547	1348.20888	1359.54407	11.3351886	0	0	0	0	0	0	3
52	18	0	0.867621031	1355.24195	1354.01991	1348.73793	1359.54407	10.8061445	0	0	0	0	0	0	3
53	18	0	0.884306051	1355.16634	1354.23419	1349.50149	1359.54407	10.0425781	0	0	0	0	0	0	3
54	18	0	0.900991071	1355.35208	1354.42921	1350.09101	1359.54407	9.45305874	0	0	0	0	0	0	3
55	19	0	0.91767609	1354.83027	1354.58718	1351.08837	1359.54407	8.45569716	0	0	0	0	0	0	3
56	19	0	0.93436111	1351.66666	1354.54426	1351.08837	1359.54407	8.45569716	0	0	0	0	0	0	3
57	19	0	0.95104613	1350.58155	1354.4078	1350.58155	1359.54407	8.96251679	0	0	0	0	0	0	3
58	19	0	0.96773115	1350.552	1354.22491	1350.552	1359.54407	8.99206915	0	0	0	0	0	0	3
59	20	0	0.98441617	1350.36281	1354.01077	1350.36281	1359.54407	9.18126027	0	0	0	0	0	0	3
60	20	0	1.00110119	1350.4377	1353.77241	1350.36281	1359.54407	9.18126027	2.51716359	0	27.4	0	0	0	3
61	20	0	1.01778621	1353.73654	1353.72176	1350.36281	1359.54407	7.43076983	2.51716359	0	33.8	0	0	0	3
62	21	0	1.03447123	1355.37238	1353.74058	1350.36281	1359.54407	5.13610479	2.51716359	0	49	0	0	0	3
63	21	0	1.05115625	1355.6563	1353.78854	1350.36281	1359.54407	4.23168	2.51716359	0	59.4	0	0	0	3
64	21	0	1.06784127	1352.49903	1353.72429	1350.36281	1359.54407	4.23168	2.51716359	0	59.4	0	0	0	3
65	22	0	1.08452629	1351.58264	1353.63738	1350.36281	1359.54407	4.23168	2.51716359	0	59.4	0	0	0	3
66	22	0	1.10121131	1354.11366	1353.50861	1350.36281	1359.54407	4.23168	2.51716359	0	59.4	0	0	0	3
67	22	0	1.11789633	1355.1247	1353.37607	1350.36281	1359.54407	4.23168	2.51716359	0	59.4	0	0	0	3
68	23	0	1.13458135	1356.74648	1353.28282	1350.36281	1358.75005	4.1788483	2.51716359	0	60.2	0	0	0	3
69	23	0	1.15126637	1356.91068	1353.2215	1350.36281	1358.44083	3.96533784	2.51716359	0	63.4	0	0	0	3
70	24	0	1.16795139	1353.79654	1353.06669	1350.36281	1356.91068	3.68234297	2.51716359	0	68.3	0	0	0	3
71	24	0	1.18463641	1353.29305	1353.04136	1350.36281	1356.91068	3.36749113	2.51716359	0	74.7	0	0	0	3
72	24	0	1.20132143	1354.08229	1353.08492	1350.36281	1356.91068	2.99734131	2.51716359	0	83.9	0	0	0	3
73	25	0	1.21800645	1356.59054	1353.24696	1350.36281	1356.91068	2.59209928	2.51716359	0	97.1	0	0	0	3
74	25	0	1.23469147	1357.59531	1353.44948	1350.36281	1357.59531	2.1942287	2.51716359	0	100	0	0	0	3
