Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0175875589	601959.95	601959.95	601959.95	601959.95	0	0	0	0	7.06329e+06	0	0	3
2	2	0	0.0351751178	654220.804	628090.377	601959.95	654220.804	26130.427	0	0	0	5.86661e+06	0	0	3
3	2	0	0.0527626766	668028.09	641402.948	601959.95	668028.09	39442.9981	0	0	0	6.53534e+06	0	0	3
4	3	0	0.0703502355	671610.321	648954.791	601959.95	671610.321	46994.8414	0	0	0	6.08641e+06	0	0	3
5	3	0	0.0879377944	671244.276	653412.688	601959.95	671610.321	51452.7383	0	0	0	5.19194e+06	0	0	3
6	3	0	0.105525353	670703.89	656294.555	601959.95	671610.321	54334.6052	0	0	0	4.44213e+06	0	0	3
7	4	0	0.123112912	670190.066	658279.628	601959.95	671610.321	56319.6782	0	0	0	3.90498e+06	0	0	3
8	4	0	0.140700471	670153.499	659763.862	601959.95	671610.321	57803.9121	0	0	0	3.40448e+06	0	0	3
9	4	0	0.15828803	670183.641	660921.615	601959.95	671610.321	58961.6654	0	0	0	3.04449e+06	0	0	3
10	4	0	0.175875589	670248.607	661854.315	601959.95	671610.321	59894.3645	0	0	0	2.81756e+06	0	0	3
11	5	0	0.193463148	670242.973	662616.92	601959.95	671610.321	60656.9698	0	0	0	2.70555e+06	0	0	3
12	5	0	0.211050707	670180.479	663247.216	601959.95	671610.321	61287.2664	0	0	0	2.60548e+06	0	0	3
13	5	0	0.228638265	670071.739	663772.18	601959.95	671610.321	61812.2297	0	0	0	2.53321e+06	0	0	3
14	6	0	0.246225824	669977.182	664215.394	601959.95	671610.321	62255.4441	0	0	0	2.4174e+06	0	0	3
15	6	0	0.263813383	669843.998	664590.634	601959.95	671610.321	62630.6844	0	0	0	2.35196e+06	0	0	3
16	6	0	0.281400942	669707.469	664910.437	601959.95	671610.321	62950.4866	0	0	0	2.33002e+06	0	0	3
17	6	0	0.298988501	669544.362	665183.02	601959.95	671610.321	63223.0705	0	0	0	2.30404e+06	0	0	3
18	7	0	0.31657606	669447.242	665419.922	601959.95	671610.321	63459.9716	0	0	0	2.28609e+06	0	0	3
19	7	0	0.334163619	669342.942	665626.396	601959.95	671610.321	63666.4464	0	0	0	2.29357e+06	0	0	3
20	7	0	0.351751178	669242.392	665807.196	601959.95	671610.321	63847.2462	0	0	0	2.30213e+06	0	0	3
21	7	0	0.369338736	669159.969	665966.852	601959.95	671610.321	64006.902	0	0	0	2.30763e+06	0	0	3
22	8	0	0.386926295	669032.818	666106.214	601959.95	671610.321	64146.2641	0	0	0	2.30487e+06	0	0	3
23	8	0	0.404513854	668949.363	666229.829	601959.95	671610.321	64269.8793	0	0	0	2.30752e+06	0	0	3
24	8	0	0.422101413	668859.658	666339.406	601959.95	671610.321	64379.4555	0	0	0	2.30519e+06	0	0	3
25	9	0	0.439688972	668781.006	666437.07	601959.95	671610.321	64477.1195	0	0	0	2.30583e+06	0	0	3
26	9	0	0.457276531	668689.971	666523.72	601959.95	671610.321	64563.7695	0	0	0	2.30386e+06	0	0	3
27	9	0	0.47486409	668557.346	666599.039	601959.95	671610.321	64639.089	0	0	0	2.30329e+06	0	0	3
28	9	0	0.492451649	668476.216	666666.081	601959.95	671610.321	64706.1311	0	0	0	2.29818e+06	0	0	3
29	10	0	0.510039208	668393.411	666725.644	601959.95	671610.321	64765.6942	0	0	0	2.29818e+06	0	0	3
30	10	0	0.527626766	668316.865	669013.814	654220.804	671610.321	17389.5174	0	0	0	2.29301e+06	0	0	3
31	10	0	0.545214325	668216.067	669496.409	668028.09	671610.321	3582.2312	0	0	0	2.29374e+06	0	0	3
32	10	0	0.562801884	668069.273	669497.829	668069.273	671610.321	3541.04861	0	0	0	2.28906e+06	0	0	3
33	11	0	0.580389443	667994.88	669373.159	667994.88	671244.276	3249.3958	0	0	0	2.28949e+06	0	0	3
34	11	0	0.597977002	667895.526	669257.685	667895.526	670703.89	2808.36423	0	0	0	2.28408e+06	0	0	3
35	11	0	0.615564561	667854.745	669159.438	667854.745	670248.607	2393.86189	0	0	0	2.28381e+06	0	0	3
36	12	0	0.63315212	667821.325	669077.757	667821.325	670248.607	2427.28214	0	0	0	2.28089e+06	0	0	3
37	12	0	0.650739679	667783.786	668996.043	667783.786	670248.607	2464.82081	0	0	0	2.28128e+06	0	0	3
38	12	0	0.668327237	667740.847	668911.809	667740.847	670248.607	2507.75972	0	0	0	2.27886e+06	0	0	3
39	12	0	0.685914796	667699.703	668823.916	667699.703	670242.973	2543.26926	0	0	0	2.27806e+06	0	0	3
40	13	0	0.703502355	667664.399	668734.999	667664.399	670180.479	2516.0806	0	0	0	2.27627e+06	0	0	3
41	13	0	0.721089914	667634.432	668647.205	667634.432	670071.739	2437.30701	0	0	0	2.27516e+06	0	0	3
42	13	0	0.738677473	667597.958	668561.902	667597.958	669977.182	2379.22371	0	0	0	2.27477e+06	0	0	3
43	14	0	0.756265032	667556.903	668478.444	667556.903	669843.998	2287.09486	0	0	0	2.27205e+06	0	0	3
44	14	0	0.773852591	667504.584	668397.774	667504.584	669707.469	2202.88549	0	0	0	2.27247e+06	0	0	3
45	14	0	0.79144015	667469.295	668320.596	667469.295	669544.362	2075.06771	0	0	0	2.26883e+06	0	0	3
46	14	0	0.809027708	667430.805	668247.715	667430.805	669447.242	2016.43696	0	0	0	2.26982e+06	0	0	3
47	15	0	0.826615267	667410.621	668177.486	667410.621	669342.942	1932.32135	0	0	0	2.26557e+06	0	0	3
48	15	0	0.844202826	667399.585	668110.474	667399.585	669242.392	1842.80668	0	0	0	2.26686e+06	0	0	3
49	15	0	0.861790385	667388.271	668046.539	667388.271	669159.969	1771.69779	0	0	0	2.26245e+06	0	0	3
50	16	0	0.879377944	667378.818	667985.12	667378.818	669032.818	1653.99984	0	0	0	2.26504e+06	0	0	3
51	16	0	0.896965503	667365.156	667927.614	667365.156	668949.363	1584.20719	0	0	0	2.2604e+06	0	0	3
52	16	0	0.914553062	667354.761	667872.628	667354.761	668859.658	1504.89655	0	0	0	2.26363e+06	0	0	3
53	16	0	0.932140621	667342.711	667820.319	667342.711	668781.006	1438.29448	0	0	0	2.2588e+06	0	0	3
54	17	0	0.949728179	667334.683	667770.446	667334.683	668689.971	1355.28817	0	0	0	2.26197e+06	0	0	3
55	17	0	0.967315738	667321.526	667723.259	667321.526	668557.346	1235.81978	0	0	0	2.25686e+06	0	0	3
56	17	0	0.984903297	667313.057	667680.352	667313.057	668476.216	1163.15959	0	0	0	2.2605e+06	0	0	3
57	18	0	1.00249086	667307.238	667640.042	667307.238	668393.411	1086.17358	129.092515	0	0	2.25589e+06	0	0	3
58	18	0	1.02007842	667305.047	667602.513	667305.047	668316.865	1011.81767	129.158235	0	0	2.25864e+06	0	0	3
59	18	0	1.03766597	667299.074	667567.416	667299.074	668216.067	916.993122	129.247833	0	0	2.25432e+06	0	0	3
60	19	0	1.05525353	667298.684	667535.782	667298.684	668069.273	770.589009	129.281599	0	0	2.25727e+06	0	0	3
61	19	0	1.07284109	667288.556	667508.861	667288.556	667994.88	706.324416	129.092515	0	0	2.25322e+06	0	0	3
