Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0168277559	293.199465	293.199465	293.199465	293.199465	0	0	0	0	26.0394	0	0	3
2	3	0	0.0336555119	293.198355	293.19891	293.198355	293.199465	0.000554745433	0	0	0	52.0711	0	0	3
3	3	0	0.0504832678	293.195891	293.197904	293.195891	293.199465	0.0015610005	0	0	0	68.1795	0	0	3
4	3	0	0.0673110238	293.191269	293.196245	293.191269	293.199465	0.003219535	0	0	0	95.8327	0	0	3
5	4	0	0.0841387797	293.183917	293.193779	293.183917	293.199465	0.00568512257	0	0	0	138.422	0	0	3
6	4	0	0.100966536	293.166656	293.189259	293.166656	293.199465	0.0102056081	0	0	0	231.411	0	0	3
7	4	0	0.117794292	293.147606	293.183309	293.147606	293.199465	0.0161559749	0	0	0	302.666	0	0	3
8	4	0	0.134622048	293.138488	293.177706	293.138488	293.199465	0.0217585013	0	0	0	302.877	0	0	3
9	5	0	0.151449803	293.132822	293.172719	293.132822	293.199465	0.0267455798	0	0	0	304.489	0	0	3
10	5	0	0.168277559	293.120812	293.167528	293.120812	293.199465	0.0319362773	0	0	0	306.606	0	0	3
11	5	0	0.185105315	293.097013	293.161118	293.097013	293.199465	0.0383467222	0	0	0	310.328	0	0	3
12	5	0	0.201933071	293.106824	293.156593	293.097013	293.199465	0.0428712464	0	0	0	645.879	0	0	3
13	5	0	0.218760827	293.065588	293.149593	293.065588	293.199465	0.049871688	0	0	0	1019.56	0	0	3
14	6	0	0.235588583	293.128255	293.148069	293.065588	293.199465	0.0513958341	0	0	0	733.734	0	0	3
15	6	0	0.252416339	293.149745	293.14818	293.065588	293.199465	0.0513958341	0	0	0	1751.33	0	0	3
16	6	0	0.269244095	293.132142	293.147178	293.065588	293.199465	0.0522864488	0	0	0	875.785	0	0	3
17	6	0	0.286071851	293.13169	293.146267	293.065588	293.199465	0.0531975019	0	0	0	1474.85	0	0	3
18	7	0	0.302899607	293.152382	293.146607	293.065588	293.199465	0.0531975019	0	0	0	910.093	0	0	3
19	7	0	0.319727363	293.162298	293.147433	293.065588	293.199465	0.0531975019	0	0	0	1290.92	0	0	3
20	7	0	0.336555119	293.182524	293.149187	293.065588	293.199465	0.0531975019	0	0	0	901.285	0	0	3
21	7	0	0.353382875	293.209754	293.152071	293.065588	293.209754	0.0531975019	0	0	0	1050.55	0	0	3
22	8	0	0.370210631	293.230956	293.155657	293.065588	293.230956	0.0531975019	0	0	0	869.432	0	0	3
23	8	0	0.387038387	293.238099	293.159241	293.065588	293.238099	0.0531975019	0	0	0	831.216	0	0	3
24	8	0	0.403866143	293.247953	293.162938	293.065588	293.247953	0.0531975019	0	0	0	834.145	0	0	3
25	8	0	0.420693898	293.254563	293.166603	293.065588	293.254563	0.0531975019	0	0	0	739.081	0	0	3
