Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0168277559
2	3	0	0.0336555119
3	3	0	0.0504832678
4	3	0	0.0673110238
5	4	0	0.0841387797
6	4	0	0.100966536
7	4	0	0.117794292
8	4	0	0.134622048
9	5	0	0.151449803
10	5	0	0.168277559
11	5	0	0.185105315
12	5	0	0.201933071
13	5	0	0.218760827
14	6	0	0.235588583
15	6	0	0.252416339
16	6	0	0.269244095
17	6	0	0.286071851
18	7	0	0.302899607
19	7	0	0.319727363
20	7	0	0.336555119
21	7	0	0.353382875
22	8	0	0.370210631
23	8	0	0.387038387
24	8	0	0.403866143
25	8	0	0.420693898
26	8	0	0.437521654
27	9	0	0.45434941
28	9	0	0.471177166
29	9	0	0.488004922
30	9	0	0.504832678
31	10	0	0.521660434
32	10	0	0.53848819
33	10	0	0.555315946
34	10	0	0.572143702
35	10	0	0.588971458
36	11	0	0.605799214
37	11	0	0.62262697
38	11	0	0.639454726
39	11	0	0.656282482
40	12	0	0.673110238
41	12	0	0.689937993
42	12	0	0.706765749
43	12	0	0.723593505
44	13	0	0.740421261
45	13	0	0.757249017
46	13	0	0.774076773
47	13	0	0.790904529
48	13	0	0.807732285
49	14	0	0.824560041
50	14	0	0.841387797
51	14	0	0.858215553
52	14	0	0.875043309
53	15	0	0.891871065
54	15	0	0.908698821
55	15	0	0.925526577
56	15	0	0.942354333
57	16	0	0.959182088
58	16	0	0.976009844
59	16	0	0.9928376
60	16	0	1.00966536
61	17	0	1.02649311
62	17	0	1.04332087
63	17	0	1.06014862
64	17	0	1.07697638
65	18	0	1.09380414
66	18	0	1.11063189
67	18	0	1.12745965
68	18	0	1.1442874
69	19	0	1.16111516
70	19	0	1.17794292
71	19	0	1.19477067
72	20	0	1.21159843
73	20	0	1.22842618
74	20	0	1.24525394
75	20	0	1.2620817
76	21	0	1.27890945
77	21	0	1.29573721
78	21	0	1.31256496
79	21	0	1.32939272
80	22	0	1.34622048
81	22	0	1.36304823
82	22	0	1.37987599
83	23	0	1.39670374
84	23	0	1.4135315
85	23	0	1.43035925
86	23	0	1.44718701
87	24	0	1.46401477
88	24	0	1.48084252
89	24	0	1.49767028
