Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0156598047	283126.514	283126.514	283126.514	283126.514	0	0	0	0	6.54631e+06	0	0	3
2	2	0	0.0313196094	470038.122	376582.318	283126.514	470038.122	93455.8038	0	0	0	4.83858e+06	0	0	3
3	3	0	0.0469794141	630522.715	461229.117	283126.514	630522.715	178102.603	0	0	0	4.78193e+06	0	0	3
4	3	0	0.0626392188	675747.237	514858.647	283126.514	675747.237	231732.133	0	0	0	5.02639e+06	0	0	3
5	3	0	0.0782990235	666443.345	545175.587	283126.514	675747.237	262049.072	0	0	0	5.17256e+06	0	0	3
6	4	0	0.0939588282	652516.451	563065.731	283126.514	675747.237	279939.217	0	0	0	5.15551e+06	0	0	3
7	4	0	0.109618633	644939.713	574762.014	283126.514	675747.237	291635.5	0	0	0	5.17932e+06	0	0	3
8	4	0	0.125278438	643013.783	583293.485	283126.514	675747.237	300166.971	0	0	0	5.04532e+06	0	0	3
9	4	0	0.140938242	643472.616	589980.055	283126.514	675747.237	306853.541	0	0	0	4.90148e+06	0	0	3
10	4	0	0.156598047	644796.122	595461.662	283126.514	675747.237	312335.148	0	0	0	4.70157e+06	0	0	3
11	5	0	0.172257852	646076.535	600063.014	283126.514	675747.237	316936.5	0	0	0	4.67151e+06	0	0	3
12	5	0	0.187917656	646913.171	603967.194	283126.514	675747.237	320840.68	0	0	0	4.57235e+06	0	0	3
13	5	0	0.203577461	647000.699	607277.463	283126.514	675747.237	324150.949	0	0	0	4.54194e+06	0	0	3
14	5	0	0.219237266	647004.37	610115.1	283126.514	675747.237	326988.585	0	0	0	4.49255e+06	0	0	3
15	5	0	0.234897071	646890.013	612566.76	283126.514	675747.237	329440.246	0	0	0	4.47311e+06	0	0	3
16	6	0	0.250556875	646912.819	614713.389	283126.514	675747.237	331586.875	0	0	0	4.47236e+06	0	0	3
17	6	0	0.26621668	646885.673	616605.876	283126.514	675747.237	333479.362	0	0	0	4.46016e+06	0	0	3
18	6	0	0.281876485	647000.965	618294.492	283126.514	675747.237	335167.978	0	0	0	4.46263e+06	0	0	3
19	6	0	0.297536289	646979.065	619804.207	283126.514	675747.237	336677.693	0	0	0	4.40127e+06	0	0	3
20	7	0	0.313196094	647240.063	621176	283126.514	675747.237	338049.485	0	0	0	4.41907e+06	0	0	3
21	7	0	0.328855899	647254.281	622417.822	283126.514	675747.237	339291.308	0	0	0	4.39404e+06	0	0	3
22	7	0	0.344515703	647493.338	623557.619	283126.514	675747.237	340431.104	0	0	0	4.41859e+06	0	0	3
23	7	0	0.360175508	647557.855	624601.107	283126.514	675747.237	341474.593	0	0	0	4.37749e+06	0	0	3
24	8	0	0.375835313	647691.225	625563.195	283126.514	675747.237	342436.681	0	0	0	4.39261e+06	0	0	3
25	8	0	0.391495118	647613.87	626445.222	283126.514	675747.237	343318.708	0	0	0	4.37242e+06	0	0	3
26	8	0	0.407154922	647792.437	627266.269	283126.514	675747.237	344139.755	0	0	0	4.35103e+06	0	0	3
27	8	0	0.422814727	647826.888	628027.774	283126.514	675747.237	344901.259	0	0	0	4.32986e+06	0	0	3
28	8	0	0.438474532	647975.348	628740.187	283126.514	675747.237	345613.673	0	0	0	4.34495e+06	0	0	3
29	9	0	0.454134336	647908.431	629401.161	283126.514	675747.237	346274.647	0	0	0	4.33682e+06	0	0	3
30	9	0	0.469794141	647948.183	630019.395	283126.514	675747.237	346892.881	0	0	0	4.32937e+06	0	0	3
31	9	0	0.485453946	647963.001	630598.221	283126.514	675747.237	347471.707	0	0	0	4.35041e+06	0	0	3
32	9	0	0.50111375	648034.037	631143.09	283126.514	675747.237	348016.576	0	0	0	4.32695e+06	0	0	3
33	10	0	0.516773555	648015.523	642545.872	470038.122	675747.237	205709.116	0	0	0	4.35654e+06	0	0	3
34	10	0	0.53243336	648056.47	648108.945	630522.715	675747.237	45224.5223	0	0	0	4.32633e+06	0	0	3
35	10	0	0.548093165	648009.204	648655.398	643013.783	675747.237	32733.4545	0	0	0	4.34056e+06	0	0	3
36	10	0	0.563752969	648107.865	647791.667	643013.783	666443.345	23429.562	0	0	0	4.2978e+06	0	0	3
37	11	0	0.579412774	648184.264	647221.071	643013.783	652516.451	9502.66849	0	0	0	4.3619e+06	0	0	3
