Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0153762774	-4461271.75	-4461271.75	-4461271.75	-4461271.75	0	0	0	0	1.39357e+07	0	0	3
2	3	0	0.0307525549	-4059647.06	-4260459.4	-4461271.75	-4059647.06	200812.347	0	0	0	1.38636e+07	0	0	3
3	3	0	0.0461288323	-1738075.38	-3419664.73	-4461271.75	-1738075.38	1041607.02	0	0	0	1.49225e+07	0	0	3
4	4	0	0.0615051098	-72276.7175	-2582817.73	-4461271.75	-72276.7175	1878454.02	0	0	0	1.51596e+07	0	0	3
5	4	0	0.0768813872	476663.666	-1970921.45	-4461271.75	476663.666	2490350.3	0	0	0	1.32719e+07	0	0	3
6	4	0	0.0922576646	305998.471	-1591434.79	-4461271.75	476663.666	2869836.95	0	0	0	1.10215e+07	0	0	3
7	5	0	0.107633942	80833.8979	-1352539.27	-4461271.75	476663.666	3108732.48	0	0	0	8.00935e+06	0	0	3
8	5	0	0.12301022	-109007.378	-1197097.78	-4461271.75	476663.666	3264173.97	0	0	0	7.61117e+06	0	0	3
9	5	0	0.138386497	-213922.706	-1087856.11	-4461271.75	476663.666	3373415.64	0	0	0	7.29082e+06	0	0	3
10	5	0	0.153762774	-235396.872	-1002610.18	-4461271.75	476663.666	3458661.57	0	0	0	7.02802e+06	0	0	3
11	5	0	0.169139052	-206157.245	-930205.37	-4461271.75	476663.666	3531066.38	0	0	0	6.9167e+06	0	0	3
12	6	0	0.184515329	-158967.991	-865935.589	-4461271.75	476663.666	3595336.16	0	0	0	6.73073e+06	0	0	3
13	6	0	0.199891607	-126659.803	-809068.22	-4461271.75	476663.666	3652203.53	0	0	0	6.6875e+06	0	0	3
14	6	0	0.215267884	-104448.301	-758738.226	-4461271.75	476663.666	3702533.52	0	0	0	6.68655e+06	0	0	3
15	6	0	0.230644162	-99689.2724	-714801.629	-4461271.75	476663.666	3746470.12	0	0	0	6.66847e+06	0	0	3
16	7	0	0.246020439	-103578.751	-676600.199	-4461271.75	476663.666	3784671.55	0	0	0	6.68264e+06	0	0	3
17	7	0	0.261396716	-112259.594	-643403.693	-4461271.75	476663.666	3817868.06	0	0	0	6.73351e+06	0	0	3
18	7	0	0.276772994	-117550.034	-614189.601	-4461271.75	476663.666	3847082.15	0	0	0	6.70869e+06	0	0	3
19	7	0	0.292149271	-123747.08	-588376.837	-4461271.75	476663.666	3872894.91	0	0	0	6.6567e+06	0	0	3
20	8	0	0.307525549	-124237.199	-565169.855	-4461271.75	476663.666	3896101.89	0	0	0	6.65722e+06	0	0	3
21	8	0	0.322901826	-122412.539	-544086.173	-4461271.75	476663.666	3917185.58	0	0	0	6.68341e+06	0	0	3
22	8	0	0.338278104	-118928.34	-524760.817	-4461271.75	476663.666	3936510.93	0	0	0	6.75596e+06	0	0	3
23	8	0	0.353654381	-118542.171	-507099.137	-4461271.75	476663.666	3954172.61	0	0	0	6.7325e+06	0	0	3
24	8	0	0.369030659	-116303.193	-490815.972	-4461271.75	476663.666	3970455.78	0	0	0	6.72357e+06	0	0	3
25	9	0	0.384406936	-113486.793	-475722.805	-4461271.75	476663.666	3985548.94	0	0	0	6.72746e+06	0	0	3
26	9	0	0.399783213	-114088.235	-461813.783	-4461271.75	476663.666	3999457.97	0	0	0	6.75858e+06	0	0	3
27	9	0	0.415159491	-114198.265	-448939.134	-4461271.75	476663.666	4012332.61	0	0	0	6.74587e+06	0	0	3
28	9	0	0.430535768	-110875.059	-436865.418	-4461271.75	476663.666	4024406.33	0	0	0	6.72805e+06	0	0	3
