Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	16.5108556	16.5108556	16.5108556	16.5108556	0	0	0	0	53.2405	0	0	3
2	3	0	0.0318763829	16.4812967	16.4960762	16.4812967	16.5108556	0.0147794883	0	0	0	53.435	0	0	3
3	3	0	0.0478145743	16.4630427	16.485065	16.4630427	16.5108556	0.025790647	0	0	0	53.6204	0	0	3
4	3	0	0.0637527658	16.4517731	16.476742	16.4517731	16.5108556	0.0341136323	0	0	0	53.7742	0	0	3
5	4	0	0.0796909572	16.4444329	16.4702802	16.4444329	16.5108556	0.0405754649	0	0	0	53.9282	0	0	3
6	4	0	0.0956291487	16.4382952	16.4649494	16.4382952	16.5108556	0.0459062912	0	0	0	54.2189	0	0	3
7	4	0	0.11156734	16.4327103	16.4603438	16.4327103	16.5108556	0.0505118716	0	0	0	54.8749	0	0	3
8	4	0	0.127505532	16.427344	16.4562188	16.427344	16.5108556	0.0546368423	0	0	0	55.383	0	0	3
9	5	0	0.143443723	16.4246184	16.4527077	16.4246184	16.5108556	0.0581479931	0	0	0	55.7776	0	0	3
10	5	0	0.159381914	16.4259178	16.4500287	16.4246184	16.5108556	0.0608269833	0	0	0	56.083	0	0	3
11	5	0	0.175320106	16.4346182	16.4486277	16.4246184	16.5108556	0.0622279315	0	0	0	56.4551	0	0	3
12	5	0	0.191258297	16.4465997	16.4484587	16.4246184	16.5108556	0.0623969363	0	0	0	57.0574	0	0	3
13	6	0	0.207196489	16.4558873	16.4490301	16.4246184	16.5108556	0.0623969363	0	0	0	57.5113	0	0	3
14	6	0	0.22313468	16.4635094	16.4500644	16.4246184	16.5108556	0.0623969363	0	0	0	57.9477	0	0	3
15	6	0	0.239072872	16.4670474	16.4511966	16.4246184	16.5108556	0.0623969363	0	0	0	58.2557	0	0	3
16	7	0	0.255011063	16.4729516	16.4525563	16.4246184	16.5108556	0.0623969363	0	0	0	58.6972	0	0	3
17	7	0	0.270949255	16.4764196	16.45396	16.4246184	16.5108556	0.0623969363	0	0	0	58.9419	0	0	3
18	7	0	0.286887446	16.4800311	16.4554084	16.4246184	16.5108556	0.0623969363	0	0	0	59.2187	0	0	3
19	7	0	0.302825638	16.4830931	16.4568655	16.4246184	16.5108556	0.0623969363	0	0	0	59.3149	0	0	3
20	8	0	0.318763829	16.486819	16.4583632	16.4246184	16.5108556	0.0623969363	0	0	0	59.4821	0	0	3
21	8	0	0.33470202	16.492115	16.4599704	16.4246184	16.5108556	0.0623969363	0	0	0	59.4678	0	0	3
22	8	0	0.350640212	16.4978419	16.4616918	16.4246184	16.5108556	0.0623969363	0	0	0	59.5878	0	0	3
23	8	0	0.366578403	16.5023421	16.4634592	16.4246184	16.5108556	0.0623969363	0	0	0	59.4544	0	0	3
24	9	0	0.382516595	16.5074657	16.4652928	16.4246184	16.5108556	0.0623969363	0	0	0	59.506	0	0	3
25	9	0	0.398454786	16.5110602	16.4671235	16.4246184	16.5110602	0.0623969363	0	0	0	59.3065	0	0	3
26	9	0	0.414392978	16.5164415	16.4690204	16.4246184	16.5164415	0.0623969363	0	0	0	59.3067	0	0	3
27	9	0	0.430331169	16.5191048	16.4708753	16.4246184	16.5191048	0.0623969363	0	0	0	58.9357	0	0	3
28	10	0	0.446269361	16.522837	16.4727311	16.4246184	16.522837	0.0623969363	0	0	0	58.9116	0	0	3
29	10	0	0.462207552	16.5254884	16.4745503	16.4246184	16.5254884	0.0623969363	0	0	0	58.5306	0	0	3
30	10	0	0.478145743	16.5300184	16.4763993	16.4246184	16.5300184	0.0623969363	0	0	0	58.4919	0	0	3
31	11	0	0.494083935	16.5334322	16.478239	16.4246184	16.5334322	0.0623969363	0	0	0	58.2592	0	0	3
32	11	0	0.510022126	16.535303	16.4800223	16.4246184	16.535303	0.0623969363	0	0	0	58.2917	0	0	3
33	11	0	0.525960318	16.5374701	16.480854	16.4246184	16.5374701	0.047617448	0	0	0	58.3877	0	0	3
34	11	0	0.541898509	16.5396684	16.4826781	16.4246184	16.5396684	0.0366062893	0	0	0	58.4097	0	0	3
35	12	0	0.557836701	16.5405565	16.4851004	16.4246184	16.5405565	0.0366417091	0	0	0	58.4751	0	0	3
36	12	0	0.573774892	16.5418522	16.4879154	16.4246184	16.5418522	0.0394566827	0	0	0	58.4276	0	0	3
37	12	0	0.589713084	16.5430412	16.4909969	16.4246184	16.5430412	0.0425381941	0	0	0	58.4306	0	0	3
38	12	0	0.605651275	16.5459874	16.4943623	16.4246184	16.5459874	0.0459035754	0	0	0	58.4568	0	0	3
39	13	0	0.621589466	16.5458219	16.497897	16.4246184	16.5459874	0.0494383139	0	0	0	58.4569	0	0	3
40	13	0	0.637527658	16.550157	16.5017349	16.4246184	16.550157	0.0532762189	0	0	0	58.4844	0	0	3
41	13	0	0.653465849	16.5512524	16.5056922	16.4259178	16.5512524	0.057233529	0	0	0	58.4797	0	0	3
42	14	0	0.669404041	16.5508653	16.5095969	16.4346182	16.5512524	0.0611381393	0	0	0	58.4874	0	0	3
43	14	0	0.685342232	16.5487843	16.5131645	16.4465997	16.5512524	0.0647058287	0	0	0	58.5727	0	0	3
44	14	0	0.701280424	16.5502958	16.516405	16.4558873	16.5512524	0.0673749025	0	0	0	58.5175	0	0	3
45	14	0	0.717218615	16.5498761	16.5193422	16.4635094	16.5512524	0.0692778179	0	0	0	58.5765	0	0	3
46	15	0	0.733156807	16.5534368	16.5221524	16.4670474	16.5534368	0.0709558463	0	0	0	58.6049	0	0	3
47	15	0	0.749094998	16.5529167	16.5248358	16.4729516	16.5534368	0.0722795743	0	0	0	58.6972	0	0	3
48	15	0	0.76503319	16.5561336	16.5274353	16.4764196	16.5561336	0.0734752868	0	0	0	58.6648	0	0	3
49	16	0	0.780971381	16.5547947	16.5298845	16.4800311	16.5561336	0.0744761137	0	0	0	58.7591	0	0	3
50	16	0	0.796909572	16.5556043	16.5322462	16.4830931	16.5561336	0.0730404579	0	0	0	58.6872	0	0	3
51	16	0	0.812847764	16.5535156	16.5344469	16.486819	16.5561336	0.0693145928	0	0	0	58.7795	0	0	3
52	17	0	0.828785955	16.5543025	16.5365557	16.492115	16.5561336	0.0640185566	0	0	0	58.6988	0	0	3
53	17	0	0.844724147	16.5567713	16.5385762	16.4978419	16.5567713	0.0589293781	0	0	0	58.7863	0	0	3
54	17	0	0.860662338	16.5562133	16.5404003	16.5023421	16.5567713	0.0544292182	0	0	0	58.6926	0	0	3
