Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	565.529308	565.529308	565.529308	565.529308	0	0	0	0	0	0	0	3
2	3	0	0.0318763829	564.516855	565.023081	564.516855	565.529308	0.506226568	0	0	0	0	0	0	3
3	3	0	0.0478145743	563.89162	564.645927	563.89162	565.529308	0.883380428	0	0	0	0	0	0	3
4	3	0	0.0637527658	563.505613	564.360849	563.505613	565.529308	1.16845906	0	0	0	0	0	0	3
5	4	0	0.0796909572	563.254196	564.139518	563.254196	565.529308	1.38978955	0	0	0	0	0	0	3
6	4	0	0.0956291487	563.04397	563.956927	563.04397	565.529308	1.57238084	0	0	0	0	0	0	3
7	4	0	0.11156734	562.852675	563.799177	562.852675	565.529308	1.73013104	0	0	0	0	0	0	3
8	4	0	0.127505532	562.66887	563.657888	562.66887	565.529308	1.8714194	0	0	0	0	0	0	3
9	5	0	0.143443723	562.575514	563.537624	562.575514	565.529308	1.99168323	0	0	0	0	0	0	3
10	5	0	0.159381914	562.620018	563.445864	562.575514	565.529308	2.08344392	0	0	0	0	0	0	3
11	5	0	0.175320106	562.918026	563.397879	562.575514	565.529308	2.13142915	0	0	0	0	0	0	3
12	5	0	0.191258297	563.328414	563.39209	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
13	6	0	0.207196489	563.646533	563.411662	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
14	6	0	0.22313468	563.907607	563.447087	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
15	6	0	0.239072872	564.028789	563.485867	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
16	7	0	0.255011063	564.231019	563.532439	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
17	7	0	0.270949255	564.349805	563.580519	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
18	7	0	0.286887446	564.473507	563.63013	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
19	7	0	0.302825638	564.578387	563.680038	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
20	8	0	0.318763829	564.706005	563.731336	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
21	8	0	0.33470202	564.887405	563.786387	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
22	8	0	0.350640212	565.083561	563.84535	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
23	8	0	0.366578403	565.237701	563.905887	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
24	9	0	0.382516595	565.413195	563.968691	562.575514	565.529308	2.1372179	0	0	0	0	0	0	3
25	9	0	0.398454786	565.536315	564.031396	562.575514	565.536315	2.1372179	0	0	0	0	0	0	3
26	9	0	0.414392978	565.720634	564.096367	562.575514	565.720634	2.1372179	0	0	0	0	0	0	3
27	9	0	0.430331169	565.811859	564.159904	562.575514	565.811859	2.1372179	0	0	0	0	0	0	3
28	10	0	0.446269361	565.939693	564.223468	562.575514	565.939693	2.1372179	0	0	0	0	0	0	3
29	10	0	0.462207552	566.030509	564.285779	562.575514	566.030509	2.1372179	0	0	0	0	0	0	3
30	10	0	0.478145743	566.18567	564.349109	562.575514	566.18567	2.1372179	0	0	0	0	0	0	3
31	11	0	0.494083935	566.3026	564.412125	562.575514	566.3026	2.1372179	0	0	0	0	0	0	3
32	11	0	0.510022126	566.366678	564.473205	562.575514	566.366678	2.1372179	0	0	0	0	0	0	3
33	11	0	0.525960318	566.440906	564.501692	562.575514	566.440906	1.63099133	0	0	0	0	0	0	3
34	11	0	0.541898509	566.516203	564.564172	562.575514	566.516203	1.25383747	0	0	0	0	0	0	3
35	12	0	0.557836701	566.54662	564.64714	562.575514	566.54662	1.25505067	0	0	0	0	0	0	3
36	12	0	0.573774892	566.591001	564.743559	562.575514	566.591001	1.35146905	0	0	0	0	0	0	3
37	12	0	0.589713084	566.631727	564.849107	562.575514	566.631727	1.45701689	0	0	0	0	0	0	3
38	12	0	0.605651275	566.73264	564.964378	562.575514	566.73264	1.57228782	0	0	0	0	0	0	3
39	13	0	0.621589466	566.726972	565.085449	562.575514	566.73264	1.69335957	0	0	0	0	0	0	3
40	13	0	0.637527658	566.875455	565.216905	562.575514	566.875455	1.82481537	0	0	0	0	0	0	3
41	13	0	0.653465849	566.912975	565.352451	562.620018	566.912975	1.96036103	0	0	0	0	0	0	3
42	14	0	0.669404041	566.899716	565.486191	562.918026	566.912975	2.09410162	0	0	0	0	0	0	3
43	14	0	0.685342232	566.828438	565.608392	563.328414	566.912975	2.21630201	0	0	0	0	0	0	3
44	14	0	0.701280424	566.880209	565.719385	563.646533	566.912975	2.30772304	0	0	0	0	0	0	3
45	14	0	0.717218615	566.865836	565.819989	563.907607	566.912975	2.37290164	0	0	0	0	0	0	3
46	15	0	0.733156807	566.987795	565.916244	564.028789	566.987795	2.43037741	0	0	0	0	0	0	3
47	15	0	0.749094998	566.969981	566.008157	564.231019	566.987795	2.4757177	0	0	0	0	0	0	3
48	15	0	0.76503319	567.080166	566.097193	564.349805	567.080166	2.51667321	0	0	0	0	0	0	3
49	16	0	0.780971381	567.034307	566.181083	564.473507	567.080166	2.5509535	0	0	0	0	0	0	3
50	16	0	0.796909572	567.062036	566.261975	564.578387	567.080166	2.50177946	0	0	0	0	0	0	3
51	16	0	0.812847764	566.990493	566.337353	564.706005	567.080166	2.37416125	0	0	0	0	0	0	3
52	17	0	0.828785955	567.017446	566.409586	564.887405	567.080166	2.19276158	0	0	0	0	0	0	3
53	17	0	0.844724147	567.102008	566.478792	565.083561	567.102008	2.0184472	0	0	0	0	0	0	3
54	17	0	0.860662338	567.082896	566.541271	565.237701	567.102008	1.86430787	0	0	0	0	0	0	3
55	17	0	0.87660053	567.039994	566.597593	565.413195	567.102008	1.68881347	0	0	0	0	0	0	3
56	18	0	0.892538721	567.097481	566.650227	565.536315	567.102008	1.56569327	0	0	0	0	0	0	3
57	18	0	0.908476913	567.132181	566.700098	565.720634	567.132181	1.41154769	0	0	0	0	0	0	3
58	18	0	0.924415104	567.09052	566.742907	565.811859	567.132181	1.32032244	0	0	0	0	0	0	3
59	19	0	0.940353295	567.154171	566.784854	565.939693	567.154171	1.21447828	0	0	0	0	0	0	3
60	19	0	0.956291487	567.279739	566.82673	566.030509	567.279739	1.24922978	0	0	0	0	0	0	3
61	19	0	0.972229678	567.207624	566.863515	566.18567	567.279739	1.09406867	0	0	0	0	0	0	3
62	19	0	0.98816787	567.166981	566.894181	566.3026	567.279739	0.977138583	0	0	0	0	0	0	3
63	20	0	1.00410606	567.202014	566.922288	566.366678	567.279739	0.91306049	0.141126745	0	15.4	0	0	0	3
64	20	0	1.02004425	567.209361	566.948622	566.440906	567.279739	0.838832773	0.141126745	0	16.8	0	0	0	3
65	20	0	1.03598244	567.237306	566.973509	566.516203	567.279739	0.76353582	0.141126745	0	18.4	0	0	0	3
66	21	0	1.05192064	567.185997	566.99444	566.54662	567.279739	0.7331189	0.141126745	0	19.2	0	0	0	3
67	21	0	1.06785883	567.114151	567.012176	566.591001	567.279739	0.688737585	0.141126745	0	20.4	0	0	0	3
68	21	0	1.08379702	566.976173	567.024212	566.631727	567.279739	0.648011773	0.141126745	0	21.7	0	0	0	3
69	22	0	1.09973521	566.970392	567.034796	566.726972	567.279739	0.552767116	0.141126745	0	25.5	0	0	0	3
70	22	0	1.1156734	566.989318	567.042817	566.726972	567.279739	0.552767116	0.141126745	0	25.5	0	0	0	3
71	22	0	1.13161159	567.005478	567.05152	566.828438	567.279739	0.451300164	0.141126745	0	31.2	0	0	0	3
72	23	0	1.14754978	566.997836	567.055345	566.828438	567.279739	0.451300164	0.141126745	0	31.2	0	0	0	3
73	23	0	1.16348798	567.014919	567.05853	566.828438	567.279739	0.451300164	0.141126745	0	31.2	0	0	0	3
74	23	0	1.17942617	567.05024	567.063234	566.828438	567.279739	0.451300164	0.141126745	0	31.2	0	0	0	3
