Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	174298.004	174298.004	174298.004	174298.004	0	0	0	0	6.33573e+06	0	0	3
2	3	0	0.0318763829	300283.498	237290.751	174298.004	300283.498	62992.7469	0	0	0	5.03162e+06	0	0	3
3	3	0	0.0478145743	425157.895	299913.132	174298.004	425157.895	125615.128	0	0	0	4.21186e+06	0	0	3
4	3	0	0.0637527658	459033.647	339693.261	174298.004	459033.647	165395.257	0	0	0	3.50694e+06	0	0	3
5	4	0	0.0796909572	445884.205	360931.45	174298.004	459033.647	186633.446	0	0	0	3.77125e+06	0	0	3
6	4	0	0.0956291487	436286.071	373490.553	174298.004	459033.647	199192.549	0	0	0	3.17705e+06	0	0	3
7	4	0	0.11156734	433141.638	382012.137	174298.004	459033.647	207714.133	0	0	0	3.13649e+06	0	0	3
8	4	0	0.127505532	434085.45	388521.301	174298.004	459033.647	214223.297	0	0	0	3.14067e+06	0	0	3
9	5	0	0.143443723	436364.063	393837.163	174298.004	459033.647	219539.159	0	0	0	3.13745e+06	0	0	3
10	5	0	0.159381914	438377.5	398291.197	174298.004	459033.647	223993.193	0	0	0	3.14365e+06	0	0	3
11	5	0	0.175320106	438672.517	401962.226	174298.004	459033.647	227664.222	0	0	0	3.10739e+06	0	0	3
12	5	0	0.191258297	438793.12	405031.467	174298.004	459033.647	230733.463	0	0	0	3.11845e+06	0	0	3
13	6	0	0.207196489	438513.015	407606.971	174298.004	459033.647	233308.967	0	0	0	3.08895e+06	0	0	3
14	6	0	0.22313468	438329.331	409801.425	174298.004	459033.647	235503.421	0	0	0	3.1035e+06	0	0	3
15	6	0	0.239072872	438191.758	411694.114	174298.004	459033.647	237396.11	0	0	0	3.0705e+06	0	0	3
16	7	0	0.255011063	437919.39	413333.194	174298.004	459033.647	239035.19	0	0	0	3.08905e+06	0	0	3
17	7	0	0.270949255	437710.562	414767.157	174298.004	459033.647	240469.152	0	0	0	3.07406e+06	0	0	3
18	7	0	0.286887446	437240.807	416015.693	174298.004	459033.647	241717.689	0	0	0	3.08632e+06	0	0	3
19	7	0	0.302825638	436806.355	417109.938	174298.004	459033.647	242811.934	0	0	0	3.06744e+06	0	0	3
