Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	30.204123	30.204123	30.204123	30.204123	0	0	0	0	53.2405	0	0	3
2	3	0	0.0318763829	30.0349789	30.119551	30.0349789	30.204123	0.0845720249	0	0	0	53.435	0	0	3
3	3	0	0.0478145743	29.9198215	30.0529745	29.9198215	30.204123	0.1511485	0	0	0	53.6204	0	0	3
4	3	0	0.0637527658	29.8487312	30.0019137	29.8487312	30.204123	0.20220932	0	0	0	53.7742	0	0	3
5	4	0	0.0796909572	29.8195858	29.9654481	29.8195858	30.204123	0.238674895	0	0	0	53.9282	0	0	3
6	4	0	0.0956291487	29.8259533	29.942199	29.8195858	30.204123	0.261924031	0	0	0	54.2189	0	0	3
7	4	0	0.11156734	29.8948033	29.9354282	29.8195858	30.204123	0.268694844	0	0	0	54.8749	0	0	3
8	4	0	0.127505532	29.9981932	29.9432738	29.8195858	30.204123	0.268694844	0	0	0	55.383	0	0	3
9	5	0	0.143443723	30.1212179	29.9630454	29.8195858	30.204123	0.268694844	0	0	0	55.7776	0	0	3
10	5	0	0.159381914	30.2536415	29.992105	29.8195858	30.2536415	0.268694844	0	0	0	56.083	0	0	3
11	5	0	0.175320106	30.4250568	30.0314642	29.8195858	30.4250568	0.268694844	0	0	0	56.4551	0	0	3
12	5	0	0.191258297	30.5698095	30.0763263	29.8195858	30.5698095	0.268694844	0	0	0	57.0574	0	0	3
13	6	0	0.207196489	30.6794389	30.1227196	29.8195858	30.6794389	0.268694844	0	0	0	57.5113	0	0	3
14	6	0	0.22313468	30.7637841	30.1685099	29.8195858	30.7637841	0.268694844	0	0	0	57.9477	0	0	3
15	6	0	0.239072872	30.8315957	30.2127156	29.8195858	30.8315957	0.277287494	0	0	0	58.2557	0	0	3
16	7	0	0.255011063	30.9038874	30.2559139	29.8195858	30.9038874	0.32048573	0	0	0	58.6972	0	0	3
17	7	0	0.270949255	30.9512644	30.2968169	29.8195858	30.9512644	0.361388701	0	0	0	58.9419	0	0	3
18	7	0	0.286887446	30.9962315	30.3356732	29.8195858	30.9962315	0.40024507	0	0	0	59.2187	0	0	3
19	7	0	0.302825638	31.0172294	30.3715446	29.8195858	31.0172294	0.436116446	0	0	0	59.3149	0	0	3
20	8	0	0.318763829	31.0498184	30.4054583	29.8195858	31.0498184	0.470030137	0	0	0	59.4821	0	0	3
21	8	0	0.33470202	31.0770355	30.4374382	29.8195858	31.0770355	0.502010005	0	0	0	59.4678	0	0	3
22	8	0	0.350640212	31.1014083	30.4676186	29.8195858	31.1014083	0.532190466	0	0	0	59.5878	0	0	3
23	8	0	0.366578403	31.1093043	30.495518	29.8195858	31.1093043	0.560089843	0	0	0	59.4544	0	0	3
24	9	0	0.382516595	31.1231507	30.5216694	29.8195858	31.1231507	0.586241206	0	0	0	59.506	0	0	3
25	9	0	0.398454786	31.1207232	30.5456315	29.8195858	31.1231507	0.610203359	0	0	0	59.3065	0	0	3
26	9	0	0.414392978	31.1379099	30.5684115	29.8195858	31.1379099	0.632983299	0	0	0	59.3067	0	0	3
27	9	0	0.430331169	31.1290304	30.5891751	29.8195858	31.1379099	0.653746965	0	0	0	58.9357	0	0	3
28	10	0	0.446269361	31.1415291	30.608902	29.8195858	31.1415291	0.673473891	0	0	0	58.9116	0	0	3
29	10	0	0.462207552	31.1335807	30.6269944	29.8195858	31.1415291	0.691566258	0	0	0	58.5306	0	0	3
30	10	0	0.478145743	31.1470175	30.6443285	29.8195858	31.1470175	0.708900363	0	0	0	58.4919	0	0	3
31	11	0	0.494083935	31.1467357	30.6605352	29.8195858	31.1470175	0.725107045	0	0	0	58.2592	0	0	3
32	11	0	0.510022126	31.1436402	30.6756322	29.8195858	31.1470175	0.740204076	0	0	0	58.2917	0	0	3
33	11	0	0.525960318	31.1454419	30.7050484	29.8195858	31.1470175	0.769620293	0	0	0	58.3877	0	0	3
34	11	0	0.541898509	31.150226	30.7398999	29.8195858	31.150226	0.804471763	0	0	0	58.4097	0	0	3
35	12	0	0.557836701	31.1472067	30.7782557	29.8195858	31.150226	0.84282755	0	0	0	58.4751	0	0	3
36	12	0	0.573774892	31.1461843	30.8188011	29.8195858	31.150226	0.883372959	0	0	0	58.4276	0	0	3
37	12	0	0.589713084	31.1405559	30.8600814	29.8259533	31.150226	0.924653275	0	0	0	58.4306	0	0	3
38	12	0	0.605651275	31.1499596	30.9014566	29.8948033	31.150226	0.966028471	0	0	0	58.4568	0	0	3
39	13	0	0.621589466	31.1395944	30.9403563	29.9981932	31.150226	0.997082561	0	0	0	58.4569	0	0	3
40	13	0	0.637527658	31.1310565	30.9757583	30.1212179	31.150226	1.01271296	0	0	0	58.4844	0	0	3
41	13	0	0.653465849	31.1310975	31.0073171	30.2536415	31.150226	0.896584478	0	0	0	58.4797	0	0	3
42	14	0	0.669404041	31.1278723	31.0346368	30.4250568	31.150226	0.725169222	0	0	0	58.4874	0	0	3
43	14	0	0.685342232	31.1038329	31.0558485	30.5698095	31.150226	0.580416471	0	0	0	58.5727	0	0	3
44	14	0	0.701280424	31.1238601	31.0731626	30.6794389	31.150226	0.470787079	0	0	0	58.5175	0	0	3
45	14	0	0.717218615	31.1042959	31.0864394	30.7637841	31.150226	0.386441901	0	0	0	58.5765	0	0	3
46	15	0	0.733156807	31.1359613	31.0980699	30.8315957	31.150226	0.318630244	0	0	0	58.6049	0	0	3
47	15	0	0.749094998	31.1068812	31.1066726	30.9038874	31.150226	0.24633855	0	0	0	58.6972	0	0	3
48	15	0	0.76503319	31.128692	31.1136977	30.9512644	31.150226	0.198961582	0	0	0	58.6648	0	0	3
49	16	0	0.780971381	31.1030109	31.1184398	30.9962315	31.150226	0.153994478	0	0	0	58.7591	0	0	3
50	16	0	0.796909572	31.1258075	31.1224891	31.0172294	31.150226	0.132996613	0	0	0	58.6872	0	0	3
51	16	0	0.812847764	31.0958431	31.1249457	31.0498184	31.150226	0.100407555	0	0	0	58.7795	0	0	3
52	17	0	0.828785955	31.1185413	31.1270933	31.0770355	31.150226	0.0731904709	0	0	0	58.6988	0	0	3
53	17	0	0.844724147	31.0920114	31.1275613	31.0920114	31.150226	0.058214533	0	0	0	58.7863	0	0	3
54	17	0	0.860662338	31.1211874	31.1281794	31.0920114	31.150226	0.058214533	0	0	0	58.6926	0	0	3
55	17	0	0.87660053	31.0869129	31.1274797	31.0869129	31.150226	0.0633130489	0	0	0	58.7716	0	0	3
56	18	0	0.892538721	31.1173488	31.1272984	31.0869129	31.150226	0.0633130489	0	0	0	58.677	0	0	3
57	18	0	0.908476913	31.0852755	31.1261906	31.0852755	31.150226	0.0649505101	0	0	0	58.752	0	0	3
58	18	0	0.924415104	31.121724	31.1256848	31.0852755	31.150226	0.0649505101	0	0	0	58.6543	0	0	3
59	19	0	0.940353295	31.0826289	31.1242348	31.0826289	31.150226	0.067597042	0	0	0	58.7314	0	0	3
60	19	0	0.956291487	31.1111684	31.123286	31.0826289	31.150226	0.067597042	0	0	0	58.6443	0	0	3
61	19	0	0.972229678	31.0828106	31.1216994	31.0826289	31.150226	0.067597042	0	0	0	58.7359	0	0	3
62	19	0	0.98816787	31.1159421	31.1207283	31.0826289	31.150226	0.067597042	0	0	0	58.6641	0	0	3
63	20	0	1.00410606	31.0862149	31.1188371	31.0826289	31.150226	0.067597042	0.0399192053	0	59	58.7885	0	0	3
64	20	0	1.02004425	31.1165415	31.1179902	31.0826289	31.150226	0.067597042	0.0399192053	0	59	58.6973	0	0	3
65	20	0	1.03598244	31.0770464	31.1158529	31.0770464	31.150226	0.0731796008	0.0399192053	0	54.5	58.7613	0	0	3
66	21	0	1.05192064	31.1080927	31.1145362	31.0770464	31.1499596	0.0729131806	0.0399192053	0	54.7	58.6573	0	0	3
67	21	0	1.06785883	31.0766641	31.1123318	31.0766641	31.1499596	0.0732954752	0.0399192053	0	54.4	58.7359	0	0	3
68	21	0	1.08379702	31.1154125	31.1113701	31.0766641	31.1499596	0.0732954752	0.0399192053	0	54.4	58.6411	0	0	3
69	22	0	1.09973521	31.0779586	31.109414	31.0766641	31.1499596	0.0732954752	0.0399192053	0	54.4	58.7178	0	0	3
70	22	0	1.1156734	31.111153	31.1082013	31.0766641	31.1395944	0.0629302943	0.0399192053	0	63.4	58.6192	0	0	3
71	22	0	1.13161159	31.0716611	31.1060783	31.0716611	31.1359613	0.0643001558	0.0399192053	0	62	58.6957	0	0	3
72	23	0	1.14754978	31.1060595	31.1052972	31.0716611	31.1359613	0.0643001558	0.0399192053	0	62	58.596	0	0	3
73	23	0	1.16348798	31.0815893	31.1037501	31.0716611	31.1359613	0.0643001558	0.0399192053	0	62	58.6644	0	0	3
74	23	0	1.17942617	31.1139237	31.1033142	31.0716611	31.1359613	0.0643001558	0.0399192053	0	62	58.5586	0	0	3
75	23	0	1.19536436	31.0758532	31.1024398	31.0716611	31.1359613	0.0550168196	0.0399192053	0	72.5	58.6209	0	0	3
76	24	0	1.21130255	31.1028154	31.1017822	31.0716611	31.1359613	0.0417400399	0.0399192053	0	95.6	58.5045	0	0	3
77	24	0	1.22724074	31.0695771	31.1006972	31.0695771	31.1359613	0.0301095019	0.0399192053	0	100	58.5733	0	0	3
78	25	0	1.24317893	31.1033645	31.0996785	31.0695771	31.128692	0.0285008856	0.0399192053	0	100	58.4664	0	0	3
79	25	0	1.25911712	31.0785481	31.0987931	31.0695771	31.128692	0.0293862941	0.0399192053	0	100	58.5314	0	0	3
