Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	1343.72673	1343.72673	1343.72673	1343.72673	0	0	0	0	0	0	0	3
2	3	0	0.0318763829	1336.20182	1339.96428	1336.20182	1343.72673	3.76245623	0	0	0	0	0	0	3
3	3	0	0.0478145743	1331.07868	1337.00241	1331.07868	1343.72673	6.72432304	0	0	0	0	0	0	3
4	3	0	0.0637527658	1327.916	1334.73081	1327.916	1343.72673	8.99592642	0	0	0	0	0	0	3
5	4	0	0.0796909572	1326.61937	1333.10852	1326.61937	1343.72673	10.6182138	0	0	0	0	0	0	3
6	4	0	0.0956291487	1326.90265	1332.07421	1326.61937	1343.72673	11.6525258	0	0	0	0	0	0	3
7	4	0	0.11156734	1329.96566	1331.77298	1326.61937	1343.72673	11.953747	0	0	0	0	0	0	3
8	4	0	0.127505532	1334.56529	1332.12202	1326.61937	1343.72673	11.953747	0	0	0	0	0	0	3
9	5	0	0.143443723	1340.03844	1333.00162	1326.61937	1343.72673	11.953747	0	0	0	0	0	0	3
10	5	0	0.159381914	1345.92972	1334.29443	1326.61937	1345.92972	11.953747	0	0	0	0	0	0	3
11	5	0	0.175320106	1353.55567	1336.04546	1326.61937	1353.55567	11.953747	0	0	0	0	0	0	3
12	5	0	0.191258297	1359.99546	1338.04129	1326.61937	1359.99546	11.953747	0	0	0	0	0	0	3
13	6	0	0.207196489	1364.87268	1340.10524	1326.61937	1364.87268	11.953747	0	0	0	0	0	0	3
14	6	0	0.22313468	1368.62504	1342.14237	1326.61937	1368.62504	11.953747	0	0	0	0	0	0	3
15	6	0	0.239072872	1371.64186	1344.109	1326.61937	1371.64186	12.3360184	0	0	0	0	0	0	3
16	7	0	0.255011063	1374.85798	1346.03081	1326.61937	1374.85798	14.2578297	0	0	0	0	0	0	3
17	7	0	0.270949255	1376.9657	1347.85051	1326.61937	1376.9657	16.0775288	0	0	0	0	0	0	3
18	7	0	0.286887446	1378.9662	1349.57916	1326.61937	1378.9662	17.8061783	0	0	0	0	0	0	3
19	7	0	0.302825638	1379.90036	1351.17502	1326.61937	1379.90036	19.4020309	0	0	0	0	0	0	3
20	8	0	0.318763829	1381.35019	1352.68377	1326.61937	1381.35019	20.9107896	0	0	0	0	0	0	3
21	8	0	0.33470202	1382.56103	1354.1065	1326.61937	1382.56103	22.333516	0	0	0	0	0	0	3
22	8	0	0.350640212	1383.64533	1355.44917	1326.61937	1383.64533	23.67619	0	0	0	0	0	0	3
23	8	0	0.366578403	1383.99661	1356.69037	1326.61937	1383.99661	24.9173828	0	0	0	0	0	0	3
24	9	0	0.382516595	1384.61261	1357.85379	1326.61937	1384.61261	26.0808096	0	0	0	0	0	0	3
25	9	0	0.398454786	1384.50461	1358.91983	1326.61937	1384.61261	27.1468424	0	0	0	0	0	0	3
26	9	0	0.414392978	1385.26922	1359.93327	1326.61937	1385.26922	28.1602806	0	0	0	0	0	0	3
27	9	0	0.430331169	1384.87419	1360.857	1326.61937	1385.26922	29.0840185	0	0	0	0	0	0	3
28	10	0	0.446269361	1385.43023	1361.73462	1326.61937	1385.43023	29.9616337	0	0	0	0	0	0	3
29	10	0	0.462207552	1385.07662	1362.53952	1326.61937	1385.43023	30.7665304	0	0	0	0	0	0	3
30	10	0	0.478145743	1385.6744	1363.31068	1326.61937	1385.6744	31.5376933	0	0	0	0	0	0	3
31	11	0	0.494083935	1385.66186	1364.03168	1326.61937	1385.6744	32.2586992	0	0	0	0	0	0	3
32	11	0	0.510022126	1385.52415	1364.70332	1326.61937	1385.6744	32.9303388	0	0	0	0	0	0	3
33	11	0	0.525960318	1385.60431	1366.012	1326.61937	1385.6744	34.239013	0	0	0	0	0	0	3
34	11	0	0.541898509	1385.81714	1367.56248	1326.61937	1385.81714	35.7894918	0	0	0	0	0	0	3
35	12	0	0.557836701	1385.68282	1369.26886	1326.61937	1385.81714	37.4958713	0	0	0	0	0	0	3
36	12	0	0.573774892	1385.63733	1371.07265	1326.61937	1385.81714	39.2996631	0	0	0	0	0	0	3
37	12	0	0.589713084	1385.38694	1372.90913	1326.90265	1385.81714	41.1361496	0	0	0	0	0	0	3
38	12	0	0.605651275	1385.80529	1374.74984	1329.96566	1385.81714	42.9768572	0	0	0	0	0	0	3
39	13	0	0.621589466	1385.34416	1376.48042	1334.56529	1385.81714	44.3583974	0	0	0	0	0	0	3
