Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	-3216685.31	-3216685.31	-3216685.31	-3216685.31	0	0	0	0	6.33573e+06	0	0	3
2	3	0	0.0318763829	-1266761.31	-2241723.31	-3216685.31	-1266761.31	974961.998	0	0	0	5.03162e+06	0	0	3
3	3	0	0.0478145743	-776035.276	-1753160.63	-3216685.31	-776035.276	1463524.68	0	0	0	4.21186e+06	0	0	3
4	3	0	0.0637527658	-710861.902	-1492585.95	-3216685.31	-710861.902	1724099.36	0	0	0	3.50694e+06	0	0	3
5	4	0	0.0796909572	-697846.083	-1333637.98	-3216685.31	-697846.083	1883047.33	0	0	0	3.77125e+06	0	0	3
6	4	0	0.0956291487	-741669.307	-1234976.53	-3216685.31	-697846.083	1981708.78	0	0	0	3.17705e+06	0	0	3
7	4	0	0.11156734	-755943.212	-1166543.2	-3216685.31	-697846.083	2050142.11	0	0	0	3.13649e+06	0	0	3
8	4	0	0.127505532	-782824.598	-1118578.37	-3216685.31	-697846.083	2098106.93	0	0	0	3.14067e+06	0	0	3
9	5	0	0.143443723	-779705.172	-1080925.8	-3216685.31	-697846.083	2135759.51	0	0	0	3.13745e+06	0	0	3
10	5	0	0.159381914	-779973.552	-1050830.57	-3216685.31	-697846.083	2165854.73	0	0	0	3.14365e+06	0	0	3
11	5	0	0.175320106	-774449.714	-1025705.04	-3216685.31	-697846.083	2190980.27	0	0	0	3.10739e+06	0	0	3
12	5	0	0.191258297	-774197.925	-1004746.11	-3216685.31	-697846.083	2211939.19	0	0	0	3.11845e+06	0	0	3
13	6	0	0.207196489	-772011.105	-986843.42	-3216685.31	-697846.083	2229841.89	0	0	0	3.08895e+06	0	0	3
14	6	0	0.22313468	-765389.917	-971025.313	-3216685.31	-697846.083	2245659.99	0	0	0	3.1035e+06	0	0	3
15	6	0	0.239072872	-762681.13	-957135.701	-3216685.31	-697846.083	2259549.61	0	0	0	3.0705e+06	0	0	3
16	7	0	0.255011063	-763820.575	-945053.505	-3216685.31	-697846.083	2271631.8	0	0	0	3.08905e+06	0	0	3
17	7	0	0.270949255	-762731.791	-934328.699	-3216685.31	-697846.083	2282356.61	0	0	0	3.07406e+06	0	0	3
18	7	0	0.286887446	-761040.192	-924701.559	-3216685.31	-697846.083	2291983.75	0	0	0	3.08632e+06	0	0	3
19	7	0	0.302825638	-760725.31	-916071.23	-3216685.31	-697846.083	2300614.08	0	0	0	3.06744e+06	0	0	3
20	8	0	0.318763829	-759507.716	-908243.055	-3216685.31	-697846.083	2308442.25	0	0	0	3.09205e+06	0	0	3
21	8	0	0.33470202	-763588.201	-901354.728	-3216685.31	-697846.083	2315330.58	0	0	0	3.07053e+06	0	0	3
22	8	0	0.350640212	-767910.985	-895289.104	-3216685.31	-697846.083	2321396.2	0	0	0	3.11091e+06	0	0	3
23	8	0	0.366578403	-767276.673	-889723.346	-3216685.31	-697846.083	2326961.96	0	0	0	3.12126e+06	0	0	3
24	9	0	0.382516595	-765066.664	-884529.317	-3216685.31	-697846.083	2332155.99	0	0	0	3.13238e+06	0	0	3
25	9	0	0.398454786	-767234.831	-879837.538	-3216685.31	-697846.083	2336847.77	0	0	0	3.11263e+06	0	0	3
26	9	0	0.414392978	-765761.289	-875449.99	-3216685.31	-697846.083	2341235.32	0	0	0	3.11489e+06	0	0	3
27	9	0	0.430331169	-767497.664	-871451.756	-3216685.31	-697846.083	2345233.55	0	0	0	3.08008e+06	0	0	3
28	10	0	0.446269361	-766542.819	-867705.008	-3216685.31	-697846.083	2348980.3	0	0	0	3.10756e+06	0	0	3
29	10	0	0.462207552	-770157.537	-864341.302	-3216685.31	-697846.083	2352344	0	0	0	3.10037e+06	0	0	3
30	10	0	0.478145743	-773502.207	-861313.332	-3216685.31	-697846.083	2355371.97	0	0	0	3.13655e+06	0	0	3
31	11	0	0.494083935	-779749.506	-858682.241	-3216685.31	-697846.083	2358003.07	0	0	0	3.10796e+06	0	0	3
32	11	0	0.510022126	-783669.797	-856338.102	-3216685.31	-697846.083	2360347.2	0	0	0	3.13138e+06	0	0	3
33	11	0	0.525960318	-784985.962	-780347.498	-1266761.31	-697846.083	568915.227	0	0	0	3.08579e+06	0	0	3
34	11	0	0.541898509	-784537.153	-765277.993	-784985.962	-697846.083	87139.8791	0	0	0	3.09448e+06	0	0	3
35	12	0	0.557836701	-785493.889	-765573.574	-785493.889	-697846.083	87647.8058	0	0	0	3.0859e+06	0	0	3
36	12	0	0.573774892	-788021.055	-767984.798	-788021.055	-697846.083	90174.9714	0	0	0	3.10454e+06	0	0	3
37	12	0	0.589713084	-789921.344	-770862.15	-789921.344	-741669.307	48252.037	0	0	0	3.09258e+06	0	0	3
38	12	0	0.605651275	-795825.72	-772554.538	-795825.72	-755943.212	39882.5074	0	0	0	3.1123e+06	0	0	3
