Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0156598047	-1411652.03	-1411652.03	-1411652.03	-1411652.03	0	0	0	0	6.54631e+06	0	0	3
2	2	0	0.0313196094	-183699.456	-797675.742	-1411652.03	-183699.456	613976.286	0	0	0	4.83858e+06	0	0	3
3	3	0	0.0469794141	326042.907	-423102.859	-1411652.03	326042.907	988549.169	0	0	0	4.78193e+06	0	0	3
4	3	0	0.0626392188	397962.519	-217836.515	-1411652.03	397962.519	1193815.51	0	0	0	5.02639e+06	0	0	3
5	3	0	0.0782990235	399650.777	-94339.0562	-1411652.03	399650.777	1317312.97	0	0	0	5.17256e+06	0	0	3
6	4	0	0.0939588282	370328.675	-16894.4343	-1411652.03	399650.777	1394757.59	0	0	0	5.15551e+06	0	0	3
7	4	0	0.109618633	371036.876	38524.3243	-1411652.03	399650.777	1450176.35	0	0	0	5.17932e+06	0	0	3
8	4	0	0.125278438	365385.342	79381.9515	-1411652.03	399650.777	1491033.98	0	0	0	5.04532e+06	0	0	3
9	4	0	0.140938242	368332.807	111487.602	-1411652.03	399650.777	1523139.63	0	0	0	4.90148e+06	0	0	3
10	4	0	0.156598047	371415.687	137480.411	-1411652.03	399650.777	1549132.44	0	0	0	4.70157e+06	0	0	3
11	5	0	0.172257852	366856.388	158332.772	-1411652.03	399650.777	1569984.8	0	0	0	4.67151e+06	0	0	3
12	5	0	0.187917656	359701.264	175113.48	-1411652.03	399650.777	1586765.51	0	0	0	4.57235e+06	0	0	3
13	5	0	0.203577461	355077.347	188956.854	-1411652.03	399650.777	1600608.88	0	0	0	4.54194e+06	0	0	3
14	5	0	0.219237266	346844.011	200234.508	-1411652.03	399650.777	1611886.54	0	0	0	4.49255e+06	0	0	3
15	5	0	0.234897071	345481.058	209917.612	-1411652.03	399650.777	1621569.64	0	0	0	4.47311e+06	0	0	3
16	6	0	0.250556875	342447.785	218200.747	-1411652.03	399650.777	1629852.78	0	0	0	4.47236e+06	0	0	3
17	6	0	0.26621668	337841.982	225238.467	-1411652.03	399650.777	1636890.5	0	0	0	4.46016e+06	0	0	3
18	6	0	0.281876485	332173.643	231179.31	-1411652.03	399650.777	1642831.34	0	0	0	4.46263e+06	0	0	3
19	6	0	0.297536289	330361.224	236399.411	-1411652.03	399650.777	1648051.44	0	0	0	4.40127e+06	0	0	3
20	7	0	0.313196094	329434.5	241051.165	-1411652.03	399650.777	1652703.19	0	0	0	4.41907e+06	0	0	3
21	7	0	0.328855899	327847.546	245184.326	-1411652.03	399650.777	1656836.35	0	0	0	4.39404e+06	0	0	3
22	7	0	0.344515703	327711.396	248935.557	-1411652.03	399650.777	1660587.59	0	0	0	4.41859e+06	0	0	3
23	7	0	0.360175508	327694.507	252359.859	-1411652.03	399650.777	1664011.89	0	0	0	4.37749e+06	0	0	3
24	8	0	0.375835313	326845.914	255463.445	-1411652.03	399650.777	1667115.47	0	0	0	4.39261e+06	0	0	3
25	8	0	0.391495118	326395.361	258300.721	-1411652.03	399650.777	1669952.75	0	0	0	4.37242e+06	0	0	3
26	8	0	0.407154922	326370.261	260918.781	-1411652.03	399650.777	1672570.81	0	0	0	4.35103e+06	0	0	3
27	8	0	0.422814727	325087	263295.381	-1411652.03	399650.777	1674947.41	0	0	0	4.32986e+06	0	0	3
28	8	0	0.438474532	324974.517	265498.207	-1411652.03	399650.777	1677150.24	0	0	0	4.34495e+06	0	0	3
29	9	0	0.454134336	324416.881	267529.886	-1411652.03	399650.777	1679181.91	0	0	0	4.33682e+06	0	0	3
30	9	0	0.469794141	323849.81	269407.217	-1411652.03	399650.777	1681059.25	0	0	0	4.32937e+06	0	0	3
31	9	0	0.485453946	322638.312	271124.349	-1411652.03	399650.777	1682776.38	0	0	0	4.35041e+06	0	0	3
32	9	0	0.50111375	321545.907	272700.022	-1411652.03	399650.777	1684352.05	0	0	0	4.32695e+06	0	0	3
33	10	0	0.516773555	321777.787	326869.704	-183699.456	399650.777	583350.233	0	0	0	4.35654e+06	0	0	3
34	10	0	0.53243336	321770.353	342665.636	321545.907	399650.777	78104.8702	0	0	0	4.32633e+06	0	0	3
35	10	0	0.548093165	321291.402	342517.151	321291.402	399650.777	78359.3755	0	0	0	4.34056e+06	0	0	3
36	10	0	0.563752969	321465.92	340126.632	321291.402	399650.777	78359.3755	0	0	0	4.2978e+06	0	0	3
37	11	0	0.579412774	322231.602	337707.283	321291.402	371415.687	50124.2848	0	0	0	4.3619e+06	0	0	3
