Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0153762774	-4251173.96	-4251173.96	-4251173.96	-4251173.96	0	0	0	0	1.39357e+07	0	0	3
2	3	0	0.0307525549	-1301371.44	-2776272.7	-4251173.96	-1301371.44	1474901.26	0	0	0	1.38636e+07	0	0	3
3	3	0	0.0461288323	-482063.429	-2011536.27	-4251173.96	-482063.429	2239637.68	0	0	0	1.49225e+07	0	0	3
4	4	0	0.0615051098	101652.677	-1483239.04	-4251173.96	101652.677	2767934.92	0	0	0	1.51596e+07	0	0	3
5	4	0	0.0768813872	-263592.276	-1239309.68	-4251173.96	101652.677	3011864.27	0	0	0	1.32719e+07	0	0	3
6	4	0	0.0922576646	-6370.72561	-1033819.86	-4251173.96	101652.677	3217354.1	0	0	0	1.10215e+07	0	0	3
7	5	0	0.107633942	-199994.787	-914701.991	-4251173.96	101652.677	3336471.97	0	0	0	8.00935e+06	0	0	3
8	5	0	0.12301022	-27665.9182	-803822.482	-4251173.96	101652.677	3447351.47	0	0	0	7.61117e+06	0	0	3
9	5	0	0.138386497	-146347.429	-730769.698	-4251173.96	101652.677	3520404.26	0	0	0	7.29082e+06	0	0	3
10	5	0	0.153762774	-54919.8674	-663184.715	-4251173.96	101652.677	3587989.24	0	0	0	7.02802e+06	0	0	3
11	5	0	0.169139052	-134107.719	-615086.806	-4251173.96	101652.677	3636087.15	0	0	0	6.9167e+06	0	0	3
12	6	0	0.184515329	-123846.671	-574150.128	-4251173.96	101652.677	3677023.83	0	0	0	6.73073e+06	0	0	3
13	6	0	0.199891607	-156153.266	-541996.524	-4251173.96	101652.677	3709177.43	0	0	0	6.6875e+06	0	0	3
14	6	0	0.215267884	-160348.625	-514735.959	-4251173.96	101652.677	3736438	0	0	0	6.68655e+06	0	0	3
15	6	0	0.230644162	-172259.747	-491904.212	-4251173.96	101652.677	3759269.74	0	0	0	6.66847e+06	0	0	3
16	7	0	0.246020439	-174177.381	-472046.285	-4251173.96	101652.677	3779127.67	0	0	0	6.68264e+06	0	0	3
17	7	0	0.261396716	-177869.885	-454741.791	-4251173.96	101652.677	3796432.16	0	0	0	6.73351e+06	0	0	3
18	7	0	0.276772994	-182357.006	-439609.303	-4251173.96	101652.677	3811564.65	0	0	0	6.70869e+06	0	0	3
19	7	0	0.292149271	-182138.299	-426058.197	-4251173.96	101652.677	3825115.76	0	0	0	6.6567e+06	0	0	3
20	8	0	0.307525549	-189764.73	-414243.524	-4251173.96	101652.677	3836930.43	0	0	0	6.65722e+06	0	0	3
21	8	0	0.322901826	-189823.15	-403556.84	-4251173.96	101652.677	3847617.12	0	0	0	6.68341e+06	0	0	3
22	8	0	0.338278104	-203160.842	-394447.931	-4251173.96	101652.677	3856726.03	0	0	0	6.75596e+06	0	0	3
23	8	0	0.353654381	-204920.755	-386207.619	-4251173.96	101652.677	3864966.34	0	0	0	6.7325e+06	0	0	3
24	8	0	0.369030659	-206509.952	-378720.216	-4251173.96	101652.677	3872453.74	0	0	0	6.72357e+06	0	0	3
25	9	0	0.384406936	-202858.638	-371685.753	-4251173.96	101652.677	3879488.2	0	0	0	6.72746e+06	0	0	3
26	9	0	0.399783213	-206022.794	-365314.1	-4251173.96	101652.677	3885859.86	0	0	0	6.75858e+06	0	0	3
27	9	0	0.415159491	-206700.022	-359439.505	-4251173.96	101652.677	3891734.45	0	0	0	6.74587e+06	0	0	3
28	9	0	0.430535768	-205985.297	-353958.997	-4251173.96	101652.677	3897214.96	0	0	0	6.72805e+06	0	0	3
29	10	0	0.445912046	-205813.745	-348850.54	-4251173.96	101652.677	3902323.42	0	0	0	6.72578e+06	0	0	3
30	10	0	0.461288323	-207729.464	-344146.505	-4251173.96	101652.677	3907027.45	0	0	0	6.7468e+06	0	0	3
31	10	0	0.476664601	-206921.11	-339719.879	-4251173.96	101652.677	3911454.08	0	0	0	6.74309e+06	0	0	3
32	10	0	0.492040878	-205396.57	-335522.276	-4251173.96	101652.677	3915651.68	0	0	0	6.72846e+06	0	0	3
33	11	0	0.507417155	-203497.42	-331521.522	-4251173.96	101652.677	3919652.43	0	0	0	6.72386e+06	0	0	3
34	11	0	0.522793433	-209214.863	-209037.913	-1301371.44	101652.677	1403024.12	0	0	0	6.7318e+06	0	0	3
35	11	0	0.53816971	-206494.832	-175859.834	-482063.429	101652.677	583716.106	0	0	0	6.72296e+06	0	0	3
36	11	0	0.553545988	-208274.447	-167563.199	-263592.276	101652.677	365244.953	0	0	0	6.72518e+06	0	0	3
37	12	0	0.568922265	-208036.186	-176947.71	-263592.276	-6370.72561	257221.551	0	0	0	6.71289e+06	0	0	3
38	12	0	0.584298543	-210252.004	-175331.338	-210252.004	-6370.72561	203881.278	0	0	0	6.73285e+06	0	0	3
39	12	0	0.59967482	-212932.888	-181590.797	-212932.888	-27665.9182	185266.97	0	0	0	6.74639e+06	0	0	3
40	12	0	0.615051098	-212887.088	-181981.473	-212932.888	-27665.9182	185266.97	0	0	0	6.74658e+06	0	0	3
41	12	0	0.630427375	-212050.141	-187568.874	-212932.888	-54919.8674	158013.021	0	0	0	6.74677e+06	0	0	3
42	13	0	0.645803652	-212058.137	-189560.107	-212932.888	-54919.8674	158013.021	0	0	0	6.74699e+06	0	0	3
43	13	0	0.66117993	-213321.63	-194360.161	-213321.63	-123846.671	89474.9587	0	0	0	6.76003e+06	0	0	3
44	13	0	0.676556207	-211760.418	-196713.273	-213321.63	-123846.671	89474.9587	0	0	0	6.77362e+06	0	0	3
45	13	0	0.691932485	-211857.092	-199380.255	-213321.63	-156153.266	57168.364	0	0	0	6.75979e+06	0	0	3
46	14	0	0.707308762	-211843.513	-201067.839	-213321.63	-160348.625	52973.0048	0	0	0	6.74279e+06	0	0	3
47	14	0	0.72268504	-213239.583	-202670.595	-213321.63	-172259.747	41061.8828	0	0	0	6.75529e+06	0	0	3
48	14	0	0.738061317	-212165.62	-203879.864	-213321.63	-174177.381	39144.2487	0	0	0	6.76143e+06	0	0	3
