Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0159381914	0	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0318763829	0	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0478145743	0	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0637527658	0	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.0796909572	0	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0956291487	0	0	0	0	0	0	0	0	0	0	0	3
7	4	0	0.11156734	0	0	0	0	0	0	0	0	0	0	0	3
8	4	0	0.127505532	0	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.143443723	0	0	0	0	0	0	0	0	0	0	0	3
10	5	0	0.159381914	0	0	0	0	0	0	0	0	0	0	0	3
11	5	0	0.175320106	0	0	0	0	0	0	0	0	0	0	0	3
12	5	0	0.191258297	0	0	0	0	0	0	0	0	0	0	0	3
13	6	0	0.207196489	0	0	0	0	0	0	0	0	0	0	0	3
14	6	0	0.22313468	0	0	0	0	0	0	0	0	0	0	0	3
15	6	0	0.239072872	0	0	0	0	0	0	0	0	0	0	0	3
16	7	0	0.255011063	0	0	0	0	0	0	0	0	0	0	0	3
17	7	0	0.270949255	0	0	0	0	0	0	0	0	0	0	0	3
18	7	0	0.286887446	0	0	0	0	0	0	0	0	0	0	0	3
19	7	0	0.302825638	0	0	0	0	0	0	0	0	0	0	0	3
20	8	0	0.318763829	0	0	0	0	0	0	0	0	0	0	0	3
21	8	0	0.33470202	0	0	0	0	0	0	0	0	0	0	0	3
22	8	0	0.350640212	0	0	0	0	0	0	0	0	0	0	0	3
23	8	0	0.366578403	0	0	0	0	0	0	0	0	0	0	0	3
24	9	0	0.382516595	0	0	0	0	0	0	0	0	0	0	0	3
25	9	0	0.398454786	0	0	0	0	0	0	0	0	0	0	0	3
26	9	0	0.414392978	0	0	0	0	0	0	0	0	0	0	0	3
27	9	0	0.430331169	0	0	0	0	0	0	0	0	0	0	0	3
28	10	0	0.446269361	0	0	0	0	0	0	0	0	0	0	0	3
29	10	0	0.462207552	0	0	0	0	0	0	0	0	0	0	0	3
30	10	0	0.478145743	0	0	0	0	0	0	0	0	0	0	0	3
31	11	0	0.494083935	0	0	0	0	0	0	0	0	0	0	0	3
32	11	0	0.510022126	0	0	0	0	0	0	0	0	0	0	0	3
33	11	0	0.525960318	0	0	0	0	0	0	0	0	0	0	0	3
34	11	0	0.541898509	0	0	0	0	0	0	0	0	0	0	0	3
35	12	0	0.557836701	0	0	0	0	0	0	0	0	0	0	0	3
36	12	0	0.573774892	0	0	0	0	0	0	0	0	0	0	0	3
37	12	0	0.589713084	0	0	0	0	0	0	0	0	0	0	0	3
38	12	0	0.605651275	0	0	0	0	0	0	0	0	0	0	0	3
39	13	0	0.621589466	0	0	0	0	0	0	0	0	0	0	0	3
40	13	0	0.637527658	0	0	0	0	0	0	0	0	0	0	0	3
41	13	0	0.653465849	0	0	0	0	0	0	0	0	0	0	0	3
42	14	0	0.669404041	0	0	0	0	0	0	0	0	0	0	0	3
43	14	0	0.685342232	0	0	0	0	0	0	0	0	0	0	0	3
44	14	0	0.701280424	0	0	0	0	0	0	0	0	0	0	0	3
45	14	0	0.717218615	0	0	0	0	0	0	0	0	0	0	0	3
46	15	0	0.733156807	0	0	0	0	0	0	0	0	0	0	0	3
47	15	0	0.749094998	0	0	0	0	0	0	0	0	0	0	0	3
48	15	0	0.76503319	0	0	0	0	0	0	0	0	0	0	0	3
49	16	0	0.780971381	0	0	0	0	0	0	0	0	0	0	0	3
50	16	0	0.796909572	0	0	0	0	0	0	0	0	0	0	0	3
51	16	0	0.812847764	0	0	0	0	0	0	0	0	0	0	0	3
52	17	0	0.828785955	0	0	0	0	0	0	0	0	0	0	0	3
53	17	0	0.844724147	0	0	0	0	0	0	0	0	0	0	0	3
54	17	0	0.860662338	0	0	0	0	0	0	0	0	0	0	0	3
55	17	0	0.87660053	0	0	0	0	0	0	0	0	0	0	0	3
56	18	0	0.892538721	0	0	0	0	0	0	0	0	0	0	0	3
57	18	0	0.908476913	0	0	0	0	0	0	0	0	0	0	0	3
58	18	0	0.924415104	0	0	0	0	0	0	0	0	0	0	0	3
59	19	0	0.940353295	0	0	0	0	0	0	0	0	0	0	0	3
60	19	0	0.956291487	0	0	0	0	0	0	0	0	0	0	0	3
61	19	0	0.972229678	0	0	0	0	0	0	0	0	0	0	0	3
62	19	0	0.98816787	0	0	0	0	0	0	0	0	0	0	0	3
63	20	0	1.00410606	0	0	0	0	0	5e-06	0	0	0	0	0	3
64	20	0	1.02004425	0	0	0	0	0	5e-06	0	0	0	0	0	3
