Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0156598047	293.199886	293.199886	293.199886	293.199886	0	0	0	0	0.101032	0	0	3
2	2	0	0.0313196094	293.199847	293.199867	293.199847	293.199886	1.93792586e-05	0	0	0	0.110008	0	0	3
3	3	0	0.0469794141	293.199826	293.199853	293.199826	293.199886	3.28293489e-05	0	0	0	0.122128	0	0	3
4	3	0	0.0626392188	293.199809	293.199842	293.199809	293.199886	4.39144584e-05	0	0	0	0.128368	0	0	3
5	3	0	0.0782990235	293.19979	293.199832	293.19979	293.199886	5.43774647e-05	0	0	0	0.14691	0	0	3
6	4	0	0.0939588282	293.199756	293.199819	293.199756	293.199886	6.70582982e-05	0	0	0	0.212039	0	0	3
7	4	0	0.109618633	293.199714	293.199804	293.199714	293.199886	8.20757839e-05	0	0	0	0.276078	0	0	3
8	4	0	0.125278438	293.199673	293.199788	293.199673	293.199886	9.85060724e-05	0	0	0	0.319323	0	0	3
9	4	0	0.140938242	293.199633	293.19977	293.199633	293.199886	0.000115651101	0	0	0	0.356038	0	0	3
10	4	0	0.156598047	293.199596	293.199753	293.199596	293.199886	0.000133110303	0	0	0	0.375236	0	0	3
11	5	0	0.172257852	293.199543	293.199734	293.199543	293.199886	0.000152243888	0	0	0	0.395097	0	0	3
12	5	0	0.187917656	293.199598	293.199723	293.199543	293.199886	0.000163559581	0	0	0	0.493582	0	0	3
13	5	0	0.203577461	293.199654	293.199717	293.199543	293.199886	0.000168800791	0	0	0	0.584156	0	0	3
14	5	0	0.219237266	293.199701	293.199716	293.199543	293.199886	0.000169979788	0	0	0	0.653028	0	0	3
15	5	0	0.234897071	293.19974	293.199718	293.199543	293.199886	0.000169979788	0	0	0	0.703975	0	0	3
16	6	0	0.250556875	293.199793	293.199722	293.199543	293.199886	0.000169979788	0	0	0	0.760096	0	0	3
17	6	0	0.26621668	293.199844	293.19973	293.199543	293.199886	0.000169979788	0	0	0	0.799685	0	0	3
18	6	0	0.281876485	293.199888	293.199738	293.199543	293.199888	0.000169979788	0	0	0	0.826088	0	0	3
19	6	0	0.297536289	293.199926	293.199748	293.199543	293.199926	0.000169979788	0	0	0	0.845376	0	0	3
20	7	0	0.313196094	293.199958	293.199759	293.199543	293.199958	0.000169979788	0	0	0	0.856935	0	0	3
21	7	0	0.328855899	293.2	293.19977	293.199543	293.2	0.000169979788	0	0	0	0.872734	0	0	3
22	7	0	0.344515703	293.200038	293.199782	293.199543	293.200038	0.000169979788	0	0	0	0.885395	0	0	3
23	7	0	0.360175508	293.200074	293.199795	293.199543	293.200074	0.000169979788	0	0	0	0.8898	0	0	3
24	8	0	0.375835313	293.200107	293.199808	293.199543	293.200107	0.000169979788	0	0	0	0.89453	0	0	3
25	8	0	0.391495118	293.200138	293.199821	293.199543	293.200138	0.000169979788	0	0	0	0.898114	0	0	3
26	8	0	0.407154922	293.20018	293.199835	293.199543	293.20018	0.000169979788	0	0	0	0.899104	0	0	3
27	8	0	0.422814727	293.200227	293.19985	293.199543	293.200227	0.000169979788	0	0	0	0.907558	0	0	3
28	8	0	0.438474532	293.200277	293.199865	293.199543	293.200277	0.000169979788	0	0	0	0.91079	0	0	3
29	9	0	0.454134336	293.20033	293.199881	293.199543	293.20033	0.000169979788	0	0	0	0.917478	0	0	3
30	9	0	0.469794141	293.200381	293.199898	293.199543	293.200381	0.000181390689	0	0	0	0.91373	0	0	3
31	9	0	0.485453946	293.200449	293.199915	293.199543	293.200449	0.000199177139	0	0	0	0.922261	0	0	3
32	9	0	0.50111375	293.200509	293.199934	293.199543	293.200509	0.00021772104	0	0	0	0.915681	0	0	3
33	10	0	0.516773555	293.200555	293.199955	293.199543	293.200555	0.00023863319	0	0	0	0.925308	0	0	3
34	10	0	0.53243336	293.200592	293.199978	293.199543	293.200592	0.000261918502	0	0	0	0.915703	0	0	3
35	10	0	0.548093165	293.200623	293.200003	293.199543	293.200623	0.000286827885	0	0	0	0.922098	0	0	3
36	10	0	0.563752969	293.200652	293.200029	293.199543	293.200652	0.000313175354	0	0	0	0.910061	0	0	3
37	11	0	0.579412774	293.200675	293.200057	293.199543	293.200675	0.000340821565	0	0	0	0.928695	0	0	3
38	11	0	0.595072579	293.200694	293.200086	293.199543	293.200694	0.000370160493	0	0	0	0.920373	0	0	3
39	11	0	0.610732383	293.200716	293.200118	293.199543	293.200716	0.000401486309	0	0	0	0.925907	0	0	3
40	11	0	0.626392188	293.200738	293.200151	293.199543	293.200738	0.000434790879	0	0	0	0.917435	0	0	3
41	11	0	0.642051993	293.200764	293.200186	293.199543	293.200764	0.00047012928	0	0	0	0.935002	0	0	3
