Iteration	CPUTime	PhysTime	Travels
1	3	0	0.0153762774
2	3	0	0.0307525549
3	3	0	0.0461288323
4	4	0	0.0615051098
5	4	0	0.0768813872
6	4	0	0.0922576646
7	5	0	0.107633942
8	5	0	0.12301022
9	5	0	0.138386497
10	5	0	0.153762774
11	5	0	0.169139052
12	6	0	0.184515329
13	6	0	0.199891607
14	6	0	0.215267884
15	6	0	0.230644162
16	7	0	0.246020439
17	7	0	0.261396716
18	7	0	0.276772994
19	7	0	0.292149271
20	8	0	0.307525549
21	8	0	0.322901826
22	8	0	0.338278104
23	8	0	0.353654381
24	8	0	0.369030659
25	9	0	0.384406936
26	9	0	0.399783213
27	9	0	0.415159491
28	9	0	0.430535768
29	10	0	0.445912046
30	10	0	0.461288323
31	10	0	0.476664601
32	10	0	0.492040878
33	11	0	0.507417155
34	11	0	0.522793433
35	11	0	0.53816971
36	11	0	0.553545988
37	12	0	0.568922265
38	12	0	0.584298543
39	12	0	0.59967482
40	12	0	0.615051098
41	12	0	0.630427375
42	13	0	0.645803652
43	13	0	0.66117993
44	13	0	0.676556207
45	13	0	0.691932485
46	14	0	0.707308762
47	14	0	0.72268504
48	14	0	0.738061317
49	14	0	0.753437594
50	15	0	0.768813872
51	15	0	0.784190149
52	15	0	0.799566427
53	15	0	0.814942704
54	16	0	0.830318982
55	16	0	0.845695259
56	16	0	0.861071537
57	16	0	0.876447814
58	16	0	0.891824091
59	17	0	0.907200369
60	17	0	0.922576646
61	17	0	0.937952924
62	17	0	0.953329201
63	18	0	0.968705479
64	18	0	0.984081756
65	18	0	0.999458033
66	18	0	1.01483431
