Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0168277559	-1.37731352e+10	-1.37731352e+10	-1.37731352e+10	-1.37731352e+10	0	0	0	0	4.34328e+10	0	0	3
2	4	0	0.0336555119	-2.99646217e+10	-2.18688784e+10	-2.99646217e+10	-1.37731352e+10	8.09574327e+09	0	0	0	6.1201e+10	0	0	3
3	5	0	0.0504832678	-4.23185964e+10	-2.86854511e+10	-4.23185964e+10	-1.37731352e+10	1.49123159e+10	0	0	0	7.1384e+10	0	0	3
4	5	0	0.0673110238	-5.36427763e+10	-3.49247824e+10	-5.36427763e+10	-1.37731352e+10	2.11516472e+10	0	0	0	8.10179e+10	0	0	3
5	5	0	0.0841387797	-5.82448637e+10	-3.95887986e+10	-5.82448637e+10	-1.37731352e+10	2.58156635e+10	0	0	0	8.33829e+10	0	0	3
6	6	0	0.100966536	-5.72228154e+10	-4.25278014e+10	-5.82448637e+10	-1.37731352e+10	2.87546663e+10	0	0	0	7.83721e+10	0	0	3
7	6	0	0.117794292	-5.3349874e+10	-4.40738118e+10	-5.82448637e+10	-1.37731352e+10	3.03006766e+10	0	0	0	7.15219e+10	0	0	3
8	6	0	0.134622048	-4.64650521e+10	-4.43727168e+10	-5.82448637e+10	-1.37731352e+10	3.05995817e+10	0	0	0	6.23139e+10	0	0	3
9	6	0	0.151449803	-3.65590567e+10	-4.35045324e+10	-5.82448637e+10	-1.37731352e+10	3.05995817e+10	0	0	0	4.97833e+10	0	0	3
10	6	0	0.168277559	-2.49890099e+10	-4.16529801e+10	-5.82448637e+10	-1.37731352e+10	3.05995817e+10	0	0	0	3.96146e+10	0	0	3
11	7	0	0.185105315	-1.88104813e+10	-3.95763893e+10	-5.82448637e+10	-1.37731352e+10	3.05995817e+10	0	0	0	3.59664e+10	0	0	3
12	7	0	0.201933071	-1.54215041e+10	-3.75634822e+10	-5.82448637e+10	-1.37731352e+10	3.05995817e+10	0	0	0	3.27659e+10	0	0	3
13	7	0	0.218760827	-1.15614757e+10	-3.55633279e+10	-5.82448637e+10	-1.15614757e+10	3.05995817e+10	0	0	0	3.9233e+10	0	0	3
14	8	0	0.235588583	-9.65528718e+09	-3.37127535e+10	-5.82448637e+10	-9.65528718e+09	3.05995817e+10	0	0	0	4.02672e+10	0	0	3
15	8	0	0.252416339	-7.63498974e+09	-3.1974236e+10	-5.82448637e+10	-7.63498974e+09	3.05995817e+10	0	0	0	4.18302e+10	0	0	3
16	8	0	0.269244095	-5.11381565e+09	-3.02954597e+10	-5.82448637e+10	-5.11381565e+09	3.05995817e+10	0	0	0	4.02378e+10	0	0	3
17	8	0	0.286071851	-4.03396989e+09	-2.87506662e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	4.1378e+10	0	0	3
18	9	0	0.302899607	-4.26731223e+09	-2.73904798e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	4.01314e+10	0	0	3
19	9	0	0.319727363	-5.49805339e+09	-2.62382469e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.9458e+10	0	0	3
20	9	0	0.336555119	-8.04723313e+09	-2.53286962e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.87984e+10	0	0	3
21	10	0	0.353382875	-9.53669337e+09	-2.4576696e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.78499e+10	0	0	3
22	10	0	0.370210631	-1.0890116e+10	-2.39545788e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.65594e+10	0	0	3
23	10	0	0.387038387	-1.21322647e+10	-2.34405651e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.55537e+10	0	0	3
24	10	0	0.403866143	-1.31565681e+10	-2.30120652e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.48977e+10	0	0	3
25	11	0	0.420693898	-1.3977483e+10	-2.2650682e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.54625e+10	0	0	3
26	11	0	0.437521654	-1.565136e+10	-2.23814773e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.54777e+10	0	0	3
27	11	0	0.45434941	-1.66577047e+10	-2.21694857e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.54359e+10	0	0	3
28	11	0	0.471177166	-1.70600589e+10	-2.19870062e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.50347e+10	0	0	3
29	12	0	0.488004922	-1.72191895e+10	-2.18225987e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.4836e+10	0	0	3
30	12	0	0.504832678	-1.71705051e+10	-2.16675289e+10	-5.82448637e+10	-4.03396989e+09	3.05995817e+10	0	0	0	3.45484e+10	0	0	3
31	12	0	0.521660434	-1.66515843e+10	-2.17634772e+10	-5.82448637e+10	-4.03396989e+09	2.27051879e+10	0	0	0	3.43262e+10	0	0	3
32	12	0	0.53848819	-1.62496072e+10	-2.13063101e+10	-5.82448637e+10	-4.03396989e+09	2.30664068e+10	0	0	0	3.40255e+10	0	0	3
33	13	0	0.555315946	-1.58690249e+10	-2.04246577e+10	-5.82448637e+10	-4.03396989e+09	2.39480592e+10	0	0	0	3.41007e+10	0	0	3
34	13	0	0.572143702	-1.55390734e+10	-1.91545342e+10	-5.82448637e+10	-4.03396989e+09	2.52181826e+10	0	0	0	3.38289e+10	0	0	3
35	13	0	0.588971458	-1.52975937e+10	-1.77229586e+10	-5.72228154e+10	-4.03396989e+09	2.66497583e+10	0	0	0	3.2875e+10	0	0	3
36	13	0	0.605799214	-1.3886605e+10	-1.62784182e+10	-5.3349874e+10	-4.03396989e+09	2.80942986e+10	0	0	0	3.26264e+10	0	0	3
37	14	0	0.62262697	-1.31576834e+10	-1.49386785e+10	-4.64650521e+10	-4.03396989e+09	2.94340383e+10	0	0	0	3.23344e+10	0	0	3
38	14	0	0.639454726	-1.28422744e+10	-1.38179193e+10	-3.65590567e+10	-4.03396989e+09	2.96866131e+10	0	0	0	3.21741e+10	0	0	3
39	14	0	0.656282482	-1.26966706e+10	-1.30225064e+10	-2.49890099e+10	-4.03396989e+09	2.095504e+10	0	0	0	3.19759e+10	0	0	3
40	14	0	0.673110238	-1.26470664e+10	-1.26111083e+10	-1.88104813e+10	-4.03396989e+09	1.47765115e+10	0	0	0	3.15638e+10	0	0	3
41	15	0	0.689937993	-1.19834625e+10	-1.2383541e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.14326e+10	0	0	3
42	15	0	0.706765749	-1.14168123e+10	-1.22500513e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.13614e+10	0	0	3
43	15	0	0.723593505	-1.11384303e+10	-1.22359498e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.13106e+10	0	0	3
44	15	0	0.740421261	-1.10090923e+10	-1.22810766e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.15639e+10	0	0	3
45	16	0	0.757249017	-1.09790716e+10	-1.2392546e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.15512e+10	0	0	3
46	16	0	0.774076773	-1.11371471e+10	-1.25933237e+10	-1.72191895e+10	-4.03396989e+09	1.31852196e+10	0	0	0	3.14419e+10	0	0	3
47	16	0	0.790904529	-1.11609966e+10	-1.28308913e+10	-1.72191895e+10	-4.26731223e+09	1.29518773e+10	0	0	0	3.03761e+10	0	0	3
48	16	0	0.807732285	-1.09476507e+10	-1.30535692e+10	-1.72191895e+10	-5.49805339e+09	1.17211361e+10	0	0	0	3.01909e+10	0	0	3
49	17	0	0.824560041	-1.08990858e+10	-1.32336036e+10	-1.72191895e+10	-8.04723313e+09	9.17195636e+09	0	0	0	3.01195e+10	0	0	3
