Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0168277559	-1588122.12	-1588122.12	-1588122.12	-1588122.12	0	0	0	0	4.34328e+10	0	0	3
2	4	0	0.0336555119	-208606.625	-898364.372	-1588122.12	-208606.625	689757.747	0	0	0	6.1201e+10	0	0	3
3	5	0	0.0504832678	218063.811	-526221.645	-1588122.12	218063.811	1061900.48	0	0	0	7.1384e+10	0	0	3
4	5	0	0.0673110238	367281.149	-302845.946	-1588122.12	367281.149	1285276.17	0	0	0	8.10179e+10	0	0	3
5	5	0	0.0841387797	315571.57	-179162.443	-1588122.12	367281.149	1408959.68	0	0	0	8.33829e+10	0	0	3
6	6	0	0.100966536	299597.114	-99369.1836	-1588122.12	367281.149	1488752.94	0	0	0	7.83721e+10	0	0	3
7	6	0	0.117794292	281741.126	-44924.8536	-1588122.12	367281.149	1543197.27	0	0	0	7.15219e+10	0	0	3
8	6	0	0.134622048	277016.089	-4682.23587	-1588122.12	367281.149	1583439.88	0	0	0	6.23139e+10	0	0	3
9	6	0	0.151449803	272096.925	26071.0042	-1588122.12	367281.149	1614193.12	0	0	0	4.97833e+10	0	0	3
10	6	0	0.168277559	267559.428	50219.8466	-1588122.12	367281.149	1638341.97	0	0	0	3.96146e+10	0	0	3
11	7	0	0.185105315	252328.058	68593.3203	-1588122.12	367281.149	1656715.44	0	0	0	3.59664e+10	0	0	3
12	7	0	0.201933071	242948.267	83122.8992	-1588122.12	367281.149	1671245.02	0	0	0	3.27659e+10	0	0	3
13	7	0	0.218760827	235183.849	94819.8954	-1588122.12	367281.149	1682942.02	0	0	0	3.9233e+10	0	0	3
14	8	0	0.235588583	231598.662	104589.807	-1588122.12	367281.149	1692711.93	0	0	0	4.02672e+10	0	0	3
15	8	0	0.252416339	225014.815	112618.141	-1588122.12	367281.149	1700740.26	0	0	0	4.18302e+10	0	0	3
16	8	0	0.269244095	228998.088	119891.888	-1588122.12	367281.149	1708014.01	0	0	0	4.02378e+10	0	0	3
17	8	0	0.286071851	228842.733	126300.761	-1588122.12	367281.149	1714422.88	0	0	0	4.1378e+10	0	0	3
18	9	0	0.302899607	229118.395	132012.852	-1588122.12	367281.149	1720134.97	0	0	0	4.01314e+10	0	0	3
19	9	0	0.319727363	227487.052	137037.81	-1588122.12	367281.149	1725159.93	0	0	0	3.9458e+10	0	0	3
20	9	0	0.336555119	228330.652	141602.452	-1588122.12	367281.149	1729724.57	0	0	0	3.87984e+10	0	0	3
21	10	0	0.353382875	224386.355	145544.542	-1588122.12	367281.149	1733666.66	0	0	0	3.78499e+10	0	0	3
