Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0167403589	-7.19051889e-05	-7.19051889e-05	-7.19051889e-05	-7.19051889e-05	0	0	0	0	0	0	0	3
2	2	0	0.0334807178	-4.44644729e-07	-3.61749168e-05	-7.19051889e-05	-4.44644729e-07	3.57302721e-05	0	0	0	0	0	0	3
3	3	0	0.0502210767	2.32588702e-06	-2.33413155e-05	-7.19051889e-05	2.32588702e-06	4.85638734e-05	0	0	0	0	0	0	3
4	3	0	0.0669614355	2.97295709e-07	-1.74316627e-05	-7.19051889e-05	2.32588702e-06	5.44735262e-05	0	0	0	0	0	0	3
5	3	0	0.0837017944	-2.46234856e-09	-1.39458227e-05	-7.19051889e-05	2.32588702e-06	5.79593663e-05	0	0	0	0	0	0	3
6	4	0	0.100442153	-6.63567288e-08	-1.16325783e-05	-7.19051889e-05	2.32588702e-06	6.02726106e-05	0	0	0	0	0	0	3
7	4	0	0.117182512	-1.50008925e-07	-9.99221128e-06	-7.19051889e-05	2.32588702e-06	6.19129776e-05	0	0	0	0	0	0	3
8	4	0	0.133922871	-3.34856269e-07	-8.7850419e-06	-7.19051889e-05	2.32588702e-06	6.3120147e-05	0	0	0	0	0	0	3
9	4	0	0.15066323	1.44103246e-08	-7.80732499e-06	-7.19051889e-05	2.32588702e-06	6.40978639e-05	0	0	0	0	0	0	3
10	5	0	0.167403589	6.44965807e-08	-7.02014283e-06	-7.19051889e-05	2.32588702e-06	6.48850461e-05	0	0	0	0	0	0	3
11	5	0	0.184143948	4.67258645e-07	-6.33946997e-06	-7.19051889e-05	2.32588702e-06	6.5565719e-05	0	0	0	0	0	0	3
12	5	0	0.200884307	-1.8793611e-07	-5.82684215e-06	-7.19051889e-05	2.32588702e-06	6.60783468e-05	0	0	0	0	0	0	3
13	5	0	0.217624665	7.00196661e-08	-5.37323739e-06	-7.19051889e-05	2.32588702e-06	6.65319515e-05	0	0	0	0	0	0	3
14	6	0	0.234365024	-2.58531274e-07	-5.00790124e-06	-7.19051889e-05	2.32588702e-06	6.68972877e-05	0	0	0	0	0	0	3
15	6	0	0.251105383	-3.920898e-07	-4.70018048e-06	-7.19051889e-05	2.32588702e-06	6.72050084e-05	0	0	0	0	0	0	3
16	6	0	0.267845742	-4.21570039e-07	-4.43276733e-06	-7.19051889e-05	2.32588702e-06	6.74724216e-05	0	0	0	0	0	0	3
17	7	0	0.284586101	-7.79578266e-07	-4.21787385e-06	-7.19051889e-05	2.32588702e-06	6.76873151e-05	0	0	0	0	0	0	3
18	7	0	0.30132646	-8.26425928e-07	-4.02946008e-06	-7.19051889e-05	2.32588702e-06	6.78757288e-05	0	0	0	0	0	0	3
19	7	0	0.318066819	-8.2141398e-07	-3.86061555e-06	-7.19051889e-05	2.32588702e-06	6.80445734e-05	0	0	0	0	0	0	3
20	7	0	0.334807178	-6.97830404e-07	-3.70247629e-06	-7.19051889e-05	2.32588702e-06	6.82027126e-05	0	0	0	0	0	0	3
21	8	0	0.351547537	-5.3682459e-07	-3.55173097e-06	-7.19051889e-05	2.32588702e-06	6.8353458e-05	0	0	0	0	0	0	3
22	8	0	0.368287895	-7.50508853e-07	-3.42440269e-06	-7.19051889e-05	2.32588702e-06	6.84807862e-05	0	0	0	0	0	0	3
23	8	0	0.385028254	-9.90022306e-07	-3.31856007e-06	-7.19051889e-05	2.32588702e-06	6.85866289e-05	0	0	0	0	0	0	3
24	9	0	0.401768613	-7.39141667e-07	-3.2110843e-06	-7.19051889e-05	2.32588702e-06	6.86941046e-05	0	0	0	0	0	0	3
25	9	0	0.418508972	-9.73179565e-07	-3.12156811e-06	-7.19051889e-05	2.32588702e-06	6.87836208e-05	0	0	0	0	0	0	3
26	9	0	0.435249331	-8.783584e-07	-3.03529081e-06	-7.19051889e-05	2.32588702e-06	6.88698981e-05	0	0	0	0	0	0	3
27	10	0	0.45198969	-8.66490106e-07	-2.95496486e-06	-7.19051889e-05	2.32588702e-06	6.89502241e-05	0	0	0	0	0	0	3
28	10	0	0.468730049	-7.16511298e-07	-2.87502009e-06	-7.19051889e-05	2.32588702e-06	6.90301688e-05	0	0	0	0	0	0	3
29	10	0	0.485470408	-8.31723169e-07	-2.80456158e-06	-7.19051889e-05	2.32588702e-06	6.91006273e-05	0	0	0	0	0	0	3
30	10	0	0.502210767	-7.07480185e-07	-2.73465886e-06	-7.19051889e-05	2.32588702e-06	6.91705301e-05	0	0	0	0	0	0	3
31	11	0	0.518951125	-7.16526267e-07	-3.61703442e-07	-9.90022306e-07	2.32588702e-06	3.31590932e-06	0	0	0	0	0	0	3
32	11	0	0.535691484	-1.12161664e-06	-3.84269173e-07	-1.12161664e-06	2.32588702e-06	3.44750366e-06	0	0	0	0	0	0	3
33	11	0	0.552431843	-8.54237122e-07	-4.90273311e-07	-1.12161664e-06	4.67258645e-07	1.58887529e-06	0	0	0	0	0	0	3
34	12	0	0.569172202	-1.2085777e-06	-5.40469091e-07	-1.2085777e-06	4.67258645e-07	1.67583634e-06	0	0	0	0	0	0	3
35	12	0	0.585912561	-1.06779084e-06	-5.7598004e-07	-1.2085777e-06	4.67258645e-07	1.67583634e-06	0	0	0	0	0	0	3
