Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0164707474	32.7206634	32.7206634	32.7206634	32.7206634	0	0	0	0	44.7005	0	0	3
2	2	0	0.0329414948	32.5236596	32.6221615	32.5236596	32.7206634	0.0985018839	0	0	0	44.2161	0	0	3
3	3	0	0.0494122423	32.4891866	32.5778365	32.4891866	32.7206634	0.142826858	0	0	0	43.6749	0	0	3
4	3	0	0.0658829897	32.2647959	32.4995764	32.2647959	32.7206634	0.221087008	0	0	0	43.3021	0	0	3
5	3	0	0.0823537371	31.9682054	32.3933022	31.9682054	32.7206634	0.327361208	0	0	0	43.9706	0	0	3
6	4	0	0.0988244845	31.5730664	32.2565962	31.5730664	32.7206634	0.464067176	0	0	0	44.9449	0	0	3
7	4	0	0.115295232	31.2549068	32.1134977	31.2549068	32.7206634	0.607165668	0	0	0	45.8586	0	0	3
8	4	0	0.131765979	31.032737	31.9784026	31.032737	32.7206634	0.742260757	0	0	0	46.6295	0	0	3
9	5	0	0.148236727	30.9155173	31.8603043	30.9155173	32.7206634	0.860359121	0	0	0	47.2739	0	0	3
10	5	0	0.164707474	30.788496	31.7531234	30.788496	32.7206634	0.967539948	0	0	0	47.8214	0	0	3
11	5	0	0.181178222	30.6470522	31.6525715	30.6470522	32.7206634	1.06809187	0	0	0	48.5168	0	0	3
12	5	0	0.197648969	30.559667	31.5614961	30.559667	32.7206634	1.15916725	0	0	0	49.1238	0	0	3
13	6	0	0.214119717	30.5131655	31.4808553	30.5131655	32.7206634	1.23980807	0	0	0	49.6426	0	0	3
14	6	0	0.230590464	30.491565	31.4101917	30.491565	32.7206634	1.31047167	0	0	0	50.1063	0	0	3
15	6	0	0.247061211	30.4888823	31.3487711	30.4888823	32.7206634	1.37189229	0	0	0	50.4972	0	0	3
16	7	0	0.263531959	30.5142473	31.2966133	30.4888823	32.7206634	1.42405003	0	0	0	51.0136	0	0	3
17	7	0	0.280002706	30.5538577	31.2529218	30.4888823	32.7206634	1.46774154	0	0	0	51.4239	0	0	3
18	7	0	0.296473454	30.59003	31.2160945	30.4888823	32.7206634	1.50456886	0	0	0	51.6902	0	0	3
19	7	0	0.312944201	30.6244884	31.1849573	30.4888823	32.7206634	1.53570603	0	0	0	51.8097	0	0	3
20	8	0	0.329414948	30.6564208	31.1585305	30.4888823	32.7206634	1.56213285	0	0	0	51.9763	0	0	3
21	8	0	0.345885696	30.6667245	31.1351112	30.4888823	32.7206634	1.58555219	0	0	0	52.0473	0	0	3
22	8	0	0.362356443	30.6783371	31.1143487	30.4888823	32.7206634	1.60631465	0	0	0	52.1486	0	0	3
23	9	0	0.378827191	30.6908154	31.0959342	30.4888823	32.7206634	1.62472914	0	0	0	52.0873	0	0	3
24	9	0	0.395297938	30.7019004	31.0795162	30.4888823	32.7206634	1.64114722	0	0	0	52.1428	0	0	3
25	9	0	0.411768686	30.7129149	31.0648521	30.4888823	32.7206634	1.65581127	0	0	0	52.0785	0	0	3
26	9	0	0.428239433	30.757733	31.0530398	30.4888823	32.7206634	1.66762354	0	0	0	52.1375	0	0	3
27	10	0	0.44471018	30.7914819	31.0433525	30.4888823	32.7206634	1.67731087	0	0	0	52.0167	0	0	3
28	10	0	0.461180928	30.8058872	31.0348716	30.4888823	32.7206634	1.68579177	0	0	0	52.0793	0	0	3
29	10	0	0.477651675	30.8157181	31.0273146	30.4888823	32.7206634	1.69334879	0	0	0	51.9791	0	0	3
30	11	0	0.494122423	30.817901	31.0203341	30.4888823	32.7206634	1.70032924	0	0	0	52.0412	0	0	3
31	11	0	0.51059317	30.8126551	31.0136348	30.4888823	32.7206634	1.70702857	0	0	0	51.8905	0	0	3
32	11	0	0.527063918	30.8064301	30.9518853	30.4888823	32.5236596	1.67027614	0	0	0	51.9734	0	0	3
33	11	0	0.543534665	30.8090547	30.8965755	30.4888823	32.4891866	1.681261	0	0	0	51.8499	0	0	3
34	12	0	0.560005412	30.806975	30.8423106	30.4888823	32.2647959	1.65726575	0	0	0	51.9406	0	0	3
35	12	0	0.57647616	30.8117252	30.7954374	30.4888823	31.9682054	1.47932308	0	0	0	51.8132	0	0	3
36	12	0	0.592946907	30.8187011	30.7583566	30.4888823	31.5730664	1.08418407	0	0	0	51.9212	0	0	3
37	13	0	0.609417655	30.8267177	30.7342808	30.4888823	31.2549068	0.766024468	0	0	0	51.743	0	0	3
38	13	0	0.625888402	30.825455	30.7204275	30.4888823	31.032737	0.543854703	0	0	0	51.864	0	0	3
39	13	0	0.64235915	30.8290891	30.7138583	30.4888823	30.9155173	0.426635056	0	0	0	51.6906	0	0	3
40	13	0	0.658829897	30.8249977	30.7109383	30.4888823	30.8290891	0.340206785	0	0	0	51.829	0	0	3
41	14	0	0.675300644	30.8148271	30.7117877	30.4888823	30.8290891	0.340206785	0	0	0	51.6304	0	0	3
42	14	0	0.691771392	30.8095973	30.717031	30.4888823	30.8290891	0.340206785	0	0	0	51.8009	0	0	3
43	14	0	0.708242139	30.8135682	30.7252214	30.4888823	30.8290891	0.340206785	0	0	0	51.5664	0	0	3
