Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0177499803	619553.875	619553.875	619553.875	619553.875	0	0	0	0	1.21679e+07	0	0	3
2	3	0	0.0354999607	661254.836	640404.355	619553.875	661254.836	20850.4804	0	0	0	5.67971e+06	0	0	3
3	3	0	0.053249941	673486.01	651431.574	619553.875	673486.01	31877.6986	0	0	0	5.85627e+06	0	0	3
4	3	0	0.0709999213	676649.833	657736.138	619553.875	676649.833	38182.2635	0	0	0	5.22956e+06	0	0	3
5	3	0	0.0887499017	676600.348	661508.98	619553.875	676649.833	41955.1054	0	0	0	4.64663e+06	0	0	3
6	4	0	0.106499882	676129.264	663945.694	619553.875	676649.833	44391.8194	0	0	0	4.11753e+06	0	0	3
7	4	0	0.124249862	675765.957	665634.303	619553.875	676649.833	46080.4283	0	0	0	3.58233e+06	0	0	3
8	4	0	0.141999843	675743.818	666897.993	619553.875	676649.833	47344.1177	0	0	0	3.22293e+06	0	0	3
9	4	0	0.159749823	675824.388	667889.814	619553.875	676649.833	48335.9393	0	0	0	2.88938e+06	0	0	3
10	5	0	0.177499803	675942.78	668695.111	619553.875	676649.833	49141.2359	0	0	0	2.70672e+06	0	0	3
11	5	0	0.195249784	675989.327	669358.221	619553.875	676649.833	49804.3465	0	0	0	2.68174e+06	0	0	3
12	5	0	0.212999764	675948.21	669907.387	619553.875	676649.833	50353.5122	0	0	0	2.67032e+06	0	0	3
13	5	0	0.230749744	675885.009	670367.204	619553.875	676649.833	50813.3292	0	0	0	2.5948e+06	0	0	3
14	6	0	0.248499725	675762.885	670752.61	619553.875	676649.833	51198.735	0	0	0	2.56774e+06	0	0	3
15	6	0	0.266249705	675655.671	671079.481	619553.875	676649.833	51525.6057	0	0	0	2.57729e+06	0	0	3
16	6	0	0.283999685	675523.711	671357.245	619553.875	676649.833	51803.3701	0	0	0	2.57365e+06	0	0	3
