Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0159748398	2424.73849	2424.73849	2424.73849	2424.73849	0	0	0	0	0	0	0	3
2	3	0	0.0319496797	2410.03868	2417.38858	2410.03868	2424.73849	7.34990498	0	0	0	0	0	0	3
3	4	0	0.0479245195	2394.61955	2409.7989	2394.61955	2424.73849	14.9395821	0	0	0	0	0	0	3
4	4	0	0.0638993594	2383.7319	2403.28215	2383.7319	2424.73849	21.4563331	0	0	0	0	0	0	3
5	4	0	0.0798741992	2377.15907	2398.05754	2377.15907	2424.73849	26.68095	0	0	0	0	0	0	3
6	5	0	0.095849039	2370.60996	2393.48294	2370.60996	2424.73849	31.2555464	0	0	0	0	0	0	3
7	5	0	0.111823879	2366.43784	2389.61935	2366.43784	2424.73849	35.1191323	0	0	0	0	0	0	3
8	5	0	0.127798719	2364.05026	2386.42322	2364.05026	2424.73849	38.3152686	0	0	0	0	0	0	3
9	6	0	0.143773559	2362.63894	2383.78052	2362.63894	2424.73849	40.9579661	0	0	0	0	0	0	3
10	6	0	0.159748398	2361.92429	2381.5949	2361.92429	2424.73849	43.1435887	0	0	0	0	0	0	3
11	6	0	0.175723238	2361.67132	2379.78366	2361.67132	2424.73849	44.9548228	0	0	0	0	0	0	3
12	7	0	0.191698078	2361.67326	2378.27446	2361.67132	2424.73849	46.4640228	0	0	0	0	0	0	3
13	7	0	0.207672918	2361.63861	2376.99478	2361.63861	2424.73849	47.7437042	0	0	0	0	0	0	3
14	7	0	0.223647758	2361.67625	2375.9006	2361.63861	2424.73849	48.8378854	0	0	0	0	0	0	3
15	8	0	0.239622598	2361.64904	2374.9505	2361.63861	2424.73849	49.7879892	0	0	0	0	0	0	3
16	8	0	0.255597437	2361.55691	2374.1134	2361.55691	2424.73849	50.6250886	0	0	0	0	0	0	3
17	8	0	0.271572277	2361.46399	2373.36932	2361.46399	2424.73849	51.3691717	0	0	0	0	0	0	3
18	9	0	0.287547117	2361.3853	2372.70354	2361.3853	2424.73849	52.0349503	0	0	0	0	0	0	3
19	9	0	0.303521957	2361.50517	2372.11415	2361.3853	2424.73849	52.6243378	0	0	0	0	0	0	3
20	9	0	0.319496797	2361.42912	2371.5799	2361.3853	2424.73849	53.1585895	0	0	0	0	0	0	3
21	10	0	0.335471637	2361.42071	2371.09613	2361.3853	2424.73849	53.6423605	0	0	0	0	0	0	3
22	10	0	0.351446476	2361.37974	2370.65447	2361.37974	2424.73849	54.0840144	0	0	0	0	0	0	3
23	10	0	0.367421316	2361.3934	2370.25182	2361.37974	2424.73849	54.4866698	0	0	0	0	0	0	3
24	11	0	0.383396156	2361.37365	2369.88189	2361.37365	2424.73849	54.8565935	0	0	0	0	0	0	3
25	11	0	0.399370996	2361.34219	2369.5403	2361.34219	2424.73849	55.1981819	0	0	0	0	0	0	3
26	11	0	0.415345836	2361.29824	2369.2233	2361.29824	2424.73849	55.5151845	0	0	0	0	0	0	3
27	12	0	0.431320676	2361.26834	2368.92867	2361.26834	2424.73849	55.8098126	0	0	0	0	0	0	3
28	12	0	0.447295516	2361.2388	2368.65404	2361.2388	2424.73849	56.0844508	0	0	0	0	0	0	3
29	12	0	0.463270355	2361.22911	2368.398	2361.22911	2424.73849	56.3404826	0	0	0	0	0	0	3
30	12	0	0.479245195	2361.21713	2368.15864	2361.21713	2424.73849	56.579845	0	0	0	0	0	0	3
31	13	0	0.495220035	2361.21888	2367.93478	2361.21713	2424.73849	56.8037084	0	0	0	0	0	0	3
32	13	0	0.511194875	2361.20454	2367.72446	2361.20454	2424.73849	57.0140283	0	0	0	0	0	0	3
33	13	0	0.527169715	2361.20952	2365.73918	2361.20454	2410.03868	48.8341362	0	0	0	0	0	0	3
34	14	0	0.543144555	2361.19968	2364.21296	2361.19968	2394.61955	33.4198712	0	0	0	0	0	0	3
35	14	0	0.559119394	2361.21073	2363.16893	2361.19968	2383.7319	22.5322211	0	0	0	0	0	0	3
36	15	0	0.575094234	2361.20179	2362.46487	2361.19968	2377.15907	15.9593898	0	0	0	0	0	0	3
37	15	0	0.591069074	2361.2486	2361.96767	2361.19968	2370.60996	9.41027896	0	0	0	0	0	0	3
38	15	0	0.607043914	2361.24731	2361.67508	2361.19968	2366.43784	5.23815953	0	0	0	0	0	0	3
39	16	0	0.623018754	2361.24864	2361.51292	2361.19968	2364.05026	2.85058491	0	0	0	0	0	0	3
40	16	0	0.638993594	2361.22935	2361.42477	2361.19968	2362.63894	1.43926165	0	0	0	0	0	0	3
41	16	0	0.654968433	2361.28785	2361.38255	2361.19968	2361.92429	0.724614621	0	0	0	0	0	0	3
42	17	0	0.670943273	2361.23727	2361.36108	2361.19968	2361.67625	0.476566666	0	0	0	0	0	0	3
43	17	0	0.686918113	2361.34781	2361.35097	2361.19968	2361.67625	0.476566666	0	0	0	0	0	0	3
44	17	0	0.702892953	2361.25497	2361.33789	2361.19968	2361.67625	0.476566666	0	0	0	0	0	0	3
45	18	0	0.718867793	2361.34346	2361.32867	2361.19968	2361.67625	0.476566666	0	0	0	0	0	0	3
46	18	0	0.734842633	2361.24867	2361.31531	2361.19968	2361.64904	0.449365245	0	0	0	0	0	0	3
47	18	0	0.750817473	2361.34921	2361.30594	2361.19968	2361.55691	0.357226965	0	0	0	0	0	0	3
48	19	0	0.766792312	2361.25819	2361.29661	2361.19968	2361.50517	0.305493974	0	0	0	0	0	0	3
49	19	0	0.782767152	2361.35841	2361.29331	2361.19968	2361.50517	0.305493974	0	0	0	0	0	0	3
50	19	0	0.798741992	2361.27649	2361.28991	2361.19968	2361.50517	0.305493974	0	0	0	0	0	0	3
51	20	0	0.814716832	2361.34027	2361.28475	2361.19968	2361.42912	0.229435657	0	0	0	0	0	0	3
52	20	0	0.830691672	2361.29316	2361.2805	2361.19968	2361.42071	0.221028088	0	0	0	0	0	0	3
53	20	0	0.846666512	2361.34746	2361.27821	2361.19968	2361.3934	0.19371793	0	0	0	0	0	0	3
54	21	0	0.862641351	2361.29555	2361.27558	2361.19968	2361.3934	0.19371793	0	0	0	0	0	0	3
55	21	0	0.878616191	2361.37756	2361.27509	2361.19968	2361.37756	0.177883766	0	0	0	0	0	0	3
56	21	0	0.894591031	2361.29037	2361.27249	2361.19968	2361.37756	0.177883766	0	0	0	0	0	0	3
57	22	0	0.910565871	2361.37981	2361.27366	2361.19968	2361.37981	0.180128321	0	0	0	0	0	0	3
58	22	0	0.926540711	2361.28512	2361.27325	2361.19968	2361.37981	0.180128321	0	0	0	0	0	0	3
59	22	0	0.942515551	2361.38514	2361.2769	2361.19968	2361.38514	0.185463975	0	0	0	0	0	0	3
60	23	0	0.95849039	2361.30898	2361.2791	2361.19968	2361.38514	0.185463975	0	0	0	0	0	0	3
61	23	0	0.97446523	2361.38942	2361.2841	2361.19968	2361.38942	0.189740845	0	0	0	0	0	0	3
62	23	0	0.99044007	2361.3273	2361.28755	2361.19968	2361.38942	0.189740845	0	0	0	0	0	0	3
63	24	0	1.00641491	2361.43307	2361.29424	2361.19968	2361.43307	0.233395518	1.00259613	0	100	0	0	0	3
64	24	0	1.02238975	2361.34673	2361.29868	2361.19968	2361.43307	0.233395518	1.00259613	0	100	0	0	0	3
65	25	0	1.03836459	2361.48599	2361.30732	2361.19968	2361.48599	0.286307977	1.00259613	0	100	0	0	0	3
66	25	0	1.05433943	2361.3525	2361.3121	2361.20179	2361.48599	0.284196585	1.00259613	0	100	0	0	0	3
67	25	0	1.07031427	2361.45851	2361.31984	2361.20179	2361.48599	0.284196585	1.00259613	0	100	0	0	0	3
68	26	0	1.08628911	2361.34787	2361.32441	2361.22935	2361.48599	0.256638061	1.00259613	0	100	0	0	0	3
69	26	0	1.10226395	2361.47893	2361.33161	2361.22935	2361.48599	0.256638061	1.00259613	0	100	0	0	0	3
70	27	0	1.11823879	2361.35442	2361.33495	2361.22935	2361.48599	0.240433961	1.00259613	0	100	0	0	0	3
71	27	0	1.13421363	2361.47099	2361.3419	2361.22935	2361.48599	0.152280368	1.00259613	0	100	0	0	0	3
72	27	0	1.15018847	2361.35703	2361.34589	2361.23727	2361.48599	0.110058815	1.00259613	0	100	0	0	0	3
73	28	0	1.16616331	2361.47605	2361.35177	2361.23727	2361.48599	0.0885893843	1.00259613	0	100	0	0	0	3
74	28	0	1.18213815	2361.36552	2361.35578	2361.24867	2361.48599	0.0832939914	1.00259613	0	100	0	0	0	3
75	29	0	1.19811299	2361.45896	2361.35925	2361.24867	2361.48599	0.0867674014	1.00259613	0	100	0	0	0	3
76	29	0	1.21408783	2361.36356	2361.36265	2361.24867	2361.48599	0.0901608081	1.00259613	0	100	0	0	0	3
77	30	0	1.23006267	2361.46135	2361.36633	2361.24867	2361.48599	0.0938447426	1.00259613	0	100	0	0	0	3
78	30	0	1.24603751	2361.36887	2361.37009	2361.25819	2361.48599	0.0976011537	1.00259613	0	100	0	0	0	3
79	30	0	1.26201235	2361.46859	2361.37382	2361.25819	2361.48599	0.101331641	1.00259613	0	100	0	0	0	3
80	31	0	1.27798719	2361.37155	2361.37736	2361.27649	2361.48599	0.104874002	1.00259613	0	100	0	0	0	3
81	31	0	1.29396203	2361.47849	2361.38111	2361.27649	2361.48599	0.108626622	1.00259613	0	100	0	0	0	3
82	32	0	1.30993687	2361.37994	2361.38435	2361.28512	2361.48599	0.111859485	1.00259613	0	100	0	0	0	3
83	32	0	1.32591171	2361.47727	2361.38863	2361.28512	2361.48599	0.116140754	1.00259613	0	100	0	0	0	3
